작성자,내용,추천수
user-du9od5yv7u,제판부....참 잘 했어요. 하지만...선고에 미치지 말고...집행을 해주세요.제발 제발 제발요. 그래야..눈만뜨면 흉기로 잔옥 범죄 저지를 사람들을 단속 할수 있어요.,100
RENCHILDY,사형선고 받은 사람들은 장기를 적출해서 필요한 사람들에게 나누어주는 방식으로 집행하도록 법을 바꿔야한다. 그리고 징역 3년이상 범죄들은 전부 사형으로 전환시켜라. 사회에 필요없는 자들의 장기를 꺼내서 필요한 자들에게 나누어주는 것이야말로 진정한 선진국으로 가는 길이다.,51
user-tx9jk4kh2t,사형 반드시 실천하라 인간 쓰레기는 반드시 소각해야한다,60
user-tf2se5kz6s,말로만 듣던 사람 죽이고도 출소해서 또 죽이면 어떻게 하냐 사람 죽이면 못나오게 해야 한다가 실화였네 ㄷㄷㄷㄷㄷ,23
user-nb2bj9ln1d,사형 집행좀 해라 왜 세금써가면서 쟤네 밥맥이냐,49
appletree4498,요 몇년만에 최고로 기분좋은 판결입니다….,51
fffffffffffffff78772,전과 스택 쌓기 제일 좋은 나라,0
k.miyamoto8183,제발 집행좀 하자. 세금으로 밥멕여서 어따쓰게...,82
user-cj1jm8hb5b,2심가서 무기뜰거고 무기확정이겠구만,1
user-yb7fz8mh7t,사형제도 부활시켜라!제발~~선고만 하고 집행을 안하니 저런쓰레기들이 심각성을 모르고 끊임없이 살인 저지러지~~사람목숨 파리목숨 여기듯,7
user-pg6ok1qb9w,사형집행도 하지못하고 살인천국이됐다 제발사형집행도좀해야한다 나라꼬라지가 살인천국이다 인간은 고쳐쓸수없다 쓰레기는 재활용이 가능하지만 한번영혼이 망가지면 바법이없다 왜 이런흉악한범죄자를 년간2100만원의세금을쓰면서 나라돈을낭비하는지 참 한심한 세상이됐다 새정부는좀 강력한법집행을통해 나라다운나라를만들어야한다 사형제를 멈춘 그새끼도 악의편이다,31
-violet1791,"거짓으로라도 반성했으면 참작해서 조금이라도 감형하려고 했냐? 시 발.. 사람 죽여놓고 사과를 하면 뭐해.. 과연 그 사과에 진심과 진정성이 있기는 할런지.. 1심에서 사형 선고나오면 뭐해.. 2심, 3심에서 또 얼마나 감형이 될런지.. 이놈의 대한민국 재판부.. 실제로 사형이 집행되도록 법을 뜯어 고쳐야 돼..",5
NSLee-oi5hr,사형집행하라! 공짜밥 주지말고 세금 아깝다,14
user-qq8qn9gj9j,사형제도가 있어도 사형집행을 안한다면 그죄인들은 먹는것 입는것 자급자족할수 있도록 했으면 좋겠다 .그들에게 왜 ? 세금으로 먹여 살려야 하는가 ?,5
user-gs9vx4mq8m,몇십년 동안 세금으로 먹이고 입히고 하지말고 집행 좀 하자. 그 돈은 열심히 사는 힘든 이웃에게 주자.,16
pro-usanti-china4217,사형만 판결하지 말고 실행을 하던지.. 세금으로 재들 밥까지 줘야 하냐... 그리고 무기 받아도 뭐 어찌 어찌.. 풀려나는경우도 있던데 우리도 미국 처럼.. 300년형.. 가석방 없는 무기 이런것도... 법 제도 좀 고치자 진짜..,10
TV-nn1uq,그 사과가 진심일까요 코끼리 방귀 끼는 소리입니다 본인은 살려고 ㅠㅠ 판사님 사형해주셔서 감사합니다 살인한 인간들은 또 살인합니다 대담해지거든요 ㅠㅠ,9
user-bx5io2he5t,이번기회에 제발 사람의 생명을 묵살하는 저런말종들을 사형선고를 부활시켜서 앞으로 살인이라는 큰 법죄를 우습게 여기는 일이 없었으면 좋겠습니다. 제발 사형선고가 집행이 될수 있었으면 좋겠습니다.,1
user-iw8xo3qw4r,얼마만에듣는 사형선고인지 제발 부디 현재 누적사형대기자들 60여명의 사형집행도 시행되길~!,3
user-zj9hm4xz7o,사형제도 당장 실행해야한다 피해자의 인권보다 가해자의 인권 운운하는 대한민국 분명 명확한 모순입니다,1
dlzkfhtm1216,항소하겠지.. 항소심에서 무기징역으로 감형되겠지 백퍼.. 울 나라 판사들이 사형선고 확정하겠어? 어휴,18
user-fq3zj8mq1x,사람 죽이면 그냥 사형시키자.,9
user-te1pq4xo4s,처음부터 사형선고 했으면 2차 피해자가 없었을것 아니예요! 또 다른 피해자가 나오니까 사형이라고요? 미쳤다 재판! 그러니 아직도 악날한 범죄가 들 끓지!,1
user-np8fl2jf8y,제발 사형좀 시켜라 반성은 개뿔 ...,5
user-zm9ob1ct2d,제발 집행해주세요...,3
user-lw5ip4ss9q,목숨은 목숨으로 갚아야한다 생각합니다 누군가의 목숨을 빼앗으면 무조건 사형으로,0
user-sn6wo8gu2x,집행도 안하는 사형 선고해봐야 무기징역이나 똑같은거지 의미없다,11
omyo3522,이런 판례가 있어야 함. 그래야 앞으로도 형량 쎄게 나올수 있음.,0
user-sq1dd4bc9o,이젠 이런 악마들 살인자들은 모조리 사형시켜야된다 이런 범죄자들 살려들 필요가없어 사람죽이면 무조건 사형시켜버려라 맘놓고좀살자,0
user-tt4ws8ux8m,제발 사형좀 집행하자. 세금 내서 범죄자 숙식제공하느니 노숙자에게 새삶을 살수있도록 기회 제공하는게 더 국익에 맞다.,0
user-ir3lw4uq5x,이런 잉간은 영원히 사회에서 격리를 시켜야 합니다 돈을 일을해서 벌어야지 남에것을 빼앗아 내것으로 만들기위해 사람을 죽이는 자는 사람이 아니고 악마입니다 가둬놓고 고통을 줘야합니다 당신 참 나쁜잉간~이야,0
user-fc8he7pc1y,살인자는 사형집행해야합니다.,3
rachelgamez3519,"그냥 전세계 사형수들 어디 무인도에다 다 버렸으면 좋겠다. 집행은 못하겠고, 세금으로 죽을때까지 먹여 살리기도 아깝다. 사형수라고 교도소에서 갑질은 엄청할거구...",0
user-vu5iz3dh7e,2심 없이 확정 되야 한다.,4
gaeiskidosdoye6058,애초에 중죄 저지른 인간들은 교화가 않됨. 사기꾼 ㄴ ㅗ ㅁ 들도 그렇고,9
martin_ee,사람 죽인놈들은 그런 놈들끼리 한곳에 가둬놓고 자급자족하게 하고 지들끼리 치고박고 싸우든말든 탈출 못하게 감시만 하면 더 나을듯 그냥 교도소 보내봐야 다른 재소자들에게 막나가며 떵떵거리고 살테니,0
user-rv7wz2dk1g,소식중에 좋은 소식이네욤 다른 범죄들도 사형선고가 내려서 사형했으면하네요이런 소식 듣고 싶어요,0
user-rr8ge6lg8e,선고만 하면 뭐해.집행 좀 하자.쫌!!!,6
user-ns3ni8fm9h,진짜 이렇게사형죄도가있어야 나라가발전할뜻 진짜 살인마는 죽어도됨,0
moonmoon3640,저런건 좀 집행좀 했으면 한다..,0
clapeyon541,살인자는 출소가 되면 안된다니까 영원히 사회와 격리 시켜야지 거봐라 나와서 또 살인하잖아,2
csgn1066,실제로 일어나지도 않을 판결을 내리는건 뭐지,0
user-uc5uh1ze5t,사형집행 시행해라 그래야 중범죄안일어난다,0
violinlovechu5373,살인자에게 15년 징역살게하면서 교화 했더니 출소해서 또 살인이라.. 놀랍지도 않다.,1
user-yp1lp1ps1c,사형선고 나와봐야 머해 무의미한 사형제도 중국으로 수출보내 거기서 사형시켜라,3
user-cm9xl2ps1t,"그냥 사자, 호랑이 밥으로 줘라 사형도 아깝다",0
user-pj2ib7sl1l,전당포 주인 살인했을때 사형때렸으면 애꿎은 부녀 안죽었을텐데~~~에이그,13
user-gf6pf1im3u,그때 무기징역이라도 선고 했더라면 어휴...법이 개떡같다,0
katagirieririka3474,사형도 집행안하는데 사형선고 한다고 퍽이나 무서워하겠다 ㅡ.ㅡ 사형이 아니라 평생 가석방없는 하루 18시간 노역형 같은걸 만들어라,0
starmoon-,사형 와우우리나라는 사형 선고 더많이해야됩니다,1
user-hg1fc8sn1v,이런 범죄자는 내놓으면 사람 또 죽여 사형선고 잘하셨네요,0
user-dc2ws4zu9b,남을죽이고 살아있는게 무섭습니다,0
jjjlll6287,2003년에 살인 했는데 판사놈들이 그때 제대로 판결 못해서 또 다른 생명이 죽었구나. 이제 와서 사형 내렸다고 우린 판결 잘하지 이지랄 하겠구만,4
user-rx7ik9tc8z,15년만에 세상에 내놓은 법을 집행하시는 형님들이 책임 져야되지 않을까요 사람 목숨이15년 무기징역에 하루 한끼 씩만 줘야되는거 아닌가요,1
jms6388,전과1범은 없다.전과 수범은 있어도. 갱생도 반성도 없다. 그냥 범죄자는 범죄자 취급하자.범죄자는 인권도 없다.,1
user-vt7hd7rh8p,우리나라는 돈 없으면 저렇게 사형 판결이 나고. 더 잔인 하게 살해 한 고유정 같이 돈 있는 집안이면 10년 이내의 판결이 나오고 이게 우리나라의 쓰 ㄹ기 같은 판사들이나 사법부의 현실~,0
tonychoi2152,"사형이 최고 형인가?사형 말고 하는건 없나,,인간이 아니네,,",0
user-cq9gq4or7e,사형이 안 이루어지니 범죄가 안줄고 똑같은 범죄가 더 늘고 진화하는거다,0
melrerdg5rjt74mrurmti6,하루빨리 집행해서 지옥보내자,0
user-wy2yt7xi1f,형벌이 내려졌다고는해도 이 나라에서 절대 일어날 수 없는 일이 사형이고 범죄자 입장에선 어차피 이렇게 된 거 일도 안하고 교도소내에서 먹고 자고 싸기만 하겠다고 선언한거나 다름 없는데도 세금타령이나하고 자빠졌네?차라리 인도랑 연계해서 그 나라로 보내버리면 사형이 아니라고 해도 인정해주마 무슨 법이 이 따구냐,0
sung7664,저 사건...유튜브에서 수원 주차장 살인 사건으로 유명하다...동업자 죽이고 동업자가 살아 있는 척 가족들한테 문자 보내고 아무렇지 않게 살면서...사업이 번창하자...남은 동업자 마저 없애버리고 싶어서 죽이고...본인이 죽인 동업자가 남은 동업자 죽였다고 거짓말하고 가족 쫒아가서 괴롭히고 협박하고...저거...사람 아니다...악귀다...,0
seokhun22lee28,사형 집행시켜라. 교화가 불가능한데 애쎄 먹이고 그럴 필요는 없지 않는가.,0
erwinkim7125,"김영삼정권이후 사형은 유명무실 범죄자를 양성하는 우리나라 형법,, 개혁이 필요한데 밥그릇싸움이나 하고있으니 안타까울 따름이다",4
ouija8461,사형선고 해도 집행은 절대 안한다 두고봐라,0
user-oo5vr1ou5e,이게 얼마만인 사형선고인가요? 대법원이 2015년 8월27일 장재진에게 1.2심 그대로 유지하고 사형이 확정 되었습니다 그리고 2022년 6월23일 권재찬이 연쇄살인으로 1심에서 사형선고가 되었네요 불과 6년10개 월입니다 하지만 1심이라는게 아쉽네요,0
user-dg6nn2kf8r,성범죄자들도 사형시키길,0
tomtom-ht3ns,사형제도 풀어라 !,0
