작성자,내용,추천수
user-mi7xe6rl8x,이래서 고의적 계획적인 살인자들은 사형을 구형집행 해야한다 15년 20년후 나와서 또 살인,19
kimminseok11,아니면 사형선고 받은 죄수들을 사형시킬수 있는 집행인을 피해자 가족에게 우선권을 줘라! 이런 법은 꼭 생겨나야 한다.,1
user-gf8ov6gq5m,인간이길 포기하는 자들 제발 인권 이러지말고 사형시키자,1
miyu4082,"무기징역 받았던 사람, 판사는 왜 풀어줬을까? 멍청하고 사람볼 줄도 모르는 판사였네.,ㅠ",0
user-rc6ol2yg8k,여튼 울나라 판사님들 생각은 알수가 없어~,0
Applepie-lf4og,변호인 미친거아닌가 사람한테 물건을 뺏고 죽이는거랑 죽이고 뻇는건 다르다고하는게 미친소리아닌가?,1
user-jh1uz9cm4f,저건 15년 때린 판사가 연쇄살인범을 키우고 시킨거나 같은거네 판사 ㅈ잡고 반성해라,4
user-xy9nx7hg8d,몇명죽여도 실형이 몇년안되니까 또살인을저지른거네 판사놈들이 살인자를 만드네,1
user-cf4hi1xs7n,저런사람은 도박빚있다고 갚지 않는다 그돈으로 도박하지,3
user-ks9xn8zr7d,집행보류 사형이 젤 편하게 지낸다는데요? 그럴바에야 감형없는 무기징역 빨리 만듭시다.,0
ysk980,죄에 기본적으로 태형으로 시작하자 인간은 말로해선 안될때가 너무 많다 살인같은 심각한 죄로 많은 매타작을 받게되면 차라리 죽여달란말이 그냥 나올껄?,0
user-xl5np3cj4z,저런색히를 변호해주는 변호사도있네.......아휴....,3
user-sr5to5qy3f,살인이 하늘에서는 최고큰 죄 인데 살인자체만으로도 죄가 큰데 강도이면 어떻고 아니면 어때서 따지나?,1
danielk7224,살인이 강도보다 더 나쁜거다 일반 살인도 사형 사람 죽였으면 무조건 사형이지,0
user-fn6ti5ol3l,감형한 판새 이름 좀 알려줘. 제발,0
user-xy9nx7hg8d,죄값을덜받으려고 국선변호사가 말해줬겠지 강도까지가면 형이늘어나니까 형을줄이려고,0
antonioyoung4630,"도둑이 무기를 들면 물건을 뒤지고 살인 후 볼펜하나라도 가져가면 주거침입 ,특수절도,감금,재물손괴 ,강도살인이다 ,폭행하고 찌르고 사망했다면 가장 무거운 죄를 적용한다 무기를 휴대했거나 사전에 시나리오를 준비했다면 계획에의한 범죄로 추정한다 승용차로 납치하면 감금죄, 협박죄, 어디가 다치거나 옷이 찟어지면 상해죄가 추가된다 말하자면 납치 자체가 납치 감금 ,협박,상해죄는 거의 자동이다 강간은 무조건 강간치상이다 제압에의해 피해자에게 동의를 얻는 것은 합의에 의한 것으로 볼 수 없다 자신의 의견이 억압당한 상태나 이성적판단을 할 수 없는 어린아이나 사회적 신호의 감지나 공감능력 등 , 인지능력이 낮은 경우에는 진술의 판단오류가 상당해, 신빙성이 없어 증거로 확정하거나 경찰이 예단 해서는 안된다 신고받고 츨동한 경찰은 가폭피해 가해자가 있는데서 아동에게 상처가 생긴 이유를 물어보고 넘어져 다쳤다고 말을 듣고 돌아가서는 안된다 반드시 아동심리 전문가와 동행하고 부모와 자녀의 행동을 관찰하게 해야한다 부모의 진술이나 아이의 말은 참고일 뿐이다 검찰의 입증된 공소사실에 , 사형을 구인했는데, 판사는 사형집행이 이루어 지지 않는다해서 무기징역형을 주지는 말자 형법 41조인 사헝제도는 없어진 게 아니며 범죄자들이 언제라도 집행될 수 있다는 것을 인지 시켜 줘야한다 사형 집행이 없다고 무기형을 주는 것은 판사의 판단오류다 우리나라는 완전한 사형폐지국가는 아니므로 사형선고를 받은 사형수는 언제라도 사형이 집행될 수 있다. 이렇게 한다면 감옥에서도 사형수는 조그만 소리나 징후에도 잠을 잘 수 없다 무기수는 제집처럼 건강까지 돌봐주니 잘 먹고 잘산다 사형의 죄질에는 사형밖에 없다",4
user-wg6se7bq4r,두명죽였음 사형 무기지 우리나라 대단해,5
hfcnib2024,이쉑키야 자랑이다!!!,1
user-tk7vt5ej4c,면상이 노가다형인데 일못해서쫒겨날듯,0
hyunwoojj5845,연속 살인,1
user-gg5yf6po3z,이런 법 이제 강화시켜서 살인범.강간.추행자 최소 무기징역 으로 철저하게 강화 시키고. 사형 제도도 이제 도입시켜 야 된다고 봄.,0
dddd1004,윤선열 대통령님 사형제도부활해주시고 즉각 시행하여주세요,3
user-ux7tb4kh8y,승씨 말,0
kimberlyjoung6201,드디어 뉴스타파에 김만배 녹취록 뜸. 대장동 몸통은 윤석열,5
user-gw8vk7qr5d,ㄱㅊ ㅎ ㅎ ㅎ,0
