작성자,내용,추천수
seongha1220,감형한 법이 문제네요. 본인 돈으로 감옥에서 생활하게끔하고 돈없으면 노역해서 숙식해결하게끔 합시다. 그거마저 안되면 굶어죽어야지..,11
user-xs9kf5jl3v,판사도 고발해야......,8
user-pv4zt9pb3i,돈때문에 사람죽이다니 ㅉㅉㅉ 영구적으로 격리해야할 인간 말종이네요.,3
jinyeongheo8861,범죄자 신상공개가 결정되었는데도 보정없는 현재 사진이 아니라 언제 찍었는지 모르는데다 보정 잔뜩 해서 등록한 사진을 보여주는 게 어이없다. 거기에 포토라인에서 마스크도 강제로 벗겨서 보여줄 수 없는 범죄자 친화적인 신상공개 제도.,5
user-rp8wy1pj3u,법과판사가 악마들을 키워서 자기네밥줄 영원히 보장받을려고 솜방망이질한다 살인에는 무조건똑같이 사형을집행해야 줄어들것같다,2
user-ub1gt5dv9d,무기징역에서 15년으로 감형은 머냐 살인자한테 그결과가 결국 두사람을 더 죽이는거 자나,12
user-nz4iv4pm9j,사람은 안바뀐다...,3
user-bt4yl5ue4d,살인에 시신유기 공범살해까지 정말 사람인지 의심이 되네 심지어 이전에도 수많은 범죄를 저질렀는데 무기징역이 아니라니 이런사람을 고쳐쓸수가 있다고 판단한건가,0
user-vg8ko6zx1v,저런것들 사형안시키고 자꾸풀어주니깐 죄없는 선량한 시민들만죽어나가지 ㅉㅉㅉ,0
u-stap8563,교도소 가도 또 다른 재소자한테 구타당해 맞아 죽을수도.. 앞으로 나올생각 말고 평생 교도소 독방에서 평생 혼자 살다 가라..,0
gkgkfkgmgg,15년…ㅋㅋㅋㅋㅋㅋ 어이가 없네,4
SuperWonder,대한민국 엄벌주의 못믿는다.,2
user-kn7be2hw8u,좋은사람입니다,0
offblackcafe,살인자들 관상은 얼굴보면 딱 나옴,1
u-stap8563,대한민국이 모처럼. 칭찬받아 마땅한 올바른 일을 한번 하는구나... 하나 더 바램은 성범죄자도 추가 해줬으면 좋겠음... (결국 성범죄자가 나중에 살인자 됨),0
stupidfat1601,서로에 잘못된섹슈얼을 공감하지 못한비극or희극?,0
user-gq9ey5nu7v,관상가들 빨리 모이세요,0
sanglee7877,미국은 잡자마자 머그샷 공개하는데 우리는 옛날 사진 딸랑 하나 보여주네,0
user-cu4pp2fm7i,ㅋㅋㅋㅋㅋ권 읍,0
user-ji5fg7xi9y,인천에다가 한남 ㄷㄷ,0
