작성자,내용,추천수
user-yt7uh4li3b,판결내린 판사에게 책임을 물어야 한다,44
user-ct2yx3ep6m,피디님의 분개하는 모습에서 동질감을 가집니다 시스템도 그렇지만 판사들의 이기적이고 안일한 자세가 문제라고 생각합니다,44
jinachoiuhm,권재찬 15년 때린 판사 이름 알려주세요.. 정말 화가 납니다. 대한민국 판사님들.. 정말로 대다수의 분들이 성실히 본인의 일을 하고 계시겠지만.. 도대체 이런 말도 안되는 판결의 주인공 판사들.. 도대체 어떤 머리구조인지.. 판사 제대로 된 판사들 맞는지.. 너무너무 화가 납니다....ㅠㅠㅠ,31
user-ge3wf1zm9t,"날씨가 춥습니다.몸 관리 잘하세요.김교수님, 고아림 아나운서, 정PD님,박PD님~겨울 주위에 몸 보호하세요.오늘 사건 영상도 진지하게 시청하겠습니다.",39
user-lu7hd7sj1v,권재찬이란 악마를 사회에 자꾸 내보내고 감형 해주고 그 책임은 누가 지나요..열불나서 못듣겠어요 사법부가 범죄자를 더 만드는거 같아요,31
dokdo_,판결을 내린 그 판사한테도 책임을 물어야함... 범죄자들에게 인심이 후한 판사님들....,53
user-nq5my1xy3b,"시건방진 ""교도소""를 ""형무소""로 바꿔야 한다니까! 사람은 바뀌지 않는다.",10
user-rz8wm3gd8t,김복준교수님 차기 법무부장관으로 나서야됩니다 저런분이 안되시면 누가 합니까? 팬으로써가 아닌 이나라의 법에대해 너무 속상한 사람으로써 바라는 일입니다 그리고 판사님들 저놈을 보낸사람이 재판간 당신인데 만약 가족을 건드렸다면 그심정 헤아려 보셨습니까? 제발 잘좀 하십시요!!,33
user-ge3wf1zm9t,"소중하신 홍유진 박사님께서, 신체의 어느 부분에 골절상을 입으셨다는 말씀을 들었습니다. 많이 놀라셨겠습니다. 하루 속히 완치되어서, 방송에 나오시기를 진심으로 간절히 기도드립니다.빨리 완치되시길 빕니다~화이팅^♡^",27
user-vz8pt2zr1y,"저런 시한폭탄을 몇번이나 내보내고 심지어 감형이라니..참.. 무언가 사건이 터지거나 잘못되면 늘 경찰만 욕하고 언론에서도, 댓글에서도 견찰이니 뭐니 욕하는거 볼 때마다 마음이 안좋고 화가 납니다. 교수님 말씀대로 경찰분들은 사명감과 정의감으로 솔직히 많지도 않은 돈 받고 위험한일 힘든일 하시는데.. 일부의 그렇지 못한 경찰들 때문에 싸잡아서 욕하는거 정말 마음 아파요. 묵묵히 자기 자리에서 열심히 하시는 분들이 훨씬 많을텐데 늘 욕받이는 경찰.. 이번에도 경찰분들 탓하기 전에 사법부나 근본적인 문제부터 좀 짚고 넘어갔으면 좋겠네요ㅠㅠ 영상이 많이 도움 될듯합니다. 늘 좋은 영상 감사합니다!",46
handsomeguy01,고아림 아나운서는 여전히 아름다우시네요 참 안타가운 사연이네요 살인을 저질놓고 참 당당한 사람이네요 폭행치사 에휴 삼가 고인의 명복을 빕니다 대한민국 법이 더 강해져서 범죄률이 낮아 졌으면 하는 바램이 크네요 에휴 사건의뢰 항상 잘 보고 있습니다 오늘도 김교수님 사이다 발언 멋지네요 구독과 좋아요 알람설정 ^&^,7
user-pl9hw5ns8c,교수님 라스에서 입담 폭발!ㅋㅋㅋ그래서 여러 방송프로에서 러브콜이 오나봐요 흥하세요!! 복준형님 형사시절 얘기듣고 찡하고 안쓰럽기도하고 그랬어요 형사시절 얘기도 마니마니 해주세요 ㅎㅎ,17
mytube2893,범죄자에게 인권천국인 나라.. 실무에서 요청하는 법안 좀 만들어주세요 의원님들~ 보통시민의 안전이 중합니까? 범죄자 인권이 중요합니까?,23
hyangmeechung2034,우리나라 판사들! 사건의뢰 프로 보고 김복준 교수님께 좀 배우도록하시오! 판사들 죄다 갈아치웠으면...교수님같은분만 있으면 범죄자 없는 안전한 나라가될것같습니다.교수님! 정말 멋지시고 존경합니다~~~,11
user-yt7uh4li3b,말도 안되 3년리라니 진짜 욕나오네 야~판사놈들아 니들도 피해자에게 가해하는 거냐,17
user-yk8ro5tj5c,"김복준 교수님 말씀 머리에 쏙쏙 들어옵니다 보다 인간적이고 정감이 갑니다"".....",18
jasminelopez5342,Thank you for brightening my day with yet another great content. Grateful for you all. ️,13
user-yn2bh3kb4w,그렇니깐 저런놈들이 김형받고 나와서 또디시 범죄을 저지르면 감형해준 판사한테 짹임을 물어야 한다니까요 저런놈을 감형을 해줬으니 판사가 책임을져야죠,34
user-sx2mn7cb6c,김복준교수님은 물론이고 박티디님 인성이 돋보여요 굉장히 정의로운 분. 같아요,18
user-ot2hb6jl8k,이런사건은 판결을내린 판사에게 보상내지는 책임을물어야됨,15
user-ef3ng2dc3s,교수님의 아침편지에 따뜻해지기도 생각이 깊어지기도 하는 매일입니다. 사랑합니다.♡♡♡,3
user-yo3xz5sz3n,"정말 우리나라는 교수님 말씀""인권천국"" 이란말이 정말 와닿네요.....",10
user-tn4vh6fe6z,"우리나라 사법부는 너무 관대하십니다. 살인을 해도, 무슨 짓을 해도, 사회에 나와서 또 살인을 해도. 기득권을 놓고 싶지 않아, 입법도 안하고, 사법부도 마찬가지...",42
user-og1yy6rm2o,예..인권 천국이니까요..역시 복준오빠!,14
user-cv7uh2xl7p,아니 어떡해 남인데도 이렇게 열이 받네요 남자가 때리니까 도망 나갔다가 그러게 떨어져서 죽었는데 어떻게 3년밖에 안 나와요 정말 너무하네요 판사님 죽은 사람만 억울하네요 ㅠ,36
user-hv1ei4kd9i,오아.. 박피디님 나오셨다아~~^^ 참.. 열불터지는 사건들.. 어휴.. 잘 시청했습니다~!!!,12
user-dw7yy4bf6c,도대체 판사님은왜 정신을 못차릴까요 살인자을감사는것도 어느정도지,8
christinet2341,"진짜 답답하다 검사,판사들. 무능력한거야, 너무 자비로운거야? 범죄 또 저지르라고 15년 때린거 맞지? 저사람은 범죄율 백퍼센트잖아...",8
user-bg6nz8fy2o,항상 아끼고아껴서 전편을 또 다 시청했습니다 말씀을 듣고있으면 제속이 뻥 뚤림니다 전 어쩌나요 또아껴야겠습니다,1
user-pl7yl4ft4m,도대체 이땅의 판사 나으리들 대가리속에는 무슨 생각이 들어있는걸까요? 혹시 판사 임용조건이 자기 집안에 전과자가 필히1명이상 존재해야 한다는게 있는게 아닐런지요,7
user-vw8vi8nl2l,김교수님은 더욱 젊어보이시구 박피디님은 진지한 모습보기좋고 고아림 아나운서는 더욱 이뻐보입니다 유트브로 보지만 재미나게 시청하겠습니다 수고들 하십시요,6
eugene3040,염교수님 홍박사님 전문성도 좋지만 지금 멤버분들도 색다르고 분위기 넘 좋아보입니다. 확실히 해마다 영상퀄리티 발전이 눈에 보여서 저도 기분이 좋아지네요. 자 이제 박지선교수님 맞은편 자리에 앉히면~~ 박지선교수님 초청 9일차 기원합니다!!!,0
ccoccosong3284,진짜 우리 교수님 말씀 좀 들어 주세요 국회에서 불안해서 어떻게 살아요 ㅠㅠ 죄인들에게 선심은 그만 썻음 좋겟습니다 인권 위원회도 너무 화나요 인권은 그런 사람들이 받으라고 잇는거 아니잖아요,3
namkungsh,"그 자식이 감형된 이유는 범행 당시 자신은 망만 봤고 살인은 공범이 저질렀다고 주정하는바, 그 자식이 살인을 직접 행했다는 증거가 없다고 재판부에서 판단했기 때문입니다. 공범이 누구냐는 질문에는 물론 납득하기 어려운 답만 했지만",8
user-lm1ni4jn2c,"감옥이 좁으니..자꾸 내보내 드리는 것 같은 생각이 듭니다.. 피해자 분과 유가족분, 그리고 범죄자 잡으려고 애쓴 수많은 분들에게는 정말 몹쓸 허무와 상처가 아닌지요.",7
cumeng23,사건의뢰에 몰입한 이후 좋아진 점은 주변 관찰력이 좋아진 점입니다 월요 라이브때 새로 생긴 그림이 김복준 교수님이 아니라 박동민 피디님 이셨군요 안 좋아진 점은 고아림 아나운서님 뒷편 창가에 왜 박스 테이프가 있나 의심을 하게됨 왜 치우지 않았을까ㅋㅋㅋ,22
user-uv7lp2os1z,교수님 찐팬됬어요 건강하시게 오래사세요^^,2
user-cr7wz2pm6g,저런놈들을 형을 적게주니 나오자마자 또 살인을 하는데 왜 자꾸 형을적게줘서 선한사람들이 피해를 보게 하는지 사법부도 진짜 어이없다~~영구격리 해야할 짐승만도 못한것들을~~,2
user-gy8zc3hg1t,교수님 오늘도 멎지시고 방송잘보겠읍니다^^ 그런데 시간이 넘 짧아요 !!! 또 만수무강하세요^^♡♡♡,3
user-mh6ut6cj4i,인천이 무슨범죄도시도 아니고 참 씁쓸하네요 수고하세요,2
user-yp6qq8tx1d,"국회의원들이 제대로된 법을 만들지 못하고 있고, 제대로 된 형량을 내리지 못하는 검새들과 낮은 형량을 그대로 받아주고 반성한다고 감형해 주는 판사들 때문에 이런일이 반복된다.",1
witch_jjunga,"이러다 대한민국 대표 고발,사건,분석..종합뉴스 프로그램 되는거 아닐까요? 모든스텝분들,김복준교수님,염건령교수님,홍유진박사님이하 모든분들이 일당백 전천후 이시라.기대가 큽니다.사랑합니다♡",2
user-um4nx3if7y,형사님들 엄청 허무할듯 고생고생해서 잡았는데 존경하지도 않는 판사들이 감형해주고 참나 범죄자에게 인권은 개뿔 제발 사형좀 시켜라 쓰레기는 재활용이라도 되지 범죄자들은 재활용도 안된다,5
user-mi9jm7jo5r,가중처벌이 없어진거 좋지만 이런 강력사건은 가중처벌이 있어야된다구 생각합니다,0
user-dz7ml5kh8e,오늘도 다녀갑니다~ 추운날씨 감기조심 하세요 사건의뢰 화이팅 입니다^^,12
mercyno960,수고 많으십니다,6
dlzkfhtm1216,연말까지 40만 돌파합시다!!!,4
user-bp2kd9ce4x,법질서가 폭삭 무너지니 나라도 부서지네 흐물흐물 감형한 재판부가 꼭 책임지고 피해자 가족분들께 사죄 변상하시오 좃불을들자,4
user-zz4bc5zn6b,권재찬 사건.....정말로 마음이 아프네요ㅠㅠ!!,3
davidkim9251,이런 재범 살인범을 전 범죄에 감형해준 재판장 신상공개 해야죠,4
user-vp1kt9xs1d,"김복준 교수님 존경합니다, 사회에 빛과 소금에 역활을 하시는것 같아 정말 든든하고 희망을 갖어봅니다",0
user-hl8fk7tr7r,사람으로 태어난 형벌은 생각보다 무거워 잘 살아야 합니다. 서글프게 눈부신 삶으로......김 복준 교수님 아침편지 중에서. 잘못된 판결이 재범을 만들어 내는 것 같습니다. 우리는 잘 살아야 할 것 같습니다. 달콤한 삶이 주어졌다는 오만함 보다는 형벌중에 있다는 겸손한 마음으로~,3
