작성자,내용,추천수
darkred4975,억울한 누명도 아니고 대놓고 살인미수 저지른 놈을 왜 보호하는거냐... 어휴...,4.1천
soulmelodie,가해자 보호해주느라 너무 애쓰는 우리나라. 참 대단합니다. 수고 많으세요.,2.7천
user-sd1oz7qi3v,판사들도 국민들에게 평가받아야 한다. 못믿을 사람들이 너무 많다.,3천
Hwan66,사형제도 부활해라. 저런 놈들은 살 가치가 없다.,279
bichbyeol,피해자분 신변보호를 부탁합니다 절대 사회에 나와선 안 될 악마다 이땅에 영원히 절대 발붙이고 살 수 없게 해주세요 제발,1.4천
user-ti5ux9rk5z,정말 맘이 넘 아프다 판새는 이런피해자를 보고 어떻게 저런말도안되는 판결을 내린걸까 35년도 짧은데 겨우20년 아 진짜분통터진다,80
kbs-iw6wd,전과 18범에 얼마나 더 기회를주는지 판사는 진짜 무슨생각인지 답답하다,348
user-it8td3dx3i,저 피해자분은 인생이 창창한 젊은나이에 끔찍한 일을 당하고 남은 인생도 트라우마와 공포에떨며 살아도 산것같지 않은 고통속에서 살아야합니다... 제발 저피해자분이 맘편히 살수 있도록 국가에서 도와주세요...,325
user-ss4he7qf4j,최환 부장판사 판결 잘~~~~~보았습니다 반드시 당신도 그판결로 피해자를 더 고통받게한 죄값을 받을겁니다,1.5천
kyo3696,적반하장...누가누구한테 보복을하겠다는건지.. 이중고통을감수해야하는 피해자가 너무불쌍합니다. 전과18범이 20년뒤엔 또 세상에나와 몇명을 더희생시킬지 걱정입니다. 사형이나 감형없는 무기징역이 정답이라생각합니다. 판검사님들 자기가족이라생각하고 판결내려주세요...!!!,31
tstskim,최환 부장판사님 판결 잘~~~~~보았습니다 댁에는 꼭 평화가 가득하셔야 할텐데 아무쪼록 평화롭지 않길 기도하겠습니다,1.3천
love-dx1se,제발 피해자를 보호하는 법이 되길 바란다. 정상적인 법이 되길 바란다,15
user-di2ds2wl1r,살지 말 걸 그랬다니... 억장이 무너진다. 피해자가 할 말이 맞는지도 모르겠다. 이제는 지금 시대가 뭘 추구하는지도 모르겠고 뭐가 중요한지도 모르겠고 뭐가 뭔지도 모르겠고 혼란스럽고 비현실적이다.,1.2천
user-wc4vx9nq5m,판사들 얼굴 공개 정말 필요할듯해요. 미국 판사들 같으면 상상도 못하고 이해도 못하는 판결일겁니다.,852
user-qg2mb6kh7t,매년마다 판사 평가제를 도입해야 합니다. 국민을 대신해 법을 집행하는 집행관 입니다. 집행관역시 국민의 심판위에 서야 합니다.,655
PANAXAN,피해자 분께서 살 수 있는 나라가 됐으면 좋겠습니다. 제발.. 피해자분을 지켜주세요. 이번 사건을 본보기로 다른 피해자분들이 나오지 않았으면 좋겠습니다.,23
charliebrown4343,"진짜,눈물 흘리면서 ""(그때)살지 말 걸 그랬습니다""할 때, 제 가족일도 아닌데도, 화가 침울라 올르네요.. 심지어 복수까지한다고 말한 사람한테 20년 선고 ..;;",421
user-hk4kw4sj6c,신상공개를 하든 피해자를 보호하든 제발 ㅠ진짜 살기가 무서워진다 ㅠ,14
