작성자,내용,추천수
jinnycho96,저런식으로 변명한다는건 오히려 반성하지 않는다는 반증...더 엄중하게 처벌해야합니다...판사님 제발 정의가 살아있다는 걸 보여주세요!!!,473
user-zz4np4xk9l,영상볼때마다 피해자분 고통이 얼마나 크셨을까 마음이 아파요. 부디 빨리 회복하시길요.,392
sjy-pj04zt,아니 뒤로 떨어지는 가방 까지 챙기는 놈이 기억 안난다고? 저걸 믿는다면 판사 능력 없는거지. 무기징역 때려라.,434
user-ib3md1ld6r,장난치냐?? 술이 기억이 안날정도면 걷기도 힘든데 피해자를 들고도 균형을 잘잡네??저건 그냥 무기 때려라 반성이 1도 없네,244
alexj55,18범+ 되도록 솜방망이 처벌에 거리에 풀어 준 판사들. 1심에서 6년이나 감형해 준 판사. 어딜봐서 반성하고 있다고 생각했을까요? 이쯤 되면 판사들 지능도 의심스럽습니다. 이번 사건으로 좀 깨달은게 없으신가요? 이번엔 제대로 된 판결 내리길 바랍니다.,79
user-pt4tl2hb8j,판사님들 갱생 가능 어쩌고 하면서 판결 이후의 가해자의 삶을 걱정하던데 당신들이 걱정해주고 염두해야할건 사건이후 판결이후 피해자들의 삶입니다... 18범 당신들이 제대로된 판결을 해왔다면 저 18범속의 많은 피해자들은 안생겼을겁니다...,26
power-89,이런 애들 살려두는 이유가 뭘까 그냥 비료로 만드는게 지구에 이로운 행동 아닐까,320
326Bit,사형을 선고 하지 않는 판사들은 본인들의 잘못된 판단으로 거리를 활보하는 범죄자들에게 살해 당하길 빌겠습니다.,257
user-rz5zk1kd1t,판사님이 꼭 똑같은일을 당하길 기원합니다 가만히 길을 걷다가 예기치 못하게 돌려차기를 당하시고 말로 담을수 없는 상처를 받으시길 바랍니다 꼭이요 매일 기도합니다,24
user-sy7gs7wz3c,헐 짜증난다. 인간이길 거부한 거짓말들이.. 더 들어줄 필요도 없다. 그냥 신상공개하시오,285
junms.5964,초동수사가 이래서 중요한건데...,208
user-yj5kj8pp9b,꼭 최대한 고통스러운 최후를 맞이했음 좋겠다,19
user-nn2pw7oj6r,애초에 반성할 수 있는 인간이면 저런 짓을 쉽게 할수가 없지... 예전에 출소한 아동성범죄자 인터뷰가 생각나네. 걔들(피해자가족) 꼴도 보기 싫다면서. 걔때문에 자기 인생이 망했다며 적반하장하던 모습 잊을수가 없다,158
user-vr6qm8rk1p,이나라 법이 진정 가치있게 발휘되길 판사님 간곡히 부탁드립니다..,14
user-oh2wd7bb5w,정말 이 뉴스 볼때마다 분노가 치밀어오르는... 어떻게 저렇게 뻔뻔하고 악할수있는가 말이다,89
user-bd9eb6wo9r,강력 범죄자들의 인권을 한없이 보호하고 옹호해주며 선량한 국민들의 인권을 개무시하는 판새들과 국개의원들이 국민세금으로 호의호식 하는 우리나라 좋은나라~~,34
sosohazi,판사의 딸이 당하는 경우가 생겨야 바뀌려나 언제나 피의자 챙기는 솜방망이 판결이 전과 19범을 낳게한것이다. 이게 결국 판사들의 국민 정서와 다른 솜망망이 처벌로 괴물들을 키운것. 범죄자가 재범을 하면 이전 판결을 내린 판사에게도 패널티를 줘야한다,3
goingstreet123,기억이 안날정도로 술을 마신 사람이 저점도 높이의 돌려차기를 한번에 한다구? 말이 되는 소릴해라 진짜.,110
user-zu5dh4ub8x,조사하는 형사님이 참 젠틀하시네. 이런부분은 박정희 전두환때가 그립네요. 피가 거꾸로 솟는 기분입니다.,76
user-kf2yw2gw7q,이해 할 수 없는게 전과 18범인데 멀쩡하게 경호업체에서 일을 했고 얼굴 공개도 안하고 발찌도 안차고 있다는게 진짜 소름이다. 강도 폭행 성매매 강력 범죄들인데!!!,77
user-rf7oh9en5h,재판부들은 피해자에게 사죄하세요,5
user-ut4zp7xe7t,신상공개하길 잘했다는 생각이 점점 더 확신이 드네요,17
user-ut6ju2ud9o,입만 열면 거짓말이 자동으로 나오네.,180
user-rq3vu8mp8b,사회로부터 영원한 격리가 답! 교화 가능성 제로,23
user-sw7xc7gs7i,저놈은 인간이라 할수없다 신상공개하고 종신형으로 노역장서 일하게해서 피해자분께 보상하도록 해야합니다 법무부 장관 보고있습니까 사람은 고쳐지지 않습니다 절대 고칠수도 없습니다,66
noobrainbow8718,"협박한 검찰님께만 감사하게 됩니다, 아 사법부 제대로 좀 합시다!!!",5
savvy1448,전과 18범이라지? 저런걸 사회에 또 내보내면 판사도 조져야한다. 범죄를 저질러도 별꺼 없다는걸 18범되는동안 충분히 학습했겠지 저ㅅㄲ 절대 내보내지마라,35
user-mx4fu7jx8r,문제는 같은 부산 출신에 구치소 동기였던 태웅이의 말에 의하면 이현우가 도중에 탈옥한다는 얘기를 했었죠. 근데 탈옥하면 그때는 태웅이가 먼저 현우를 족친다고 했었으니 차라리 태웅이를 믿는게 나을거같네요. (물론 엄태웅도 사기 이외의 각종 문제로 전과기록이 있는 사람이지만),5
user-jangyuJiujitsu,변명의 기회는 진짜 있내 진술할때가 좋은거내,35
bellaapril6015,가해자 신상공개 해야한다,108
manchester865,피해자 말보다 가해자 듣고 감형 하는 대한민국 판사 사법부,2
leechunghyun1705,18범이면 쫌 사형좀 시켜라,62
jongheeda,20범 이하 일반이 캬.. 개쩐다 한국 사법,9
kanon_saga,만취하신 양반이 돌려차기가 깔끔하게 잘만 들어가네요 ㅡㅡ,2
