작성자,내용,추천수
user-ls7tf1zy4x,대법원의 현명한 판결로 앞으로 일어날지 모를 범죄에 대한 예방과 반성의 의지가 없고 보복가능성 있는 범죄자에게 경고의 메시지를 각인시켜줬으면 좋겠습니다,105
user-lc8ez6cm2m,대법원 판사님들 정중히 부탁합니다. 이 물건은 반성이 전혀 안되어 있어요 보복 예고하고 자기는 죄질에비해 형량이 쎄다고 하고 정신과 로 전향할 가능성도 있어요 .이런놈 진짜 죽어도 못나오는 150년 구형해 주세요 본보기로 남도록 이런 인간 다시는 나오지 않도록 부탁 합니다,61
user-rt1xt6qm8u,대법원 판사야 부산 돌차범 징역 120년 때려라,178
user-pd4nw5rz2k,제발 가석방없는 무기징역,124
user-zc6ie7vq8s,죄질이 아주나쁜 그래도 반성없이 항소하는 저 뻔뻔한 행동 국민들이 보고있으니 부디 중형으로 참교육 해야,38
vv-cn2vh,친애하는 판사님께 부디 피해자가 용서를 못하는데 법이 무슨 자격으로 용서 해줍니까~?!! 그러니 무기징역을 선고 해주시길 바랍니다,3
user-kk5wu6gp8g,억울하다는 사람에게 대법원의 응징이 필요함.,6
KKKK-mk5it,대법원에서 정의구현해주시길,57
kyongsookim9136,국민청원으로 어떻게든 형량 더 늘려줘야겠네~,24
user-eq3zw9fx3r,너무 너무 무섭습니다 저런범죄자가 밖에나와 활개를 치고다니는 모습을 생각하면.. 법이 약하면 약할수록 피해자의 범위가 판.검새 핏줄까지도 피해갈수는 없을겁니다 제발 사형시켜주세요,3
xcv5101,최고형으로 격리가 필요.,25
user-vd3tb2ft1r,"(대법원에 가더라도 2심의 ""징역 20년""보다 올라가는 건 불가능하다는 게 법조계 설명입니다) ㅡ 갑자기 힘이 쭈~욱 빠지네. 2심 재판부의 잘못된 판단으로 어떤 결과를 초래할지..",2
moveon2,저 범죄자가 저지른 죄의 심각한 무게만큼 책임지지않았고 이제 전과19범이다. 너무 악랄하기에 무기징역하는것이 국민안전과 피해자보호를 위해 사법부가 할일이다.,9
user-qq9ld1ny1t,그냥 20년 확정하고 20년동안 모든방송사 공개적으로 돌려차기로 하루 20대씩 3번씩 맞는장면을 생중계로 ....,12
YDSnim,누가 돌려차기하래 그짓 안했으면 징역 살일도 없잖아 자업자득이지,38
user-om9qr7fw6n,그냥 대법원가서 퐌검들 돌려차기 들어가야 무기징 나옵니다,4
sbchae8725,파기환송해버리고 다시 1심 2심으로 돌려보내 이빠이 때려주는건 불가능한가요?,0
user-li5jq8cx7g,사형이답인데 최소무기징역이라도해야지,36
user-cw8ru2jl7g,대법원 항고는 가해자의 이익을 위해서만 상고할 수가 있습니다. 피해자와 검찰은 형사소송법 제383조 대법원 판례로 양형부당 상고를 할 수가 없습니다. 피해자에게 100% 불리한 판결입니다.,2
Batman-tl2pu,피해자는 더 억울해 한다 감형이 너무 작아서 ..더 쎈 벌을 받기를 원하는데 억울하다,29
olihin,"마지막 아웃트로 ""여러분의 하루를 더욱 풍성하게 만들어드립니다.""라고 하지만 요즘 뉴스보면 풍성해질 것 같지 않던데..",1
buja3935,살인이다 봐도 또 봐도 감형은 없을듯,4
SeeYoungKim,손해 볼께 없으니 본인 경험에 비추어 볼때 또 상고하는 기간이 다 형에서 빠지니 본보기좀 보여 줘라 상고해서 형량이 더 늘어 날수 있다는 본복 좀 제발 판사들아 ...,9
user-qv2ds6gh8x,서면 영도는 과학이야,0
user-js5cn6wr2n,판사들이 자선 사업가인 줄로 착각하는 아주 이상한 이 나라 사법부 개혁 대상입니다. 판사들에게서 양형권 박탈해야 합니다.,26
hcd8100,"롬3:23 이는 모든 사람이 죄를 지었으므로 하나님의 영광에 이르지 못하다가. 롬6:23 죄의 삯은 사망이요. 죄사함을 받지 못하면 불타는 지옥으로 떨어집니다. 주 예수 그리스도가 십자가에서 죽고 3일후에 부활하신 하나님 인것을 마음을 다해서 믿으실때 모든 죄가 사라집니다. 딤전3:16 경건의 신비는 논쟁의 여지없이 위대하도다. 하나님께서는 육신으로 나타나셨고 롬10:9-10 네가 네 입으로 주 예수를 시인하고 또 하나님께서 그를 죽은 자들로부터 살리신 것을 네 마음에 믿으면 구원을 받으리라. 이는 사람이 마음으로 믿어 의에 이르고 입으로 고백하여 구원에 이르기 때문이라 엡2:8-9 너희가 믿음으로 말미암아 은혜로 구원을 받았으니 이것은 너희에게서 난 것이 아니요, 하나님의 선물이라. 행위에서 난 것이 아니니 아무도 자랑하지 못하게 하려 하심이라.",0
esyu8882,제발 영원히 격리시켜주세요,7
