작성자,내용,추천수
user-gl5vf3dz2m,나로호에 협소한 자리 마련해서 지구 밖으로 보내는게 좋을듯요,26
user-xq7gh9ti7g,고경보 폼 미쳤다,7
user-fi9gt8wc3e,그냥 사형시켜라! 뭐 그냥 인간이 아니다.,44
user-rd5jk8yu4y,나오면 생매장 시켜야겠네~!!,10
user-mi4kx7ry7b,전과18범..무슨 갱생의 여지가있다고 20년동안 먹여주고 재워줘 세금아깝게 ㅉㅉ...사형시키자,22
user-hy1gs4tz9l,저자는 사형이답이다. 그나저나20년은 진짜..답없다.,34
user-gm3es7em9m,사형시켜라 저런인간을 왜 밥주며 키우냐,6
user-fu4tb2yv3h,사형 부활 시켜주세요,31
brendonpak4486,저리 일만에 반성 하나없는넘을 20년이라.. 뭐가 잘못되도 한참 잘못된것같다..,16
gonijiri5263,"산소, 세금 아깝다. 그냥 사형제도 부활시켜서 실제 사형을 집행해라. 인간이길 포기한 자들에게 왜 인권 타령인가.",7
user-ui5dj9bn6y,다 죽이고 산속에 숨으면 못찾야요 못나오게 사형을 때려주세요 무서워서 자꾸 뒤를 돌아보며 걸어야하니 불편해요 저자는 지 인생을 막 살기로 한 자에요,13
user-tg4ry9pn1x,"물리적 거세를 해야 할 듯, 거세 당하면 더 이상 남성 다운 기운은 어렵기 때문에 다시는 돌려차기 같은 힘은 쓸 수 없을 것이다! 그리고 저런 케이스는 80세 이상 다 늙엇을때 내보내야 한다! 그래야 또 다른 피해자가 없을 것이다!",8
user-bv7cp9tr6l,저런 마인드 가진사람이 또 누구한테 범죄 저지를줄 알고... 43세돼서 나오면 잃을것도 없는데 또 누구하나 사고당해야 정신차리지 이렇게 오해의 소지도 없는 명백한 강력 범죄는 무기징역이나 사형까지 가는게 맞지 짐승보다 못한데,3
user-sk3or4tx1m,독방 30일이 아니라 평생 독방에서 썩게 만들어놓지...보복하겠다는데...에휴...아직도 정신 못 차렸나보구나?,13
user-zj7wv3jt4g,진짜...이러면 안되지만 판사들 가족들도 똑같은 일 당해봐야한다...그래야 교화같은 개소리를 집어치우지,2
user-qz9lv8wb7r,그냥 사형시킵시다 뭔 교화가 된다고 저러고있음,7
user-un2tb6rn2z,영원히 사회와 격리 시켜라 !! 무기징역 !!!,4
five99480,독방에 제발 물안내려가는 변소도 잠자리옆에 꼭 만들어주세요,2
user-xy2cg4ig9g,"피해자분은 항상 노심초사 하시겠다.. 해외 나가서 사는것도 괜찮을듯 하네요. 하.. 왜 피해자가 고통 받아야하나? 가해자는 그냥 무기징역 주고, 못나오게해라.",0
ordinary396,아무리 생각해도 이해가 안가는게 피해자랑 일면식도 없는데 피해자한테 보복하겠다고 난리치는 이유가 뭐예요????,4
ongijp8896,내가 피해자면 진짜 불안해서 못살듯 대체 이게 맞냐,5
user-qp7yp2jw3g,쪽팔리게 왜저러고살까 양아치 같이 창피하네,3
kliy4895,애초에 이사 간 피해자 집 주소가 어쩌다 퍼진거냐 대체...,1
user-gd6lg6je1r,12년 밥값 졸라 아깝다. 인간이나 죄를 뉘우치고 새 삶을 사는거지. 저게 사람이냐? ㅋㅋㅋ 인권 따지는 놈들이랑 살게하던가.,3
user-xy2cg4ig9g,"판사님 당신 딸이 똑같은일 당해도 그렇게 판결 하겠어요? 갱생될 여지가 있다고 보여지나요? 전과18범이 저런 사고를 쳤는데? 그냥 교화는 포기하고 사회에 내보내지를 마세요. 밥주면 운동해서 몸이나 만들던데, 밥도 그냥 3일에 한번씩만 주세요.",3
user-kn7go5zs1y,저 무거운 형벌이 범죄자들한테 당연하게 적용돼야하는데 티비도 보고 밥도 잘 먹고 ㅋㅋ 이게 호텔이지 뭐냐 ?,3
sevenman1044,증거가 다 있는데도 이렇게 시간이 오래 걸린 재판도 어이없고 형량도 어이가 없다… 경제도 개판인 개한민국이 법까지 나약하면 국민들은 걍 죽으라는거랑 똑같다…장담하지만 대한민국 10년 못버팀니다…,2
user-eh8si5dv6x,"나와서 연쇄 살인범되겠네 그 중 판사 마누라, 딸 꼭 포함 되길 빈다.",4
user-fd2ft4wh1g,영구히격리하라,3
user-fj4tm9sx1s,출소하면 누군가 또 희생될듯 사형이답이다,1
yunho123321,형량깍은 판사님아 검사가 구형한것 그대로 35년해야지 그걸 절반가량 깍아주냐? 전과 18범 이다 초범도 아니고,6
Duckbangbang,가장 멀리떨어진 교정시설로 이동하고 영원히 못나오게 해야죠 ~,1
user-ml8pt1ft3f,저러니 ...피해자가 무서워하지 나와서 자기죽일까봐,3
minquotes,윤리적 문제로 못했던 인체 임상실험 재료로 썼으면 좋겠다,1
user-xx6or4ws2l,그냥 사형 시키세요,4
user-uj1xg8fo6z,피해여성분만 심리적 불안감 커지겠어요,2
kyoulee224,정작 무기징역감에겐 관대하고 머 사실적시? 이따위거는 세게 때리고 개판이네,0
user-qb4js1vr5n,일부러 다치면 걍 냅둬라 죽게 ㅋㅋ,3
user-fx2gv4fp4b,인간이 아니네 . 개 사육장에 가두세요.,7
user-gy2bc7ht6r,이송만 하면 머하는데 사형시키는게 답이지 멍청한 법조인들아,1
user-vc6er4nm3l,ㅋㅋㅋ 대단하다 대한민국이 이슈화되서 강력처벌받은건 나도 쫌 별로라 생각하는데 저렇게 스스로 이슈를 만드는데 솜방망이 뭐냐.. 그냥 계속 썩게만들어 스스로 갈수있게끔 ㅋㅋㅋ,2
user-dq5od5be1n,그냥 평생 감형 없는 무기징역 시켜 그럼 알아서 자살하겟지,1
namunelboda,이쯤되면 그냥 국가에서 피해자를 안락사 시켜줘라 가해자 처벌 의지따윈 없는거 같은데 그게 오히려 피해자가 덜 무서워 하겠네 미친세상,1
user-eh9up2xi5f,이제는 대놓코 보복한다는대도 버젖이 내버려두는 세상,2
user-xn8yw4rl1o,구치소에 있는동안 거꾸러 메달아 매질이 답이다,1
user-ck3hw5qi9m,독방이 무슨 징벌입니까?! 내가 실수해서 깜빵생활 해봤는데 방에 TV없는 것 빼고는 혼거방 보다 훨씬 편해서 일부러 입실거부해서 웃으며 이용하는 곳이구먼.,5
user-ld3mc4yk8u,판사 가족이 당해도 20년일까,3
user-ux2er7yg7s,나이가 육십이 넘었는데도 지가 대장인줄 알아요,0
SS-fs4nc,잔대가리 엄청 굴리네. 내가 판사라면 괘씸죄로 형 더 때릴텐데 고작 20년이라니,1
user-wc6nk9oo6n,해당판사는 뉴스도 안보나?,4
user-rq4gz5dv9o,사회에 필요없는 인간을 뭐던다고 저렇게 먹여주고 재워주고 왜그냐? 그냥 사형시켜라쫌,0
