작성자,내용,추천수
user-gu2go1ox9p,재판부에 제출하는 반성문 자체을 없애야 합니다. 정작 피해자 에게는 사과도 없이 감형 목적의 반성문에 감형해주는 판사들은 무슨 근거로 감형 선고 하는건지 도 이해 안돼네요.,757
ncenc,가해자 진짜 강력 처벌 좀 더 해 주세요,815
Uresora,반성을 안했는데도 저런 판결을 내서 피해자의 생명을 위험하게 만든죄로 재판부를 해고시키고 국민이 다수 동의하면 다시 가해자가 무기징역을 받을수있는 법좀 만듭시다.,420
user-zx3xd6lt4c,저런 반성문을 받고도 20년형? 이건 아니지. 판사님!!!!,265
user-zn4od3xn4o,피해자는 용서한적이 없는데 판사가 용서해주는 기괴한 나라,83
user-un1rn1nc4e,저게 어딜봐서 반성문 이라는거야 ? 저걸보고 선처 해주면 저놈이랑 똑같은 놈이다 강력한 처벌을 해서 본보기로 범죄를 저지르면 이렇게 된다라고 인식을 심어줘야지 오히려 선처해서 범죄를 더 부추기니 판사 놈들은 자기 자식이 저렇게 당해봐야 피해자 심정을 헤아리지,183
user-kg1ih6th2k,지가 발로 차서 기절한 사람을 남들이 구조하기 좋게 옮겼단다 ㅋㅋㅋㅋ 진짜 얼굴이 얼마나 두꺼운거냐,147
user-ox1in1bb7u,위대하신 판사님은 피해자가 아닌 본인에게 반성문 제출하는걸 좋아하십니다...,199
user-bk6ug6ok6y,판사를 성적이 아니라 인성으로 뽑읍시다. 전과 18범이 존재한다는것 자체가 우리나라 법관들이 자질이 없다는것을 뜻함.,133
Baeksz,가련한 처지래ㅡㅡ 웃기고 자빠졌어 아주ㅡ 스스로 저런 표현 쓴다는 것 자체가 소름 돋는다 진짜. 사과를 왜 판사에게 하는거냐. 피해자에게 해라 백번이건 만번이건 피해자가 용서해줄 때까지 피해자에게 직접 하는 게 사과라는 거다 가해자야,79
user-vv7yi2te2t,반성문 한 번 쓸 때 마다 10년씩 늘여야 한다,76
user-mv6wm7rx6g,19범이 쓴 반성문이 양형의 이유가 될 수 있나?? 18번의 반성문에 맛들린건 아닌지? 이런 악마에겐 처음부터 반성문이란 없다. 실수하여 한 두번 저지른것도 아니고. 검사의 35년 구형도 말이안된다 했거늘 정말 역겨워 토가 다나온다. 우 ㅔㄱ,96
user-ys8rg8ql1i,인간같지 않은 짐승은 우리에 평생 가둬두길.,277
Cuz_TheMarvelous,가해자를 강력 처벌해야합니다,92
user-cv6xs5qf3l,경찰은 평생 여성분 보호해 드려라,55
user-oi9iq4bb8w,피해자한테 반성문을 쳐 보내도 모자랄판에 판사한테는 왜 쳐 보내노 자기 딸 머가리 깨져도 반성문 받고 꼭 감형해주길바란다,122
gtr2904,반성문을 판새한테 쓰지말고 피해자 한테 쓰게 바뀌어야 한다,30
user-qs7bn9ge4z,저런 인간을 무기지역을 해야 합니다 무슨반성문 절대 그냥나두면 안됩니다,71
dlfkapdooapoirnalddkcz,"범죄자는 사고 방식부터 다르네 ""묻지마""로 범죄를 해놓고 자기 형량은 왜 이렇게 높냐며 묻는게 역겹네 묻지마 범죄는 남녀노소를 분간말고 묻지마 사형으로 응답해라",469
user-pj5dl6sk2e,법은 누구에게나 평등한거예요 기준이 있으니까 다만 판사 가족이 당했을때 주변 동료들이 어떻게 판결할지 진짜진짜 궁금해 훌륭하신 기자분들이 꼭 밝혀주세요,51
user-vk7nq3xh8u,반성문의 취지가 정말 맞는지가 궁금합니다. 반성문이라는게 판사나 재판부에 보여주는 반성문이 의도한게 맞는지 참으로 궁금할따름입니다. 정작 피해자는 아무런 사과조치받지못하고 보여주기식으로 제출하는 말로만 반성문이 무슨 의미가 있는지 원..피해자에게 진심어린 반성을 하는게 먼저인데 이런 악습이나 법은 페지되야하는거 아닙니까?,20
fromsarang,피해자분 얼마나 힘드실까...,26
stimulantsforme,"""왜 저는 이리 많은 징역을 받아야 하는지 모르겠습니다"" 의문을 품은 동시에 답을 얻는다, 스스로에게 묻고 답을 얻어,증명해내고야 마는 멋진 모습 잘보았습니다",33
user-ty6ht7tp8j,반성문을 판사한테만 제출하것도 아이러니... 병신같은 법,33
serre5965,전과가 열 몇 개인데 판사한테만 잘보이면 된다고 대놓고 웃고 있네 또 돌아다닐 수 있다는 자신감이 보인다 이건 진짜 미쳤다,92
user-nk6wu1wb1i,별의별이유로 감형해서 갱생할 여지가 없는 쓰레기들을 풀어주는 판사들. 본인 또는 본인가족이 꼭 전과범한테 변을 당하기를.,28
user-oi7fk1ht9l,이참에 판사님들도 물갈이 하자,25
user-ib9kz8yp4l,판사가 반성문에 속아 넘어간거야? 구치소에선 계속 보복을 다짐했다던데... 판사 속이기 쉽네,30
ZXCVBNM24742,대한민국 판사님들 정말 대단하십니다 억울한 사람 더 억울하게 만들어주고 피해자 배려할려고 대신 사과도 받아주고 피해자 바쁠까바 용서도 대신 해주십니다 !!,5
user-ny5ew8ty5w,적반하장이네 이런 놈은 강력하게 처벌해야 된다. 무서워서 길을 걸어 다니겠나~ㅠ,41
dura1369,"이게 반성문이냐,,,, 사람 반 죽여 놓고 말 잘한다고 글도 잘 쓴다고 신세 한탄이나 하는 놈인데 무슨 갱생 가능성이 있어,, 진짜 역설적으로 쟤는 법치국가에 살고 있는 걸 다행으로 생각 해야 한다",120
user-fb4hi1tn7m,저런 감형받을 목적으로 내는 반성문을 그것도 반성이라고 감형해주는 판사,25
wjdghkstmd81,반성문 받아주는 판사들은 피의자와 공모를 한 수준의 능지를 가지고 있는거라... 어차피 신상이 털려 판사직에 짤려도 전관예우로 수십억 받고 로펌에 가니 막 나가는거지...,28
user-cx2jk8rv1i,이러니 판사라는 우월감에 사로잡히지,20
disorm5222,범죄자들이 법 위에 서 있고 법은 범죄자를 보호해 줌,11
sportagecamping,대법원의 양형기준부터 없애버려야함. 형량의 기준을 미리 정해놓는것에 대해 위헌소송들어가야함,19
kimhyunbo09,"반성문 같은 소리하고 자빠졌네 뭔 반성을 해 ""나가기만 해 아주"" 벼르고만 있으면서 저런세키는 거 시키고 ️전기의자에 앉혀서 정말 잘못했다는 진심어린 말이 나올때까지 고문해야 되는데",97
user-ks3pl4hn6u,이사건은 저희들 힘도 필요할거 같아요 이논쟁을 더 크게 키우면 판사들도 어쩔수 없이 보지 않을까요??,21
user-fl5os2sp1t,니가 나올때 세상이 아름답길 바랄께 살아 있다면 마리야 너는 고통이 뭔줄알고 살아야되 그거 내가 보여줄께 그니까 제발 형량 끝나고 나오길 ㅠ 잘근잘근,7
user-lb3vh6yp2x,만약 판사나 판사 가족이 저런 일을 당했을 때도 검찰이 구형한 35년에서 감형이유를 들어 15년을 깎아 20년을 선고할까?그깟 판례가 뭐라고 판례를 들어 양형을 맞추나...대체 당신들의 법과 우리의 법이 뭐가 다르기에 매번 그렇게 이해할 수 없는 답을 내놓는지 알 수가 없다.,28
yasmin2220,정의라는 개념은 안중에도 없이 법을 오직 권력을 위해 공부하는 집단이라 AI 도입이 시급하다고 느껴지는 부분이 바로 판새집단.,10
frc7045,무기징역 가야죠 판사님 ㅡㅡ,44
user-vz3fz7tt9h,가련이 얼어죽었냐...부디 부디 불행하고 또 불행한삶을 살고 사는내내 지옥보다 더한 고통을 느끼며 천수를 누리길,73
jinny316,"고작 20년? 200년도아니고,,, 판사님 너무하다진짜,,,",3
bhpark9125,저 정도면 교화는 틀려먹었다고 생각되는데 그나마 우리 에코 시스템에 도움이 되도록 그냥 자연으로 돌려보냈으면 좋겠네.,16
user-wz6fw3vg7d,그냥 차에 밧줄 매달고 다 갈릴때까지 달리자 답도없는 쓰레기 고통으로 사죄해라 반성문을 적으라니깐 변명문을 적고 자빠졋네,20
user-oo5vr1ou5e,가해자 이현우한테 상고심에서 높은 형량 받았으면 좋겠네요 저런 끔찍한 범행을 저질러 놓고 그리고 피해자 한테 반성문 쓴게 아니라 판사 한테 어떻게든 감형을 받으려고 하는것은 진짜 악질이고 인간 개 쓰레기 한테 절대 감형 해주는 것은 안됩니다,1
user-ll6mi1gn8b,"피해자는 따로있는데, 왜판사한테 잘못을 뉘우치는지 이해가 안간다.판사도 짜증나고, 우리나라 법도 짜증난다",11
jean8223,아깝다 반성문 20장 보냈으면 판새가 무죄 줬을텐데...,34
user-ci5wj2jz3m,전과 18범 경력자로써 반성문 전문가네 ㄷㄷ,14
MoonYS83,전과에 따른 과중처벌이 되야 됩니다 전과18범 따위가 지금까지 저지른 범죄가 있는데 무슨 반성이죠???반성 했으면 저런 짓을 말았어야지 그냥 악이다 악 피해자님만 짠하다....정말 에휴,9
user-yw6cu1mu5b,"범죄 저지르고 반성문 자체를 피해자에게 쓰는 것도 아니고 판사에게 쓰는건 딱 한가지 감형,밖에 더 있나???? 없애야한다. 전혀 쓰잘데기 없는 제도.",8
misaeng_00,20년 뒤에 사회 나오면 생활이 어려우니 그냥 법무부에서 사망 전까지 쭉 관리 해주시기를 선처합니다,30
user-vr3hp5zi1j,대법원에서는 형량이 더 늘어나길 바랍니다.,3
user-iw8dm6ri1w,"와,,,,,미쳤다ㅠㅠ 진짜 말도완돼,,,",2
user-wq4mv3ml4v,판사들도 고생 많았네? 15년 깎아주는게 얼마나 힘들었을까? 피해자 보호보다 범죄자를 더 생각하는 우리 사법부 이제 그 권력 내려놓을때가 슬슬 오는것 같다!!! Ai 와 국민참여 재판으로 법을 바꿉시다,17
user-sz8yu1gw7c,이 사건은 피해자가 너무 고생하시는 것 같습니다 물론 안위를 위한 이유도 있으시겠지만 이로 인해 피해자의 선의를 누릴 많은 사람도 있을 것 같습니다 이 사건에 분노하는 많은 사람들이 어떤 형태로든 실질적인 힘이 되어 드릴 수 있었으면 좋겠습니다 이 분이 너무 많은 부분을 감당하시는 것 같네요 정말 안타깝습니다,0
yes-ux4oc,진짜 왜 제대로 판결을 못하는지 속이 터지네요 인권은 인간같은 사람한테 하는거져,4
iwcbuy,반성문을 저렇게 써서 감형 받으려는 이유가 뭐겠냐 ㅋㅋㅋ 나와서 복수 하려고 그러는거지 뻔하다 뻔해,15
user-xt6pd4jm7s,독방 1주일 생활하면 제발 살려달라고 싹싹 빌거다. 네면이 흰 방안에 시계도 없이 하루 한끼만 주면 억울하다는 마음이 쏙 들어갈걸!,7
owngate,범죄자들은 이미 다 알고 있다 이 나라 판사들의 공통된 심리와 행태를.... 반성문 끄적이고 그들 앞에서 머리 몇 번 조아리면서 읍소하면 대충 넘어가고 형량도 줄여주는 것을~~ 피해자가 아닌 판사 자신들에게 잘못을 고하고 사죄해야 형량이 준다는 것을~,1
user-pm5xj6hs8t,이건 반성문이 아니에요 반사회성이 엿보이는 정도를 넘어서 진짜 범죄를 다시 저지른다는 의지를 보여주고 있어요 분명 출소하면 사회에 나오면 또 범죄를 저지를 거에요,9
user-hk4bg8sk2k,과거 전과18범이 될 동안 반성한다고 반성문쓰고 항소해서 판사들이 형량을 1/3이나 감형을 계속해주었습니다.이번에도 그것을 노린것 같은데 또 넘어가는 판사들이 없길 바랍니다.18번을 감형해주어도 재범행을 하는데 또 감형해준다면 판사자격없습니다.,1
user-hf2vw2pv5t,"또 판사들은 피해자가 현재 어떤지 안중에도 없고, 그저 피고인의 거짓 반성문에 감동할까 겁이 난다.",8
qkfkadleksksms2513,다시는 사회에 발 붙이지 못하게 해야,12
Han-tt7ho,"피해자 의사와 관계없이 가해자에 반성문 제출되면 재판시 참고되는 경우 빈번한바. 그렇다면, 사회적 이슈화되는 범죄는 엄벌탄원서 기준량 정해서, 재판부에서는 추가형량 더할수 있는 제도 마련해달라!!",1
user-bk5cn8fh9z,우리 판사님 참 좋으신분이네 그깟 반성문에 속아 넘어갈정도면 너무 착한거아냐 ㅋㅋㅋㅋ ㅋㅌ,0
user-lu8iy4hw5w,저딴게 반성문이냐?????그리고 왜 판사한테 반성문을 쓰는거냐???? 이 뭔....,11
trevorp6741,누가봐도 반성안하는 반성문을 읽고 선고 줄여주시는 판사님의 판단력 ㅎㅎㅎ,0
user-tn8my8fy3n,현우야 법정모독 한번만 해주라. 판사들이 딴건 다 참아도 고건 못 참는데..,9
user-xy8es8hu5g,나쁜놈 100년 나왔어야되는데,7
user-ww8ur5te9v,법이 너무 좋아 !~~반성문 썻으니 뉘우치고 있는거로 해주고 감형 해줘라. 이런법 너무 좋아... 판사는 법대로 감형 해줘라 정말 공정하고 살기 좋은 대한 민국!!!!!!,0
tommy.chang.8047,20년의 형량은 죄질에비해 솜방망이처벌입니다 몇십범의 전과자들이 활보하는 사회를 만들어선안됩니다 판사님들!!...,1
user-mh8sb1tp1p,진심 이해안감 애초에 저런 짓을 안하면 될거아님 왜 저질러놓고 너무하대 참나 저런 잡것들은 못나오게 해야함 지가 뭘 잘못했는지도 모르는데 똑같은짓을 안할리가 없음,5
you...85,반성없는가해자를 고작20년형으로 판결한 판사님이 그저답답할뿐,1
Soboong98,1초라도 절대 감형은 안됀다. 20년도 너무 작다.,7
user-hj9pc7he3b,어디 범죄자들만 무인도에 가둬 놨으면 좋겠다. 살인은 살인자끼리 도둑은 도둑끼리 사기는 사기끼리 성범죄자들은 성범죄자들끼리. 거기서 죽든 살든 지들 알아서 살아가면 좋겠다. 남들한테 피해 준 그대로 받으면서.,4
user-pt5jf3hg5c,판사도 한아이 부모라면 잘생각하고 판단해야된다,0
ddangddang38,반성문을 피해자에게 쓰게 만들어야지 형량도 피해자가 정하게 만들어,0
