작성자,내용,추천수
user-vw6bw1my8x,전과 18범이 왜 사회에 돌아다니는거죠? 국민들이 알권리를 찾아주세요 그래야 조심할거아니에요,2천
user-gz5dv3br9o,의원님이라고 불릴수있는 분이십니다 응원합니다,2.9천
user-ui8ct5wx8u,범죄자의 인권 따위는 없습니다. 현재 잘못된 사법부의 범죄자 감싸기는 더이상 허용되어선 안될 것입니다. 국민을 위한 김민석 의원의 현명한 방향을 지지합니다.,2.1천
msw764,서울 강서구민 여러분 부럽습니다. 의원님에게 진심으로 박수 보냅니다. 이럴때는 법꾸라지님들은 법이라는 명목하에 입을 닫아 버리는 상황에서 말이죠,309
user-dw2gc1gd7i,김민석 의원 응원합니다 이게 약자를 범죄로부터 보호하는 용기있는 의원의 행동이지 않나 생각합니다 당신의 건승을 !!,1.1천
user-gn5gd3or9n,참 나라법이 이모양 이구나 ~ 인권이 문제다 개나소나 인권~ 의원님 최고입니다 ~,318
yealk9725,범죄자 인권만 있고 국민의 인권은 없는 나라 혼자만의 생각일까?,1천
binybins89,용기있는 결단헤주신 의원님 응원합니다.,1.4천
TheTruth-lq1zh,판사들도 얼굴공개하여 tv로 생중계하며 공개재판으로 가야 판결도 투명해지지.,439
op-pp4le,생각이 참으로 바른 의원님 감사합니다,235
user-vv6zf4mf1c,우리는 왜 가해자의 인권을 지켜줘야 하는가 피해자 및 미래에 혹시 모를 피해자를 법이 가해자 보다 먼저 우선으로 지켜줘야 하는게 맞지 않은가? 라는 질문을 하고 싶네요,104
kimdonghyun5875,먼저 가장 먼저 공개하신 유튜버 탐정님에게 감사드리며..누구도 못하는일을 총대메고 했기 때문에 이런일도 일어나는 겁니다 더불어... 의원중에선 가장 먼저 이런 행동하신 김의원님에게도 감사드립니다.. 이딴에 최소 전과18범 가해자시끼가 받을 인권따윈 없음을 분명히 해주세요...,76
kimduseoung,가해자는 사형이 답이다,526
koreatoday9508,의원님의 행동에 찬사를 보냅니다. 범좌와 불법은 소멸되어야 합니다,422
user-ce7qo4lv2i,의원님 신상공개 잘 하신겁니다 국민의 알 권리 입니다 법 개정 바람,260
user-ri8zs2xn8n,의롭고ㆍ애국자이신분들많아ㆍ고맙습니다,2
user-vz1cu1hy9x,의원님께 박수를 보냅니다. 범죄자에게 인권따위가 있다는게 잘못된거아닌가요,106
GAMETV-pp3du,가석방없는 무기징역을 선고하소~~~~ 저런인간은 100%진짜 살인까지 할인간입니다,46
lilybeh0522,"딸키우는 엄마로서 저 영상 볼때마다 가슴이 찢어지는데... 부모님은 얼마나 고통스러울까요 ㅠㅠ 제발 양형기준, 판례,,이런 교과서에 매이지 말고 피해자 입장에서만 판단해서 형을 내려야 합니다~ 판사는 제3자 입니다.. 강력 범죄는,,, 어느 누구도 피해자를 대신해서 형을 내려선 안됩니다,,, 용서도 정상 참작도 피해자가 오케이해야 합당한 판결인데.. 법 재정비를 꼭 해야 합니다~",94
somisom4078,나라에서 못한걸 두분이 해주셔서 너무 감사합니다 두분이 진정한 정의입니다,135
user-nb3yx4hb7d,모처럼 올바른 의원을 봅니다. 박수를 보냅니다.,146
nakbii7174,국민을 위해 일하는 사람이 진정한 의원이지. 응원합니다,98
latchutvtv8331,김민석 의원님 멋집니다 전국민이 저짐승 신상 알게됐으면 좋겠습니다,351
user-pl1fy8vl2x,우리 모두 알권리가 있습니다 부산 시민들은 얼마나 무서울까요? 재범의 위험이 충분히 있고 가해자의 신상이 널리 알려져야 한다고 생각합니다 얼굴 떳떳하게 못들고 다니게 해야해요 김민석의원님 존경합니다..!,38
user-jn1cr4yi7z,이런게 국민으로부터 지지를 받는다.... 정치하는것들아 그러케도 모르겠냐???,243
user-op3jf7lf5o,"김민석 의원이 정맣 저런분이 국회의원이 되어야 한다.응원합니다,법이 정부가 못하는것을 김민석의원이 하셨습니다",665
user-jp8li2yx8i,관심을 끌려고 한거라도 감사드립니다. 앞으로 나랏일 하시는분들이 더욱더 나라에 신경써주셨으면 합니다. 범죄자에겐 인권은 없습니다.,86
user-hh7ss3mo9p,용기있는 의원님의 정의~~!! 응원합니다!!,14
choihyuk5595,"진심으로 존경합니다. 가해자가 발 뻗고 사는세상, 피해자는 두려움에 평생을 살고 두려움에 합의를 하는세상 이제 좀 바뀌어야 합니다. 저 돌려차기에 생과 사는 정말 한 순간입니다. 어째 살인자와 같은 처벌을 받지 않는 것이 이해되지 않습니다.",46
user-nw5rd5lj7c,최고!!~ 멋있습니다.이런 나쁜 놈은. 무기징역!! 사회에 나오면 안됍니다!!,3
Mantis.shrimp_noogie,이런 훌륭한 구의원도 계신다고요? 와,360
user-hx9kp7ug5n,나라 의원이 정의롭게 보이는건 처음이네 찐의원 이십니다,176
kakoineo5063,"이나라는 도대체 누구를 보호 해야하는가 를 생각하고 법을 적용하세요. 범죄자가 신상공개가 억울하다면 그런 범죄를 안저질렀으면 억울할것도 없고, 저질렀으니 그건 범죄자 본인이 감내해야될것이지, 그걸 가지고 따진다는건 말도 안돼는 법에 문제가 있는거죠. 자유와 방종을 착각하지 말길, 그리고 사법부도 정말 제대로된 판단을 하길 바랍니다.",32
woongstar92,첫걸음이 쉽지않겠지만 응원합니다!! 이렇게 나라가 바뀌어나가야합니다!!,48
user-ul8er8zz7o,박수 보냅니다~~누구를 위한 법인지 ~법관계자나 경찰은 각성하라!!,57
Peterjoo74,대한민국 국회의원들은 속히 범죄자 신상 공개 관련 법을 개정하시기 바랍니다. 모든 국민들이 원하고 있습니다.,18
user-cy2ze2rx7c,중요한건 저 가해자 반성 의지 1도 없음. 근데 왜 신상 공개를 안 하지?? 사람을 죽여야만 신상 공개 할건지 묻고 싶다 인권단체야^^ 유튜버와 김민석 의원 칭찬을 받아야지 왜 벌을 받아야 되는지 의문.. 인권단체 좀 없애줘요. 가해자 인권만 중요하게 여기는데..,126
user-cy1bv3dg6n,김민석의원님을 국회로 보내드립시다. 희망은 우리를 버리지 않습니다. 이런분이 많아져야 세상은 살만 할겁니다.,55
user-yu6ux6zb3h,상식과 공익을 위해 파렴치한 범죄자의 신상공개는 반드시 법개정을 통해 이루어져야 합니다!,22
kingj3189,구의원님 아주~ 야주~ 칭찬해 이런 양야치는 꼭 신상공개 해야지~!!!!!!!!!!!!!!!,121
singlelife119,"지켜야 할 법이라면 지키겠지만. 고의적 피의자의 의도에 놀아나고 싶지 않기에. 감수할 경제력과 앎이 있다면 .. 나역시 공개했을 것. 힘 있는 분들의 공개,적극 응원합니다.",82
bongchankim4379,당연히 공개해야 한다.,3
newyawl,인권을 얼마나 챙겨줬으면 교도소가 밖에 가난한 서민가정보다 잘먹고 잘자고 건강까지 챙겨준다. 그것도 1원 한푼 들이지 않고 국민들 세금으로 모든걸 해준다.,417
MM-lc6gf,확정된 완벽히 확인된 범죄자의 신상은 공개하는게 맞다고 봅니다.,31
nanakim5942,강서구민들은 든든하겠네요,97
user-tf7ck5dg8y,볼때마다 소름 끼치는데 피해자는 얼마나 무서울까요? 저런걸 인간이라고 살려두는것도 성에 안차는데 신상공개는 왜 안하는 건지?진짜 법 좀 현실에 맞게 뜯어 고쳐요 제발!,1
user-zn1hu1ot7k,사건당한 당사자 부모같은 마음의 의원님 응원합니다 법을 바꾸시오,33
user-xw4og1re3y,아주 일잘하시는 의원님이십니다,2
user-vq7je6rp3y,"법이말도 안돼 가해를 햇는데 잔혹범얼굴 공개해야지요 이런의원도 계십니다. 최고다,",513
user-xr1bx3kl9b,"카라큘라, 김민석 ( 국민의힘 소속).... 두 분이 이 시대의 진정한 영웅 !!",5
conutco5370,흉악범들은 징역유무 상관없이 저지른 죄의 정도와 몇범인가에 따라 신상공개 및 머그샷을 모두 올려라!!!,40
user-nq4rn2qg1y,화이팅 입니다. 구의원님 ~~~!!!,16
1p523,너무 멋있다 힘은 이렇게 쓰는거지,13
imm4665,기사는 보고싶은데 사건영상이 너무 끔찍해서 보기가 힘드네요.. 피해자분 얼마나 아프셨을지...ㅠㅠ 무사히 회복되시기를 진심으로 바랍니다,3
