작성자,내용,추천수
user-iu7pm5wy6m,제발 피해자를 지켜주세요ㅜ,3.2천
ARTPLA,국민의 안전을 위해서 신상을 전부 공개해야 합니다,2.5천
user-jf2nt6yq7p,신상공개하니 계속 유투브에서 댓글 사라지네요 ㅠㅠ 가해자 부산 영도구 동삼동 주공아파트 1단지 살았고 상리초등학교 다녔는데 저도 어렸을 때 임마한테 많이 맞았고 초딩시절부터 진짜 악마로 유명했습니다. 지나가다 만나면 무조건 뒷짐 지라하고 명치 가격해서 쓰러지게 만들었고 제 친구 등 수도 없이 많이 때렸으며 악마 그자체 입니다. 댓글 상단고정좀요! 절대 감형하면 안됩니다!,65
user-ug4dn2fn5j,판사님들 자기가족이 이런일을 당했다고 생각하시고 두번다시 이땅에 발을 못디디게 해주십시오. 이 사회에 도움 안되는 인간들은 없어져야 합니다.,1.5천
meksh2627,보는 내내 화가 치밀어오르네..제발 저런것들 처벌 좀 제대로 해라!!!,183
user-xu3hm8yk8n,저런 동영상을 보고도 12년만 징역형 주신 재판관님 모든 범죄자들이 존경하는 분이시다.,2.2천
indiaejg307,영상 볼 때마다 열 받네요. 저런 놈을 왜 사회에 풀어주려는 거야? 평생 감옥에 격리시켜라. 우리 딸들을 보호하자.,619
user-xg1eb4ef1u,제발... 피해자님 억울함을 다 풀어주세요ㅠ,453
stevejung6455,후방에서 무방비 상태의 사람을 공격하는 심리 부터가 테러리스트와 다를게 없음.. 형량 더 올려주시길 당부 드립니다 대국민 분노를 보시고도.. 이번사건을 계기로 예외 강력처벌이 가능하다는 것도 관련 가해자들에게 상기 시켜주셔야 합니다,696
user-bg3jn2em1b,딸가진 엄마로서 분노를 참을수가 없습니다 저런 악마는영원히 격리해야합니다,89
young5449,사법부는 피해자의 안전을 끝까지 책임져야 한다,341
hyunyang4535,"이건 남자도 저리 맞으면 기절합니다. 이건 살인미수 입니다. 상대랑 싸운것도 아니고 그냥 무방비상태에서 저리 당한건데, 이건 죽이자고 작정하고 때린겁니다. 나라에 법이 정말 존재한다면 신상공개하고 무기징역이 맞습니다.",5
user-1234jjuah,이 사건은 진짜...제대로 수사 되어야 합니다. 범인이 너무 심각할 정도로 소름끼쳐요. 초범도 아니고 지인들과 주고받은 연락이나 범죄 후 한 행동들이나.... 정말 사회에 풀어놔선 안되는 짐승입니다.,460
malee7910,아제발요. 피해자를 보호해주세요 제발,870
user-zr8ju4eo8k,재판부님 간곡히부탁드려요 소중한 딸들이 또 이런 억울한일 당하지 않게 처벌 해주세요!,496
seoyi123,분리수거도 안되는건 처단 부탁 ️,2
user-jy5re9gc4o,용기를 낸 피해자에게 힘을 실어 주세요. 꼭 저 놈이 합당한 처벌을 받을 수 있길 바랍니다! 저놈이 빨리 나오면 더 큰 사건이 날꺼 같아 무섭네요.,153
jinseong100,누가보아도 교화되기 힘든 사회로 부터 영구 격리 되어야 마땅한 범죄자이니 신상공개 및 범죄에 상응한 처벌이 반드시 필요합니다,80
user-mv8ne8fu2b,저런 무자비한 폭행이 일어나다니.. 제발 엄벌해주세요.,1.3천
kisstiffany,제발 피해자분 보호해주세요 부탁합니다 ㅠㅠ,259
dddtr271,나중에라도 판사님 자녀분이 꼭 같은 사고 당해서 억울함을 한번 느껴봤으면 좋겠습니다,161
user-io1lf1mg9y,정말 소름끼치게 무섭고 화가납니다 이런나라에서 어떻게 딸들을 키운답니까 ㅜ ㅜ,50
mknjw,사법부가 가해자들의 놀이터가 되어서는 안됩니다.. 태권도가 저단 욕망 가득한 인간에게 쓰여진게 참담하네. 피해자에게 2차 가해를 막고 신상보호 하며 가해자의 신상이 공개 되어야 사회에 경종을 울린다고 생각합니다.,56
gurida3367,그알 보고..와 이게 진짜 말이 되는 현실인게 놀라웠다.. 진짜 강하게 처벌해야한다..저 피해자는 대체 누구에게 하소연을 할거야..평생 트라우마에 시달리며 고통 받을텐데..ㅜ,37
light_12,처음 본 사람을 뒤에서 몰래 쫓아오다가 머리를 가격하고 폭행 후 기절한 피해자를 성폭행까지 했는데 어떻게 살라는거냐? 이런 쓰레기들은 모아다 공개 사형 시켜주라 진짜,313
gemokr,이제부터 판사는 자기이름과 얼굴 걸고 재판 하도록 합시다. 뉴스기사에 언급되는 판사는 사진을 꼭 올리도록 해 주시구요. 재판실명제 합시다.,90
user-iw9cc6yg2n,재판장 가족이 똑 같이 당해시기를 두손모아 간절히 기도드립니다~아멘~~,269
user-vu7ww4xi3r,용서할수없다최고벌을주어야한다끔찍하다,2
user-zv9xk6hy8t,약한자를 함부로 대하는 가해자를 모든 국민이 보호해줘야합니다..우리 부모일수도 자녀일수도 배우자일수도 있어요~엄하게 응징해야 처벌이 무서워 재발안해요,125
1516645,저런 인간 말종은 사회서 영구격리해야합니다!!!,1
user-ot9sp3zr9z,얼마나 찌질하고 못낫으면 자기보다 약한 여자를 저렇게 무참히 폭행할까..저런건 사형도 아깝고 평생 감옥에서 맞아 죽었음 좋겠다,149
user-qe6ri3ep9v,딸가진 엄마로써 다시 봐도 열받고 치가 떨리네,20
LG-SIGNATURE,국민 판사제도를 도입해 판레기들이 자기들 맘대로 형량을 깍아주지 못하게 해야 한다.,79
