작성자,내용,추천수
applemint8051,국민이라고 말하지마라 국민이라는 이름 더럽히지말라고ㅡㅡ,2.6천
grhhui,다 치료되었으니까 내 죄는 없어졌다고 말하는 저 사이코패스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2.3천
DaramZZZZi,이런 사람의 본성은 절대로 변하지 않는다. 솜방망이 해주면 제멋대로 더 기어오를 것이다.,1.2천
user-nj5wz2bg9v,저런 반성문과 저런 판례들을 모아서 제출할 수 있도록만든 법체계와 판사들의 판결에 너무나도 큰 문제가 있다고 생각해요...제발 죄에 상응하는 죗값을 받을 수 있는 나라가 됬으면합니다,154
user-hk4bg8sk2k,"과거18범이 될 동안 반성한다며 판사들이 한결같이 형량을 1/3씩 줄여주었던 결과가 지금의 결과가 되었고 그동안 감형 내렸던 판사들중 단1명이라도 계속 감형내렸음에도 계속 반복되었다는것을 확인, 인지해서 감형을 내리지 않았던 분이 없었다는게 안타깝습니다. 이번에도 또 감형을 내린게 정말 화가납니다.",572
donfreebox,얼마나 대한민국 법이 약하면 저런 쓰레기인간이 저런 반성문이나 쓰는건지.. 제발 저런것들은 그냥 감옥에서 생을 마감하게 만들어야,49
lsfse3425t,19범이나 저지른 세금 도둑놈이 국민?? 저런건 추방해야한다,1.1천
stell10000,학습이 너무 잘됐네~ 얼마나 법이 우스우면 저럴수 있냐....,534
yyy-dt6le,피해자님이 글을 잘쓰고 말도 잘 하시는건 원래 명석하신 분이니 그런 분이니 혼자서 열심히 싸우셔서 여기까지 온거다.,804
ranyk6850,제발 사형이 없으면 절대 감형이나 석방없는 종신형 선고 확실히 해줬으면...어찌 피해자가 겁에 질려야하고 범죄자가 저리 당당할 수 있는지.. 인권이 필요없는 인간도 존재한다.,17
dalboyzzz7464,"도데체 형사 재판이 초등학교 수업 과정도 아니고, 반성문이 영향을 미친다는게 너무 코미디다....",301
erwinkim7125,반성문 제도 없애야합니다. 가해자가 피해자 아닌 판사한테 왜 용서를 구해요??? 저 반성문을 피해자에게 전달해주는것도 아니잖아요,439
user-dr2eq1yr8m,반성의 기미없이 자신의 억울함만 호소하는 뻔뻔하고 괘씸한 죄로 항소하거나 저런 불평할 때마다 형량을 10년씩 늘었으면 좋겠다!!,200
