작성자,내용,추천수
user-hb4sq9wc6p,전과 20범이 억울이란 단어를 언급하다니 더럽다,5천
user-wq5bm5kr1c,판사님 제발 60년 부탁을 드립니다. 정의구현이 필요한 시점 입니다.,276
maneasy4075,20년 나왔는데 대법원에선 형량이 더 올라갈수 있었으면 좋겠다.,2.5천
kaiserwookj8358,이번 일 을 계기로 이런 범죄자들이 없어지도록 제발 무기징역 부탁 드립니다.,89
user-gj8jb2kj9e,대법원에서 반성할 줄 모르는 저런 불한당을 징역 40 년 그렇지 않다면 무기징역을 내려주시면 진짜 현명한 판사라고 국민들은 생각할 것입니다.,1.2천
user-mi8wp8gv1o,대법원에서 꼭 정의구현 되길 바랍니다. 피해자가 더이상 무서워 하지 않아도 되는 세상을 만드는데 꼭 필요한 판결을 내리길 바랍니다.,35
user-dr2eq1yr8m,반성의 기미없이 자신의 억울함만 호소하는 뻔뻔하고 괘씸한 죄로 항소하거나 저런 불평할 때마다 형량을 10년씩 늘었으면 좋겠다!!,1.4천
user-oh5te9cu9e,꼭 강력하게 처벌해주세요. CCTV에 아무 죄없는 사람 때리는게 다 찍혔는데 뭐가 더 필요한건지 모르겠네요 그리고 뻔뻔하기 까지한데.,993
user-pw9fc9dh4k,반성의 기미가 전혀 없음이 밝혀졌으므로 가중처벌 해야지,637
s.t.p9199,우리나라 법은 누굴 위해 존재하는가 피해자는 억울하게 살아야 하는 참 우리나라 법 답답하네요 미국 법 처럼 200년을 줘야 하는데요,72
user-tq1xc8rk8h,"돌려차기남이 말 잘 했네. 나만 징역 많아 억울? 앞으로 다른 범죄자들에게도 본인들의 죄값만큼 양형해달라는 간청 꼭 들어주세요. 판사에게 반성문 냈다고 감형, 피해자가 원치않는데도 공탁금 냈다고 감형, 이리했다 저리했다고 감형,... 절대 받아들여져서는 안됩니다.",705
k.678,대법원에서 제발 피해자를 보호해주세요 힘들더라도 삶을 선택하게 도와주세요 부탁드립니다 최소50년&무기징역이 나오기를 기대합니다,35
user-ju9yd3fy6e,전과20범 당한 피해자들은 얼마나 억울할까??? 가슴이 미어지네,241
user-zf7vc1vl9h,진짜 피해자분이 대단하신분 같음...적극적으로 나서서 나섰기 때문에 저정도가 된거지 가만히 쥐죽은듯 있었으면 얼마나 깔짝 징역을 줬을련지..으휴,331
icetea9021,저런건 사람들 사는 세상에 풀어주면 안된다. 제발 검찰이 구형한 형보다 더 많이 내려주세요. 부탁합니다.대법관님들.판사님들.,9
guriguri3268,제대로 판결 안 하면 온국민이 들고 일어나야 합니다... 너무 끔찍하네요....감형의 감 자만 들어도 쓰러질 지경입니다...,11
user-zu9tm6oy3p,판사님들 부디 법도 중요하지만 인간으로서의 기본을 봐주시기 바랍니다 부디 무기징역을 판결 부탁드립니다,261
sl9861,진짜 피해자가 얼마나 더 피해를 봐야 되는거지... 피해자는 지금 충분히 심리적으로도 살이찢겨나가고 뼈가 뭉개지는 듯한 고통을 받고있을텐데...답답~하다 정말....,23
seong715,대법원에서는 제발 정의가 구현되었으면 합니다.,487
user-dt7lp5jj5m,피해자님이 20년 양형에 겁에 질려 눈물을 보이시는 모습을 보고 너무 속상했습니다. 가해자가 출소하여 나에게 보복하면 어떻하지라는 마음으로 그 20년을 보내신다면 피해자님도 가해자와 같이 20년 동안 살아있는 감옥에 갇치실 수도 있습니다. 어렵겠지만 그 마음을 헤아릴 수 조차 없겠지만 강해지셔야 정신적으로 건강하실 수 있을 것 같습니다. 마음 다잡으시고 냉정하고 현실적으로 20년 후에 일을 의문형으로 두지마시고 피해자가 복수할 것이라는 가정하에 20년 후를 준비하시는게 어떨지 조심스럽게 생각해봅니다. - 재력을 키우셔서 항시 경호원을 둘 수 있는 재력을 만드시든 - 직접 무술 및 무기를 다루는 강인한 훈련을 하셔서 무력을 키우시든 - 직업을 경찰 및 군인 검사가 되셔서 공권력을 발휘하시든 말은 쉽지만 하나같이 힘든 일이라 생각됩니다. 지금은 무섭고 커보이는 가해자를 20년 후에는 한없이 작은 사람으로 보일 수 있도록 본인의 힘을 키우고 대비해야합니다. 이러한 대비 없이는 20년 동안 피해자님도 공포의 감옥에 갇치셔서 가해자 보다 더 힘든 나날을 겪으실 수도 있습니다. 허막해지는 세상 속에서 남일 같이 않아 남겨봅니다ㅠㅠ 부디 몸과 마음 모두 강인하게 먹으시고 건강하실 수 있으셨으면 좋겠습니다. 응원하겠습니다!!~,243
user-oc2xk8vg1h,제발 무거운 형량을 선고하시길 바랍니다.강력한 처벌이 있어야 피해자에게 조금이라도 위로가 되지않겠어요?불량품은 그냥 불량품일뿐 절대로 고쳐지지않습니다.,191
user-pd1hq9uq3w,사형 제도 부활이 시급합니다. 세금으로 주는 밥도 아까운 인간 입니다.,7
yangkyungwoon,판사님 이 악질은 반성이 없이 상고를 하였으니 가중처벌로 +20년 더 부탁드립니다. 70에는 나와야 합니다.,295
haeunkim6892,"이제껏 판사들이 솜방망이 처벌을 내려버리니, 이제는 범죄자들이 억울하다고 한다. 제발 정신차리고 처벌좀 강력하게 하자.",16
user-oh2ik7oi3b,"이런 사건은 사형좀 시켜주세요..제발! 길거리에서 폭행한것도 너무 큰죄인데.. 성폭행 하려했다는게 너무 소름돋네요 더군다나 피해자 집 주소를 알고 추후에 보복을 예고했는데, 그리고 반성문이라고 글을 쓰고 반성은 거녕 자기 방어하는게 너무 뻔뻔스럽네요.. 가해자를 사회로 돌려보낸다면 또 다른 피해자가 생길수 있다는걸 명심해주세요.. 그 피해자가 본인들 가족이나 지인이 될수도있다는걸.. 그리고 만약 판사나 검찰 경찰 관계자분들이 피해자였다면 이런 뭣같은 판결 똑같이 내실겁니까?? 이런 사건이 일어날수록 국민들은 길거리를 돌아다니는게 점덤 무섭고 두려워질수도 있다는걸 알아야합니다 언제 어디서 당할지 모르는일이니까요, 솜방망이 처벌에.. 가해자는 웃고 피해자는 평생 트라우마를 얻죠.. 물론 모르는 사람을 폭행한것도 살인죄에 해당됬으면 좋겠네요",129
DannyJKJ,"부디 대법원 판사님께서는 피해자의 아픔과 두려움을 헤아려, 20년보다 더 무거운 형벌을 내려주시기를 부탁드리옵니다. 만약, 대법원 판사님께서도 가벼운 형벌을 판결하신다면, 크나큰 실망을 국민에게 안겨주시는 것이오니, 현명한 판결을 해주시기를 기대해보겠습니다.",205
user-se4go5kn5l,대법원서 확실하게 검찰구형대로 최소 35년 이상 부탁합니다.,248
user-xo8ld8tc1g,피해자 보고 나도 울었다. 이게 무슨 판결인가? 정의 죽었다!,16
user-xn6ke9eu6z,죄의식 없는 가해자는 사회에서 격리해야 합니다. 제발 평생 보호받아야 할 피해자를 위해서라도 강력한 처벌 부탁드립니다.,47
user-pv9xm8jk2d,대법원에서 더 무거운 죄를 선고받아야 합니다.,6
jinwj8723,나이 32살에 전과 18범은 진짜 갱생 불가 인생이 범죄인 사람 아닌가요? 저런 사람들은 어디 외딴 섬에 모아두거나 해서 사회와 영원한 격리를 시켰으면 합니다,137
user-dg9jh3pz7s,꼭 강력 처벌 부탁드립니다,116
bongdoo446,대법원 가는게 저 범죄자의 어리석은 행동이고 반성의 기미가 1도 없음으로 인지하여 대법원 판결 20년이상 징역 나오게 해야 합니다. 국민들이 끝까지 지켜볼겁니다!!!,42
