작성자,내용,추천수
SamKim-kr5lu,전과자가 저지른 범죄인데 징역 20년은 너무 짧습니다. 반성은 커녕 보복 예고까지 한 가해자를 최소 50~60년 이상 감옥에 있게 해주세요. 피해자및 또 다른 피해자가 나오지 않게 무기징역이나 사형으로 확정되길 바랍니다.,28
FGLJK,"징역 20년은 분명히 중형이긴 하지만, 대법원에 상고하여 파기환송 후 30년 이상으로 확정되길 바랍니다.",38
jporter5605,징역 20년 너무 짧아요 평생 감옥에서 살아야 하고 사형 까지도 생각 하여야 한다고생각합니다,42
user-yr2lp5fz9d,존경하는 검사님 상고를 꼭해주세요,11
gongjoomcdaniel,30년도 모자라다 이런놈은 평생 사회와 격리가 중요합니다,19
wegottheguillotine1871,이분 인터뷰 꾸준히 봤는데 내면적으로 강인하고 어떤 역경도 이겨낼 분이다. 어쩌면 여성 인권운동가로 우리 앞에 나타날지도 모르겠다 앞으로는 당신의 인생에 축복만 가득하길 바랍니다 부디 힘내소서!,3
nchagil7983,영구 격리해서 평생 고통받도록 해야한다!,2
user-wn2xp2dr2z,사형.이답.저런인간.자식. 태여날까.겁난다!,22
user-hf5fs2ir7n,이현우가 현시각 가장 고마운사람 : 판사,7
user-go6fv4zu9g,형량 넘짧다. 차라리. 최고형 때려라,19
user-qc3hc9mq5t,이래서 AI 판사도입이 제일 시급하다 !,3
user-fh9kf2fo9g,야 20년이면 너무 짧지 않냐 얘또 풀려나면 니네 마누라나 딸을 돌려찰걸??,17
user-cd3od8ub8s,35년쯤 해야 적당하지.,18
user-wz4il2qw5c,대한민국국민이란게이렇게싫은적이없었는데이제나라가쪽팔리고부끄럽다,6
user-pc4dv7wf1s,평생감옥에서 살아라 법원 잘못됨 판정이다 ..,12
user-nm7cn2bk9e,돌려차기 20년도 너무 가벼운 처벌이다.,9
user-zs4zp1wx4m,누가 판사 천당으로 보네는거 아니야? 국민법 감정 ..판사 법 감정을 을 떠나 판사에게 고마워서 천국으로 보네서 행복하게 살도록 하는것이 인간의 도리..,8
Kang-ob7gk,외국은 무섭게 형량 내리는데 우리나라는 챙피하다 이러니 또 법죄저지르지않냐 피해자울면서 20년살고나와도 50 살이라는데 4살 차이라는데 법관이 미치지않고서야 이런 결정을 모든국민들이 항의해야한다,6
user-vk1rc2dz4t,징역의 삶! 교화되길 바랍니다.,6
user-ex5xo2nw7y,반성도 없고 저런 인간은 또 나오면 또 폭력으로 합니다 30년되어야 평생 감옥에서 살아야 하는데,2
user-bi7cx4yk6h,고추가문제니 거세시켜라 다리가문제니 다리잘라라. 그리고 풀어줘라,15
user-vn1jn6ir6n,사람이 아니고 짐승입니다.사형이 답입니다.사형이 안되면 형벌 200백년 내려져야 정상적인 나라입니다.나오면 또 저런짓 할 것입니다!!!!!,3
user-cf6vn4ro6m,왜 20년입니까? 무기징역 해야합니다!!!,3
lobonabeat.,징역20년.. ㅋㅋㅋ 와 무슨 기분일까 20년을 교도소에서 살면.. 진짜 한심한새기네 ㅋㅋㅋ,7
user-ls5uq5gu1k,짐승놈인간에게 왜사형 안시키나요 무서워서 맘편히 살수있겠나요,3
user-lh9vf2nd9v,신상공개하라,8
user-rt5kg3kq1u,성범죄가 겨우 8년밖에 증형되지 않은건 도저히 납득이 안되는데?,4
kyn-gn4zx,무기징역 때려십시오. 제발,2
user-ox7ie1iu8h,판사들도 보복이 두려우니,4
user-ic3zk6kw9k,힘내시고 일어나세요,0
user-jh5iq6ux2t,인간이아닌놈에게무슨법이야영원히사회에서분리시켜야지,2
user-li4ry5vj3d,늙어서 힘 다 빠지면 나왔으면 좋겠다 그래야 이런일 없겠죠,3
user-qb9no3im7l,아무죄 없는 여성을. 기해자가 폭행을 햇잖아요. 겨우 20년이라구요. 말도 안되요. 가해자 20년보다더. 더 늘어나야 되요 무기징역형이 정답입니다 무서워서 살겟어여. ㅠㅠ,2
user-yo5tv5vy3d,한국은 촉법.양형 이 두가지를 없애야 해..사건마다 별도로 형량을 정해야지 왜 기준을 두고 거기에 맞춰 형량을 정하나,3
user-oy2iq6ry8b,외저리 나쁜짓을저질러서 이 좋은 세상에 감옥살이하니 참어리석은 인간이네요,0
you-iw5zt,글초 이런놈 얼굴공개 하라ㅡ20년도 약하다ㅡ 완존 극형에 처해야 한다ㅡ 그정도 약하다ㅡ 딸 가진 부모로선 용납 못 한다ㅡ 판사들도 딸이 있나 없나 ?,2
user-oy2iq6ry8b,죄없는 사람저리 만드니 철벌받아야지,0
user-zs8uf5ut3b,범죄자의 인권 보호가 피해자의 피해 보다 중요하나 ? 공개해라,2
user-jq8cn7sy7f,반성하는 모습도 없는데 20년 동안 억울하단 얘기만 하겠지 제발 모범수같은걸로 나오지마라,3
user-rw5lw8xv4f,징역 20년 흠...?,10
user-nd6dm2bn1y,신상공개 언제부터 하게 됐나요?,4
user-jm2zl1ut7x,아버지가 소주처럼 살지 말고 양주처럼 살라고 했는데... 빵에서 징역 막걸리 술 먹겠다...,2
user-hz1rc4ov1g,자식 힘자랑할때하지 성추행인지폭력인지 당현히받을죄과에합당한판결이라본다,0
user-oy2iq6ry8b,CC 카메라 시대인데 나쁜 짓을 저질러 벌 받아야지,0
user-ox7ie1iu8h,술취한넘이 돌려차기 자세가 ㅋㅋ,6
user-zx1ki1zp3d,참 잘했어요 여신이 살다 나와라 조용히 살아 빵 깐에서는,1
user-zt9vn9wd2p,판사 자식들 찾아갈사람 급구,4
user-yz1bo5lq1j,35년 20년때린판사 피고인친척이냐,4
user-zb2so1oq7y,암살이 답,4
angelalakes8689,Why don't everyone get us together and find out,1
user-ms2nc1fy9n,죽어야 끝나는,4
