작성자,내용,추천수
tacon4441,충격이 얼마나 크셨을지 감히 상상조차 안됩니다. 마음을 잘 추수리고 예전처럼 다시 편하게 일상생활하셨으면 좋겠습니다,18
mcha4936,아가씨가 얼마나 고통스러워서 마음이 너무 아파요 힘내고 끝까지 살아야 해요. 나쁜 생각 잘때 하지마요. 마음 같았으면은 사형선고 받았으면 하는데 그 사람은 숨 쉬는 자체가 너무 살더라고요.,38
josephsong6501,조금이라도 힘이 되고 싶었던 일인이라 탄원서 제출했었습니다. 무기징역 나왔으면 좋겠습니다. 건강하게 행복하게 지내시길 바랍니다.,60
user-jv2qk7hb1o,저런 녀석은 감옥에 쳐 넣고 35년 간 매일 돌려차기 해줘야 남의 고통을 좀 느끼지 않을까요.,63
user-dr5wk2kc5d,얼마나 놀라고 고통이었을까 감히 상상도 못하겠네요 평범한 일상이 힘들어졌다 라는 말이 맘이 아픕니다 용기있는 모습 늘 응원하겠습니다,13
yunkwangll,대한민국 판사는 관대하십니다.,8
user-ip4rs1br9k,저런건 인간도 아니다 무기징역 이상으로 처벌해야 합니다,38
user-vq5yq1ko3d,지켜본다. 힘내시길.,27
user-lu3pe1ry4k,아가씨 그날의 고통이야 그누가 어찌 알까요 제발 이겨내시고 앞으로 행복하게 사시길 바랍니다,4
user-ss4pl4xt8w,판사들의 피해자 인권을 어떻게 생각하는지 알아볼 기회 판사가 범죄자와 피해자 그중 누구의 인권을 중요하게 보는지 알아볼 기회,9
user-rg5ov8ck1m,멋진아가씨를 응원합니다 누구에게나 일어날수 있는 일이다라고 한말이 깊게 남습니다 화이팅입니다,0
user-vi8qf4eq2s,제발 사형제도 부활시켜서 저런인간이길 포기한놈들 사형시켜주세요,5
helloworld402,피해자를 위한나라가 되어야함,5
hyunk2443,감옥 들어가서 나오지마라 얼굴도 공개하고 신상도 다 공개해라 왜 공개안하냐 진짜 개악질인데,18
jiji27ful,"우리나라도 외국처럼 350년 구형때릴 때가 되었는데,,,35년 너무 짧다",48
CB-vm9ol,35년후 사회에 나와서 또 흉악범죄를 저지르지 않을까? 이런 싸이코는 영구격리 해야지 맡지않나.,7
remypark3342,왜. 사형 안 시킵니까? 도대체 왜?,19
user-fr7cu2dp4d,35년이 뭐냐 무기징역 해야지,46
user-global33455,그냥 감형없는 무기징역 가야지...,15
user-cj2rc7rn8t,바지랑 팬티 벗겼다가 입혔는데 이걸로 무슨 시간을 질질끄냐 중국처럼 가해자 장기털어팔아서 피해자 보상해라,33
user-yw6cu1mu5b,35년형이 뭐냐. 무기징역 때려야지. 피해자 나중에 보복 무서워서 어떻게 살아???????????????? 출소하면 65세 요즘시대에 젊은나이인데???? 중국 좀 닮자. 판사 및 재판부 관련 인간들아 니 딸이어도 35년형에 만족할거니???,7
SJ-xi9ff,35년 너무 기니까 짧게 바로 사형가자,7
user-hf7dz9sy8u,범죄자 무기징역으로 감옥에서 죽어야 한다. 판사가 또 감형하겠지. 피해자분 건강 회복하시고 힘내세요.,3
user-mi6ub7gy4b,가해자 신상 공개해야됨,5
user-dktoRlfo,그나마 언론 관심받아서 35년 때린거라 생각함.,32
happy-zt5fl,맞아요.피해자의 입장이 강화되어야합니다.,10
user-ru8vi7yx6t,판사 딸이 저런 상황을 겪었다면 35년같은 년수를 따지며 형량을 때릴수 있을까?,15
user-lw2xi8xs3w,평생 밖에못나오게 해야됨 ~인간이하는 엄벌에 처해야함~,3
user-ez1yn7rv1g,사형이 답이다!!!,13
user-mt1cs8vx1r,이런인간은 평생 감옥에서 못 나오게해야조 그래야 이여자분 평생 편하게 생활합니다,10
maestrok6520,왜 사형이 아니냐고 아 정말 국회 제대로 일 안할래?,20
user-ef6nb8tl8v,흉악범들에게 날개를 달아주는 개판사 들 자기딸들이 반드시 이런일을 당하기를 ...,4
user-vy1db8sn9n,35년 세금이 아깝다 자비는 인간에게 베풀자,4
yeonheewoo9803,잘했다 35년 구형 !!,36
user-ie7qd7sj4x,그래도 지도 인간이라고 살기위해 안간힘쓰는 모습이 참 그지같네 그냥 반성하고 주는벌 다 받아라 그게 인간이다,15
user-dp5tb8uk9p,왠일로 미국처럼 제대로된 판결을 하였군요 이런 선사례들이 많아져야 범죄가 줄어듭니다 음주운전시 평생 면허 발금못하게 해주세요 잠재적 살인자입니다,32
user-nc7jp4yn2,35년 너무 짧다 미국은 15살 남자애가 같은 또래 여자 친구을 114차례나 찔려서 죽게 했는데 판사는 바로 종신형을 내렸던일이 있습니다 대한민국도 사형제도가 없으면 년수가 아닌 종신형을 내려 주셨으면 하는 바 입니다,7
wise1633,1심도 그렇지.cctv보면 범죄자가 나가면서 바지를 정리하며 나가던데 그걸 보고도 성범죄를 인지못했다고?,10
skysky6028,엄벌에처해야한다,7
user-mh6lx4hj9s,신상공개하세요! 최소 무기징역,10
user-zq6gv1fq1u,인권위원회가 저런 악마들 보호해주는 집단이지? 그래서 신상공개도 못하고 있지?,7
user-mg2id1mk2g,의식을 잃게한 목적이 성폭행말고 뭐가 있겠어요,8
user-ih3dc7ef6t,아가씨 후유증이. 얼마나. 힘드시겠어요. 딸과 같은 사랑받아야 할. 분이.,2
user-rd4qr8fk6u,35년이아니라 무기징역 때려야합니다한마디로말이죠 인간으로서인생포기한놈입니다,2
user-un7tv7vn9c,아..아직 구형이네... 그냥 다시 못돌아왔으면,13
user-iw1fv6kc3h,너무 너무 잘되었어요,3
user-mi6ub7gy4b,내가 피해자인데 가해자에게 솜방망이 처벌하면 이민가고싶겠다,3
user-zn2zl9qr9e,판사는 또 어떤이유로. 감형해주는지 살펴보자,6
starmoon-,아ㅠ 35년이라도 저인간 28살이던데 다시 나와도. 60대인데 ㅠ,7
jtj5540,와. 저런것들 걍 싹 죽였으면 좋겠다.,2
user-lj6jq7nb3h,검찰이 형량을 구형하면 판사는 말되 안되는 양형의 이유로 검찰 구형에 반도 안되는 형량을 선고하는 경우가 너무 많다. 검사가 구형한 형량대로 선고해라 좀...,1
user-zn2zl9qr9e,가해자를 손발 묶어서. 피해자 가족에 넘겨라. 2시간만,5
