작성자,내용,추천수
user-fk9ky2zv4t,가해자 엄중처벌해 주셔요... 딸 가진 부모로서 정말 기가막힌 상황입니다...ㅠㅠ,1.7천
user-cy7fe7pt6b,피해자입장에서 이렇게 용기내서 인터뷰하는모습이 너무 멋있네요..힘내서 하루빨리 몸과마음이 치유되길 바랍니다,1.1천
user-vx1yd2uf2w,탄원서 제출 했습니다. 제발 강한 처벌로 다신 피해자에게 보복 할 수 없게 됐음 합니다. 숨지 않고 담담하게 말 하는 의연한 모습에 감동 받았어요. 응원합니다,1.2천
torontokitty2511,저도 방금 탄원서 제출했어요... 씩씩하려고 힘내려고 하는게 얼마나 죽을 힘을 다해 애쓰고 있는 것인지 알것 같아 마음이 아프네요. 이 사회에 정의가 살아있음을 판사님들 보여주십시요. 가해자에게 엄벌 내려주세요.,151
tfgf21,"판사님!!제발 당신의 자녀가 겪은 일이라 생각하고, 엄벌에 아주 무겁게 처벌해주세요.... 사회에 나오면 안됩니다.",480
jennyjunyable,탄원서 제출했습니다. 영상을 볼때마다 피해자분 고통이 체감되어 손이 부들부들 떨립니다. 제대로된 형량이 내려질 수 있도록 모두 힘을 모읍시다! 피해자분의 용기에 박수를 보냅니다,137
user-cr2dz2ty8w,가해자 감옥에서 절대 나오지 못하게 해 주세요. 인간 쓰레기를 소각하든가. 피해자분 당신을 응원합니다.,932
soul76054,피해자분이 힘내셨으면 좋겠네요..티비로 접하게 되었는데 화를 넘어선 분노가 치밀어 오르더군요..가해자가 합당한 처벌을 받을 수 있길 저도 바라겠습니다.,646
1206kohjin,당신은 정말 용기있는 사람이다. 당신의 앞날에 더이상의 불행이 없기를 바랍니다.,419
user-qc1kg9df1c,너무 마음이 아픕니다... 가해자는 다시는 세상에 나오니 않아야 합니다.,109
hobbyworld7624,탄원서 쓰고 왔습니다. 피해자분 응원합니다. 건강부터 되찾으시고 후유증이 남지 않으셨으면 합니다.,396
user-oz6qp3bt3n,피해자분 진짜 강한 사람이에요 많은사람들이 같이 아파하고 분노하고 응원하고있으니 재판 끝날때까지 힘내세요. 진심으로 응원합니다,36
doredoremimifa7627,가해자 이놈은 평생 감옥에서 썩어도 모자랄놈이네요.. 사회에서 영원히 몰아내야할 추하고 모자란 인간... 이런 불합리하고 어려운 상황에서도 용기내신 피해자분 정말 대단하세요. 진심으로 지지하고 응원합니다,580
user-rg2ur9jv4y,피해여성분 힘든상황 에서도 씩씩하게 헤쳐나가려는 모습 너무 보기좋아요 피해여성분을 가해자로부터 안전하게 지켜드리고 싶어요,273
cokim5019,꼭 이겨내서 저 흉악한 가해자에게 용서없는 엄한 벌을 내려지기를 응원합니다! 저런 인간쓰레기는 절대 고쳐지지않습니다. 더 이상 다른 피해자가 나오지않게 사회에서 완전한 격리가 필요합니다.,393
user-qu2zg9ls4i,용기에 눈물이 납니다. 응원합니다. 건강하시고 행복하시길 기도하겠습니다.,30
user-mp6sw6fu2u,제2의 피해자가 없도록 용기내어 목소리를 내주신것에 박수를 보냅니다 평범한 오늘의 일상이 얼마나 감사한건지 귀한 깨달음 주심을 감사드려요 몸과 맘이 회복되고 치유되시길 소망합니다♡,227
user-bo7mr2pk5i,이 여성분 정말 놀라운 통찰력과 지성을 가진 것 같아요!! 정말 한 인간으로 멋지고 존경합니다. 저보다 한창 어리지만 짧은 인터뷰를 통해 정말 많이 배우고 갑니다! 감사합니다! 그리고 여성분 용기 응원합니다! 잘 이겨나가서 더 크고 훌륭한 삶을 사실 것 같아요! 잘 극복하시고 일상의 회복과 이 사건을 계기로 얻은 깨달음을 바탕으로 더 풍성한 삶을 사시길 기도합니다!,21
U2HS1D,다시 감방 집어 넣읍시다. 포기 하지 마시길.,1천
user-zb7kg7zm2x,영상을 보고 끔찍함에 너무나 놀랐고 화가 치밀어 오르더군요. 가해자는 엄벌에 처해야 마땅하구요. 피해자분 힘내시길 바랍니다.,216
user-dt8wq9mf2h,탄원서 제출과 꼭 치료후 일상생활로의 복귀를 하시길 바랍니다.,470
user-qt1xg9ho8l,"눈물이난다..힘내요, 강력처벌 탄원서 참여로 도울 수밖에 없다는 게..",245
mh5225,피해자분 잘못이 아니예요. 그런 놈들 법으로써 혼내주고 새로운 삶 더 열심히 사는게 최고의 승리예요. 이겨내가고 있는 당신은 멋진 사람이예요! 스스로 당당해지세요! 힘들면 주위분들과 병원치료로 꼭 도움받으세요.,22
user-br7xi4ly9s,가해자는 벌을 받아야 합니다. 감옥에서 나오지 못하게 해야 합니다.,350
user-te2vp7zr4j,가해자 엄벌 탄원했습니다. 피해자분 힘내시고 부디 평범한 삻을 다시 살아가시길 바랍니다.,192
user-go7hs1iw4n,피해자다움을 포기한게 아니라 피해자들에게 새로운 길을 보여준 것이라 생각해요. 꼭 준비하신 대로 가해자에게 정당한 형벌이 내려졌으면 좋겠네요 미래에 생길지 모를 피해자도 보호하는 멋진 행적입니다,59
user-pp9ci9iv4c,탄원서 제출했습니다! 더 많은 여러분도 참여해서 꼭 가해자가 엄벌을 받도록 합시다!!,45
user-bo3dq6ly9v,용기내주셔서 감사합니다. 육체와 정신적 고통에 힘든나날을 보내실텐데 잘 이겨내리라 믿습니다. 그리고 가해자 이놈은 전과도 수두룩하고 살인미수까지 저질렀는데 겨우 12년이냐! 출소하면 겨우 40대다. 또 누군가 죽고 다쳐야 정신차릴래? 판사님들 제발 자기 자식들이 당했다고 생각해보세요. 정말 화나네요.,96
durumari87,가해자에게 법적 최고 형을 선고해야 하고 피해자는 국가가 나서 회복하고 모든 면에서 일상으로 돌아올 수 있도록 도와야 합니다. 안타까운 심정으로 피해자의 회복을 기원합니다.,12
user-wx5jp6tg3z,이세상에 정의가있다면 제발엄중처벌 바랍니다,219
user-cq4nv2un5w,볼때마다 너무 마음이 아프네요 저렇게 이쁜 사람을 어떻게 ㅠㅠ 화가 납니다 이분이 빨리 좋아졌으면 좋겠어요,129
anarchist4672,용감하게 맞서고 계시는 피해자님에게 응원과 지지를 보냅니다. 어떠한 어려움이 있더라도 이 어려움을 극복하시어 주위분들과 더불어 해맑게 웃는 얼굴로 사시기를 응원하겠습니다.,33
jsm103038,너무 마음 아파요... 씩씩하게 회복하고 있는 모습에 감사드려요. 가해자를 위한 나라 이 사회는 바뀌어야함을 절실히 느끼고 갑니다.,4
user-jj2om5uf8e,당신은 잘못한게 없어요 너무 큰일을 겪어서 엄마같은 입장에서 마음이 너무 아파요 피하지 않는 당신을 응원하고 당신의 이야기에 귀기울이고 함께 할게요 힘내세요,82
songhui7396,가해자 12년 확정되고 나서 본인이 12년 시한부를 받았다는 표현이 확 와닿네....,47
bulletproofchin7365,이런놈은 능지처참시켜 사람들로 하여금 경각심을 갇도록 표본으로 삼아야한다.,342
user-jl1dy1ud8n,쓰러진 모습에 후유증이 있지 않을까 걱정 했는데 그래도 어느정도는 회복하셨다니 너무 다행입니다.부디 완쾌하시길 바랍니다.,49
