작성자,내용,추천수
user-qm7si4tt3o,판사들도 정신 좀 차립시다. 당신들이 피해자를 만들고 있다고 생각 좀 합시다.,3.8천
rayfreeman1004,가해자들에게 관대한 우리나라의 양형 제도를 과감히 바꿔야 한다.,1.4천
user-wj2di6tw2n,판사가 판결책임제를 도입해야된다. 자신이 판결한 범죄자가 출소후 5년이내 재범할경우 판사에게 불이익이 가도록 해야지 판결을 세게 내림,1.2천
eyc1499,사형제도 부활해야됩니다 그래야 함부로 죄를 짓지 못합니다,150
user-qv7jt4cr8g,"폭력은 다 제끼고, 피해자가 사망할 경우 실수던, 고의던 무조건 가해자는 사형으로 가야해... 너의 목숨과 나의 목숨을 둘다 걸고 가는게 형평성에 맞지...",1.4천
user-vk5dt3qi8q,강간은 제발 무기징역때리는게 인간적인 도리아닌가요… 적어도 50년은 받아야..한사람의 평생 인생을 망쳤는데 가해자는 겨우 감방 들어갔다가 나오는게 말인가..,142
dayairy1834,딸들아 차라리 그냥 참지말고 너가 찔러 죽여라. 영정사진보단 지명수배사진이 낫구나. 나라가 지켜주질않는데 스스로라도 지켜야지... 참담하다.,1천
kr_user,제발 판사 검사 국회의원 자녀들한테도 저런일 꼭 일어났으면...,408
user-ii9sb3wn7c,이런 범죄에 대하여 제대로 처벌을 하지 않으니 자꾸 이런 일들이 벌어지는 거다 나라는 무조건 엄하게 처벌해 두 번 다시 이런 일이 벌어지지 않도록 해야 할 의무가 있다!!,304
user-lr8th9qk8c,무섭다 저런인간 영구격리 합시다 ! 제발 법좀 바꿔주세요ㅠㅠ,58
user-gn5fw2us9b,법이 문제고 판사가 문제를 더 키운다는걸 명확히 보여주고 있다,36
user-so7bs1xe8m,"진짜 말 그대로다. 범죄를 키우는 구조이다. 아무리 전과가 있고, 증거가 있어도 무슨 놈에 처벌 받게 하려면 피해자가 애써야하고, 형량도 적고ㅡㅡ 신고해도 문제고 ㅡㅡ 처벌해도 문제 잖아 ㅡㅡ 무슨 당하고 살아야하나? 저런 범죄자들 적어도 드러나는 것들은 사회에서 좀 추방해라 영원히",29
user-nw5uc7ll3q,피해자가 용서를 안하는데 왜 판사가 용서를해,698
JunhyeokKu,판사님들 이번 두 사건을 계기로 정신 좀 차렸으면 좋겠습니다. 평범한 생활하던 피해자들 일상적인 삶을 앗아가고 뉘우치는 감정도 없는 인간들 왜 그렇게 봐주나요 정말 요즘 사건들 보면 화가 나서 끝까지 볼 수도 없습니다.,101
user-nf6to3gq7s,ㅠㅜ피해자분들이 빨리 회복되길 바래요,70
solja7971,미쳤다.. 법이 만만하니까 성범죄가 판을 치는구나 강간 양형 검색해보고 저질렀다는게 그 증거다 진짜 사법부 정신 좀 차려라…,55
user-mo2vr7hy2y,판사를 AI로 바꾸든 이런 극악무도한 사건의 형량을 말도 안되게 판결을 내리는 판사를 국민들이 탄핵할수있는법을 만들던 해야지 국민의 세금으로 월급받는 판사가 왜 국민들 마음을 이렇게 매번 답답하게 만드는지 정부는 큭단의 대책을 마련해라,779
