작성자,내용,추천수
user-tm9lx3ij6d,제발 피해자를 보호해주세요..!! 못하겠으면 제발 가해자를 엄벌해주세요..!!,1.4만
raraprincesspuppy13,제발 피해자좀 살려주세요ㅠㅠ 안그래도 두려움에 떨고 있으신데 제발 진짜 제발..ㅠㅠ,9.8천
sinyoungpark7210,만약 판사들이 이 방송을 보고 감형을 해준다면 그냥 이젠 범죄자들이 맘놓고 사고 한번쳐도 되는세상이 되니 판사들이 제발 이방송을 끝까지 보고 선처해주지 말고 무기징역으로 해줬으면 좋겠다,7.6천
user-sl2zc4dd4l,전과 18범인 놈이 이 사회에서 아무렇지 않게 돌아다닌다는거 자체가 말이 안됨.가해자가 오히려 더 화를 내고 보복성 발언까지 한다니 .. 진짜 어처구니가 없고 열받는다. 저런 놈은 평생 가둬두고 죽도록 일 시켜서 그 돈을 피해자에게 줘야 한다.,35
mileilsel,제발 피해자 보호해 주세요,3.4천
dreadnoughtjw5756,"진짜 말도 안된다.. 이런 일을 중하지 않게 넘기면 사법부도 나라도 분노와 비난을 피하기 힘들 거다. 국민들이 납득할 정도로, 보복이 일어나지 않으리라는 확신이 들 정도의 형벌이 반드시 필요하다.",120
gkdyos,한사람인생 망쳐놨는데 12년이라니 뉴스접한 나도 무서운데 피해자는 얼마나 무서울까 ...감히 상상하기 힘드네요,3.4천
Lucas-gz8sy,"그는 전과가 굉장히 많고 이미 강간죄가 있는 자 입니다. 온갖 협박 메시지를 보내는 가해자를 법원이 인지하여, 그가 법이 허용가능한 최대 형량을 받아서 피해자들과 제보자들이 두려움울 겪지 않게 해주세요. 그는 결국엔 살인범이 될 사람입니다. 그걸 방지해야하는 법원의 역할이 있습니다.",5.6천
user-cc2hz9ez8y,죄의 무게를 떠나서 피해자에게 보복성 피해가 우려된다면 그에따른 조치가 분명히 있어야 합니다.,5.1천
user-so7bs1xe8m,"무기징역 당해도 싸다고 ㅡㅡ 한 사람의 인생을 비극으로 만들었는데다가 보복 드립을 치고 있는데 ㅡㅡ 다들 남일이라고 생각하지맙시다. 세상에 저런 인간이 한 둘 아닐 것이고, 우리 가족도 당할 수 있다.",203
Mia-cc9bm,피해자를 보호해야 합니다ㅠㅠ,4.1천
user-dt3ql6nk1d,미쳤다 반성도안하는데 형량이 과도하다고.. 자기가 한 짓은 더한데 억하심정을 갖고 있다니 법이 더 강화되어야한다,13
