작성자,내용,추천수
user-vq1kf9cm2g,미국:피해자가 용서했지만 판사가 용서안함 한국:피해자는 용서안해줬는데 판사가 용서함 이말이 너무 와닿는다,2.4천
user-st7yf2sf4r,제발 항소받은 판사님 뻔뻔함과 반성의 기미 없으니 50년으로 형량을 주세요,1만
suscvha804,너무했다 겨우 12년이라는게.... 진짜 여자분 다시 신체적으로 정신적으로 꼭 건강하시길 기원합니다,8.3천
springgold2543,12년 후가 걱정인데 12년 받았다고 항소를 하다니.. 저런 인간 말종은 제발 사회에서 발 못붙이게 해라 진짜,111
su-tg7pb,"신상공개를 가장 두려워하니 가해자 신상을 언론과 직장, 사회에 몇년간 공개해야합니다.",3.4천
user-kf2yw2gw7q,너무 잔인한게 머리를 발로 후려치니 여성분 몸에 경직이 왔어요 다리가 쭉펴지고 팔도 경직되어 뻣뻣하게 되었을때 영상 보며 아... 죽었겠구나... ㅠㅠ 했다고요... 살았다고 해서 정말 다행이라고 눈물이 났어요 ㅠㅠ 제발 범인을 사회로 내보내지 마세요 고추를 잘라 버리면 좋겠어요 감옥에서 누가 안 죽여 주나요? 저 시키 감옥에서도 대장 처럼 사는거 같은데요.,42
user-te8bh3pb8n,12년 지랄하고있네 사형이 적당하다고 생각한다 2심에서는 꼭 최소 30년 선고 하시기를 바란다,3.3천
hallyang0920,항소 했으므로 형량이 더 높아야 한다고 생각합니다. 반성한다고 깎아주는데 반성 안 하면 형량이 추가 돼야 하는 게 맞죠.,8.4천
user-oc2lk6ck4d,더 큰 피해자가 나오지 않게 아주 오래 오래 사회와 격리 시켜야 해요 피해자분 빠른 쾌유 바래요,3.3천
KK-ij3dr,피해자에게 장애가 생긴다면 남은 인생 피해자한테 발생하는 모든 병원비와 생활비를 부담해야하게 법 좀 바꿔주세요,68
user-bp6xn3mz1j,피해자가 의식을 되찾은게 진짜 기적입니다. 사각지대로 데리고 가는 것도... 할말을 잃게 만듭니다. 피해자 분 힘내세요.,488
user-pw8df7yj7x,남을 지키라는 기술로 뒤에서 공격하는게 정당한가?? 대단하다.. 가중처벌해라,32
user-zg4bh5hl4d,저런 정신병을 가진 인간이 다시 나오면 또 다른 사건들이 생깁니다. 꼭 반성도 없는 쓰레기는 무기징역을 보내야됩니다.,3.2천
