작성자,내용,추천수
user-um7mg2rp9z,보복하겠다고 벼르고있다던데.... 그게 왜 가해자 주댕이에서 나오는 말인지.. 어처구니가 없고 피해자분은 얼마나 두려움에 떨어야하는지..제발 지켜주세요. 영구 사회격리 좀ㅜㅜ,3.3천
jaydenjang,"판사들이 감형해줬는데 재범 할 경우, 해당 판사 및 변호사 등에게 불합리한 페널티를 쌓게하고 반대의 경우, 베네핏을 줘서 막무가내 감형을 막아야 된다 생각합니다. 전과 18범이 있을 수 있지만, 전과 18범이 이제 고작 30살 정도인게 참 황당하네요.",6천
user-dn3mw8bv4p,아진짜.. 씨씨티비 저장면 볼때마다 심장이 철렁거릴정도로 충격에서 헤어나오지를못하는데 피해자분은 얼마나 고통스러웠을지 감히 상상이 안된다...,4.9천
orangeb2981,전과 18범을 반성한다고 8년이나 감형한 판사들도 공범입니다. 사회에 풀어서 더 많은 피해자를 낳게하는 결과입니다. 판사되기 부적합한 무능력한 판사들이 너무 많다.,627
ne3615,처벌이 너무 약하다는걸 온국민이 느끼는데 이제 진짜 법도 달라져야한다는 걸 느낄텐데 언론에 나와야 강한처벌이 된다는게 참 … 강력하게 범죄자는 처벌이 필요합니다,3.7천
johnAshpool,이에는 이. 눈에는 눈. 돌려차기 한 저 다리를 절단해서 평생 불구로 살게 하는 것이 최소한의 처벌이어야 할 것 같습니다.,668
user-ne5nv7tv2e,이런 범죄자가 경호업체에 다녔다니 정말 대단한 나라다 그것도 성범죄자의 대장 이었다니 이번엔 제대로 처벌 받기를 그리고 이런 범죄자는 신상공개가 답이다,4.9천
kbsmd0,판사님 존경합니다. 그러고도 밥 잘 먹고 사는거 보니 뻔뻔함이 참 존경스럽네요,4.5천
jamongunni,방송보고 너무 충격적이었고 오죽하면 피해자분인터뷰가 포함되어있을까 싶었어요. 경비업체일했던 건장한 남자가 자기보다 약한사람을 상대로 발차기라니..ㅠ 많이 알려져서 사람들 관심도 높아져서 법도 바뀌었으면 좋겠어요.,2.6천
user-ux9qo1kt8i,판검사의 딸이라면 어떻게 될까? 똑같이 처벌할까? 사람 고쳐쓰는거 아니다. 사지를 절단해라.,275
user-oo1yb3vk1n,전과 18범이라던데...저런 인간이 세상밖에서 자유롭게 살게 도와주신 법조계 분들...참으로..존경받을만한 분들이십니다.....,520
hahymn,제발 법좀 강력하게 처벌 해주세요.....ㅠㅠ,45
dungmin2028,깃털 같은 처벌이 어떻게 사회에 되돌아 오는지 여실히 보여주는 현실이다 사법부 제발 정신 차려라 전과가 수두룩 한 인간을 왜 자꾸 사회로 내보내는건데,3.2천
yyddjjj,어떻게 살아야 21살짜리가 저런 짓을 하고 다닐까... 진짜 악인은 타고나는 건가 보네. 기가 차다.,1.9천
Sam_Sung_Car,10년이 지나면 강산도 변한다고 하지만 돌려차기 범인은 아직도 변한 것없이 그대로라서 충격적이다.,4.5천
user-kw5po7nm3f,약자한테 힘쓰고 들쳐 업고 가는 꼬라지 진짜 소름 끼친다. 피해자는 숨고 쓰레기들은 활개치도록 놔두는 대한민국 판ㆍ검사들 참 한심하다.,23
user-qe6li8yn8b,"이런걸 보고도 판사들은 초범,반성,아직어린점,교화 같은 단어를 판결문에 적고 싶을까요. 이미 사람을 공격한 맹견을 두고 '이 맹견도 착해질 수 있다면서' 행동교정도 안시키고 사회에 다시 풀어놓는 판사들도 가해자입니다. 그리고 와이프도 있는데 어린애하고 성매매하려다가 당하신 성매매미수 피해(의)자분은 동정 1도 안가네요. 쓰레기짓 하려다가 핵폐기물을 만난 케이스",1.4천
