작성자,내용,추천수
user-sc1qu8ot7q,피해당하신분이 저렇게 카메라앞에 서는것 조차 힘들텐데 대단한 용기네요. 끝까지 국민들이 지켜봐야 합니다.,634
killma683,"제발 최소 무기징역으로 판결받기를 기원하며, 보복법죄 없도록 법의 엄정함을 일깨우도록 정말로 부탁드립니다. 법원이 국민을 지켜줄 수 있도록 간절히 부탁드립니다.",393
wansuckou9859,피해자보다 가해자 인권을 더 중시하는 미친 일부 판사놈들에 행태에 분노하며 검찰은 반드시 상고해야 합니다.!,733
user-fv6dm7vy5e,당연히 가석방+감형 없는 무기징역 받아야지요 ~ 간절히 부탁드립니다,793
Hongfficial,"법은 시대에 발맞춰 변해야 합니다. 기존의 법례에 따라 형량을 결정하는 것도 저는 물론 지지하고, 판사님들의 결정에도 다 이유가 있겠다고 믿어 의심치 않으나, 수십년 전의 판례들만을 기준으로 하실 필요는 없으실 것 같습니다. 이번 일을 계기로 상식상으로 '적법한' 새로운 판례를 남기는 것도 좋아보이고, 나아가 시대에 발맞춰 '촉법소년'법도 없애지 못한다면 개정이라도 했으면 하는 바람입니다.",197
user-im3yd8lw7k,만약 상고가 되서 형량이 낮아지면 국민들이 불같이 일어날 겁니다. 이번만큼은 가만 두지 않을거라 봅니다.,334
user-yy8zb7zk8v,이 사람이 살면서 저지른 수 많은 죄들.. 가중처벌 해야 마땅하다고 생각 됩니다. 무기징역 선고가 답이지 않을까요?,243
zeeaegiyoo9277,최소한 무기징역은 받아야 정의구현에 부합한다! 미국을 비롯한 외국의 경우를 봐도 우리나라 사법부는 지나치게 소극적임!!!,407
user-fe6mc3sc4q,반성 없는 범죄자는 형량 50년에서 100년이 맞다 사회와 완전 격리 시켜야 합니다. 2차 3차 피해자가 나오지 않게 출소 하면 또 다른 범죄를 저지릅니다.,112
thc6896,판사가 제정신이 아니야...정신상태 검사 해야돼..이놈의 나라는 인권보호를 어디다 붙여야 하는 지 그것도 제대로 이해 못하고 있어..이러니 범죄자 판치고 마약판치고 나라말아먹지,298
stevem4213,국민들의 법 정의는 무기징역이 합당하다고 본다.,190
kangoo78,화가 많이 나네요 ㅡ왜 악마 같은 사람을 법으로 사형이 안되나요? 제발 국민들의 목소리에 귀를 기울여 주세요...,79
user-jt2ui4ts3r,국민여러분 대한민국법은 범죄자와 변호사를 위한법입니다 신상공개 의미없구여 형량을 늘려야합니다,140
user-ix6hs9xg3j,우리 가족들도 당할수있는 문제이다 형을 확실하게 만들어줘서 절대로 다음피해자가 안나오도록 해야한다,122
user-hu2xn6bk7e,솜방망이 처벌 완벽하게 없애는 방법이 있다 중범죄자가 출소후 의무적으로 해당사건 판결한 판사 옆집에 살도록 하면 된다 그러면 판사들이 정말 이 범죄자가 다시 사회에 나와도 되는지 여부를 그 누구보다 신중하게 고려해서 최종 판결할거다,201
user-ft1gv6rv5p,국민들이 더 신경써야 할텐데,128
user-lu7kk6ju6u,내 딸이라고 생각하면 ㅜ 정말 철저한 사회적 분리가 필요해보입니다 제발 피해자가 평생 편한 삶을 살수있게 되면좋겠어요 !!!,21
dltkd239,이번결정이 대한민국치안을 결정짓는 중대한 사안이다..저런놈을 활개치개 형벌을 쉽게 내리면 절망이다..ㅠㅠ,128
user-jx3ii3pk7h,진짜 그어느 범죄자 보다 더 나쁜놈이다 제발 검찰 항소하길 바란다,79
namkyuim1167,보통은 피해자가 수치스러움+공황장애 로 대중 앞에 서기가 매우 힘들죠. 피해자분이 용기를 내주신만큼 이같은 일이 다시는 없도록 이 사안은 특별히 다뤄야한다고 봅니다.,5
panpyrin81,범죄이력이 화려한놈이 저렇게 계속 범죄를 반복적으로 저지르는데도 솜방망이처벌이 피해자를 더 많이 만들게 하네요,75
bigmuscle8728,제발 이런놈들은 사회에내보내지말아주셈. 사형이라도할거아니라면 격리라도 확실히해야지. 나와봐야 멈죄나 저지르고 사회에 아무런도움이 안됨.,44
user-xf5bt2dl4i,"제발 대법원에서는 피해자와 피해자의 가족, 그리고 전국민들이 합당하다고 생각할만큼의 판결이 내려지길",2
sunnybegood334,형량도 형량이지만 범죄자 인권만 보호해주는 거지같은 신상보호 체계부터 없애라... 장난하냐? 출소뒤에 신상공개? 유죄확정판결 즉시 전부 공개하라~~.,69
NaNaNa-go6dp,남의 인생 망가뜨리고 본인은 억울하다? 하 참...반성이 1도 없다,15
naviaclub,대법원 판결을 받아야 하는데 저런 범죄자들은 천벌을 받아야 마땅한데...,23
user-jn7bx6bp2j,대한민국이 가해자의 보복살인을 협조하는 국가가 아니길 바랍니다,46
