작성자,내용,추천수
user-yu4vb3dy6o,어떻게 20년 밖에 받지 않은걸까? 무기징역을 때려도 모자를판에,24
milk_buddy,제발 싸이코패스 검사를 전국민 성인들을 상대로 확대 실시해라… 이런 끔찍한 범죄자에게는 출소후 관대한 판사랑 같이 살게해줘라.,23
user-tv3jd6el3h,강호순이랑 똑같은 점수인데 전과 19범될동안 아무 판사도 조치를 안했네 ㅋㅋㅋㅋ 심지어 항소심 20년 ㅋㅋㅋㅋㅋㅋ,27
kimduseoung,사형이 답이다,14
micael2005,무기징역 선고합시다.,6
user-rt5kg3kq1u,이렇게 위험한 범죄자한테 겨우 징역 20년이라니 더 많이 내려야 되는데,0
user-xg9cg5zw2x,사이코패스는 교화에 시간이 더 많이 걸리니 기존 형량의 2배는 더 교도소에서 교화시켜야 되는 것 아닌가요? 이렇게 되면 아마 사이코패스도 검사 받으면 점수 낮게 나올 듯,6
DAWN_w,누가봐도 싸이코패스라서 하나도 안놀라운 사람 개추,9
noedongmaemaeneunjug-eum-ida,정말 어이가 없다,2
user-yo8wy5ky6z,안타깝네요. 혹시 수녀원에서 지내면 안전하지 않을까 싶네요.,0
user-ps8mj8cf7q,이제는 수능 보다 싸이코패스 셤 부터 도입해야겠네요 무섭다,3
rhino5170,걍 사이코패스 들은 다 사형시켜라,0
user-tm3cy3wl8i,얘가 18범이라면서요. 그건 갱생의 여지가 없는거죠. 애초에 강력한 처벌해서 진작 사회로부터 격리했다면 이번 사건같은 또 다른 피해자 안나왔잖아요. 재범 위험률이 대단히 높다면서 20년밖에 안때렸나요? 50에 나와서 또 사람하나 죽이겠군요. 좋은 나라입니다 대한민국.,2
user-oy4xt5rb9y,20년뒤에 사람죽이러 다니겠네...,8
christinepark7805,무기징역가자,4
user-hv9mw2kn9i,5범 이상부터는 무기징역 법안 만들어라,0
anktks1143,이런데두20년?을준거라고..?,4
user-sd9rj6mk5z,25점이면 사패라는 기준을 만든것도 인간임,0
user-qc3nr7ck6o,사건 내용만 봐도 알겠던데! 정상이 아님!,2
wie273,부산시장은 뭐하냐? 엑스포 유치 때려쳐라 치안도 안 챙기면서!!,1
Unknownuser0515,무슨 범죄자 신상도 공개안하곸ㅋㅋ겨우 20년ㅋㅋㅋ말도안나오넼ㅋㅋㅋ 법좀 개선해라 진짜….뭔 법이 삼류나라보다 못하네,1
user-ji9zb3uc6w,불쌍타.우에 그런병에 걸렸누.,1
whens7,저기 나온 사람들이 싸이코패스인건 확실하지만 검사들이 이상한게 나도 군대에서 정신에 이상이 있다던데 난 얘들이랑 잘 지냈고 현재도 개발자로서 잘 지내고 있음 게다가 몇몇 멀쩡한 얘들도 정신에 이상이 있는걸로 나오던데 저런 검사가 정확한건지 모르겠다,0
today6061,25점 24점은 하늘과 땅차이,1
user-bi3zl6ic9u,20년후에 사람 하나 죽겠네,1
dunkin_priest_kis,교도소가 더 편한가보지...,1
hayo8248,첫 하반신 제거형,1
regeneration5808,사이코패스면?,1
user-vc6vi7xg8f,이제 좀 그만 영상 올리세여 다 아는사실 말로 하면 대지 자꾸 보여여주네 피해자는 떠올리고 싶지 않을텐데 자꾸 보여주네 당신들도 2차 가해자 대고 싶나요 진짜 볼때마다 열받네 차라리 그놈 면상을 올리세요,5
KH-cr6jd,1,0
user-ed9yv2vx3w,부산 돌려차기 사건은 대한민국 사법부 책임!!,7
