작성자,내용,추천수
hanni0722,전과 18범인데 반성문 하나 썼다고 감형하는 판사 레전드~~~~대단하십니다.,956
saisai-kx8lb,가해자는 피해자보다 더한 두려움 속에 살아야 한다 그게 정상이다,204
user-sm2sq6ny3j,전과 10범 이상이 길거리를 아무 제약없이 돌아다닌다는게 놀랍다 이나라의 판검사들 존경합니다,124
serre5965,드립 아니고 진지하게 AI가 대체해주길 바라는 직업 1위는 판사입니다 진짜예요 제발 대체되길,94
user-jw2rm4zh5j,판사들도 정신교육이 시급한듯.. ㅉ,295
allk1754,"판사는 이제 40살 이상에 검사, 변호사 경력 10년 이상된 사람만 자격을 주자. 전문성도 중요하지만 인생의 경험도 중요함.",141
choop1989,힘없는 여자한테 범죄 저질러 놓고 인스타에서는 세상에서 지가 제일 강한척ㅋㅋ 그냥 역겨워서 토 나올것 같음,26
user-ud4us2oh6w,범죄를 정당화하는 사법부라면 네티즌이 나서서 공정한 사회를 만들어야겠어요,2
user-hy1gs4tz9l,저가해자가 진짜무식한게.. 피해자분께 사죄를해야지 구치소에서 탈옥해서 죽이러가겠다라는 저딴말 꺼내서 시민들이 빡치니 인스타등 찾아가서 살해협박.욕설등하는거지.. <=안불쌍함. 인과응보란결과니깐,446
jazz.master,카라큘라님 응원합니다. 이런게 진정한 정의지요. 구독하고 갑니다 앞으로도 힘내시고 피해자 편에서 응원해주십시오. 성폭행 피해자로서 정말 진심으로 감사드립니다.,5
user-hb9ui5bg5s,내가 카라큘라의 구독자라는게 자랑스럽다 구독자를 자랑스럽게 해줘서 고맙습니다,64
user-yj5sv2rw2p,"저런 전과 20범이 여친이 있고 자칫하면 결혼도 해서 아이도 낳을 수 있다는 게 너무 끔찍하다.. 데이트 폭력범들 2/3이 이미 전과자들인데 다들 속이고 만나고 있겠지.. 그러니 앞으로는 사귀기 전에 범죄경력조회서를 확인하고 만나야할 듯.. 데이트 폭력범의 전과비율이 60~70%이니, 모르긴 몰라도 데이트 강력범의 전과비율은 무조건 그 이상일 거임..",127
user-jf8oe4cg8k,다음달 12에 어느 정신나간 판사가 정신나간 형량을 할지 모두 지켜봐야됩니다,32
aaaa-pg5pf,판사도 신상까줘라 어떤인간인지 보자 . 자기자식이 당햤어도 저렇게 할까싶다.,33
user-jd6lm5fz4w,놀랍게도 저때가 이미 전과 10범이상..,160
gayyyyyyyyyyyyyyyy,반성문으로 형량이 줄어드는건 진짜 감성 법아닌가,51
mk2j193,국회의원의 입법과 판사시험에 심각한 결함이 있다 이런 결함이 발생하는 이유는 국회의원과 판사가 하는 일을 국민들이 모르기 때문,6
user-cb9ss8do3o,이번 기회로 범죄자 인권보호 철회하자 확실한 새기는 없애는게 올바른 사회를 위해서 필요한 처사다,215
user-mh1go2qt8y,한가지에 미친 사람들은 절대로 새로운 사실을 인정하지 않으며 오직 똑같은 논리로만 밀어붙이는 난폭하고 무식한 심리가 하늘을 찌릅니다. 정의라는 추상적인 세계에 미쳐서 저런 인간이 될 수 있다는 예상을 못 하니 막상 걸리면 99% 끽소리 못 하고 똑같은 신세로 전락합니다.,0
Likekuku,저런 쓰레기랑 친구인 사람들도 좀 주의 깊게 봐야된다 분명 멀쩡한 인간만 있으리라곤 절대 생각이 안드니까,71
user-hi4vu3jl4j,유투뷰님 용기에 박수 짝 짝 짝,11
user-vm9kg4jg7f,"그동안 저늠 판결했던 판사님들 참 대단하시네 전과18범은 판사님들이 달아주신 훈장이네여 과거에 한분이라도 강력한 처벌을 했다면 전과18범까지 갔을까여? ""초범이다,반성하고있다,기억에없다,기타등등"" ㅎㅎㅎ 저 괴물을 만든건 판사님들의 합동작품인거 같네여 ,, 이번에라도 강력한 처벌을 해주셔야 합니다 최소 감형없는 무기징역 또는 사형......",2
user-bd4oy4ts9o,판사가 흘려보낸 범법자가 한 여성의 인생을 망쳐놨다. 징역 30년이 무슨 말인가 징역 50년 이상을 선고해도 절대 과하지 않다. 이 사건에 판사들은 도덕적 책임에서 자유롭지 않다,15
user-iu9ko7ut4e,서른살먹고 저딴 말투쓰노..부싼 그들은 대체..,28
cylen12,부모 어떤 인간인지 좀 보자... 어떻게 이런 괴물을 키울수있나,11
HlGHLANDER,두환이형... 그립습니다.,13
jaesanglee5423,"형무소 형님들이 아침마다 뒤에서 정성스러운 돌려차기 케어 해주실거다, 기대해라~",4
user-lu9hj7yh4p,가해자 보호에 예산이랑 인력 쓰는게 아니라 피해자보호에 쓰는게 정상적인 국가지;; 어째 이 나라는 거꾸로냐,28
ksdk4257,개인의 신상정보를 저렇게 탈탈 턴다는것은 민주주의 국가에서 엄연한 불법이고 구속사유입니다 법이 존재하는데 누구나 남의 개인정보를 쉽게 털면 국민 누구나 피해자가 될수있습니다,22
hanhwaegles,전과 18범한테서 인권을 논한다는게 이상한 나라긴 함.,27
hcd8100,"롬3:23 이는 모든 사람이 죄를 지었으므로 하나님의 영광에 이르지 못하다가. 롬6:23 죄의 삯은 사망이요. 죄사함을 받지 못하면 지옥으로 떨어집니다. 예수 그리스도가 십자가 에서 죽으시고 3일후에 부활 하신 하나님 인것을 마음을 다해서 믿을때 모든 죄가 깨끗해집니다. 딤전3:16 경건의 신비는 논쟁의 여지없이 위대하도다. 하나님께서는 육신으로 나타나셨고 롬10:9,10 네가 네 입으로 주 예수를 시인하고 또 하나님께서 그를 죽은 자들로부터 살리신 것을 네 마음에 믿으면 구원을 받으리라. 이는 사람이 마음으로 믿어 의에 이르고 입으로 고백하여 구원에 이르기 때문이라 엡2:8-9 너희가 믿음으로 말미암아 은혜로 구원을 받았으니 이것은 너희에게서 난 것이 아니요, 하나님의 선물이라. 행위에서 난 것이 아니니 아무도 자랑하지 못하게 하려 하심이라.",0
user-ez4ph1su4e,1심선고 판사도 징계해야 하는거 아닙니까?,112
tr2550,전과18범이다.18범... 이런게 교화가 될거라 생각하는건가.. 국민모두가 용서안하는데 판사만 용서하네 ;;;,16
yh4342,저렇게 범죄를 저질러도 사회에 그냥 풀어놓으면 나라가 문제가 맞지,11
a1b180,한국에서 판사 자체를 없애야 한다. 그냥.... 최악의 부패 집단이다.,14
lettermines,본인이 상대방에게 엄청난 피해와 고통을 주고 자신이 피해자에게 보복을 하겠다고? 그럼 어떻게 하면 보복을 하지 않을까? 그렇게 만신창이가 되어도 그냥 경찰에게 아무일도 없었다고 거짓말하면 보복 안하는 거냐? 다음생에는 짐승으로 태어날 인간이다.,25
user-gs9vx4mq8m,반성문을 피해자에게 써야지 왜 판사에게 쓰는 것도 감형도 판사가 하는 지 제도가 이해안된다. 피해자가 용서했나? 감옥에서 평생 나오지 못하게 해도 시원찮다.,2
user-jj5nd2jf1d,사람 아닌 애들은 사형 안떄릴거면 교도소에 평생 썩게해라 저런애들은 교화가 안돼,27
user-rs6bm9tr6s,이런놈은 인간이 아니다. 엄벌에 처해야한다. 아예 종신징역에 처하길 바란다.,5
BepBep1,제발제발제발 판사 딸이랑 마누라 길가다 돌려차기 당해서 평생 병원 천장만 보길,6
user-mr9le9pg4u,자식교육을 어떻게 했길래 저런 말종이 되었나,50
hrneka,범죄자에게 인권은 필요없다 인간이길 스스로 포기한 벌레들에게 무슨 남들이 인권지켜준다고 난리들인가? 평생 사회와 격리하거나 사형 집행해서 무고한 추가 피해를 막아야한다. 전과 18범이면 숨쉬는 공기도 아까운정도다 어디 먼 바다 나가는 배에 태워서 물고기밥이나 줘야지 감옥에서 먹이고 재우고 입히는 세금도 아깝다,6
jinunzzang,나라가 공개를 안하니 개인이 할수밖에...,13
TU-gl4tj,지 입으로 언제든지 목숨이 다해도 이상하지 않다고 하니까 걍 사형시키면 되는거 아님? 본인도 저렇게 바라는데 인권 존중해야지,19
user-ui8ji6nz3k,전과 10범 이상은 고쳐쓸게 못된다 사회로부터 격리가 답이다!,12
lettermines,다음생에는 짐승으로 태어날 놈이네. 법원에는 반성문쓰고 돌아서서 보복하겠다고 하다니... 공권력을 기만한 것이니 가중처벌해야 맞을듯 전과 18범이 반성문을 쓰면 진심이라고 믿는 건가?,12
user-xl8fb6ow5y,판사님들아 제발 상식적으로 판결 좀 해라. 의미없는 반성문 받았다고 반성한다고 믿지말고 쫌,2
loyalninja,동일 전과 3범 이상 되면 그냥 사형시켜라.,14
user-yt9fl3pw7c,라면 몇개 자주 훔친넘은 동종전과라면서 5년씩 처 때리면서 특수강도 특수폭행 사기 기타등등 18범인데도 30살 ? 얼마나 처봐준거야,9
Bazokun,전과 18범은 사형시켜도 되지 않나? 갱생이 안되는데 ㅋㅋ,63
user-gy7pj4gj7m,부전자전이네...자식에게 양주처럼 달콤한 인생을 살라네. 쓰레기 집안이다.,32
user-vp9gd3rj8v,"판사는 정해진 법조항안에서 판결하니까 한계가 있습니다 법이 잘 못되어 법을 개정하는건 입법기관인 국회, 의원들이 하는겁니다 지금 우리 의원들이 이 역활들을 등한시하구 정권다툼이나 하고 있습니다 흉악범들이 가벼운 처벌을 받았다 생각하시면 판사보다 먼저 본연의 임무인 법개정을 하지 않구 정치다툼하는 국회의원들에게 욕을 해야 한다고 봅니다",5
starlight__L,사회 교화를 시켜서 되는사람이 있고 안되는사람이 있음. 전과18범이면 그냥 영원히 가두는게 답임.,13
user-my8xy1gg5k,신안으로 보내라 신안 주민들이 세금 1원 안쓰고 평생 사회로부터 격리 + 죽을 때까지 강제 노역 시켜줄 거다,76
analyticengine,이런 생각과 행동으로 세상과 타인에 폐악를 끼칠뿐인 악인에게 징역 12년 선고에 35년 구형이라...가둬두고 먹이고 재우는데 들어갈 세금이 아깝네요...30대 초반 나이에 이렇게 수십차례 전과를 쌓고 극악무도한 범죄자로 성장하며 버젓이 범죄를 저지르며 나돌아다니게 방치한 부모와 국가의 책임입니다...,0
user-lk3hx8kf1f,저런 사람들은 내일이라는게 없나?? 그때 그때 본능이 충실해서 살아가는건가 짐승새끼도 저거보단 낫겠다 제발 영원히 사회랑 격리시켜줘...,0
Fat_Badger,해당 사건은 피해자 또래 딸을 둔 판사와 검사에게 배정하자.,3
aris97283,"법이랑 법조계, 인권단체들이 정의를 실현하지 않으니 시민들이 정의를 실현하네 이게 맞나",7
user-oy6jk9mh8t,평생사회와격리시켜야한다ㅡ엄벌처해야함 판사님께 나오면또다른피해자 틀림업시만들것이다,0
user-zn5fc8hj6o,판사부터 해고시켜라,12
uu-yp1yt,이런데 촉법 법 안없애냐? 기회를 주는거라고? 그건 벌을 다 받고 개과천선하는 경우나 할말이지. 죄에 비해서 한없이 부족한 벌조차 어리다는 이유로 보호 받으니 악이 악을 낳을 뿐이다. 저런 애들한텐 전과 한 줄이 아무것도 아닐거야... 피해자가 용서하지 못한 일을 대신 용서해주는 일이 더 이상 없었으면 좋겠다.,0
WatsonWatson0,"멀리 멀리 널러야 한다!! 저런 쓰레기가 은제 나올지도 몰르는데 ,,ㅉㅉ",0
tenkoo3336,판사한테 사과했으니 판사가 보호해 줄거다 판사도 사이코패스거든,9
user-ph5rn9dw1h,같은 하늘 아래 저런인간이 살고 있다니!!너무 충격적이다! 관상은 진심..과학이다 죄로 물든..관상..,0
john_blue,참... 인간이길 스스로 포기한 인간인가,2
user-co2tq3sk1u,판새가 하는거 보면 죄질이나 반성 이런게 중요한게 아님 자기한테 납작 엎드리는걸 원하는거같음 억울하면 당연히 불만이나 분노가 섞여있을거고 실제 범죄자는 죄지은걸 아니까 납작 엎드려서 감형 받으려고 할거고 고로 범죄자가 감형이나 선처를 더 많이 받지 않나... 마 지는 이래 생각합니더 ㅇㅇ,1
oven9219,전과2범이상은 사형좀 시켜라 왜 자꾸 피해자가 나오게 범죄자들을 방관하냐,1
jupiter5331,무기징역 내리지말고 감형없이 징역50년정도만 내려라 영화 쇼생크탈출에서보면 평생을 감옥에 있다가 갑자기 사회에 나오면 얼마나 비참해 지는지 나옵니다...,1
user-zz7dv2uj7e,뭔 징역이야 사형 시켜야지,17
user-gg9ll6yh1l,이제 전과가 일정 수준으로 쌓이면 가중처벌하는 법이 필요한 시점이지 않을까?,4
user-op2is6wm2x,발로 일을 저질렀으면 발을 잘라 버리면 된다. 손으로 일을 저질렀으면 손을 잘라 버리면 된다. 죽이지는 말아라. 평생을 개같이 기어 다니다 살다 죽게 내버려 둬라.,3
goldenboy6826,판사에게 보복할 생각은 없냐?,6
user-kd2gu1px4b,"피해자의 인권보호보단 가해자나 범죄자의 인권보호를 이리도 열심히 하는 나라가 있을까요? 술먹고하는범죄, 성범죄에 이리도 자비로운나라가 또 있을까요... 이노무 법은 언제쯤 바뀌려나...",0
okugo4212,선처 감형은 잘해주고 마치 높으신 분들과 그 자제들의 경우를 위한 듯 법과 형량 개정은 지지부진하고 교정시설의 교화 역할은 오래됐고 다른범죄를 배우고 나오거나 피해자들이 밖에서 보복을 두려워하고 법이 제 기능과 역할을 잘했으면 애초에 이렇게 신상을 까는 일이 일어났을까? 법이 존재함에도 피해자들이 후환을 두려워 할 일이 생겼을까?,1
user-cy4gh8lp9b,판사는 누가 벌하나요? 쓸모없는사람들이 많은거같은데,4
alpenglow845,대한민국에는 어느분야보다 빠르게 사법체계에 판사부터해서 전방위로 AI가 도입되어야한다. 눈물찔끔 반성문찔끔에 뇌속 꽃밭되는 무능력한 판새들이 범죄자들 지들 잣대로 양형맥이고 풀어줘서 선량한 시민들만 죽고 다치고있는 지옥이 되어가고잇다.,3
JS-nv5dy,"손으로 죄를 지은 사람은 손을 자르고, 발로 죄를 지은 사람은 발을 자르고, 혀로 죄를 지은 사람은 혀를 자르면 재범도 걱정 없을텐데...",14
