작성자,내용,추천수
yongeagile8241,이분 감정이 맞습니다! 법이 정당히 가해자를 판결 하지도않고 피해자를 더큰위험에 빠뜨렸다. 오죽하면 이분이 생명 위험무릎쓰고 이리 크게 외치겠나!!!! 사법부야 제발국민 목소리를 들어라!!!,228
user-bb3jt2gw1x,용기있게 증언해준 분 훌륭합니다!! 피해자가 아무리 고통스럽고 극한 피해를 당해도 판검사 패거리야 지들 일 아니니,174
user-ei9nu2nk6t,솔직히 전과 18범이면 갱생불가인데 그냥 사형시키자 세금 ㅈㄴ아깝다.,409
whojang2000,저런 식으로 지맘대로 형량을 15 년씩 깎아준 판새 가족들도 반드시 똑같은 일을 당하기를 주예수 그리스도의 이름으로 기도합니다 아멘,339
user-rw1mb9gu6w,피해자분을 20년 뒤 뉴스에서 다시 뵙지 않기를 기도합니다.,198
user-mv3us9uo6s,"엄태웅씨 진짜 자기가족일처럼 나서줘서,누나가 둘있어서 안나설수없다했는데 너무 감사합니다.. 피해자분 너무 걱정마세요.. 20년후 출소한다한들 조두순 출소날 그이상으로 수많은 인파로 저놈 평생 집밖도 못나오게 될겁니다.",176
user-xf3ui4xn3i,피해자 보복뿐만 아니라 출소하게되면 또다른 피해자가 나올수도 있습니다.. ㅠ,88
user-ul3to7jz5z,"그냥 저런 전과18범 범죄자들 사형 시키면 안되나요? 어차피 20년후에 나오면 기술도없이 또 범죄 저지를텐데 그러면 추가 범죄시 피해자가 또 나올텐데, 그냥 저런인간 쓰레기는 재활용도 안될것 같은데, 뭐하러 살려두고 밥주고 세금 낭비 하나요!",110
zondafive2062,"구치소동기가 가해자보다 싸움도 잘하고, 정의감이 있는 사람이라 다행입니다.",61
user-rg6bv4jw6k,밥주는 것도 아깝다. 평생 노역을 시켜야 된다. 피해자는 무슨 죄입니까 죄인의 인권 보호하겠다고 피해자 뿐만 아니라 온국민을 불안에 떨게 하는군요. 사법부가 제정신인지 모르겠습니다. 사법부내에서 그런 일을 당해봐야 정신을 차릴지.,4
youngbe2965,교화가 안되는 사람은 사회와 영구히 격리 시키는 것도 사법부가 할 일이 아닌가 싶다. 사법부는 선례를 만들어서라도 가해자를 사회와 격리 시켜라,28
mintlove1090,"인터뷰하신 분도 뭔가 잘못해서 교도소에 가신 것 같지만, 얼마나 부산 돌려차기남한테 화가 났으면 인터뷰까지 했을까요? 가해자 놈 형량 감형 해준 판사나 변호사들도 싹 다 피해자가 당한 고통보다 더 심한 일을 당해봐야 감형 같은 건 해주지도 않을 텐데 이참에 국민들 세금으로 가해자 놈 배부르게 만들지 말고 사형시킵시다. 악마에게 배부르게 하고 따뜻하게 지내게 해주는 건 사치에요.",45
m1n1ma1,전과 18범이 반성도 없이 되려 보복할 생각만 가득한데 검사가 낸거 그대로 때려버리지 왜 형량을 15년이나 깎았을까,81
sje3283,엄태웅씨 용기와 기백은 대한민국 최고입니다,152
hsoal3029,와 반성도 없는데 겨우 20년… ㄹㅇ 판사 미쳤다,19
user-nj8dl8yg1y,대단하다 그래도 이렇게 정의가 살아있기에 ㅜㅜ,6
user-px7of7ko1u,검찰은 항소해서 단 하루라도 형량 늘리게끔 하시길 바랍니다..판사 양반들도.. 진짜 문제야..,29
user-ne3ki8fe1t,그 판사놈 이름과 얼굴 면상좀 보고싶다..저주좀 내리게... 똑같이 아니 대대손손 당신 가족들도 당하시오..부디,58
user-kd8lo8is3z,용기있는 폭로에 응원을 보냅니다,36
louis7174,사회의 암덩어리 죄를 뉘우치는게 아니고 집에가서 밥한끼 먹으려 재범행을 각오하는 집합장소 안가본사람이 교소도가 무서울거라고 생각하는데 그들에겐 걍 집입니다..,54
blahblahblahkk4632,같은 구치소를 갔지만 한쪽은 뉘우칠 생각이없고 끔찍한재범을 할생각이고 한쪽은 쓰레기짓을 했지만 사람에게 물리적피해 폭행들은 하지않았고 잘못을인정하고 갱생을 목적으로 얼굴까고 신상도 까고 피해자를 도와주려하는점은 인정한다 앞으로도 이런 모습으로 죄를 뉘우치는 모습이었으면 좋겠다,7
user-py6xj2jc6i,구치소 동기가 봐도 살기가 느껴졌나봐. 인더뷰까지 하는걸 보면..,77
user-sw1cb5rs9d,전과 18범이 사람을 죽였다고 봐도될 사건을 저질럿는데 또 용서하는거 웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,45
tweety0878,피해자가 신체적 정신적으로 정상적인 생활이 힘들 정도로 피해를 입었다면 가해자에게 어떤 처벌을 할지 피해자쪽에서 결정할 수 있었으면 이란에서는 피해자 두눈 실명시킨 가해자 법원 판결 똑같은 고통 겪어봐야 한다고 가해자 두눈 실명시켰음 눈에는 눈 이에는 이 판결로 유명 피해자가 용서가 안 된다는데 법이 무슨 권리로 가해자를 용서하네마네 하는건지 그리고 저 인터뷰 하신분도 신변보호 필요할듯 합니다,0
user-gj9ep7ui4j,드러운세상에서 살고있구나 판사 인간이아닌것같다 범죄자 키우는집단같다 조사받는영상보고도 고작20년 참 한숨나온다 지들마음댸로 판결하구나 빨리 인공지능 시댸빨리와야할듯,14
user-ph8tc2jx2r,엄태웅님 멋지시네요 껄렁껄렁한 이미지로만 알고 있엇는데 진짜 사나이 다우시고 정의구현하는 분이라는 걸 알게되었습니다! 늘 항상 성공하셨으면 좋겠습니다!!!,48
mymymyrkrn7250,좋은증언해주신이분도 법이보호막이되게해주셔야할듯,1
jykim2096,무기 가야지.. 솔직히 빵에서 주는 밥도 아깝다.. 내 세금인데...,111
user-lz4ii2lt3e,"엄태웅 씨 껄렁껄렁한 컨셉 유튜버인거 잘 알고, 불미스러운 일에도 연루돼 구치소 갔다가 돌려차기남이랑 함께 대화도 나눈 것으로 아는데요. 그래도 이번에 12년에서 20년으로 형이 올라가는데 결정적인 역할을 했습니다. 35년이 아니어서 아쉽지만 그래도 엄태웅씨의 역할이 컸습니다. 조두순은 나왔을 때 힘없는 노인이 되었기에 그리고 온통 감시망에 둘러싸여 있었기에 별다른 튀는 행동이 불가했지만, 돌려차기남은 나와봐야 50살인데요. 감방에서 몸만 잘 관리했다면, 꽤나 활동적으로 나다닐 수 있는 나이입니다. 정우성도 이정재도 유재석도 지금 50살입니다. 그거 보시면 알죠. 그 나이에 악마같은 놈이 다시 세상에 나오는 겁니다.",136
nolangpaper,아니 왜 가해자가 보복을 한데??? 피해자가 보복을 하면 해야지??? 참 웃긴 세상,30
user-le8hv2mr8r,본인 이미지도 있을텐데 용기 감사합니다 응원합니다,15
user-jl8wc8wo2w,인터뷰하신 이분 정말 비록 구치소동기시지만... 기본 심성이 착하신 분 이시네요 앞으로 좋은 분들 만나 잘 되시길 기도합니다,1
user-sd2pb7eb9i,오죽하면 죄 지은 구치소 동기가 엄벌을 쳐해야 한다고 말하겠냐. 사법부 부터 다 껍질 벗기는 형벌을 내려야한다.,4
user-bp6db3no3c,관리잘한 50대는 청년도 못이길수 있음 70대도 짱짱하신 분들 많은데 85세 넘으면 풀어줘라 (그전에 어떻게 되길),19
user-pk1is5ot3p,저렇게 이야기하면 자신한테도 해코지 할수있다는걸 예상하면서도 용기내어 말하는걸보면 가해자새끼가 얼마나 쓰래기인지 알수있다 저사람이 교도소에서 가해자와 잠시 같이 있었지만 가해자는 쓰래기라는걸 단번에 알아차리고 저런발언을한듯,9
hongjunpak6937,구치소 동기님 정의롭습니다 감사합니다,9
lawman0913,전과 19범인데.. 어케 무기가 안나오지.. 정말 노이해다..,64
user-os2lz3yk2z,무서운 세상이네요. 피해자 죽이겠다니 정말 무섭네요.,2
user-ko8vu8bm6p,법위에 힘있는자 공정한세상은 힘있는자만의세상,26
user-gc4yw3fz4p,한국의 대부분의 판사들은 꼭 죽어서도 고통받길 간절히 바란다,1
marsplanner8703,현 수많은 시민들이 그토록 신상공개 등 더 제재를 해달라며 많은 우려를 했음에도 20년 뒤 같은 뉴스가 나오면 이 판결했던 판사 이하 관계부처 담당자들은 법원에 서야함.,0
user-qt2rq2dx5p,직쏘가 실존한다면 제발 정의구현 해줬으면 좋겠다,0
user-dg9jh3pz7s,가해자를 보호하는 나라,64
honey-hyeoni,디테일 솔직한 내용 감사합니다!,9
bsthemax8504,진짜... 사법부 .... 저 죄가 명확한데...영원히 격리시켜야함 판사 뭐하냐....지 딸이 당했어도 저럴까,1
zmjmzm,엄태웅 진짜 패기 지린다,22
lowcut6294,말을 참 잘한다 그랬는데 역시 유튜버구나,7
user-hr1ep7sp2f,그 가해자는 진짜 제대로 처벌 받아야 한다고 생각한다... 피해자는 얼마나 고통인데 20년 뒤에 나와서 먼 짓을 할지 아캐 알고 저 사람 말이 맞음....,0
user-hr6ee6ml7d,저렇게 말할수록 형량늘리는법 개편,3
user-pk7uu3jb4f,깜빵 동기가 저럴 정도면 진짜다..,28
qweasd00001,배리나씨의 용기에 감동받았습니다,14
s1syong235,엄태웅 최고!,4
