작성자,내용,추천수
user-lz2hk2jp9f,우리가 지금은 가해자에게 욕하고 손가락질 해도 조금 지나면 잊혀지겠지만 피해자는 어쩌면 평생동안 두려움과 고통 속에 살아야 할지도 모른다고 생각하면 정말 소름끼치는 일이 아닐수 없네요. 법은 국민을 보호하기 위한 국가의 힘입니다. 피해자가 더 이상 고통받지 않도록 국가가 국가의 힘으로 피해자에게 보다 적극적인 피해자 보호조치가 있기를 바랍니다.,96
jy-ty6np,너무 열받는데.. 국민이 일어나서 함께 도움 되고 싶습니다,38
user-uw5td6vc9e,악은 그냥 악입니다. 반성 같은 거 안 합니다. 죄의식이 없는데 무슨 반성 입니까?,87
kang9140,판사가족에게도 같은일이 생겨보기를 매일 기도한다.,18
nyang-e,피해자는 전혀 용서할 마음이 없는데 반성문은 누구에게 반성하는건가요?,72
mege6231,반성문을 취지에 맞지 않게 지입장문으로 사용했기 때문에 이건 반성의지가 없음으로 받아드려야 한다,27
Roomcafe.,감수성들이 참 풍부해지는 곳이네 의원것들아 얼른 감수성이 풍부해진 법조항들을 만들어내라 한국에 사는 사람이라면 아주 그냥 숨도 못쉴정도로 감수성에 치우쳐진 법 만들어주길 바랍니다,31
user-df1qr2fe4g,반성문을 왜 판사 한테만 쓰냐~~ 피해자 한테도 써야지 피해자는 용서를 하지 않는데 판사 니들이 뭔데 감형이나 시켜주고 있냐,68
JKu-zd6ct,반성을 하는 모습이 없는게 문제다. 피해자의 심정은 무시하고 오직 자기 형량만 말하는게 과연 반성하는 모습인지 의문이다.,12
worldhigh6488,판사가 반성해야 한다.,34
user-lm8pp6rb8r,흉악범들 한텐 항상 가족적인 분위기로 따스하게 맞아주는 판검사,27
user-oy5js5jb1y,"돌려차기남만 형량을 많이받는건 불공평하네요 , 다른사람도 똑같이 형량을 많이주세요",26
YS-yy6sx,탈출하면은 죽인다고 한 사람 악마 입니다 용서 하지 맙시다,23
aromy612,"아... 호칭 ""그자!"" 너무 마음에 듭니다.. 각종 방송이나 인터뷰 보면 저런 사람한테 그분이니 어쩌니 쓸데없는 높임말 써 대는데... 적절한 호칭이 너무 마음에 듭니다..",3
yjyj541,걸린것만 18범이란 소리는 운좋게 빠져나간 사건도 많았을거라고 본다. 이런 악질 범죄자를 또 사회로 내보내면 또 다른 피해자가 나올 수 있다는 것은 너무 뻔한데,17
user-gy8se6sf7x,"'부산고법 형사2-1부 최환 부장판사'도 자녀분과 가족,친척들이 같은 일을 겪길 바랍니다 ^^",3
dmeinmq4741,돌려차기남 이게 벌써 1년이 넘었네 난 왜 오래된것같지가 않지,7
user-ff7nd6xc8v,범죄자놈이 반문 할정도로 형량이 낮은데 왜 나만 많이 줬냐 ㅋㅋㅋㅋ? 그 동안 판사놈들이 얼마나 솜사탕만큼 달콤한 형량을 줬으니 오죽하면 저딴 말을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19
user-bu3vd9wd9v,진행자선생님 시원하게 액기 잘하시네요,2
user-rn8fb2yt5h,교화가 안되는 범죄자입니다 감형이라는건 말도 안됩니다,15
naughtyna6753,20년도 짧다고 생각합니다 35년은 받아야한다고 생각해요,2
exittogoal,판사가 15년이나 형을 경감시켰습니다~!!! 가해자는 나가면 가만두지 않는데도요~!!!,1
user-gf8dx4py9t,판사가 만만하게 15년 할인해주니까 더 진상 부리는구나 국민심판제도라도 만들어서 엄벌에 처하고 재범자들에 대한 판사책임제와 사형제를 시행시켜야 된다,10
TV-xx8py,마석도랑 진실에방에 한달만 같이 있게했으면 좋겠다,7
monkeygreat9083,저런건 이세상에서 지우자 좀,11
user-eq7ky3hd3f,피해자분마음편안히가지셔요 생각날때마다하나님께 기도합니다주님께서 지켜주실겁니다 악은하나님이대신갚아주신다고 성경에쓰여있어요 하루하루즐겁게살아가세요,1
djk9714,디아블로가 승리한 세계관인가.,1
clean_world_activist_neogulman,진짜 돌려차기 폭행만 했으면 이리 받진 않았지 ㅋㅋ 또 나와서 범죄저지를거란 선언과 전과 10범이 넘는 커리어를 가지고 있는데 도대체 어떤 정신나간 판사가 또 금방 풀어주냐? ㅋㅋ,15
user-dz7xe8kk6y,판결하신 판사분.....정말.... 더보기,4
user-gr3px2lb1x,가해자 반성문을 왜 안받는 데? 그게 무슨 의미가 있는데? 피해자가 감형을 해줘야지 왜 판사가 감형을 해주는 데?,13
nyang-e,반성문제도는 판새의 어깨뽕을 위한 제도입니다,10
user-lm8pp6rb8r,부산의 공무원. 경찰들아. 앉아 뒷돈 빼돌리고 양아치 늙은 수급자 남자. 여자 집주고 생활비 대주고 난방비. 담배값 주는돈 줄이고 저피해자 지원좀 해줘라! 합의금도 없이 병원비에 ᆢ,7
roy8548,대한민국 판사님들 집에가시는길.. 어느술먹은 미친놈 한테 돌려차기 어설프게 맞아 병신되거나...가해자가 살인미수 선고되서 억울한일 없길 바라며... 한방에 즉사 하시어 살인죄 인정되어 한평생 열심히 법공부만한 인생 아깝게 가는일 없길 바래봅니다.,5
kid0allegro,이 사건이니 말할 수 있는데 악법은 법이 아니다,9
user-ss6lo7su2z,저건 반성문이 아니구 반박글인데~ 저사람 나중에 나오면 무섭다,14
user-ns6fk9wy5b,자기 욕구체우려고 여자를 두들겨패서 기절을시키고 짐짝처럼 들처메고 가 강간을했다는 사실 자체가 악마인데 이런 교화가능성이라곤 손톱만큼도 없는 인강쓰레기에게 50년형을때려도 감옥에서 호의호식하고 산다는게 괴씸한데 35년도아닌 20년? 판사 판단력 가출했나ㅣ 20년후 새로운 피해자가 생기면 그때 판사 책임각오해라,7
user-js7eq9ji8f,저럴거면 법에 맡길게 아니라 가해자를 죽이고 깜빵갔다와서 맘편하게 사는게 나을거같네요,4
user-sb5xc6iq4n,그냥 감옥에 있는게 안전할거같은데... 밖에 나와봐야 지금 열받아있는사람들 천지라 뒤통수 오지게 서늘할텐데.. 그리고 판새들 좀 각성했으면,4
user-gl6dn1fi8x,"참,,,, 대체 누가누구에게 보복한단말인지.. 저런것이 맘대로 지끼게두는것도 한심한 사회 ㅠ",0
user-ki1of7sd5o,이런놈은 똑같이 똑베기를 돌려차기를 해줘야 그 고통을 알 것인데 법이 너무 솜 방망이다,5
user-sw7xc7gs7i,화려하다 화려해 전과18범 온갖 못된짖 다하고 교도소서 성장했구먼 저런인간도 할말이 있다는게 어이없내,4
user-bd3vm9eu2j,형을 겁나 줘야함 사회에 발 못 붙이게 반성 일도 없고 자기가 무슨 죄를 지은지도 모르는 놈은 벌을 제대로 줘야함,1
user-oh2ik7oi3b,"이런 사건은 사형좀 시켜주세요..제발! 길거리에서 폭행한것도 너무 큰죄인데.. 성폭행 하려했다는게 너무 소름돋네요 더군다나 피해자 집 주소를 알고 추후에 보복을 예고했는데, 그리고 반성문이라고 글을 쓰고 반성은 거녕 자기 방어하는게 너무 뻔뻔스럽네요.. 가해자를 사회로 돌려보낸다면 또 다른 피해자가 생길수 있다는걸 명심해주세요.. 그 피해자가 본인들 가족이나 지인이 될수도있다는걸.. 그리고 만약 판사나 검찰 경찰 관계자분들이 피해자였다면 이런 뭣같은 판결 똑같이 내실겁니까?? 이런 사건이 일어날수록 국민들은 길거리를 돌아다니는게 점덤 무섭고 두려워질수도 있다는걸 알아야합니다 언제 어디서 당할지 모르는일이니까요, 솜방망이 처벌에.. 가해자는 웃고 피해자는 평생 트라우마를 얻죠.. 물론 모르는 사람을 폭행한것도 살인죄에 해당됬으면 좋겠네요",0
user-toughguy,말이 20년이지. 모범수로 지내면 15년안으로 가석방 되지 않나요? 전과가 18범이라 안되나? 아시는분? 피해자는 거 발뻗고 자겠나요. 너무 안따깝네요. 피해자가 도망다니고 편히 못사는 나라. 대체 언제쯤 바뀔까요?,3
user-ry9cc5wu4w,반성문 클라스보소... 어째 저런말을 하지. 나는 전과가많지만 형을 다받았다.? 그러면 형을 다받았으니 재범도 다 이해해달라는말이냐? 재범을 계속 저지르면 형량이 더 올라가야 맞는거지. 형을 받고도 계속 범죄를 저지르니 문제가 있는건데 계속범죄를 저질렀더라도 나는 받을거 다받았다? 뭔 개소리고.,4
user-rt5kg3kq1u,자기 잘못도 모르고 피해자가 회복되었다는 점까지 내세우면서 형량이 무겁다고 난리치다니 뻔뻔하다,0
user-cy1bv3dg6n,더도덜도 말고 똑같이만 당해봐도 피해자에 고통을 알수있지 않을까요.국민 혈세로 밥 먹여 살리지말구요.징역이 무슨 소용이겠습니까. 벌써 나갈일만 꾸미고 있으니 .. 참 현실이 답답하네요,0
uus5526,"더 큰 권력인 판사에게 반성한다는 건, 반성이 아니라 강자에게 숙이고 들어가는거 아닌가요? 피해자 입장에서 고려해야 하는 판사가, 본인 입장에서 멋대로 재단하고 용서해주는 것도 문제인듯 싶네요.",2
user-ir8jv1ul5p,피해자한테 진심으로 사과해야하는데 진짜 사람이 아니군요,0
user-tb6tr1vk4r,이게 무슨 소리야 본인이 아니었으면 피해자분은 피해를 입을 일이 없었는데 당연히 말을 들어줘야지… 없어도 될 피해였는데;;; 이게 무슨 말이지,0
user-wb2ig5nr6p,얼마나 대한민국 판사들이 우습게 판결했으면 ...돌려차기남이 저런식으로 반성문을 쓰냐 어휴 개판사들아 진짜 AI로 대체되야될 직업1위가 판사라는게 맞긴만군,1
kevinmah8904,"절대 사회로 나오면 안될 괴물이네요. 출소하면 내가 가서 참교육 하겠다고 협박하고 싶어집니다~!!ㅎㅎ 그리고 강간범이고 살인미수인데 왜 얼굴을 자꾸만 가려주나요? 이해 불가합니다~!! 만약에 저 괴물이 탈옥하거나 출소해서 피해자에게 보복을 하게된다면, 판사도, 검찰도, 경찰도 공범인겁니다.",1
