작성자,내용,추천수
yeohaenggaja9115,형량 줄면 진짜 안되는데.. 대법원의 정의구현 기대합니다,4
user-mu1ws3fz8p,대법 은 보는눈이있으리라믿는다 사형선고해라,4
user-ui5fc2ri7g,제발 사건을 고등법원으로 다시 돌려보냈으면 하네요..너무 형량이 적어요..구형35년에 징역20년이라...,2
sideplanet4723,35년 구형했는데 15년 깍아준거 양형 잘못됐다고 다시 판결하라고 하겠죠? 그래도 대법원인데?,5
Koinejdniebdjdjn,대법원가면 분명히 형량이 줄어들겠지요?,5
KKKKKKK-le6ou,기회다 형량더 올려라 불복하면 형량을 더올리면되지 신상공개도 하고,5
ddogggobalral,기각하지 말아라 무조건 형량더줄수있는 노선으로가자,0
user-ys6lz6eo9r,사형 좀,4
user-gv2hb2nj7o,잘됐다.. 완전히 보낼수 있게됐네. 30년 또는 무기,4
user-md1iu6pi2l,대법. 사형!,4
user-ox9ov3jm5y,항소가 반성하는자세냐? 허구헌날 범죄자의 반성문에 속는 판새들.. 아니 반성아닌걸 알면서도 봐주는 판새이 공범과 무엇이 다르냐 재량권이 뭔지도 모르고 그저 문서에만 의존하는 판새들아 적어도 25년에서35년은 때려야 국민감정을 다소나마 식혀주지 않겠는가...,0
