작성자,내용,추천수
user-gw3et2nk2t,죽어도 정신 못차릴거다 이런거 한테도 인권 찾아줘야하나,21
seungjinnoh,무기징역 때려라 이 무능한 나라야~!!!,8
chundristle4301,용감하십니다 그놈 감옥에서.영원히..있길,16
user-le2vp4kj5q,사람으로 할짓이야. 그것도 신체건강한 놈이 무방비에 연약한 여자를 발로 차놓고 반성을 커녕 선처를 해 달라고 .. 더더구나 보복까지 하겠다는 놈을 용서해달라고 그냥 사형시켜라. 세금이 아깝습니다.,7
user-lj3ue4fs2u,이번 기회에 썩어빠진 판검사놈들은 가해자와 같이 재소자들에게 돌려차기로 100대 쳐 맞아라.,6
user-xl6nz9xr3u,살인죄는 심신미약적용을하지말고 강력처벌하라 ~~~살인미수도 마찬가지 ㅠ,2
user-kd3df7di5n,왜 저런 쓰래기를 형량을 낮춰주냐;;; 지 죄가 잘못된지도 모르고 반성문에서 끄적끄적 형식상 반성한다 만 쓰면 그게 반성문이냐고 나와서 보복하면 그때 감형시켜20년채운놈들 돌려차기 1대씩 쳐맞아봐야 다시구형시킬껀가,4
user-xf9uf3ny5x,20년작다 35년이나 무기징역 때리라~,3
user-gj1os5hs8b,가해자가 상고하는 거 하고 피해자가 상고하는 거하고 형량이 다릅니다. 가해자 상고의 최대형량은 2심형량입니다.,6
mcholic6733,저런거 살려놓고 사회에 다시 나오면 대한민국에 무슨 득이 있는지 판사한테 면전서 물어보고 싶다. 뭔 범죄자들 사회에 안풀어놓으면 판사 지들 밥벌이가 줄어들기라도 한대?,1
MusiC-ri9co,나오면 죽이겠다고 다짐하는 사람이고 반성의 기미가 1도 없으니 강력 처벌 해야합니다,0
qkr-pr5fw,그걸 국민청원해서 되나 검수완박에 피해자가 항소할수없게 만든 저 더듬어성추행당것 들에게 말해야지.,3
bluesky7512,격리가 답이다,2
tv-cd7sc,한사람의 몸도 마음도 인생도 부셔놓고 나참 어처구니가 없네,1
user-jt6cp6hh8z,그누가 피해자의 공포를 가늠하겠습니까. 20년 도 맘편히 못살거고 그이후는 하루하루가 지옥이겠지요. 저렇게 보복을 외치는데 현실적인 해법을 찾아야할것 같습니다,0
user-oy4xt5rb9y,법 바까라!,3
user-uw5ri6rk9j,억울할것 없어 피해자 생각하면 그냣 옥사해라,3
user-ff1il3ur3c,그냥 가둬놓고 매일 돌려차기 100번씩 맞아야죠 ... 이에는이 돌려차기에는 돌려차기....!!,1
RoundHouse-Kick,20년이면 마이 봐준건데 그럼 점마 저건 지따나 5-6년이 적당하다는 것.. 보복만 안한다면 감형해주지,0
stephanielee279,부모얼굴도 공개해야 정신차릴듯,0
user-be2em9gp1g,민주당의 검수완박으로 피해자가 상고할 길이 막혔다,2
dhp6330,"형사소송법 제383조 제4호는 사형, 무기 또는 10년 이상의 징역형 선고시 양형부당의 사유가 있는 때를 상고이유의 하나로 하고 있습니다. 판례는 여기서 징역 10년이상의 형을 받아 양형부당을 이유로 상고할 수 있는 자는 피고인에 한정되고 검사는 이에 해당하지 아니한다고 보고 있습니다. 그 이유는 검사가 항소심(2심) 판단에 양형부당을 이유로 불복하는 것은 양형이 과소하기 때문인데, 현행 형사소송법상 더 과소한 10년 미만의 형 선고의 경우에도 상고를 하지 못함에도 10년 이상의 형이 선고된 경우에는 상고를 가능하게 할 경우 형사법질서상 균형이 맞지 않게 되기 때문입니다. 더 쉽게 비유하자면, 무언가를 더 적게 주는게 부당하다면서 항의를 하는 자에게 10개, 11개 받은 경우에는 항의할 수 있게 하면서 9개, 8개, 7개 받았을 때는 10개보다 더 적게 받았음에도 적다고 항의할 수 없는 꼴이 된다는 것입니다. 따라서 법원으로서는 이러한 사법질서를 포기하면서 판례를 변경하기는 어려울 것입니다. 균형과 형평이 어긋날 경우 법은 더이상 질서로서의 기능을 할 수 없게 될 것이기 때문입니다. 표면상으로는 대법원이 많은 재량을 부리는 것 같지만 성문법 국가인 우리나라에서 명문의 법률이 존재하는 한 법원은 그 해석에 있어서 최대한 수동적일 수밖에 없습니다. 권력분립의 원칙에 비추어서도 국민이 선거를 통해 뽑은 국회의원들이 만든 법을 무시할 수 없으니까요. 문제는 불이익변경금지원칙에 의하여 피고인만이 상고를 할 경우 전심인 2심보다 무거운 형을 내릴 수 없다는 점입니다. 그렇다면 최대로 형을 받아도 2심을 유지하는 것 뿐이겠죠. 피해자로서는 이보다 더 억울하고 비참하지 않을 수도 없다고 생각합니다. 이런 상황을 바꾸기 위해서는 형사소송법에서 상고이유로 10년 이상의 징역형으로 못박은 것을 고쳐야 한다고 생각합니다. 그렇다면 국회에서 법을 개정하여야겠죠…",0
eklee4846,부산돌려차기 담당판사와 가해자는 유착관계에 있다,0
