작성자,내용,추천수
user-gj4tm7sp2l,피해자님 아직 절망하지 마세요 대법원 선고까지 버텨주세요 힘내세요 울지말아요...,448
user-de7xj9bz8r,"이렇게 뉴스에서도 심각하게 많이 나오는데 20년이면, 다른 안보이는 사건들은 얼마나 더 심각할지 예상이되어 더 가슴이 아프네요ㅠ",409
ksh9326,공론화가 된 사건도 이딴식으로 판결하는데 공론화가 안된 사건들은 어떻게 판결할지 안봐도 뻔합니다. 얼마나 많은 피해자한테 가슴에 못을 박았을지 참 애통하네요,476
user-qw4jb1wq4n,어휴 속터져ㅜㅜ 판사들은 현실과 담쌓은 사람들인가봐요,144
ghswk,어느날 외출하고 돌아오는데 어떤 모르는 미친놈이 돌려차기해서 쓰러졌는데 미친놈이 기절할때까지 얼굴을 발로참... 깨어나니 온몸이 아프고 내가 왜 당했는지 모르겠고 억울한데 가해자라는 놈은 뻔뻔하게 반성하는것 하나도 없이 변명하며 자기 잘못을 본인에게 전가 하면서 출소하면 죽일거라고 협박까지 함. 피해자 입장 생각해보면 진짜 마른하늘에 날벼락인데.. 판사는 무슨생각으로 20년 선고했는지 이해가 안된다.,282
user-rt5kg3kq1u,판사는 피해자의 두려움과 범인의 복수심을 똑똑히 알아두어라,104
user-pt1bm1qm5y,판사가 미치지 않고선 저런 판결 내릴수없다,21
user-zg6yu8qh2s,판사도 얼굴까고 인터뷰해라!!! 왜 20년을 줬는지 이유를 설명해라!!! 판사놈아,179
user-lq3ep5jq3g,아무죄도 없는 피해자가 계속 두려움에 고통받는 현실이 안타깝다,6
sang-bb1kd,저렇게 대놓고 보복한다는 범죄자를 사회에 내보낸다? 그냥 판사는 피해자한테 죽으라고 하는거나 마찬가지임,124
l.m.1982,사회에 큰 파장과 울림을 주는 이 용감한 피해자의 앞날에 가호가 깃들길 바랍니다 가해자는 감옥 안에서 생을 다 했으면 좋겠구요,42
TY-vy8gs,판사 없애고 그냥 AI 도입합시다...,84
user-yp3rb2ys4b,법은 왜 존재합니까 ~ 법은 왜 가해자쪽에 더 유리하게 적용되는겁니까....피해자의 입장에서는 생각하지 않습니까..... 30년인줄 알았는데 20년이라니 .... 범죄가 더 늘어나고 그러면 형량도 마찮가지로 더 길어지고 그래야지 이건 어떻게 된게 형량이 더 줄어드나 .............,232
user-bx9fp3fr8x,아..최판사 판결에 눈물난다..,29
serre5965,최환 부장판사입니다. 공식 공개되는 정식 재판 정보입니다 개인 신상유포 아니니 공식 정보인 판결 법관 정보 널리 알려주세요.,100
user-yg3kt7zc4m,내가 피해자 분이라고 가정 한다면 정말 많은 노력으로 힘들게 극복해서 아무렇지 않게 살다가도 문득 20년이 다가올수록 하루하루 불안과 공포속에 맘편히 살 수 없을것 같다. 저렇게 범행 동기와 추후 보복까지 확실한 대상이 20년 뒤에 나와서 무슨 일을 저지를지 아무도 보장해 주지 않는 현실의 법은 바뀔때가 되지 않았나 싶습니다,6
user-zg6yu8qh2s,우리국민들이 할 수있는 일이라곤 애를 낳지 않는일뿐!!! 다른방법은 없는듯 하다!!,55
user-rh2ce1bz9u,이 판결을 낸 80살 할아버지가 부장판사라는게 좀;;; 말이 안 된다.,63
user-ll8sx5zy2h,피해자가 더 불이익 을 보게되는 대한민국 이게 나라냐,3
user-vm9kg4jg7f,"판사의 생각 = ""내가 맞은거 아니고 피해자 살아있고 가해자가 나한테 반성한다 했고 그냥대충 판결하지뭐"" 이생각인건가? 죄는 누구한테 하든 판사한테만 반성문쓰면 다 감형? 이야 대한민국 판사들 대단하다~ 범죄자들의 지상낙원으로 대한민국을 만들려는것인가?? 판사, 정신감정받아야 하는거 아냐??",140
user-hm7bl8jv2w,범죄자는 무조건 머그샷 공개 부터 선행 돼야 한다. 선진국들은 그렇게 하는 나라 많고 우리도 범죄자의 죄질을 보고 국민이 알아서 판단을 내릴 수 있게 해야 맞다.,23
giniahn8256,전과 18범의 영광은 그 누구도 아닌 판사가 만들어준 타이틀이란 말에 공감가네요.,5
jhjoon1702,화학적거세하고 돌려차기한 오른발무릎위로절단 + 20년이면 인정 아쉬운 판결이네..법개정이 절실하다,42
moveon2,왜 피해자가 계속 두려움에 떨어야하나요? 전과18범 이현우를 20년밖에 처벌안한것은 현 사법부의 무능함을 보여주는것입니다. 가해자만 기세등등하게 만든것입니다. 국민안전을 위해 무기징역으로 격리해야죠!,6
user-hk3eu5ss4j,"어릴적 부모님이 이혼하셔서 보살핌을 못받고 자란것이 감형이 이유라는게 충격적이다. 나도 부모님이 어릴적 이혼하셔서 중3때부터 거의 홀로 자랐는데, 그럼 범죄 후보자인 건가? 이 판결은 나 같은 사람 모두에 대한 모욕임.",36
user-qq5um8nl5u,법조인도 외국의 훌륭한 인사들을 데려와야한다...,14
kongsiri,가해자의 감형 소식은 피해자분께야말로 시한부 선고나 다름 없을것 같다. 피해자분은 길어봤자 20년후 출소한 가해자의 보복에 목숨을 위협받으며 매일매일 두려움속에 살아야되는.. 하 진짜 너무 속상하고 분통터집니다. 이게 대체 누구를 위한 법입니까?,3
sksskdi,이쯤되면 대법원장이 나와서 어떤 이유로 이렇게 깎이는지 설명 좀 해줘라 정부나 정치인들이 이해 안가는 행동 하면 대통령이나 당대표나 누가 나와서 해명하는 시늉이라도 하잖아,88
jhs10507,온 국민이 합심해서 저 가해자에게 사적 제재 가하면 사법부가 어떻게 반응할 지 궁금하군요.,21
user-tv1dg1zu6z,검사가 35년 해달라고 했는데 20년으로 판사가 줄여 줍니다 근데 범인은 출소하면 찾아가서 복수하고 죽이겠다고 구치소에서 떠들고 다닌답니다 오죽하면 구치소 동기가 이놈은 이상 한 놈이라고 인터뷰까지 해줍니다 그래도 판사는 반성은 커녕 살인 예고 까지 하는 놈을 결국 15년 줄여 줍니다 이놈 혹시 비싼 변호사 사서 썼는지 궁금해집니다 그게 아니라면 답이 없는데 댓글만 봐도 판사 판결에 국민들 분노가 넘쳐 나는데 ~ 아시는분 답변좀 해주세요,71
maestrovirtuoso,"대통령님 장관님 국회의원님 , 여러분이 지켜주어야할 국민입니다. 제발... 저런 악인이 사회에 나오게하지말아주세요",4
user-qq9ld1ny1t,판사 가족들도 똑같은 피해가 발생해도 저련 판결을 할까요? 재판 감형을 참고해서 무조건 모든 처벌은 법정 최고형 사형으로 해야 하는게 정답인듯 합니다 사형 해도 감형이 있을테닌까요,43
user-or5ul5xt2h,판사가 돌려차기 인간보다 더 잔인한 사람이다..제발 천벌 받길 제발제발,10
user-yr1gu6td7r,한국판 덱스터가 있으면 좋겠다 저런애들 죽이는 소시나 싸패가 있으면 좋겠다,43
mjkim6262,범죄의 악질성.. 심지어 보복한다 소리까지 하는데.. 이런 판결이라니.. 저 피해자분께서 느낄 절망감 무력감과.. 계속 따라다닐 불안감.. 생각만해도 끔찍하고 안타깝네요. 가해자는 법을 더 우습게 보겠죠.. 최악입니다.,13
Behealthy-ck5gr,지하철에서 피해자 인터뷰 보면서 같이 울었다.. 힘이 되고싶습니다. 같이 싸읍시다.,4
goldenboy6826,출소하자마자 판사에게 시원한 돌려차기로 보복하길 바란다,2
user-wy9gr1hh9o,마음아프다 진짜... 피해자님 ㅠㅠ 아휴 진짜 더러운 사회다,50
vayu1762,공부만 잘해서 판사가 되면 뭐합니까.공감 능력 제로..판단력 제로....가족이 당해도 저럴까... 판사님 가족분들 꼭 더 심하게 당하세요!!!!!!!~~~~~~~~~,11
user-ne6yb7ux9g,법복을 입고 봉을 잡았으면 제대로 일해야지~ 20년이 말이 됩니까? 누구를 위한 법이냐? 법이 이래서 무서워 살 수 있을까? 그냥 국민 참여 재판으로 돌려라~,72
user-gv2rt8mh8c,판사가 이현우가 출소하면 자기가족들 보복할까봐 떠넘기고 형량 줄여주는거 같은데 그럼 이현우 판사님 최고하면서 고맙다고 하겠지.,18
user-hf2kh9pq6c,대한민국 기득권 층인 판사님이 판결임!! 피해자는에게 20년 시한부 인생을 선고함!!,6
user-ve4bo9uj5o,저런 범죄는 사회로 부터 영구격리가 필요하다..,40
