작성자,내용,추천수
Ediboy_,세상은 변했습니다. 가해자들도 변했습니다. 그런데 왜 법은 바뀌질 않습니까?,308
user-di3fc1ks7w,"제발 차라리 지금이라도 법을 개정하길 진심으로 바랍니다, 이런 흉악한 사건이 벌어지는 위험한 사회에서 뭔 자식을 키우겠습니까 저 피해자분 끝까지 행복을 찾길 바라요 국민들이 응원합니다.!",102
user-ts7eh8mn4n,사형반대였는데 찬성쪽으로 마음이 돌려집니다.세금도 아깝습니다.20년 먹여살리는거 돈 많이 듭니다.제발 사형,283
user-kg2nc7mz3w,앞으로 살아가면서 그 상처와 트라우마로 겪게될 여자분의 고통이 맘 아프고 안타깝습니다 두려움에서 벗어나 잘 이겨내시길 소망합니다,77
user-fz4qf9ji9x,공개보복운운한 흉악범을 사회내놓지말아야합니다,171
user-gj1cp2oq7h,그 씩씩하던 피해자분이 울분을 토하신다 안타깝고 세상이 한탄스럽다,68
user-ij2ln1ct9x,국민 기부로 저 여린 피해자를 보호하고 가해자는 사형시켜야합니다,124
user-sv4ej9uw4g,20년 밖에 안나오는게 슬프다,29
mickeyshin4323,아무런 관계도 없는 사람을 찾아가서 저렇게 폭행을 가하는 것을 그대로 두면 이 사회가 어찌될까.. 저런 것을 그냥 두니 전과 18범이나 될동안 방치 됐지 이제부터라도 사회정화 차원에서 엄한 벌을 내릴 필요가 있다. 요즘 교도소 너무 살기 좋아서 들어갔다 나오면 살이 뒤룩뒤룩 쪄서 나오는데 교도소는 북한처럼 하는 것이 맞지.. 가서 죄를 뉘치는 것이 아니라 오히려 복수를 꿈꾼다라..교도소 복지도 다시 재점검이 필요하다 보임 미국이나 남미나 교도소 갔다 나와서 더 지랄 떠는 것 보면 그 방법은 아닌 것 같고..북한같은 방법이 최선 같음 다시는 나오지 못하게 해야 하지만 사회에 나온다면 다시는 그렇게 못하게 해야지 스텐리 큐브릭 같은 감독들이 지 생각이랍시고 이상한 영화 만들어서 세계를 개판으로 만든게 참..아쉽다. 그리고 민주당 운동권들이 전과자들이 많아서 지들 트라우마때문에 교도소를 너무 좋게 해 줬어.. 이제다시 나라의 정비가 필요하다 본다.,77
user-cy8bl1ci3n,구치소 동료분의 용감한 제보와 인터뷰 감사합니다 당신의 증언이 세상사람들에게 악마의 본모습을 보여주었어요,18
user-fr3tb7lv9l,피해자분 우는데 맘 찢어진다,29
galaxystar1865,검찰구형 35년을 20년 바겐세일 해준 판사 아주~ 훌륭합니다!!! 이걸 보는 누군가의 가족은 또 당할거다!!! 이렇게 어리석은것이 인간이다!!! 전과 18범이라............................ ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,81
hrlee8398,신상정보뿐만이아니라 법 개정이 절실합니다,19
leehyukable,피해자의 용기에 찬사와 존경을 표합니다,33
ssk951,제발 사형시켜라,56
super-normal,전과3범초과시 무조건 무기징역 전과10범 초과시 사형 이런식으로 법 하나 만들어주세요,29
windlimpid6942,피해자분 국민들이 이렇게 지켜보고 있습니다. 법이 내릴 수 있는 최대형 내에서 판결이 나오겠지요? 판사가 제대로 된 '인간들'이라면 말입니다,8
user-ts7eh8mn4n,무기징역 가야합니다.,69
user-zx4wx5ct2s,판결이 왜 그모양인가? 항상 가해자를 키워주는 판결을 한다.,11
user-lv1fs6yn3z,거짓 반성문과 거짓 진술로 판사를 감쪽같이 속여서 1심에서 무려 8년을 감형받은 희대의 싸이코패스임!!! 또한 출소후 보복하겠다고 주문을 외우는 놈임!!! 반드시 사형시켜서 보복을 막아야 함!!!,46
TedMeta,이럴땐 중국이 진심 부럽다...,25
TedMeta,판사도 언론에 공개해라... 누군지 알지만 진짜 얼굴 보고 싶다. 사람탈을 쓴 악마이거나 짐승이거나,22
user-si5vt9ke9h,젊고 치밀하며 기억력도 좋은 싸이코패스가 많이 무서웠나보다 판사분들이 감형은 언제나 최선을 다해서 챙겨주네,1
user-tg4ry9pn1x,저런 흉악범은 80세 이후에나 거세 후 출소하게 해야 한다! 그래야 더 이상 연약한 아녀자를 범하거나 해칠 수 없을 것이다!,16
user-qx7wh3bk1g,출소하면 재판해준 판사들 집 안방으로 들어가서 그 집 온 가족 모아놓고 절하고 나와라,7
user-hv4fb1ri4l,35년으로 늘어난다고 해도 보복할 것 같아요...... 물론 우리 같이 보는 사람들은 기분이 불쾌하겠지만 35년으로 다시 늘린다고 해도 어차피 나오니까 늘린다고 해결될 것 같지 않고 집을 경찰서 근처로 해놓고 전자팔찌를 차게 해서 아예 접근을 못하게 만드는게 답일 것 같아요......,0
user-qy4oh3dl9q,법정에서 보인 모습보니 디룩디룩 살쪄서...짜증....우리가 낸 세금으로 저따위로 배불리 감옥에서 먹고 목숨유지할꺼 생각하면.제발 스스로 이승탈출 해주길 바래본다!!,11
user-fy9qz1ew5w,아무런 죄 안짓고 피해만 당해도 피해자가 평생 불안에 떨며 살아야 하는 사회는 홍길동 로빈훗이 있어야 하는 사회다...그런 점에서 신상공개도 국민들 여론과 피해자 호소에 쫓아 국민이 이뤄낸 것이다. 국가가 국민을 지켜주지 못한다면 또다른 홍길동 로빈훗에 의존하는 사회로 가도 사법체계를 비롯한 공권력은 지켜나 보는게 옳다...,4
user-ph8tc2jx2r,저 여성분은 잘못도 없으신데 이현우가 무시기인가 나타나서 힘들게 하네요 20년이라니 말이 안되네요 사형 안되면 무기 징역살게 변경햇으면 좋겠네요!,28
user-cordname,유기형의 경우 형기의 3분의1만 채우면 가석방 기회가 생김 만약 이현우가 수감 생활을 복수의 칼날을 갈며 조용히 지낸다면 7년도 안 되서 가석방의 기회가 주어지게 됨,12
gvb9z77,"20년을 받아도 모범수, 광복절 특사, 3.1절 특사, 대통령 사면, 형 감면, 가석방 등 빨리 나오는 길은 넘처나는 대한민국 만세",0
hyunmichan,제발 저런 애들 사형 좀 시키세요. 제발요,11
tiger4102,"물고기가 없으면 낚시꾼이 심심하고, 잘 속는 사람이 없으면 사기꾼들이 심심하고, 범죄자가 없으면 판사들이 심심하므로 범죄자에게 감사하는 마음으로 형량을 작게한다. 이상, 한국의 사법 시스템 이었습니다! ㅋㅋㅋ",5
user-xf9dj7xv8r,판사 얼굴 공개해라. 자기 판결이 맞다고 생각하면,17
user-zy2eb7wq4o,과학기술도 빠르게 변하고 사람도 변하고 인식도 바뀌고 생각들도 달라지고 있는데 어째서 법은 그대로 인 거죠? 그리고 대한민국 법은 왜 가중처벌에 대한 추가 형벌이 비약합니까? 2배가 아니라 제곱으로 처벌을 내려야하는 거 아닙니까?,0
user-cl7th3yx2g,태웅아 착하게 살아라,0
n922360,피해자가 너무 힘들어 하고 나와봐야 재범할 사이코패스고 그냥 무기징역으로 가자..,28
newsprinkle,대한의 건아답다 난 저 돌려차기만 보면 속이 다 풀린다 어찌나 시원한지... 최고!,0
user-hv4yl4kv6b,성폭력 아니라면 피해자를 둘러메고 사라진거에대해선 어떠한 말로도 해명이 안되고 그리고 보복 복수?자기가 잘못해서 처벌받은걸 누구에개 보복 한다는건지 잘못을 한 자신에게 해야지 예비 범죄 모의죄로도 처벌해야하고 죽일넘들은 죽여서 좀더 안전한 사회를 만드는게 국가의 책무 일텐대,24
yul_marais6906,대놓고 이렇게 나오면 죽이겠다고 협박하는 범인이 있는데 신상 공개도 없고 겨우 20년.... 피해자는 그 20년을 어떻게 보내겠습니까....진정한 삶이겠어요?? 정말이지 힘들다 세상살기 ㅠㅠ,6
user-wr6xn8bw3v,무기징역이지 한여자의 인생을 망치놯으이 저런 쓰러기는 사회에서 추방이다,21
user-dw4ps8pl2s,청원합시다 모두들!!!!,28
joolee7952,전과18범이 사회에 저래 돌아다닐수 있었던거 자체가 참…,9
user-ic2he3ct2h,피해자 사법부가 못지켜 우리가 피해자 지켜야함 꾸준한 관심과힘이 필요합니다,0
user-jb7ip5un1m,법이 진짜 ㄱㅈ같아서 피해자들은 맘편히 못지내는게 말이되냐!!! 판사 딸이 저렇게 당하고도 두려움에 떨며 평생을 살아야 한다면 바로 무기징역 때릴거면서! 무기징역!사형제도 부활시켜라!!!!,5
user-ev4kj5zt1x,징역 20년 출소하면 50대네 피해자 주소달달 외우고 출소 혹은 탈옥해서 무조건 보복한다는데 피해자를 두번죽이는 결과내,21
74bluejean,청원합시다 모두들!!!! 청원합시다 모두들!!!! 청원합시다 모두들!!!!,13
yko32373,아마 현행법 상 최대한 참작해서 준 형량이 저건거 같은데 저런 흉악한 범죄자에게 형량이 저렇게 낮게 나올 수 밖에 없는 작금의 법 체계가 이런 것임에 참으로 개탄스럽습니다. 피해자분께서 극도로 불안해 하시던데 차후 대책마련이 필요해보입니다,3
meiacs3677,뭐.. 올바른지는 모르겠는데 많은 관심을 통해 법이 개정되길,16
user-iu5vg4gv6e,20년뒤에 저걸 다시 사회에 풀어놓을거라고? 미친거아냐?,6
sangyoung7941,시대가 변해도 세상이 변해도 사법부는 변하지 않네.. 과거 판례에 빠져..그들은 국민들의 상식에 미치지 못한다.. 윤통령처럼.. 개탄스럽다.,27
user-ym7so2yg3i,감옥에 가서 죄를 뉘우치지 않고 찾아가서 보복하겠다는 말을 하는데 징역 20년? 못 나오게 해야죠.,5
jin-sungpark5633,정말 너무 화가난다...가해자를 때려죽여버리고 싶네. 정말 털 끝 만큼도 잘못이 없는 피해자가 왜 두려워해야할까.. 피해자가 정말 내 동생이거나 아는 사람이라면 눈이 뒤집혀 버릴꺼 같다.. 대놓고 보복을 운운하는 저런 놈한테 피해자를 지켜주지 못한다면 내가 지켜야 한다는 생각밖에 안든다.. 아 너무 화가 난다..,0
lovely-si8jq,야 법조인들 정신챙기고 다시 판결해라 종신형으로 번복 안되면 그땐 상황이 무지 엄청난곳으로 흘러갈테니,4
user-hd9kt9bn5e,20년뒤 또다른 피해자가 나오면 검사.판사.변호사 죄의식 없으신가요 전과만 지금 얼마인데 너무한다 평범한 시민한명 보호못하는 대한민국 불안함에 대표 사건이듯하다 젤 무섭다 .이제 옆에 사람 다가오는것이 무서운 세상이다,5
user-nr1vw2jr6p,이런 잔인한짓을 해놓고는 반성은 커녕 나와서 복수하겠다는 잔혹범을 또 풀어주어서 피해자분이 2차피해와 범죄자가 출소할때까지 받을 공포와 정신적피해는 누구에게 하소연해야 하나여?,4
haena3648,누구를 위한 법인가? 피해자가 숨어야 하나? 뭔 이런 법이 있나? 나라 꼬라지가 쯧쯧,3
user-ro6dy3zg6n,성범죄가 인정되었는데...고작 20년.. 피해자를 지켜주는 법을 만들어주세요 제발,1
user-jn4ke6cy3v,가해자를 지켜주는 법이라니.... 이건 아무리 생각해도 잘못됐다고 생각한다 5살 애한테 물어봐라 적당한 처벌 인가,3
user-es7gu6tp4e,나라와국가와민족을위해 돌려차기를 했다면 영웅이라도 됐을텐데 아쉽구나 감옥에서평생썩기를 새벽마다 기도하겠다 온국민 기도 하다 보면 그렇게되겠지 피해자분 울지마세요 지금까지 너무도잘해오셨어요 힘내세요,2
user-ul5nt3if2n,그냥 꽁꽁 묶어서 피해자가족에게로 주면 좋겠다,10
user-zm3in2gk9q,저여자가 내딸이라생각하면 피가거쿠로솟네 내딸이면 이새기목따고 내가감방간다진짜루,33
user-gv9dm5is6y,진작에 신상공개는 했어야하는게 아닌가? 사회와 격리되어야할 최악의 흉악범을 징역 20년? 말도 안된다 왜 피해자가 용기를 내서 이렇게 해야하는지도 의문이다 법은 있는 이유를 모르겠음!!,1
