작성자,내용,추천수
user-gr3px2lb1x,전과 18범이면 그냥 감옥에 있어야 국민이 편안하다 왜자꾸 출소시키는데?,1.7만
miya988,진짜 이 분 1년 동안 꿋꿋하게 증거 다 모으고 진짜 끝까지 노력했는데.. 진짜 강하게 버틴 사람인데... 살지 말걸 그랬다는 말이 너무 가슴 아프네요...,2.1천
user-zf2og3sq6h,제발 죄 없는 피해자 좀 보호해주세요....,1.3천
user-nj9fq1td9t,감옥에서 보복하겠다는 말을 연달아하며 피해자 신상을 달달외우고있다는놈을 세상에 20년이라니…. 여성분 얼마나 무서우실까 세상에 진짜…..,765
user-id6mf8ft6d,"인터뷰도 당당히 하시던 분이 말도 안 되는 판결에 무너지는 모습이 너무 마음 아프네요 탄원서, 진정서,피해자의 엄벌 촉구까지 대체 무얼 더 해야 국민이 안전할 수 있을까요? 안타깝습니다",3.4천
galaxy_61,"전과 18범이면 갱생의 여지가 없다. 평생 감옥에서 썩어야 하고, 피해자의 고통을 죽기 전까지 똑같이 느끼게 해야한다. 왜 아무 잘못 안한 피해자가 고통받아야하는가? 왜 범죄자 인권은 지키고, 피해자 인권은 제대로 지켜지지 않는가?",364
hochul0787,피해자가 직접 이런 공식석상에 나와서 호소를 해야하는 상황이라는게 진짜 암울하네요.. 우리나라의 사법부가 이번 사건은 한번더 심사숙고하여 처벌을 내려주셨으면 합니다! 너무 맘아픕니다.,4.7천
ynkyung,"마음이 아픕니다. 피해자분의 용기에 박수를 보내고, 진심으로 응원합니다. 우리가 뭘 해야 피해자는 보호받고 가해자는 처벌 받을 수 있도록 바로 잡혀질 수 있을까요. 마음이 정말 무너집니다.",1.4천
mus9656,판사님 오늘밤 당신을 위해 기도하겠습니다. 꼭 당신에게도 같은 고통이 오길..,1.7천
user-ll8mj1cc7r,우리나라 판사들 반성좀하세요 가족이 당해도20년선고할겁니까 저런인간은 50십년은 감옥에서 썩혀야됩니다 판사들 반성하세요 피해자분 힘내세요 응원합니다,497
soundtrax9798,사법부 개혁이 시급하다는걸 다시 한번 깨달게 되네요 피해자분의 고통이 느껴지네요,4천
betterfly112,지가 다치게 하고 죄지어놓고 무슨 보복을 해? 그놈은 정상이 아니다 평생 가둬놔라,293
08AMcreative,20년 뒤 누군가 나를 죽이러 온다고 생각하면 사는게 사는게 아닐 듯... ㅜㅜ 대한민국 수준이 처참하다.,3.2천
sieuning1,피해자를 지켜주는 법이 너무 절실합니다 그게 진짜 정의니까요,1.5천
iamyourworld,'그냥 살지 말걸 그랬습니다' 하는데 제가 다 눈물이 나네요... 너무 마음 아파요 남 일 아니고 누구에게나 있을 수 있는 일이에요... 지금 너무 힘든데 용기 내서 서있는게 너무 안쓰럽고 마음이 안좋네요...,416
user-yb6vk1dv2t,18범에 강간에 폭행에 반성도 없이 보복하겠다는 말만 반복하고 분노표출하고 형량 줄여달라고만 하는 애를 어떻게든 출소시키려는게 참~~대단합니다 ~ !!!묻지도 따지지도 말고 무기징역 때리는게 당연한것을,200
user-xh3uw4lx8f,피해자 분의 용기에 큰 박수를 보냅니다. 너무 가슴이 아파 눈물이 납니다... 제발 가해자를 영원히 사회에서 격리 시켜주세요!!,382
een4824,법을 개선시켜야합니다 더이상 피해자들에게 고통을 주지마세요,63
user-nj6oj2gz8f,"검사가 35년을 구형했고, 전과 18범에 출소 후 복수를 입에 달고 다니는 인간은데 어떻게 20년이 나온건지 참담하네요",2천
hjkim1698,얼마나 끔찍하고 두려울까 상상조차 안되지만... 피해자분 힘내세요,725
Victoria-yy3du,너무 속상합니다. 나라에서 보호해줘야 할 분 아닙니까...,450
user-lt5ju4jw9p,아 나까지 울컥하네 ㅠㅠ 진짜 법좀 어떻게 해야하는거 아닌가 ㅠㅠㅠ 지가 나쁜짓해서 감옥가서 살다 나와놓고 보복하겠다 큰소리치고 ㅠㅠ 피해자는 끝까지 숨어살아야하고 ㅠㅠ 가족이 다칠까봐 전전긍긍해야하고 사는게 사는거겠냐고요 ㅠㅠ 밤에 잠이라도 편하게 잘수 있을지 ㅠ ㅜ 누구라도 저런 일 있을수 있는데 너무너무너무 참담하네요,25
TV-rw2zo,피해자분 꼭 지켜줘야 합니다.,375
BJ-jy1wo,우리나라에서 피해자분 꼭 지켜주시길 바랍니다. 마음이 아픕니다.,14
user-il7zs8hj9k,"저 피해자가 대단한거다, 용기가 대단하고, 나라가 판사가 못하면 이제는 국민들이 도와줘야하나, 끝까지 국민들이 함께하도록 도와줘야합니다.....극단적인 이슈가 되어 충분히 반영한 판결이 저 정도니 ....",9.2천
user-ux9je8eq3j,영상을 보는 저까지 고통스러운 느낌인데 불과 20년뒤에 하루하루 보복당할까 두려움속에서 저 피해자분이 살아가야된다고 생각하니 너무 가슴이 아픕니다.,261
agentofhope88,"사법부는 개혁해야 합니다. 전과 18범이 범죄 의도를 드러내는데, 20년 뒤에 그냥 출소 시키겠다? 정의를 실현하는 법이 아니라 악을 조장하는 사법부의 결정.",792
user-wy1dv1zk4n,판사야 니 딸래미가 저런 상황이어도 20년 구형할래? ㅉㅉㅉ,122
user-fy2fd9uq6k,저 여성분의 일어난 일이 나의 일이 될수 있습니다 정말 심각한 일입니다 가해자의 영원한 격리가 있어야 할듯ㅜㅜ,270
user-rv3us5yd8r,피해자를 지켜주는 법안이 진심으로 필요한 때입니다. 얼마나 더 많은 사람이 피를 봐야합니까. 정신적 트라우마도 크실텐데 피해자분 잘 회복 하셨으면 좋겠습니다,1
luckybn8,살인 저질러도 10년 구형받는 세상도 싫고 피해자가 언론에 알리고 노력해서 받은게 20년이라는게 참 원통합니다. 너무나도 원통합니다.,3.5천
hO-tb5nc,그동안 꿋꿋하게 버텨오던 모습을 보다가 울먹이면서 겨우 한마디씩 내뱉는 모습을 보니.. 제가 다 무너지는 것 같네요. 피해자가 자신의 삶을 되찾기 위해 일년동안 노력해온 것들을 생각하면 너무 눈물납니다ㅜㅜ…,182
surfer2988,법이 국민을 보호하지 못하고 범법자를 보호하는 도구로 기능하는 현실이 참으로 안타깝습니다. 판사들을 무슨 생각으로 이런 판결을 내리는건가요? 이래서 국민들은 법관들을 믿지 못합니다. 양형 기준이 문제라면 하루빨리 바꿔야합니다.,715
