작성자,내용,추천수
user-bp6db3no3c,피해자보다 가해자 인권이 중요한 대한민국 참으로 자랑스럽습니다,8.7천
soojinpark7286,씩씩하던 피해자분이 우시는 거 보니 가슴이 아프네요 ㅠㅠㅠㅠ 전국민이 보고 있는데도 15년이나 감형을 받다니 …,2.6천
user-dc7dc3cw6b,심지어 온국민이 관심을 갖는 사건임에도 이런 판결이 나오다니... 아... 제발 피해자가 회복하여 행복하게 살수 있도록 해주세요. 이 판결을 보니 한번 피해자는 영원히 피해자로써 살라는 것인가.. 싶네요..,3.8천
user-pt4cr6eg8q,"여자분 진짜 스트레스 심하겠다...저 사건으로 머리를 크게 다쳐서 후유증으로 직장에서 일도 제대로 못하게 됐고, 기억에도 없는 성폭행으로 받는 고통에, 가해자가 출소하면 죽이겠다고 벼르는 상황까지...그저 가해자의 눈에 띄였다는 이유로...진짜 너무 잔인하다...하...",337
user-np2sz9lo1l,존경하는 판사님의 얼굴과 이름을 널리널리 알려야 합니다.,1.6천
user-rv1tz2vr9f,근데 구치소 동기분도 진짜 대단하시다.. 어쨌든 잘못을 해서 구치소에 가있는거긴해도 저렇게 피해자분을 위해서 용기낸다는게 쉽지 않은건데 멋지십니다!,113
rgte4100,피해자분 이전까지 늘 씩씩하고 담담한 모습으로 인터뷰에 응하셨는데 이딴 결과에 결국...너무 안타까워요ㅠㅠㅠ 가해자 출소 전 천벌 꼭 받길 빕니다.,3.6천
mamisae5129,"피해자분 우는 모습을 보니 가슴이 너무 아프네요.아무 죄도 없는데 고통을 지니고 살아야 하다니... 옥살이 하는 동안 누가 저 가해자 팔,다리 불구라도 만들어서 폭력을 저지를 생각 조차 못하게 만들었음 좋겠네요...",430
sexy-wt8ey,형을 너무 낮게 때린점도 아쉽지만 피해자분의 하루하루가 걱정입니다.공포와 스트레스를 엄청 받으실텐데요.너무 안타깝고 슬프네요.,183
moveb2714,판사는 왜 감형해주냐? 검찰이 35년구형했는데 당신가족이 당했어도 그따위판결내릴래?,427
user-ti5uk2wj3o,부산고법 형사 2-1부 최환 부장판사님 정말 존경합니다. 본인 따님이 있으시다면 따님이 똑같은 일 당하셨을 때도 꼭 똑같은 판결 내리셔서 대한민국이 정의로운 법치 국가임을 꼭 모두에게 보여주세요.,788
user-ez9ky2wm6t,판사님도 꼭 똑같은 고통 받으시기를 기원합니다.,227
dyijdsh6448,전과 18범이 자유롭게 돌아다니게 한 것도 불안한데 결국 사고를 쳤지. 그런데도 고작 20년을 줘? 진짜 사람이 죽어도 20년 줬을 것 같아서 소름끼친다. 힘 없는 국민들은 어떻게 보호 받아야 하냐.,2.2천
user-bg2dj6nq5m,피해자분 너무 안타까워서 보는사람까지 속상해요. 남한테 욕만 들어도 그 상처와 억울함이 몇 년을 가는데 가해자는 사람을 저렇게 만들고도 도리어 복수하겠다는데 피해자분 심정이 오죽할까요. 그래도 적극적으로 노력하는 모습에 응원했었는데 더이상 힘든일 없었으면합니다. 진심으로 위로해주고 싶어요.,240
user-ik7rn9dy9n,피해자분을 보니 너무 마음이 아픕니다 정말.. 답답하고 무기력 합니다. 누구나 겪을 수 있는 일입니다..,268
user-lr6ki6hc5m,사실 저도 얼마전에 성폭행 미수로 끝났는데 너무 너무 무섭고 고통스러웠거든요 ..(현재도) 저분은 얼마나 힘들까요 ㅠㅠㅠㅠ 제발 사람들이 다같이 나서서 적극적으로 도와줘야 법이 조금이라도 강화될 거 같아요 ..,47
x_x_x_x_x_,피해자분 힘내세요.. 구치소 동기가 저렇게 말하는데도 판사들은 제정신이 아니네요..,227
user-vr1fh2cz3s,힘내세요 국민들은 잊지않겠습니다.,170
user-bb3yd8nw3i,재판장님 보고계십니까? 본인 따님이 저렇게 많은 카메라 앞에서 눈물을 호소하면서 공포에 떨어도 똑같이 20년을 내리실겁니까? 진짜 대단하시네요 청와대 청원 올리러 갑시다 여러분,8.5천
cutycut,피해자분 너무 안쓰럽다 ㅠ 멀리서나마 힘내시라고 응원합니다 전국민이 지켜볼겁니다 힘내세요,231
ozzorogo3,법 강화가 필요합니다..피해자들이 더 이상 아프지 않았으면 좋겠어요,174
user-yw6cu1mu5b,판사의 소중한 사람이 당해도 똑같은 판결 내리고 안심하고 다행스러운 마음 꼭 갖길 바란다.,20
jaypark971,판사님 가족에게도 꼭 같은일벌어지길 기도할께요,176
