작성자,내용,추천수
user-bg3tv3mx5p,아니 자기가 저지른 범행을 부산서면 강간 폭행 사건으로 검색한게 스스로 강간을 인정한거 아닌가? 이걸 12년 판결하신 판사님들 대단들 하시네.,1.4천
user-si4hk2jr7c,한사람이 하루아침에. 날벼락이다. 뇌손상에..정말 가슴이 찢어지게 아프다 제발 빠른회복을 기도합니다,382
zicobagazzangeya2957,평생 격리시키지 않을거라면 두번다시 사회에 묻지마 폭행 피해자 안나오게 한쪽발이라도 못쓰게 만들어서 사회에 내보내야 한다. 저 피해자분의 이루말할수 없는 고통과 혹여나 비슷한 고통 속에 처한 분들에게 집중해야지 인간이길 포기한 가해자 인권 운운하는 어처구니 없는 일 또한 없기를 간곡히 기원합니다,259
luciah905,신상공개 하세요. 이 사건 볼 때마다 너무 분노가 치밀어 오르는데 피해자분과 그 가족들의 심경이야 말할 것도 없겠죠. 요즘 엘리베이터 탈 때 기다리는 것 자체가 무섭네요. 좌우를 항상 살피게 되요. 가해자 정말 찌질하기 이를 데 없는 금수만도 못한 인간이네요.,1천
user-hu1kr4xu5l,너무 충격적이고 화가 나네요…. 피해자분이 겪고 있을 고통에 제가 다 억울해요…,111
user-zm8hi2vi7h,만취 상태면 프로파이터도 저렇게 정확하게 헤드킥 못날리겠다 그리고 팬티 내려놓고 왜 깨울려고 뺨을 때리냐? 어디서 말도 안되는 개구라를 쳐대냐 욕나온다 그리고 피해자는 장애까지 얻었는데 겨우 징역 13년 이라니 이게 말이되냐?,657
Korea9859,이게 정말.. 우리나라가 맞나요?.. 미쳐 돌아가는거같네요 점마저거 신상 공개하고 완전히 사회에서 격리가 되야죠 얼마나 법이 우수으면 대놓고 범죄를 정말 이게 최선입니까?..,200
onlyone4028,판사들은 대체 판결을 어떤기준으로 하는건지?? 배심원들로 판결했으면 좋겠네요.. 징역 12년이라니 저걸 공감하는 국민이 대체 얼마나 되는지 궁금하네요. 판사는 1년에 한번씩 그들이 판결한 내역을 국민에게 공개해서 투표로 다시 임명할수 있었으면 합니다.,156
youngjabyun7056,영원한 격리가 필요하다,615
user-lm2rb3ld4l,사형만이 답이다,200
user-cl9un2xw5h,항소를 제기 했다는 건 반성의 기미가 없다는 것....가중처벌 해주세요 판사님 동기와 폭행이 너무 잔인하고 재발 가능성이 너무 높아요 미래의 살인의 피해자가 나올 수도 잇는 상황,95
user-tq2pd3rm9x,폭력에 대한 처벌이 너무 약해요 이런것들을 간과하기때문에 더 큰 범죄를 아무렇지 않게 하는거죠 보안티비까지 없었다면 저걸 어떻게 입증할수 있었을지 무섭습니다 여성범죄에 대한 강력처벌이 꼭 필요합니다,323
wjlee2301,계획적으로 해놓고 억울함 호소???? 지나가면 서 사람을 안쳐다볼수 있나.......... 봤다고 뒤에서 찌질이 하이킥을 한다는게....... 이종격투기 배웠으면 좋은일에 써야지 성범죄에 쓰냐 한심하다 왜 그러고 사냐.....,288
user-fh7kj7hj8b,영원한 격리만이 답이다,422
able0073,피가 거꾸로 치솟는 기분입니다. 반드시 재판부에서는 항소심에서 무기징역을 선고해주길 바랍니다,29
user-wy3ko5lr9s,이사건은 분명히 재심 이루어져야합니다. 왜 판사가 반성문받고 형을 감해주나요? 판사가 죽을뻔했나요? 개나소나 써대는 반성문 그게 뭐라고 형같잖은 형을 내리는지? 정작 피해자에겐 미안하단 말한마디 안하는 가해자인데,103
jube369,한사람의 인생을 바꿔버린 사람들은 그냥 두면 안되는겁니다.. 자기가 멀 잘못 햇는지 도 모를겁니다.,90
user-wq4xb8vo8d,저런사람이 12년뒤 사회에 다시 나온다는게 끔찍하다 제발 저런 사람은 얼굴 보여주고 사회에서 영원히 경리됐으면 좋겠다,121
user-rz5ml3yn9x,이건 사형감이지 진짜. 판사 너무한거아니냐?,433
zxcl0316,피해자만 억울한 나라 대한민국 언제까지두려움에 떨며 살아야합니까. 판사님의 딸이라도 이렇게 형량 때릴까요? 대한민국에서 어느여성이 이 판결을보고 맞는처사라고 볼수있을까요??,47
