작성자,내용,추천수
booingboo7770,"가장먼저 없어져야할 직업 ""판사"" 월급도 아깝다.. 온국민들이 지켜보는거 알면서도 대단한 판사님 나셨네 진짜..",1.1천
user-si5vt9ke9h,재범자 양성에 최선을 다하시는 우리 판사님들,659
BluesPig,나가면 피해자 죽여버린다고 2주동안 말하고 다니고 심부름센터 시켜서 주소까지 알아냈는데 15년 까주는 판사님의 센스ㅋㅋㅋㅋ,511
blackbean5312,미쳤나?? 판새야!!! 가석방 없는 무기징역이어도 모자랄판에 15년을 깎아?!! 전과 18범을 또 풀어주겠다는거네? 검사님 항소하세요!! 형량이 너무 작다고!!!,766
TedMeta,제발 저 판결 내린 판사 자녀한테 똑같은 일 벌어지길 진심으로 하나님께 빈다...,202
annas_garden,"판사만 모르시나, 보복한다고 했고,뉘우침이 없자나요!!! 판사님 뭘 판단하신거에요??? 온 국민이 다 아는 사실을... 불안해서 애들 어떻게 키우냐고요?!!! 저출산이라 말하기전에 현재 우리아이들 먼저 보호하고 챙기라고요!!!!ㅡㅡ",420
user-hv2kd4me4n,턱없이 부족하다!! 검사측이 구형한 35년도 부족한데 그걸 또 15년을 깎아버리네;; 미쳤다,264
shedberry_ToyStore,전과 19범을 굳이 20년후에 또 풀어주겠다는 대단한 판사,114
user-jy4fe2iu2f,판사는 잘하는 사람 못하는사람 저런 판사없어져야 합니다,338
user-og9qb1eh9q,피해자는 용서를안하는데~~판사가 무슨권리로 용서를하는 판결을 내리는건지~~~,233
romeo920417,꼭 죽이고 다시오라고 판사님이 기회를 주시네요,305
user-di2gr8dk8n,재범우려가 높다면서 다시 사회로 나올 기회를 주는 대한민국 판사~ 대단하십니다 너희들의 이런 판결로 눈에 피눈물 흘리는 사람이 몇명일것 같냐? ㅉㅉㅉ....,322
user-fw1qx3uk9g,전과 18범이 저런짓을해도 사형 안하는 나라가 대체 무슨 미래가 있겠냐,78
user-ng5cr3hk2w,이야~담당 판사 솜방망이 처벌 참 대단하다~ 만약 자기 가족이 저렇게 당했어도 저리 판결할까?,197
kcusa3086,"상식, 사회적 통념과 공감대 그 무엇하나 충족시키지 못하는 이나라 형법과 그런 미숙한 법마저 한없이 관대하게 해석해주는 판사란 사람들...피해자가 범죄자를 피해 도망 다녀야 하는 정말 답없는 사회...",86
user-pi8nu5hp6k,판사 넌 지옥에 간다.,536
Max_blessed_Holloway,"다만 ""살인이 미수에 그쳤고 피해자의 옷을 벗긴 행위에 나아가 성폭력 범죄까지 실행했음을 인정할 증거가 부족한 점과 피고인이 어린 시절 모친의 가출로 정상적인 훈육을 받지 못한 채 친척집을 전전하며 불우한 성장 과정을 보낸 점 등은 유리한 정상으로 참작한다""고 말했다. 이딴 이유로 15년을 감형 한다고???",30
user-xm8wo3yi6g,진짜 판사들 너무 하네... 전과 18범이라잖아. 본인과 연관되도 그렇게 할거냐?,133
lian7011,이쯤되면 범죄자 신상공개가 아니라 판사님 신상공개가 시급하네요...:;;; 피해자분이 조사까지 다 해온걸...세상에 ...이정도면 판사님들 현실인지장애 유무 확인 필요합니다,48
user-oq5gg5cd7g,이 정도면 살아생전에 전과 30범은 충분히 달성할듯,186
user-gl7ip2ud9u,설마 했는데 역시 k-판사 대단해.... 할말없다..,83
user-nt1te6rc2g,20년 휴..ㅉㅉ 신상공개10년 위치추적장치20년이 큰의미가 있을까.. 20년..대단한판결이네요...한사람의 삶이 송두리째 무너졌음에도 불구하고 가해자는 잘먹고 잘자겠지...피해자분 끝까지 용기잃지마셔요..얼마나 무섭고 억울할까요?ㅠㅠ안타깝네요..피해자가 왜 피해보고살아가야하는건지..답답할 따름입니다..남일이 아닙니다..당장 저런또라이들이 앞으로 얼마나 더판을치고다녀야 사형이 집행될껀지...,97
user-qf8fq8hf7s,이쯤되면 판사도 신상공개 해야한다.,14
user-xm8et8wt1t,안에서도 보복만 생각하고있는데 20년??답답하다 무기때려야지 무슨 20년이야 피해자는 게속 두려움에 떨면서 살라는거냐?,80
user-ie4kv9gq8p,부디 저 판사의 소중한 가족이 길가다가 이유없이 돌려차기 및 얼굴 걷어차여서 성폭행미수 당해서 범인이 20년뒤에 나오기를,40
dhqjhfhem2suho522,피해자에게는 사과 안하지만 판사에게는 사과하는 요상한 법 ????????????????????,56
user-du8px5lw7p,범죄자를 위해 존재하는 우리 판사님들... 앞으로도 화이팅!,19
user-pk8qc6ws6b,범죄자 양성소 대한민국 도데체 누구를 위한 법이며 억울한 사람만 점점 늘어가게 하실껀가요 다시 나와 복수해 누구하나 죽어 나가야만 그때서 법 개정하실껀가요 정말 분통터지네요,186
jerrykim4837,현재는 2023년 한국 법 처벌은 1970년대수준. 법 처벌이 약하면 범죄자들의 범죄 욕구를 막을 수 없으며 사회 혼란 또한 당연한 결과. 범죄자들이 사법부의 처벌을 두려워하지않는다면 사법부의 존재 이유 따위는 없을것.,31
oo372,35년 구형에 20년 선고면 35년 절반이면 17.5년인데 거의 절반을 까줬네. 대단하다 정말 ㄷㄷ 전과 18범의 강간살인미수에 대체 무슨 감형요소가 있는걸까. 저래놓고 난 여론과 민심에 흔들리지 않는 공명정대한 판사라고 생각할까봐 소름이다,41
user-ze3hx7fc4b,ㅁㅊ;;; 고작 20년 밖에 안 된다니 피해자는 불안해서 어떻게 살아;;;,37
user-li3pw2hn4e,그렇게 계속용서해줬는데 요번이라고 감형 안해줄수없지 마치 엄마의마음 같네 판사님은마음이바다같아요~!,51
ygj7590,우선 알아야 할 것이 형벌을 내리는 이유다 형벌을 내리는 이유는 죄값도 있지만 이러한 일이 다시 벌어지지 않게 하기 위해서 형벌을 내리는 이유도 있다 범죄수위로 보면 20년이 적은건 아니다. 하지만 문제는 보복을 하겠다고 하면 말이 달라진다 죄를 뉘우치지 않고 있다는 증거이며 다시 재범을 일으킬 확률이 높아지고 피해자는 정신적 고통에 살게 될것이다. 이러한 보복을 하는 일이 벌어지지 않게 하기 위해서 본보기로 철퇴를 내렸어야 한다고 본다,3
kvffki64dvj733,"인하대 강간치사범이 20년을 받았음.. 이렇게 살인을 해도 20년이니, 아무래도 피해자가 건강을 회복했다는 점이 오히려 참작이 되서 20년 이상 선고하기가 어렵게 된 듯.. 강간살인미수로는 거의 최고형이긴 한데, 피해자를 협박하고 죽이겠다는 놈을 50대 초반에 플어주면 어쩌자는 건지.. 개인적으로 보수적으로 생각해도 25년이였는데, 20년이면 피해자분 마음이 무너지겠네..",34
user-nx7pu8hx6u,고매하신 한국 판사님들~ 꼭! 똑같은일이 당신들의 가정에도 일어나길 빕니다~~,1
user-jd6eh3bu2h,30살인데 20년이면 50살에 나오네 50살이면 아직 힘이 남아잇어 재범우려가 있습니다 판사님 50년은 때려야 80살에 나오니 그나마 피해자가 안심은 될꺼같으니 50년 때려주세요,76
angelminam,원래 12년에서 겨우 '8년' 늘어났네요? 이게 말이 됩니까? 300년을 해도 모자란데... 진짜 사법부가 죽었네요. 이게 말이 되나....,15
user-ti8ns9yl4s,저 따구로 판결하니 범죄가 끊이지 않는거임. 이미 18범인데 20년..... 존경스러운 판결이다 범죄자 양성소 대한민국 판사 ㅅㄲ들 싹다 AI로 바뀌길 빈다,16
user-lt6ck6qg5c,판사님 따님도 꼭 이와 비슷한일 당하길 바라겠습니다 !,2
todayshumor,"아니, 특례법에 무기징역이 가능하도록 떡하니 자리를 잡고 있는데, 도대체 초범도 아니고, 강간,폭행,사기,주거침입까지 있는 전과 18범을 20년형을 때리는건 도대체 어떻게 이해를 해야 합니까???",13
user-sb1op1jx7d,누구하나 죽기전까지는 자유를 주는 판사센스에 박수 치고 갑니다~~,17
user-ne8if1zk5h,전과 3범이상은 사람이 아니다...사회와의 교화가 아니라....★★ 격리가 필요하다!!!! ★★,36
bongjumoon207,이런것들은 사회에서 영원히 분리 시켜야한다.,35
user-jh6sd3fv6j,가해자에게 20년뒤에 살인 기회 주신 판사님 참 대단하십니다.,0
user-bl3vz7yk8m,판사님 가족이 피해자였어도 그러실껀가요? 제2의 피해자는 본인 가족이길 매일 기도할게요 ^^,6
user-bn8nb7rk7x,아니 판사...사람이 죽어나간 후에 무기징역 .사형줄거야? 미리 살인예방은 할생각이 없어? 20년???? 피해자가 당신 딸이어도 20년줄거야?? 답답하다.....,8
Sun_Set_,형량이 줄어드는 마법! 대단들하십니다 판사님들,10
user-mv7od5wo3c,진짜 왜 대체.왜요 저런일을 당하신분의 말을 더 들어서 재판을 해야지 가해자의 말을 더 듣냐고요...저렇게 확인사살처럼 밟는 사람을 다시 사회로 내보내겠다니요 답답합니다...,0
BTS_0623,너무 하잖아요ㅠㅠ 왜 무기징역이 아닌거죠?,23
changyongkim5324,사회와 영원한 격리가 답일텐데,0
wise_100su_life_tv,판사를 심판할수 있는 국민배심원 만들자.엉터리 판결한 판사를 가차없이 단죄하고 징역 보내자.,7
sanghunlee2603,이 정도면 사법부가 범인 양성소 아니냐는 비판을 들어도 싸다....나이가 몇인데 벌써 전과 18범이다....저런 놈은 인생자체가 갱생이 안되는 놈이다....하루빨리 AI를 이용한 사법 판결이 절실하게 요구된다.,12
adriangim2777,저런 유형의 중범죄 재판은 판사 신상도 같이 공개 되어야 한다고 봄.. 장난하는것도 아니고,4
user-fd6lp9xm9g,판사도 신상공개 해야한다,8
SGolds-qh1ch,성폭력 이전에 이번 건은 테러로 간주되어야 했습니다. 테러로 수사를 하였어야 합니다. 사회적 테러에 이토록 민감하지 않은 사법제도를 개혁하여야 합니다.,44
Seoul-uh9kh,18범이 저렇게 젊다는것부터가 형량은 이미 예상가능한거,6
waterflow446,"이번 사건으로 우리 모두는 ""비질란테"", 즉 자경단이 되어야 한다. 대한민국에서 법은 약자와 피해자를 위한 것이 아니다. 오로지 눈과 귀를 가리고 권력자와 가해자들을 위해 봉사하는 도구일 뿐이다. 우리의 자유와 권리를 위해서 칼과 주먹을 들어라. 비질란테가 되어서 법과 가해자에게 대항해야 하며, 이것이 진정한 '공화국' 시민의 역할이다.",40
user-vm9kg4jg7f,"판사가 가해자의 삼촌이신가? 그러지않고서야 겨우20년? 그냥 휴가준거네 ,,,, 판결을 장난으로 아나?? 미친,,,,,,",10
annal5402,그래도 정황 증거를 받아들여 고려했다는 점은 주목할만 하네요.... 하지만 형량이 적고 20년 뒤 이 사람이 나와서 돌아다닐 것이 걱정은 됩니다,0
user-xj3hu6ev1q,뉘우침 1도 없이 보복 계획하는 놈인데 괘씸죄로 20년 더 때려라!!!! 그리고 최환 부장판사~!!! 당신 딸이 강간 당해도 꼴랑 8년 더 떄릴래????,56
its4969,우리나라 법이 이런건지 판사마인드가 이런건지.......35년형도 작다고 생각했는데...20년?진짜 자식들보기 부끄럽지 않나?,3
user-it8so7ry1e,범죄자도 문제지만 판사들은 더 큰 문제다 예전 판사 석궁 테러보다 더 강력한 응징으로 지금의 판사들을 몰아내고 강력 범죄에는 잔인할 만큼 강한 처벌로 다스리는 판사들을 뽑아야한다,1
Lowestvoice,아무리 그래도 20년은 너무 억까..... 2000년은 돼야지,11
injoy2u,적어도 cctv 현행범들에 대해선 모자이크 없이 공개 했으면 합니다 이런글 쓰니 누가 니가족이 사고쳐도 그런말 하냐던데 가족이어도 법을어기면 벌받아야하고 신상공개 해야죠 이상한데 가족 끌어들이는 사람들 그건 좀 아니지 않나요?!,7
