작성자,내용,추천수
user-lx1bn2dw7v,피해자분 억울해서 어떡해... 너무 화난다 진짜,118
user-fe8yh9uw6k,판사 집안에 똑같은일 일어나길 간곡히 빕니다,26
ngede80,아 욕 나오네 20년? ????? 판사의 주 업무가 국민들 혈압 체크하는 일?????,115
user-kz5tq1ny3v,위엄한 인간이니 얼굴공개도 해야됩니다 다른 여성분들이 안전할라면,5
user-ox9ov3jm5y,재판장이 최환이랍니다. 국민감정이 전혀 이해하질 못하네요 어이없네요,151
zzangshin9133,역쉬... 대단한 대한민국 판사님들 .. 부디 당신들의 딸들도 꼭 이와 유사한 변을 당하시길.. 과연 이런 판결을 내릴 수 있는지 봅시다 ! 공부 많이한 판사의 깊은 뜻을 개돼지들은 해아릴 수 없는거라 생각하겠지 ㅋㅋㅋ,8
pigeon2376,인구조절에 힘쓰는 애국자 판사님,4
user-je3gs6px6y,전과 18범이 강간살인미수인데 20년이라고? 에라이 골빈 판결이네. 판사는 하루빨리 ai로 대체해야할 직업이다 진짜.,88
choi1147,법이 기준없이 감정으로한다면 이세상은 더 혼란에 빠질것입니다. 양형기준이란것이 있고 법은 원칙을 벗어나면 안됩니다 ~~,3
user-hp3gw1nz5r,20년이 아니라 30년 이상 내려야 합니다. 영원히 공동체에서 분리해야 합니다.,102
user-bd9eb6wo9r,강력 범죄자들의 인권을 한없이 보호하고 옹호해주며 선량한 국민들의 인권을 개무시하는 판새들과 국개의원들이 국민세금으로 호의호식 하는 우리나라 좋은나라~~,2
user-pq1rz2gu3q,역시 판사는개판사,4
sieuning1,전과 18범이 왜 20년이죠?? 대한민국 판사들 보면 정말 구역질 나옴,36
user-rt5kg3kq1u,이렇게 전과 경력도 많고 재범률이 높은 이현우가 출소하면 이현우에게 당하는 사람이 기하급수적으로 늘어날 거야,0
user-dr2eq1yr8m,정신나갔네. 저인간 18범에 전과 하나 더 달았는데 고작 20년? 어떤 이유로도 감형하지 말고 생활하다 불성실한 태도 보이면 5년씩 형량이 늘어났음 좋겠다. 제발 판사 측근에서 저런 일한번 터지길 바란다. 정신 못차렸네....,43
user-nb7bp9sy1r,모처럼 시원한 사이다판결이네요 피해자 많이 떨렸을텐데 다행입니다,5
carlosgracia6170,3심 상고 가자!!!,3
loveve1074,고작 20년이냐?....판사 보다 검사가 사회적 민감성에 더 우위에 있네....판사 때려쳐라,59
user-oc3dq5nj7q,힘내라 현우야,3
user-fp9xw4oz3j,20년이 아니라 200년 때려야 합니다. 판사 미친거 아닌가요?,51
user-rn6uf3eh1w,와.. 이렇게 들고 일어났는데도 20년인데.. 피해자분이 그냥 있었더라면.. 진짜 끔찍하네요.. 하..,30
user-oq4ke4ew3m,저리 쳐 해도 20년밖에 안주니 또 나오면 죄 짓것지,48
Shorts_Level,"무슨 소리냐? 이게? 사회랑 영원히 격리해야지ㅡㅡ 당신 가족이, 지인이 저런 일 당해도 20년만 선고 할 거야?",69
gwisekor,"20년? 검사가 증거 제출해서 35년 했는데, 판사가 역적이네",52
user-ln2we9cy4e,35년 구형했고 성ㅍㅎ 증거도 나왔는데 20년형으로 감형해줬다구요????????? 미친거 아닙니까??? 이래 법입니까? 나라입니까?,22
user-gc8hq9xj1t,최고 나쁜사람인데 20년이라니 한심하다 영원히 사회에 못나오게 해야합니다 어디 무서워서 살겠습니까~ 우리사회에서 영원히 추방해야 됩니다~,4
user-im9pe2hj7r,아이고야;; 20년 뒤에는 전과19범에게 어떤 여자가 또 죽을지...,22
user-gh6me9ld6z,20년이후 출소하면 1~2명은 죽이겠구만 ... 출소하는 날 누가 가서 먼저 죽여야만 이 복수극은 끝이 난다.,36
user-no5qb8nd3g,국민들은 무서워서 못살겠다,27
user-gy6sm5bw8z,피해자에게 보복하려고 하는 점과 출소 후 또다른 범죄를 일으킬 것을 감안하면... 처벌이 약해도 너무 약하다.,15
messipsg7761,판사 미친놈 아니냐 20년이 말이되냐 진짜 충격적이다 최소 35년이였어야되,10
user-ew5jo4tm7t,예시 자체는 판사님에게 미안하지만 과연 판사딸을 돌려차기로 기절시키고 의식없는 상태에서 성범죄 한다고 해도 그 판사는 과연 20년 내릴까?? 난 절대 아니라고 본다. 재판중 얼굴보면 칼들고 목아지 따겠죠.. 그 20년은 왜 20년인지 설명좀 해주세요,39
sghnle7007,"한 20년뒤에 40~50대 되어도 충분히 범죄 저지를 수 있을 힘이 남아 있을 건데........ 안타깝네요, 그 때가 되어서 누군가가 저 사람한테 희생될게 불보듯 뻔할텐데 여태 납치 강간 유괴 범인들 보면 초범이 아니라 저런식으로 20~30대때 강력 범죄 저지르고 20~30년형 받고 50~60대 되어서 저지르는 경우가 많던데 ㅠ.ㅠ",8
nnooonn,20년 뒤 출소해서 꼭 판사 찾아가길~,14
LOTTO12345,저녀석 출소하는 날 투망으로 잡아서 악어 득실대는 나일강에 던져주세요 감방 안에서 보복을 계획하고 있다니 도저히 이해가 안돼네,19
junekim9846,약해 ... 사형 시켜라...세금 돌려줘,17
user-pl7qp7de9w,20년후에 나와서 판사 가족이 저놈한테 똑같은 피해보기를 간절히 바래봅니다~,20
user-ge8vb2us3d,썩어빠진... 어휴 꼭 본인이나 본인 가족도 당하길 바랍니다. 그리고 사형 태형 다 부활시켜라 감방? 가서 잘 쳐먹고 잘 자고 더 건강해져 나와서 또 범죄 저지르는 거 한 두 번이냐?,15
user-hj2qt9ns2g,하 진짜 화가많이난다 진짜 판사님 고소해버리구싶네용~ 피해자분 마음을 넘 잘알다보니까 걱정두 많이 되구ㅠㅠ 진짜 많이 억울하시구 받아들이기 싫고 그럴탠데ㅜㅜ 우는목소리들으니 마음이 더 아프고.후 전과18범을 인간만도 못한넘을 왜 보호하구 감싸는지 모르겠네요 진짜 역겹네 피해자를 보호해도 모자를마당에 가해자른 보호해 아주 잘돌아간다 저딴넘이 판사질하구있으니 범죄자쓰레기들이 판을치는거지,2
mmp2059,20년??? 피해자 뿐만이 아니고 우리국민 모두에게서 영원히 격리해주세요,2
applemint8051,이쯤되면 우리나라에 판사라는 직업 자체를 좀 없앴으면 좋겄네 판사직업 없애고 네티즌들을 판결관으로 하면 나을것 같다는 생각이 드네. 네티즌 판결관 만들어라 제대로 자격있는 네티즌들만 골라서 네티즌들이 판결내리는게 낫겄어 어케 똑똑하다는 양반들이 형량을 왜 저따위로밖에 안주나 몰라 헛똑똑이들이네 국회의원들이 법 안고치고 일안하는것도 원인이겠지만.,19
cv-G,저 범죄자를 풀어주는한이 있더라도 담당판사는 꼭 처벌하고 사회로부터 격리해야할듯.. 범죄자보다 판새가 더 저질스럽고 해악스럽게보임,3
user-ko6xb4uj6m,판사 정말어의없다 국민청원 올려야 합니다 국민모두 분개하고 있는데 법무부 장관 뭐하세요 딸가진 부모들 불안해 하고있어요 이게 법치국가입니까? 치안이 이리 불안해서 판결이라도 제대로 해서 일벌백계 했어야지요!!!,6
user-adjti1IlliIl1i17,20년후 저 쓰레기가 출소하면 타깃이 안 되길 빕니다. 과한 형량이라고 외치던 인간의 판사 가족들은 꼭 꼭!! 타깃이 되길 간절히 빕니다,4
s.gwannabe236,50년 갑시다. 검사님들 얼른 상고하세요.,10
user-ic1ry4ms6p,판사들 진짜 욕나온다,10
user-fu6of9hw3g,아니 저런 전과18범인가 20범인가 저런사람에게 왜 사회로 발 디딜수있는 기회를 주는거죠? 왜 피해자를 지켜주지 않는건가요.....,2
soolee1283,판사 신상도 공개해야 합니다.,9
Goriginal2,무기징역 장기수 사형선고 받은 넘들 그냥 없애라 제발 세금 아깝다ㅠ,2
brandonleespictures,판사 제정신인가? 겨우 20년? 이런 판사들이 악마들을 만들어내는 주된 원인이라고 봄,4
James-fg9pg,"죄에 비에 솜방망이 판결내린 판사란 인간도, 집안에 똑같은 일 당하기 바란다.",2
user-wh5gs6mf1w,최소 30년은 해줘야하는거 아닌가요ㅠㅠ,18
afewgutman6320,진짜 전과 몇 범 이상 죄질도 사악한 악질범들은 그냥 무조건 무기 때려버렸으면.... 그게 억울하면 죄 안 짓고 살면 되잖아.. 그 정도 장치는 있어야 18범이 안 나오지... 저런 것들이 왜 세상을 활보하게 만드냐고...,1
user-nv1cc4sb4h,20년도 채 안살고 모범수로 나와서 얼마나 많은 피해자들이 고콩스럽게 죽어나갈까. 환멸난다 20년 고작,8
user-ls3vg6qe4b,양형때린놈이 재범하면 양형때린 판사 처벌하는 법안 만들던가해야지,14
user-kf7yo8wx1h,검사가 구형은 35년으로 한 것으로 아는데 도대체 무엇을 얼마나 어떻게 참작했길래 15년씩이나 깎아줬는지 모르겠네요. 판결문에 피해자 주민등록상 주소지 기재해서 가해자가 달달 외우며 복수를 꿈꾸게 만드는 것도 모자라서는 피해자의 호소보다 무엇이 더 중하여 15년씩이나 깎아줍니까?,1
geguri38,와~20년 징역 될줄은 꿈에도 생각지 못햇다,8
jayjay-yj6ze,판사는 위치추적 장치가 무슨 효과가 있는 줄 착각하나 본데 판사들의 현실 인식 수준이 참 한심하다,2
user-wt2xu9in9z,검사는 합당한 벌을 내리고 재판장은 최대한 범죄자를 도와줘서 피해자를 세번죽이고 ㅠㅠ 이런 미친..,1
user-ij1gn8ux9r,진짜 대한민국에서 못살겠다 토나온다,20
user-oe3ik8qn9r,최환재판장 어이없네 피해자가 용서를 못한다고 왜 판결을 그렇게 선고하냐고 아진짜 판사나 범죄자나 구속해야함,1
user-mv6uo5wq7z,판사도 나름 최선을다햇으리라 보지만 법리를 약간거스르고 판사재량으로 30년만 때렷어도 이난리는 아니련만ㆍㅉ ㅉ 50초반 아니 어쩜 40대에 기어나올수도 ㅠ 진심 딸둘가진 엄마로서 속상하고 이나라는 여자들이 살기에는 너무위험한 나라가 돼엇다본다 글구 피해자아가씨 모두모두어 이민가셔요 이나라는 더이상 아가씨를 지켜주지못하네여 이렇듯 공론화가 돼어도 이모양인데 ᆢ넘 힘든세상 이네여,2
user-kq8rb5vl3q,"검사 구형대로 선고 하라니깐,,아까비...검사는 즉시 상고해랏,,, 적어도 이번 케이스는 시범적으로 법의 엄중함을 보여줘야 한다,,",2
user-hh7kp3eo9v,검찰은 즉각 상고하라 20년 너무 적다 20년금방간다 피해자는 20년동안 피가 마를것이다,2
keymankim2142,최고형이 맞지.... 판사 제정신이야? 정말 미치겠네..,2
user-sk3or4tx1m,성폭행이라고? 저런 사람이...나오면 피해자한테 가서 폭행을 하겠다고 말했다는데 왜그리 반성도 없고 뻔뻔하고 저런 가해자는 영원히 무기징역이어야만 한다,0
tyt1638,판사는 왜 이런놈들 눈치보는거지 이해가 안가네요,1
TheJungcompany,복수하겠다는데 징역20년은 말도 안된다 판사가 잘못이 크다 검사의 구형도 30년은 너무 적다 이인간은 영원히 감옥에서 살아야함 그리고 태국처럼 감옥가기전에 무에타이 선수하고 한판뜨고 가야함 또한 감옥도 부산과 아주 멀리떨어진곳에 보내야함,1
user-lo9eb8qg8m,이놈은얼마나좋아 이런죄를지어도 감옥에서 아주잘먹여줘 재워줘 입혀줘 그리고조금살다 모범수라고 내보내줘 피해자찿아가서 보복해 그래도 판사들이지켜줘 아주기가막히게 범죄자들에좋은나라 이러니 툭하면 수틀리면 묻지마 범죄저지르지 판사들다 잘라라,1
user-nd9xx3zv4v,사형제도을 복원 해야함 법이 무서워야 이런 일이일어나지않음,1
user-ej9kh7qf7l,말이 20년이지 감형돼서 나올 수도 있는데 피해자는 그 때 되면 불안해서 어떻게 살겠나...,2
user-qv9ib1pq2e,무기징역 때려도 시원찮을 판에 겨우 20년? 정말이지 대한민국 사법정의는 죽었구나.. 20년이면 뭐하고 뭐하다 보면 감형되서 사실상 십몇년 살다 나오게 될텐데... 피해자 여성분 진짜 어떡하냐... ㅠㅠ,1
user-fr3pp9hi9x,35년도 적은데 ㅋㅋㅋ 우리 판사님이 20년 주셧네^^ 대한민국 클라스,6
ok3884,도대체 18번 사고친 저런 미친개를 왜 평생 가둬놓치못하는가? 저놈은 반드시 출소하면 또사고친다에 내목숨건다,0
user-fg8uq4je3v,반성도 안하는 흉악범을 양형35년 보다도 적게 20년을 때리면 저넘이 가짜로 반성한다고 했으면 얼마나 많이 감형 해줬을지 진짜 이나라 판사들이 범죄자들 보다 더 무섭다.,0
zisan7644,요즘 판사들 정말 한심하다.,2
