작성자,내용,추천수
user-mm4be2kx7c,판사가 뭔데 반성문 몇 장으로 죄를 감해줍니까? 피해자가 용서 안 한다잖아요,1.1천
user-sk9mt9nt6k,하..판사분들 대단하시네요 우리나라 죄지은 범인은 두다리 뻗고 잘수있고 피해자는 불안에 떠는 나라 참 좋은나라,924
user-jb8lk3zn3q,판사들 본인들딸이 저리당했어봐라.. 절대 저렇게 판결못하지. 부디 다신 저런일 없시고 얼른 완쾌하시고 행복한일들만 생기시길 바래봅니다..ㅜㅜ,529
inseokyoon4605,이런 괴물이 길거리에 돌아다닌다는 것 자체가 공포네요. 영원히 사회에서 격리 시켜야 합니다.,417
user-ei2cs8gr5u,피해자와 피해자 가족이 용서하지 않는 범죄자를 판사가 멋대로 용서하고 감형해선 안된다고 생각합니다. 극악무도하고 파렴치한 범죄를 저지르고도 뻔뻔하게 반성조차 안하며 출소한다면 또 어떤 끔찍한 짓을 저지를지 모르는 저 범죄자가 평생 사회에 나오지 못하게 해주세요.. 그리고 피해자분과 그 가족분들의 몸과 마음의 상처가 하루빨리 아물길..,301
drasticy5626,장담컨데 저런 사람은 나오면 2차 3차 피해자 분명 생긴다. 참 법이 문제다. 법을 더 강화시켜라....,377
user-mn4fp9ij5h,"저런 나쁜놈을 얼굴을 왜? 가려주냐? 대한민국의 법이 너무도 약하나까, 저런 놈들이 설치고 돌아다니데 얼굴공개 해라!!! 법치국가가 맞나요? 저딴놈은 왜? 빨리 죽지도 않는지?",474
kimmy6317,"판새님들 8분동안 범죄입증 어려워서 8년 깍아준건가요??? 진짜 범죄자들 인권 어떻게든 보호해줄라고 안달이 나있네요. 저 8분안에 실제로 저 피해자가 사망했어도, cctv가 없으니 직접살인증거 없다면서 어떻게든 형량 깍아주겠네요. 대단들 하십니다.",910
honeybunny5015,도데체가 판사가 뭔데 가해자의 반성을 판단하는거지? 중요한 건 피해자가 용서를 해야하는거지. 반성문 감형 자체를 없애야합니다. 이것을 악용하는 사례가 너무 많아요. 판사는 신이 아닙니다. 그저 죄의 무게만큼 피해자가 납득가능한 제대로 된 법적 무게를 내리는거죠. 이런 식으로 판결내릴거면 컴퓨터 판사가 더 잘 할거라 생각될 정도네요,481
user-fw9pn8bo4f,방송 보는 내내 너무 화가 나네요! 도대체 저런 쓰레기 만도 못한 놈한테 왜 감형을 해 주는 지 이해를 못하겠습니다.. 최소 무기징역 나와야 맞다고 생각합니다!!,157
user-vv3is7hy3y,판사님들이 돌아가면서 당해 보시길 바라는바 입니다. 그렇지 않고서 저런 어처구니 없는 판결을 내리시는지 알 수가 없습니다. 한사람의 인생을 무너뜨리고 자기로 말미암아 범죄자가 된 사람을 협박하고 있는대 판사라는 위인은 고작 12년 다음 타켓이 정해져 있네요. 그런대도 12년형입니까~,129
user-mu8ob1cl8y,진짜 답없다. 폭행죄로 몇번을 죄짓고 교화되는 모습이 전혀 없는데 12년을 준다고? 애초에 본성은 몇년을 깜빵에서 썪어도 안바뀐다 사형 때려라,140
hyuckronald,사형제 부활 찬성합니다,1천
hahadaddy7397,진짜 우리나라 판사들 대단하다.. 욕을 안할수가없다. 가해자 신상은 왜 맨날 지켜주는거고.. 자식들보기 창피하지도 않은지?,22
jjodax,"반성문을 저렇게 쓰고, 항소를 한다는 것 자체가 자신의 죄에 대해 반성을 하는 것 같지도 않고 피해자에게 미안한 감정은 1도 없는 것 같습니다.",245
cutesuga649,저런것들은 무기 징역이나 사형제부활시켜 영원히 사회에서 매장시켜야 합니다,143
tournesoltkfkdgo,항상 피해자만 억울한 세상인듯 싶어서 화가 납니다! 피해자분의 빠른 쾌유를 기원하며 여자친구분도 부디 저 악마의 손아귀에서 빨리 벗어나길 기도할게요! 검찰 경찰은 정치짓거리 할 생각 말고 국민 생명 지키는 본분을 지키십시요!,125
user-cl2qj7gj9b,"죽일려고 때린거지 저게,,, 미쳤냐? 제대로 판결 좀 해라 아",127
user-mc7su1ej6r,반성문은 왜 판사가 받고 용서도 하는지 참 진짜 바껴야한다,60
user-es4ql1ck4w,저렇게 살인미수에 강간까지 의심되는 상황인데 형량을 깎아주는 대한민국 판사님들 아주 대단하십니다~ 본인 자식새끼들이 저렇게 당했으면 저런 판결을 내릴까요?,82
user-rw7im5hb4m,만약 저 가해자가 나와서 다시금 여자친구분께 해를 가한다면 판사도 미필적고의에 의한 범죄자임을 확실하게 알려서 판사들의 판결에 대한 사회적 논의가 추진되었으면 합니다.피도 눈물도 없는 AI가 대체하게끔 하는것도 방법이라고 보여집니다.세상엔 좋은 분들이 너무 많습니다. 소수의 전과 몇범을 이해하기엔 다수가 피해받지 않는 세상이 오길 바랍니다.,126
davidjeon5746,우리나라 판사들 그 공부 잘하는 사람들이 도대체 왜 저런 결정을 하는지 이해 할 수가 없습니다.,199
user-ex6xo8fq7k,"와.,세상 무섭다. 근데 재판부가 12년 때린 ㄱㅔ 더 무섭다. 대한민국.법이 이따위니깐 강력범죄가 사라지지않는거다. 처벌 제대로 좀 하자.",195
qkrtjsgk8434,법이 개선되길..피해자분 억울함은 누가 풀어주나요,80
kkooo3826,판사의 자녀들이 무차별폭행을 당하면 얘기가 달라지겠죠? 남의 자식에겐 한없이 관대한 대한민국 판사 대단하다,53
user-zi8bz8tr9z,아 술이 취해서 cctv 없는 곳으로 끌고 가고 떨어진 물건들도 착실하게 다 챙기셨구나 그리고 피해자도 아닌 판사에게 쓴 반성문을 근거로 피해자는 용서를 안 하는데 왜 판사 니들이 범죄자를 용서하고 감형하냐,101
sun5010,"저런거 보면 대단하신 판사들의 가족, 자식이 저런 일을 당했다면 저런 판결을 내렸을까 싶다 정말..",76
user-yy1lt4kz7k,사람고쳐 쓰는거 아니다 피해자는 평생 고통속에 사는대 ..격리보단 세금아까운짓 하지말고 사형이 답이다,72
user-sp1yo8cg6j,범죄는 피해자한테 저질러놓고 반성은 판사한테 하면 ..... 그게 반성이냐???? 판사님들아 생각좀하고 판결해라......,46
user-ei2ud4nd2m,피해자분 맘단디하소 그래도 살아주셔서 고마워요,44
user-bn4qq8zx8y,해당 범죄자는 이미 같은 방법으로 감형받은 전력이 있는 전과자임. 그런 범죄자를 믿고 감형을 해준 판사는 진정한 호구가 아닌가 싶으네요,29
user-ii6tn7wz2j,진짜 그냥 찢어죽여주세요 끓는물에 넣어주세요 피해자와 피해자 가족들 마음은 그 것 보다 더 아플 것 같네요,139
user-zr3xp8ug7s,사회구성원을 위협하는 또 다른 사회구성원은 사회로부터 보호받을 수 없다는 것을 법으로 보장을 해 주는 사회가 되어야하는데 이와 반대가 되는 사회라니 살기가 참 두렵습니다.,26
user-je8iw2wx5o,판사들도 저렇게 당해봐야 법판결 제대로 할건가 진짜 열받는다,41
kingking-cg8vt,"전과 있는거보고 역시나가 역시나. 폭행,살인,성범죄 같은 흉악범죄는 그냥 존재를 없애야합니다. 악마는 진화할뿐. 악마는 어려도, 늙어도 진화할뿐. 제발 제발 사형,..",39
lightpurple134,법은 우리를 언제 지켜주려나...,15
wingblue3301,저런 상황이 발생할 수 있다는 것을 염두에 두고 항상 주변을 경계해야 함. 특히 옆에 사람이 있을 경우...,50
xiiixiii,그놈의 인권보호 진짜 역겹다. 제발 인권보호는 피해자들을 해줘야되는거지. 피해자들은 주소지 부터 시작해서 보호 받는게 단하나도 없고 피의자들은 아주 인권보호 잘되고 있네 ㅋㅋ. 저런쓰레기를 계속해서 사회에 방출시키는것 자체가 국가에서 살인을 방조하는거아닌가? 이런일이 반복되니까 남녀갈등이 생기는거지. 국가가 이런 말도안되는 범죄자를 막아줘야 시대가 지날수록 갈등이 사라지는거다. 제발 형량을 인권이란 이유로 줄이지말고 제발 재범이 큰 피의자들을 그냥 깔끔하게 높은형량이나 무기징역 때려라. 진짜 할말이없다.,44
user-rs8rl1yz6e,반성만 하면..감형이구. 8년이나...판사님들,40
user-fp2df7io4w,사각지대에서 분명 성폭행하려고 대려간거고 나중에 밖으로 나올때 남자 바지지퍼 올리는 모습도 나오네여.. 그런대도 종이쪼가리 몇장끄적인거에 8년감행해주는 판사클라스 대단해,29
user-hp6dm9nh1h,정말 저 cctv장면 보기가 힘들더라구요 ... 영상을 보는것만으로도 무섭고 떨리는데 피해자분과 가족들 얼마나 힘들지 상상조차 안되네요,19
user-yq6hd1iu8k,판사님들은 항상 가해자편 화가 난다 정말,49
user-lo9dx2nq5l,반성문을 악용하는 악질들을 판사들은 모르고 있지 않은텐데 관례?라고 하면서 살인마를 밖에 내놓게 될것이라 생각한다.,39
user-ze2ng1mf3p,우리나라 판사가족이 당해봐야 정신차린다 정말...이런놈을 감형을해줘???무서워서 살수있겠냐??,47
user-tw7ki8kj7g,완전격리 시키세요 .. 나중에 또 누굴 죽일려고 저런 짐승만도 못한 놈을 나중에 다시 풀어준다고?... 절대 있을수 없는 일입니다 ... 살인미수로 해서 무기징역으로 평생 감옥에서 썩게 만들어야 합니다 ~,92
user-chanwon,"인간이 어떻게 되던지 말던지, 본인 욕구만 해결하기 바쁜 - 동기가 악의적이고, 대충 끌고가는게 죽던지 말던지 살의가느껴집니다",4
user-oo3fg3yf9n,진짜 개그네 술 마셔서 범행기억은 안난다면서 강간은 아니라고 명명백백하다는게 장난하나ㅡㅡ 전과도 있고 대단하다 참 저런 쓰레기는 사형이 답입니다 다시 나오면 그때는 백퍼 사람죽입니다.,66
