작성자,내용,추천수
estellepark2786,"본 사건 뉴스에서 보고 너무 끔찍해서, 잊혀지지가 않았는데, 피해자는 얼마나 큰 고통속에서 살지.. 마음이 너무 아파옵니다. 그런데 형량이 고작 12년이라니,, 그게 더 충격적이었습니다..",1.1천
user-bw8ic2ed7i,꼭 그 판사 가족들도 똑같은 일 당하길,1.6천
user-hk2ng2by6b,꼭 사법집행하시는분들 가족분들에게도 이런일이 일어나셔서 똑같은 판결을 부탁드립니다.,495
user-xz6he1ty8l,형량이 고작 12년이라고? 말이 돼냐ㅡㅡ 진짜 적어도 무기징역은 줘라 제발.. 피해자와 가족들은 무슨 죄냐 진짜 화가 치밀어오른다,74
user-rb6kl7xy7c,판사님 가족분들 이 피해자가되어 만나시길 그래도 이런 판결이 나올지 궁금하네 진짜,724
user-dg5ln6us2m,"피해자가 범인이 잘못을 뉘우치고 있다고, 진정으로 용서를 구하고 있다고 느끼지 못하는데 왜 판사가 뭔 자격으로 지들이 그렇게 판단하는 건가요?? 감형 좀 제발 하지 마세요~~~ 감형 사유 좀 제발 한번이라도 피해자 입장에서 생각 좀 하고 판결 좀 내립시다!! 왜 잘못을 저지른 인간을 입장에 서서 판결합니까?? 그것이 억울하면 죄를 짓지 않으면 됩니다!!",202
user-ct5cd2yv2f,12년이라니ㅠ 판사들 정말 반성해야지 한사람의 인생을 망쳤는데..이러니 강력범죄가 계속 생기는거지,846
eddylee8889,우리가 왜 범죄자를 강하게 처벌하지 않으면 어떻게 되는지 보여주는 예라고 생각합니다 가해자 여자친구도 출소하면 죽을수도 있다고 생각이 드네,448
DAWN_w,꼭 재판한 판사들 자식도 돌려차기 맞으세요,413
tegamisu9721,"이 영상보고 며칠을 잔상이 지워지지않고 충격과 공포와 분노에 휩싸였었습니다. 반드시 모든 법을 동원해서 이 자를 못 나오게 해야 합니다. 제2의 피해자가 반드시 나옵니다. 당했던 피해자와 증인지인들, 그외 또 우리의 이웃이... 국민을 보호하여주세요. 30세에 18범이면 안 봐도 비디오인듯.",44
user-in8eb7sk6n,저는 죄인들에게 인권을 논한다는 것 자체가 있어서는 안된다고 생각합니다! 왜? 저런 자에게도 판결을 저것밖에 안 내리는건지....판사님 제발 죄인들 인권 없어요~~법 잘 지키는 자. 질서 규칙을 잘 지키는 자 선하게 사는 자들에게만 인권 적용해 주세요,482
user-ur8dt5me4w,진짜 가끔 대한민국 법은 범죄자를 보호하기 위해 만들어 졌다고 보임,230
user-nh5dz5xp6y,"범인못지않게 판사에게 더 화가나네. 악질범죄자는 반성이란걸 모르고, 진정성 1도 없는 억지 주장에 설득당한 판사의 판결에 분노가 치민다",683
lawman0913,그 개새는 신상공개하고.. 피해자분은 꼭 건강히 행복하게 잘살아주세요~,110
jureipark8354,2:11 아.. 당시 영상이 22년도였고 피해 상황을 보니 회복하기 힘들지 않을까 싶었는데 천만 다행히도 걸어 나오셔서 보기에는 건강한 모습으로 인터뷰 응해주셨네요. JTBC 뉴스 보고 관련 영상 보다가 이 영상도 보게 된 것인데 지금 이 모습은 회복한 현재 모습으로 추측이 되네요. 정말 정말이지 다행입니다. 그 장면 보고 울화통 터지고 답답해서 제가 다 분노가 치밀어 올랐었는데 회복 하신 모습 보니 그나마 그 화를 추스를 수가 있네요.,148
user-zw8me6eb3x,이런범죄는 고의적이고 의도적으로 저지른 범죄인데...최소 징역 30년이다.재판부 정신차려야 한다,51
sogetdressed,저 잔혹한 씨씨티비를 보고 피해자와 가족들은 얼마나 괴로웠을까 이건 남 일이 아니다 주변 누구에게나 일어날 수 있는 일이다 이런 사람을 사회에 다시 풀어놓는다면 그 댓가는 저 사람을 풀어놓은 사람들이 받길 바란다.,5
jaesuklee9921,"전과4범이고,저렇게도 잔혹하게 사람을 짓밟았는데 징역12년?저렇게 젊은 나이에 복역 후 나와서 또 제2,3의 피해자가 생겨 피해자들을 불행속에 살게 하라는 재판부의 판결에 선량한 국민은 두려움에 떨어야합니다.사형시켜야지요",80
shibanom3640,"제발 스스로 사람이길 포기한 것들한테 인권을 주지 마라.. 용서도 이해가 통하는 선에서 이루어지는 거지, 저렇게 멀쩡한 사지로 해서는 안될 행동 저지르는 것들한테 왜 멀쩡한 삶을 주지 못해서 안달인지?",263
