작성자,내용,추천수
user-dn6eg5ei3v,와 진짜 역겹다. 거짓말한 것 들켰으니깐 가중처벌 해야됨. 35년? 추가로 식사는 최소한만 지급해줘라.,4천
stellaaaaaaaaka,머리를 그렇게 가격했는데 기억하는게 말이 안됩니다.. 피해자분 진짜 힘내세요ㅠ…. 다시 건강되찾고 꼭 행복하길 바랍니다ㅠㅠ,2.5천
chulwoong_Yang,여성분이.... 내가 기억을 잃어버려서 인가 싶다는 자책하는 투의 말씀이 너무 마음 아프네요. 범죄자 잘못입니다. 피해자는 잘 못 없습니다.,4.1천
rara4760,아니 1심 진짜 미친거 아니예요ㅜ 저렇게 돌려차기를 하고 죽을듯이 때리는데 살인미수 겨우12년ㅠ.... 제발 판사님들 당신들의 가족이라고 생각하고 형량을 판결해주세요~법이 진짜 현실을 반영을 너무안하네요ㅜ...피해자가 증명해야하는 이런현실이 너무싫습니다ㅜ,294
hellebolus3840,피해자분 정말로 정말로 밥잘먹고 힘내고. 자책 말아요..미친개가 달려오는데 못피해서 물렸는데...물린사람 잘못 아니잖아요.. 치료 잘받으세요.. 더이상 상처 안번지게.... 토닥토닥...,1.3천
cremedelacreme_,정의구현으로 피해자분 억울함과 상처가 꼭 위로받고 정상 생활 하실 수 있기를 진심으로 바랍니다. 그저 저런 사람과 같은 공간에 있었다는 이유만으로 얼마든지 피해자가 될 수 있다는 사실이 너무 소름끼치고 무섭네요. 본인의 죗값을 인정하지 않고 뻔뻔하게 굴며 보복까지 준비하는 가해자 꼭 제대로 처벌받았으면 좋겠습니다.,62
jayjayjang8725,아니 어떻게 팬티가 다리 하나에 걸쳐 있는데 성범죄 수사를 안해? 진짜 월급 꼬박꼬박 받아가는게 안 부끄럽냐?,3.9천
pauloh6085,35년 동안 매일 돌려차기로 얼굴 한 대씩 맞으며 반성하면 좋겠습니다.,3.9천
user-bg7ix6nw1l,"피해자분 ㅜㅜ 평생동안 행복한일만 가득했으면,, 영상볼때마다 너무 무섭고 마음아파요 진짜 그냥 평범한 일상이였을텐데 이런일을 당했다는게..ㅜㅜ 자책하지마세요.. ...",646
sjoh4228,ㅠㅠㅠ하 제발 영구 격리 시켜주세요… 피해자 분은 힘드시겠지만 최대한 일상을 되찾으시길 바라요 본인 자책은 정말 단 한 톨도 하지 마시고 이 일은 정말 길을 지나가는 모든 사람이 당할 수 있었던 범죄니까요ㅠㅠ 위 댓글 처럼 미친개가 물었는데 물린 사람 잘못은 아니잖아요ㅠㅠ 부디 잘 회복하셔서 일상을 누리셔요,54
user-qm1oz1ov8e,검찰이 끝까지 붙잡아서 결과를 낸건 좋지만 징역이 10년이상 늘어난것도 좋지만 그래도 그래도..40년이상은 나왔어야..,1천
kss978,하..피해자가 1년동안 얼마나 고통스러웠을지 진짜 법싸움이 사람 수명 단축시킴 제발 피해자분 건강 잃지 마시길ㅜㅜ,3
momo-hh6yh,어떻게 사람 머리를 저렇게 가격할까? 그냥 죽으라는 거다. 거기다 성폭행 목적... 죄질이 너무 나쁘다.,1.3천
user-yv9yy2qr4h,피해자분 힘내세요 응원하겠습니다!,451
HYKim-to8nu,옷에 묻은 피를 보니 피해자가 당한 고통이 얼마나 컸을지 ….진짜 사형 받았으면 좋겠어요,7
user-dk3ng7rv7w,정신과 치료 잘 받으세요…. 피해자분 잘못이 아니예요 …. ㅠㅠ,182
minjiso1778,"방송에 나와야 제대로 수사를 하는건지? 왜 검사를 더 정밀하게 못했을까?? 누가봐도 수상하다고,,, 이제는 가해자를 위한이 아닌 피해자를 위하길..",951
peter6047,"이 전 뉴스가 뭐였냐면, 피해자가 입고 있던 청바지가 일반 청바지와는 입는 구조가 특이해서 손이 꽤 많이 가는 구조였음. DNA야 정액 뿐만 아니라 만지거나만 해도 나올 수 있지만, 피해자의 바지가 벗겨져 있고 속옷까지 내려가 있던 발견 당시의 정황 + 어떻게 해보려고 맘 먹어야지만 벗길 수 있는 바지의 구조 + 의식을 잃은 피해자의 상태 + 청바지 안쪽 등에서 검출된 DNA = 성범죄 정황이 성립이 된 상황. 걍 뒤졌으면 좋겠다.",1천
user-sl2nu7wc5r,피해자분...힘내세요~~이렇게 응원하는 사람들이 많으니...제가 다 눈물이 나네요,35
You-ix1zp,모든 뉴스에서 초반부터 저 돌려차기 장면을 보여주던데 너무 충격적이고 마음 아파서 이제 더는 못보겠더라.. 저 가해자는 제발 피해자가 원하는 만큼의 형량을 받아 죗값을 온전히 치루고 세상 하직하길 바람.. 아직도 구형 형량이 너무 낮다 선고는 더 낮을 것 같은데ㅠ,9
user-uq8rt5gw8t,피해자분 빨리건강해지시고 기억력도 빨리찾으세요 앞으로 좋은일만있기를요,16
user-ot5ud9yt5d,이제서야? 애초에 수사를 똑바로 했어야지 이 미친 놈들아 피해자분 1년동안 정말… 네 딸이라고 생각해봐라 얼마나 고통스러웠을지 ㅠㅠ 정말 억울하고 슬프다,14
mrcaptdyce,35년도 충분치 않다. 영원히 사회에서 격리시켜야 한다. 이런자를 왜 국가에서 먹여주고 재워주냔 말이다. 피해자의 아픔보다 더 큰 형벌로 다스려야 한다. 사형제 반대이지만 이런자는 살려둬선 안된다.,326
user-rv8df3bn3r,피해자분 용기있는모습 너무 응원하고 절대 잘못되거나 잘못한게 하나도 없습니다 앞으로도 지금처럼 용기있게 힘차게 나아가십시요!! 파이팅,2
user-ud7zu8ip7s,하 진짜 피해자분 .... 트라우마로 무서워서 밖에는 어케 돌아다니냐... ㅠㅠㅠ 진짜 힘내세요 .. 앞으론 행복한 일만 가득하길,10
user-hk4bg8sk2k,어린나이에 전과18범이 되도록 반성한다며 있는법에서 조차 감형에 감형을 내렸던 판사들은 모조리 국민들에게 무릅꿇고 사죄하고 사임하세요.당신들이 결국 이사건을 만들게했습니다.그런데 또 감형한다는 뉴스를 보았네요.,17
