작성자,내용,추천수
rosyjo1440,세금도 아깝다 사형시켜라,1.5만
user-jl5ur2ni2v,피해자가 안심하고 살 수 있는 사회를 만들어 주자 제발,9.6천
user-le5ji7or7r,"피해자는 보복범죄 때문에 떨고, 가해자는 오히려 보복범죄를 예고하는 이 곳.... 나라인가?.... '나오겠구나'라는 피해자의 떨리는 목소리가 가슴을 너무나 아프게 만드네요",1만
jenniferkim9001,피해자가 울먹거리는 모습에 가슴이 먹먹하네요..피의자가 영원히 격리됐으면 좋겠습니다. 법조계에 계신 분들께 요청합니다. 피해자가 안심하고 살 수 있는 세상을 만들어주세요.,566
user-nf2ej2sd6v,진짜 어이가 없는게 저 피해자는 그냥 우리처럼 평범한 일상을 사는 사람일건데 한순간에 사는게 지옥으로 변하고 저 트라우마는 누가 치료해줄것이며 평생 두려움속에 살아가야한다는게 누구든 저 피해자 처럼 될수있다 생각해보길 바랍니다 판사님,2.1천
ooi5741,더럽고 역겹다 인간이길 포기한 게 다 보이게 행동하는데 더 살릴 필요가 있나,333
yrk5680,가해자 전과 18범이라는데 저런 범죄자를 다시 사회에 내놓은 제도가 개탄스럽습니다. 35년은 무슨 무기징역에 드는 세금이 아깝습니다. 사형이 마땅한 것 같습니다.,4.5천
user-sn5xx8hu5j,"심리적 고통을 겪으면서도 싸워준 피해자분께 감사드리구,, 더 단단해지구 행복해지리라 믿습니다.",5.6천
user-ge8vb2us3d,용기내주신 피해자 분께 감사드리고 응원해요 ㅠㅠㅠ,3.3천
mindylee7731,벌써 1년이나 됐는데 얼마나 힘드셨을지 상상도 안된다.......가해자는 엄중처벌 받고 피해자분은 하루빨리 악몽에서 벗어나셔서 편히 사시길....,29
domf4016,가장 소름돋는건 타인의 피해에 전혀 공감을 못한다는거에요. 사람을 죽일뻔한 죄를 지어놓고 감옥에 보낸 피해자가 나쁜거다 라고 생각하는 것 자체가 계도의 가능성조차 없는 싸이코패스라는거죠. 이건 평생동안 사회와의 격리를 해야 옳습니다. 단순 충동이라기엔 전과가 너무 많아요.,4.4천
gyooling,볼 때마다 너무 안타깝네요 엘레베이터 기다리는 지극히 평범한 일상 속에서 저런 위협을 받고 위험에 노출된다니... 피해자분 힘내시길 바랍니다ㅠㅠ,105
user-lo3mp7hr9x,멀쩡하게 집가던길에 피해자가되서 수술받은것도 억울한데 피해자라는걸 입증하고 가해자가 고작 12년형받고 보복할까봐 이리저리 직접 뛰어다니며 피해사실을 본인입으로 말하고 다녀야한다니..대체 저 여자분이 무슨 죄가 있다고 한사람의 인생을 이렇게 비참하게 만드는지...너무 안타깝고 눈물나고 지금 저여성분의 심정이 어떨지 감히 상상도 안가네요..본인이 당한 피해를 수백명 수천명 앞에서 낱낱이 몇십번이나 고백하고 호소하는게 얼마나 고통일까요.. 쉽지 않겠지만 부디 잘 이겨내시고 앞으로 행복하고 또 행복한 날만 있길 간절히 바래요..,1.7천
rockworld3789,검찰은 35년 구형했지만 현명한 재판부라면 무기징역을 선고할거라 믿는다. 반성하고 참회하고 용서를 구해도 감형될까 말까 하는 중범죄인이 반성은 커녕 변명으로 일관하고 있고 피해자에게 협박을 일삼는등 50년이상 사회와 격리시킬 필요가 대단히 충분하다고 판단된다..,8.7천
user-di5rz8dy9f,피해자분 나이도 어리신데 너무 힘든 일 겪으시고 재판까지 임하시고…너무 마음이 아프면서도 꿋꿋이 재판에 임하시는 피해자분 보며 대단하다는 생각이 듭니다. 부디 꼭 치유되시길 바라요. 정말 마음이 아프네요 ㅠㅠ,918
nambo789,영원히 사회와 격리해 주세요 피해자가 얼마나 불안하게 살아야 하는지 알아주세요 부탁드립니다,110
user-mn5yc1zb6x,제발 사법부의 힘을 보여주세요,3.2천
user-qy8rb5xp9c,"고등학생인데 정말 이 나라가 너무 위험하다고 생각해요.. 정말 나라가 무서워요… 저렇게 무섭고 끔찍한 일을 겪는 사람들, 피해자들의 심정과 그 심각성을 판사들이나 그 가해자들은 헤아려야죠.. 사형제도가 폐지된 것은 억울한 가해자가 생겨났다고 사람의 생명을 존엄하지 않는다 라는 내용 등으로 폐지되었는데.. 무조건적으로 나라에서 범죄가 생기지 않고 최대한의 예방을 하려면 사형제도가 다시 생겨야한다고 생각해요 저런 잘못을 하는 범죄자들이 교도소에서 잘먹고 잘살면 안되는거잖아요 얼마나 큰 상처를 입혔고 얼마나 지울 수 없는 트라우마들을 생성시켰을까요.. 고등학생인 저도 이런 심각성을 깨닫고 문제에 집중하는데 우리나라 판사님들 국회의원들 대통령은 대체 뭐하시는건가요… 우리나라가 더 평화롭게 잘못은 잡고 그래야죠.. 피해자를 더 도와야죠.. 더 나아가 무서운 범죄들이 생겨났을때 국민들의 무서움을 생각해보세요.. 정말 심각해요..",57
KK-sx6xg,국민이 분노중이다. 제발 올바른 처벌하자.,1.8천
user-cr6og8eh4b,"피해자의 인권을 생각치 않고, 가해자를 두둔하는 인권위는 사라저야 한다.",2천
lilysieun3324,국민들이 관심가지고 지켜보고 있습니다. 정의로운 판사님이라면 가석방없는 무기징역 꼭 내려주시리라 믿습니다.법은 최소한의 형량을 만들어놓은거 아닙니까?전례가 없으면 이번에 판사님이 전례를 만들면 됩니다. 제발요...피해자분을 위해 매일 기도하겠습니다.,2.1천
user-gl5ln7mo2x,제발 사회와 영원히 격리시켜 주세요. 엄벌에 처해야 합니다. 왜 피해자가 계속 힘들어야 하는지 정말 법이 이상하네요.,43
pmspyl,제발 법이 국민을 지켜준다는 것을 보여주세요 그래야 범죄가 줄어들것입니다 최소한 무기징역이 맞습니다,1.7천
