작성자,내용,추천수
user-eu7vp3rk8b,"에혀 마땅히 해야할일들을 정부에서 못해서, 국민이 했는데.. 부끄럽지도 않나?",2.9만
user-kb3wc1sy9l,어찌 법이 피해자가 아니라 가해자를 보호하는가??ㅠㅠ,8천
bella__swan,이 피해자분 초반에 몸 완전 안좋을때도 정말 열심히 매체에 알리시고 정말 대단하다고 생각함. 저도 주변에 알리고 청원서에 서명도 했어요. 피해자분에게 조금이라도 도움이 될 수 있다면 좋겠습니다.,1.5천
user-qh6ib2oy1u,피해자와 그 가족들에게 무릎꿇고 사죄하며 반성하는게 진정한 반성인데 A4용지에 몇자 끄적이며 반성하고있다고 판사한테 제출하고 그걸 또 가해자가 반성하고 있다며 선처해주고 있는 암울한 현실... 도대체 언제쯤 피해자를 위한 법과 질서가 마련될것인지....,215
user-er4fg5fl1v,옳은일을 해도 법의 처벌을 받고 위법행위를한 가해자가 아닌 피해자가 두려움에 떨고 살아야 되는게 상식적으로 말이 된다고 생각하십니까? 피해자분과 용기를 내주신 유튜버분 정말 응원합니다.,4.4천
luvkkukku,저런 인간 신상 공개된게 뭐가 문젠거야.. 저렇게 공개하기 전에 미리 사법부에서 공개했어야지… 진짜 어이가 없다,67
user-pi5sz9jn7p,우리나라 좀 이상함;; 이런 당연한일을 왜 안하는지..... 신상공개하신분 진짜 용기있으시고 존경합니다,7.5천
yahan0511,"타인의 인권을 침해하고 가해한 인간의 인권을 대체 왜 지켜줘야하는지 모르겠습니다. 입법부(국회의원), 사법부 모두 현재 국민들이 법에 대한 신뢰가 이전보다 더 많이 흔들리고 있다는 것을 간과하지 않았으면 좋겠습니다. 국가는 가해자 말고 ""피해자의 인권""을 지켜주셨으면 좋겠습니다. 제발.",1.5천
myungokpark7823,우리 모두 응원함니다 법에 의지하는게 얼마나 무지하면 시민이 나설까 영웅 이심니다,1.6천
j1xoo_6,피해자분 진짜 용기 많으시네요ㅠ 힘내세요!!,8
soonsoonhee22,가해자는 신상공개 하지마라고 법으로 정해져있으면서 피해자는 항상 신상공개 되고 평생 고통속에서 살아가야 하는데 진짜 유튜버님과 피해자분은 무슨 잘못이냐...ㅠㅠ,1천
1pc33,다시봐도 끔찍하다 정작 끔찍한 장면은 나오지않았지만 피해자가 견디고 있는데 사법부는 부디 어리석은 판단으로 피해자를 2차가해하지 말길바란다,18
bichbyeol,피해자가 두렵다며 악마를 신상공개해달라 절규하며 눈물로 호소했는데도 끝까지 외면한 이나라가 제정신이야 ??? 국민과 피해자 안전을 위해 악마를 낱낱히 신상털어 준 영웅을 응원해주세요,1.1만
user-br2yh4ti1y,"정부, 사법부, 언론사들이 못한일을 하셨다니.. 존경스럽습니다",353
