작성자,내용,추천수
YouthSystem,딸 키우는 아빠 입장으로써.. 제발 우리 딸이 정상적인 사회에서 살아갈 수 있기를.. 저 짐승만도 못한 놈은 사회와 영원히 격리되어 버리길..,1.5만
kimcream0927,제발... 피해자분을 보호해주세요...,7.7천
user-gl7dg5eg3p,누구든 피해자가 될 수 있었습니다. 국민들이 지켜보고 있어요. 제대로 판결 내려주세요.,1.6만
matrix_potato,옷이 어느정도 벗겨져있었는데도 성범죄 가능성이 배제된채 수사가 진행됐다니 정말 실망이고 안타깝네요 꼭 벌 달게 받길 바랍니다,1.6천
bichbyeol,결코 남의 일이 아니다 누구나 저 끔찍한 악마한테 당할 수 있다 가차없이 선처없는 강력처벌 부탁합니다 제발,1.1만
Owow11100,피해자 보호부터 확실히 보장해주세요 제발.. 아직 18살밖에 안된 사람인데 섬뜩하고 무서워서 학원 끝나고 10시 조금 넘는 시간에도 집에 혼자 못가요… 안전하지를 못해 진짜ㅠ,121
user-ru7xv7wn7u,일면식도 없는 사람을 뒤쫒아와서 사정없이 발로 머리를 가격하고 들쳐업고 사각지대로 데려간단게 도대체가 정상입니까…? 제발 강력하게 처벌하고 사회로부터 영원히 격리시켜주세요,3.2천
dghfbmin3838,다시는 사회에 발 못딛게 해주세요 피해자분을 비롯한 선량한 시민들 두려움에 살게하는게 나라입니까? 국민의 혈세로 나라의 책임을 다해주세요,1.3만
user-gt9mr3yg6o,와 주소랑 외우고 있다는거에 소름 진짜 무섭다 당한 피해자는 얼마나 두려움에 떨고 있을까ㅠㅠ 이겨내시고 행복한 삶을 살수 있게 합당한 처벌을 내려주세요,3.1천
ccigu8770,저런걸 인권이랍시고 감싸지 마세요 한 가족을 파탄시키고 지 잘못도 늬우치지 못하는데 저런게 어떻게 사람입니까 피해자분은 얼마나 고통속에 살아야하는지 아신다면 이번에 무기징역 또는 사형으로 판결이 나야합니다,484
bichbyeol,결코 남의 일이 아니다 판사들 딸도 일반인도 누구나 피해자가 될 수 있다 판사는 제발 피해자 입장에서 극형처단 해주세요 국민들이 끝까지 지켜봅니다,6.2천
user-xw4vq2un3m,항소심에선 얼굴 공개가 꼭 이뤄졌으면 합니다. 국민들이 이 악마의 얼굴을 똑똑히 기억해야 재범을 막을 수 있습니다.,494
user-tg5ll1sx8m,저런놈들 아까운 세금 들여 징역살이 시키지 말고 강제 노역 시켜주세요. 120년..,1.2만
user-er1up7qj7p,제발 피해자를 보호해주세요 법을 강화시켜주세요 제발 국민의 혈세로 일하면서 국민의 피눈물을 외면하지 마세요 지켜주세요 제발 국민들을 좀 지켜주세요,1.6천
bichbyeol,누구나 피해자가 될 수 있단 게 끔찍한 일 제발 판사들이 정신차려서 피해자입장에서 사형때려서 제대로 강력처벌 해주세요,5.1천
user-hc1pi2sd2c,같은 남자지만 정말 강력히 성범죄자들은 그냥 고환제거 못하나? 남성호르몬이 못 나와서 평생 이제는 닿을 수 없는 호르몬에 찌들려 살아갔으면 하는데. 왜 도대체 기본권이란 것이 저런 새끼들한테 해당이 되는건데?,378
O3O_S2S2,저런 애들이 20년뒤 사회에 나와서 내 주변인들 곁에 있다구 생각하면 너무 소름돋음..... 평범한 일반인들 좀 안전하게 살게 해주세요,1.3천
user-fg9zu9pq5n,법이 얼마나 솜방망이 같으면 이런일을 아무렇지도 않게 계속 일어나냐,163
bichbyeol,두려움에 떨며 살아갈 피해자분의 신변보호를 부탁합니다 저딴 악마는 제발 사형으로 처단시켜주세요,3.4천
SimpleAnalyst,악질범죄에 대한 처벌이 강화되어야 합니다,2.9천
ooom5409,아니 어떻게 1심에서 12년이 나오냐고요 ;;; ㅠ 제발 무기징역 사형 처벌해주세요 너무 끔찍하고 잔혹하네요 ㅠㅠ,61
user-dr3ic2cm8s,저런 악질은 사회로부터 영구히 격리 시켜야 한다. 더욱이 반성은 커녕 출소 후 피해자를 상대로 추가 범죄를 모의하고 있기까지 하니 더욱더 영구히 격리 조치 해야만 한다.,1.2천
user-ci4rt5bm9w,하 진짜 열받는다... 피해자 분은 얼마나 놀라고 황당할까... 지보다 강한 사람 앞에서는 찍소리도 못할 인간이 죄없는 사람을 왜 위협해,51
user-no3pe5sf2o,"저딴 짓까지 해놓고 항소라니, 범죄사실에 더해 악질적인 거짓말과 뻔뻔함에 대해 가중처벌하라",2.2천
user-nj9fq1td9t,피해자분 얼마나 억울하고 무서우실까 ㅠㅠ사회가 꼭 저피해자분을 지켜주면 좋겠네요.,807
user-gg9nl4op7o,젊은 여자를 폭행해서 정신을 잃게 하고 cctv가 안 보이는 곳으로 끌고 가는 목적은 성폭행밖에 없다. 교도소 같이 수감된 사람도 이런 목적으로 여자를 쫒아갔다고 말한 걸 들었다고 한다. 증언해주셔서 정말 감사합니다. 무기징역이나 사형해야 합니다. 청소년기부터 범죄자였고 나오면 또 살인 강간할 겁니다.,1.4천
user-vl5um9fh7e,피해자분 꼭 잘 살아서 복수하길! 힘드시겠지만 극복하시길!!,30
user-be6rb4ph2r,12년 뒤라고 해도 가해자는 혈기왕성할 시기다. 어떤 범죄를 또 저지를지 모른다 부디 힘빠져서 사건 사고 일으키지 못할 때 사회에 나올 수 있도록 형량이 주어졌으면 한다,1천
tamdao2286,너무 끔찍함…..피해자분 신변보호 제발제발 제대로 해주길,2
user-mr8jg7xm1r,경찰을 이해할수가 없다 저상황에서 어떻게 성범죄를 의심안할수가 있지? 바지도 내려와있다는데.. 경찰도 무능하다,3.6천
user-ym3jm5ls1f,소름돋네요. 복수를 결심하다니.,2.1천
user-el8rg5ob5k,피해자 분 너무 힘들겠다 그래도 당신 잘못이 아니라는 건 꼭 잊지말고 힘내세요,874
user-yu2ox1lv3d,"제발 우리나라 법 좀,, 진짜,, 음주운전이던 성범죄던 더 강력하게 처벌해야 하는데,,",12
_____tigre7485,구치소에 함께 수감되었던 분께서 본인 얼굴 드러내고 증언해주신 모습 넘 멋집니다. 가해자에게 무기징역 선고를 바랍니다.,996
user-fi5xm2jx5m,피해자의 쾌유를 빕니다...,6
fffffffffffffffqzjfk,"아니 누가봐도 동기가 뻔히 보이는데, 이걸 이제야 확인한다는게 어처구니가 없다.. 제발 피해자가 편안히 살아갈 수 있도록 저 정신병자(피고인)을 사회에서 영구적으로 없애주세요.",922
user-zb7ub5wj7h,변호사님 검사님 판사님 부디 강력하게 처벌해서 저런일이 다시 안일어나게 해주세요..ㅠㅠ,949
user-cj5yl9gd1e,"딸을 둔 아비로써 이런 사건들에 분노하지 않을 수 없다. 이런 범죄를 저지른 자가 인간일 수 없고, 가해자의 반성이란 큰 벌을 피하기 위한 용도일 뿐이다. 여러 이유로 감형이 되어서도 안될 것이고, 우리 사회가 받아들이기 어려운 형량으로 선처를 해서도 안될 것이다. 피해자에 망가진 삶은 그 무엇으로도 보상할 수 없기 때문이다.",406
milkybeauty4841,"제정신가진 사람이 할수있는 행동이 아닙니다. 확실히 밝혀서 피해자와 가족들, 국민들이범죄자가 죄값을 치루는것을 보게 해주셔야 국민들도 대한민국에 원망이 없겠지요. 피해자분 얼른 회복하세요.",660
user-om7xx9bx1z,사형시켜라 세금아깝다,8.8천
user-fr7rr2kk8c,제발 무거운 형량으로라도 피해자분을 보호해주세요,5
leehoon753,12년이면 너무 적은거 같은데요. 저런 쓰레기는 영구히 격리 시켜야 합니다.,412
SJ-xw2gm,해결될때까지 지속적으로 후속 보도부탁드립니다,4.5천
user-zu5dh4ub8x,우리들의 딸들이 안전하게 생활 할 수 있도록 사회에서 영원히 격리시켜주시길 재판부에게 부탁드립니다. 정말 소름끼칩니다. 저런게 돌아다니는 것 만으로도 죄악입니다.,275
handleititit,피해자분이 뭔잘못을했습니까 제발 엄중한 처벌 부탁드립니다 피해자분을 제발 보호하는 나라가 되어야 합니다,1
bichbyeol,두려움에 떨며 살아갈 피해자분의 신변보호를 부탁합니다 사형시켜라에 분노의 한표,856
Jewelkang,왜 저런 인간을 죽이지 못하게 법으로 막아놔서리. 중범죄자를 죽여도 무죄인 법이 꼭 있었으면 좋겠네요.,45
Nru-zr7qd,와 ;;; 구치소 생활했던 수감자가 말하는 내용이 진짜 소름이다...제발 사회밖으로 나오게 하지 말아주세요 제발 부탁드립니다.. 또 다른 피해자가 안나오게 처벌해주세요 제발요,305
user-sw7xc7gs7i,가벼운 처벌은 무거운 범죄를 낳고 무거운 범죄는 사회악으로 번지는것을 우리는 명확히 알고있습니다 사람은 고칠수없고 고쳐지지도 않습니다 가석방없는 종신형 노역장에서 일하게하여 피해자분께 보상하도록 해야합니다 법무부장관 보고 있습니까,994
user-gp3xp6gz2t,판사님들! 제발 이런 쓰레기들을 이 땅에서 더 이상 살 수 없게 해 주세요. 법정 최고형을 선고해 주세요. 평범한 시민들 발 좀 뻗고 살 수 있게 해 주세요. 도대체 이 나라는 범죄자 인권만 있고 선량한 시민들 인권은 없는 것입니까?,862
ding-dong-daeng,"미쳤어 진짜ㅠㅠ 피해자분 정신적,신체적으로 피해가 얼마나 클지 상상이안됩니다ㅠㅠ.. 악질 범죄자 공개해주시고 선량한 사람들을 위해서 노역& 사회격리해주세요.",2
jiwon9175,요새 이런 뉴스만 계속 보게 되어서 정말 화가 나다가도 지친다… 끝까지 싸우는 피해자분 대단하시고 저 가해자는 제발 사회에 나오지 말았으면..,568
user-su8um5yx9l,법이 강화하여 강력한 처벌을 받아야합니다.부탁드립니다!! 또 다시 피해자가 생기지 않도록 강력한 처벌 해주세요. 제발 피해자를 위해 신상 보호해주세요.,4
