작성자,내용,추천수
muse932,살아있는 피해자들을 보호좀 해줘라 이미친 나라야,2.1천
phoneix8937,우리나라 법 이 계기로 진짜로 바껴야 한다고 강력하게 생각합니다.,1.7천
user-zu5dh4ub8x,"어떻게 이럴수가 있나요. 피해자가 계속 공포에 떨어야 하는, 이게 안전한 나라 입니까. 영원한 격리만이 답인듯 하네요. 교화? 그런거 없습니다. 판사님의 결단에 제2의 제3의 피해를 막을수 있습니다. 제발 부탁드립니다.",1.1천
seonro,아니 정유정도 그렇고 저 돌려차기남도 그렇고 둘 다 미친 범죄자들인데 도대체 한사람은 공개고 다른 한사람은 공개가 아니라는 게 이 공개 기준이 얼마나 허술하고 모호한지 알 수 있네요… 사법체계 참 한심하네요.,303
user-xd8ed1in5r,피해자 공개를 원한다면 공개를 하는 것이 정답이다. 가해자의 권리를 보장해 주는 것이 피해자의 2차 피해로도 이어질 수도 있기 때문이다.,729
seojinn2,판결은 꼭 국민이 지켜보는 실시간으로 중계해라 누가 판결하고 어떻게 판결하는지 좀 봅시다 판사는 국민이 뽑아야한다,189
user-pp5eo8wc9q,가석방없는 무기징역이 답이다.,1.4천
honestmt.801,판사님들 주민번호랑 가족관계증명 그리고 등기부등본 공개로 전환하라~!! 왜 피해자만 공개 되나!! 가해자만 보호하는 나라 이딴나라 있을 필요 없다,460
user-bv6ym1xx7f,죄질에 비해 형량이 택도 없이 적게 나올때 판사의 신상공개를 원칙으로 합시다,436
slow4361,알려주신 분 양심적이시다 얼마나 무서울까...보복 생각하며 매일 떨건데 얼마나 무서워..,55
user-du9od5yv7u,사법부가 제발 판결 잘해주길 바래봅니다.,698
user-zu4ej4kj3m,"근데 진짜 짜증나는 건 판, 검사들 자식들한테는 저런 일이 한 건도 안 일어남. 힘없는 시민들한테만 일어남. 판검사 가족들한테 일어나면 바로 바꿀텐데",24
user-rr6io5zz6e,전과 18범이 성폭행은 물론이고 사람을 죽이려고했고 한사람의 인생을 망쳤는데 35년도 약하다 사형시켜라 사회에 풀어주지마라,396
user-jl1wg5sk8l,단 한명의 억울한 가해자를 안만들겠다는 한국 법에 감탄함,429
user-uw2rc5lz7n,자기지인 한태도 그러는대 피해자한태는 진짜 보복할듯,506
Illlliillllillll,살아있는 피해자 좀 보호해라,45
1_8-7,사법부의 가족들에게만 복수를해라,320
user-he3qy4tl4c,너무안타까워서 피해자보호를 철저히 해줘야 되는데,38
user-um8le9to5g,반성 안하고 협박하는데 신상공개하고 사회에서 더이상 못걸어 다니게 해라,656
Dani-tq8le,우리나라 법은 범죄자에게 유리하게 되어있습니다.,209
super_normal_,모든 전과자는 무조건 머그샷으로 기록 남겨야한다. 피해자가 더 피해를 보고 가해자가 더 당당한 이 나라.,86
Greenvillage0,가해자에겐 인권을 보호하고 피해자에겐 나몰라라 ... 안타깝다,14
user-xb9cm2sj9c,"예전에는 잘못된 체포, 강압수사로 인해 잘못된 사람을 체포해서 가해자가 되는 경우가 있었지만. 현재는 그런 일이 거의 없으니 공개하는게 맞지.",199
user-wx8qm9hn4f,맞은것도 개억울한데 전과18범이 나올꺼 걱정하고 공포속에사는게 말이되나 당체 참 살기 ㅈ같은 나라다,10
user-bo4qh1ex1q,이거 진짜 바껴야함 시대는 바껴가는데 법은 그냥 고대로 있으니까 이렇게 일반인들이 나설수바께 없는거자나,358
judoworld2877,피해자가 편안하게 살수 있는 길을 만들어야 한다 당연한 권리입니다 힘내시고 곧 좋은 날 오시길,64
hgk2292,공공이익을 위하여 신상정보 공개 동의합니다. 법 만드는 거에 관련된 모든 사람들은 신상정보공개 관련하여 피해자 위주로 법을 개정해주시기 바랍니다.,109
user-rl4mc6fl8t,미국처럼 강하게 처벌 시켜야 합니다.,9
user-tg6he7sp3m,사법부가 법정 최고형을 선고해야 한다. 1심 재판부에서는 반성했다고 감형했다고 하는데 판사가 제정신 이라면 그런 판단을 할수가 없다. 우리나라가 무법천지 국가도 아닌데 자신의 순간적인 성적욕구를 채우기 위해서 대낮에 그것도 공공장소인 엘리베이터 앞에서 무차별 돌려차기로 여성이 죽든말든 기절시켜서 성적욕구를 채우는 악질범에게는 정상참작이 아니라 가중처벌 해야 한다고 생각합니다.,84
sanglee7877,"비뚤어진 특권 의식을 가진 판사들이 ""내가 허락도 안했는데 감히 니들이 알아서 단죄를 해?"" ""우리 판사들이 아니면 니들은 아무것도 못해!"" 이런 생각이 팽배한 듯",12
donaldtrump1123,판사가 범인이다. 판사를 감옥 보내야 한다,193
user-ds1fk3vi4t,만약 피해자가 또다시 피해를 당한다면 검.경.사법부.정치인.우리국민 모두가 가해자가될것입니다..,45
user-pz6tu4bl4l,살면서 저런 똥물을 마주치지 않는것도 큰 복인것같다. 그냥 이 지구상에 쓸모없는 먼지보다도 못한 존재에게 인권을 부여한다는게 웃음만 나오네,62
user-dq9ib8zq9d,피해자는 합법적인 신상공개를 하기위해 혼자 발로 뛰었지만 경찰서 검찰에서 서로 자기네 관할이 아니라고 헸다고 합니다. 카라큘라님을 응원합니다.,17
