작성자,내용,추천수
DAEBAK7,반성문 이런거 없애야함 피해자는 용서할마음이 없는데 판사에게 반성을왜해,1.3천
user-cc8xe6ko7j,"피디님의 ""피해자분 너무 멋있다""는 말이 와닿는다. 모자이크 했음에도 멋짐이 느껴진다! 피해자분 화이팅입니다. 생면부지 모르지만 가해자와 가해자 지인들 빼고 대한민국 국민 모두 피해자분 응원하고 있습니다! (또라이 범죄자들은 모두 신상공개 합시다 제발!)",172
love-no9pr,엄벌탄원서를 공유해주시고 지속적으로 사건에 관심 가질 수 있도록 영상 공유해주신 그알 제작진 여러분 정말 감사합니다. 피해자 분께서도 많은 국민들이 관심을 갖고 그 분 곁에서 응원하고 있다는 사실 꼭 아셨으면 좋겠습니다. 재판부에서 꼭 엄중히 처벌하여 주셨으면 좋겠습니다.,1.3천
user-jf2nt6yq7p,신상공개하니 계속 유투브에서 댓글 사라지네요 ㅠㅠ 가해자 부산 영도구 동삼동 주공아파트 1단지 살았고 상리초등학교 다녔는데 저도 어렸을 때 임마한테 많이 맞았고 초딩시절부터 진짜 악마로 유명했습니다. 지나가다 만나면 무조건 뒷짐 지라하고 명치 가격해서 쓰러지게 만들었고 제 친구 등 수도 없이 많이 때렸으며 악마 그자체 입니다. 댓글 상단고정좀요! 절대 감형하면 안됩니다!,1.8천
Sam_Sung_Car,10년전 그알에 첫 출연했던 가해자가 10년이 지나서 또 출연했다니... 10년전 그알 제작했던 제작진이 적잖이 충격을 받았을 것 같다.,3.1천
user-nd1en3ey3v,부산진구에 사는 1인 가구 여성입니다. 신상 공개와 엄벌을 원합니다. 부디 더 많은 피해자가 나오지 않길 바라며 피해자분의 쾌유를 기원합니다,423
user-hi9nd7ux4t,전과 18범 쓰레기가 이사회에 버젓이 활보하고 다닌다는게 이해도 안되고 용납도 안됩니다사법부가 정신차리고 저런 폐기물들 영원히 격리가 될수 있도록 강력처벌 원합니다,2.7천
user-rh2rk4zw7i,진짜 구치소에 있는 그 악마는 철저하게 사회와 격리 해야한다고 봅니다.... 큰 사건을 겪고 나서도 꿋꿋하게 소명에 힘쓰고 계시는 피해자분은 진짜 너무 멋있기도 하면서 안타깝기도 하고 그러네요 ㅠㅠ 굳이 하지도 않아도 될일을... ㅠㅠ p.s. 이 사건에서 피해자 탓을 하는 애들은... 진심으로 어떻게 된거 아닌가??,1.1천
user-mu5ix6fv7w,탄원서 작성했구요~ 지인들도 탄원서 쓸수있게 많이 알려줘야 합니다~ 피해자분 마음 단단히 먹고 힘내시고 다리도 빨리 회복하시길 바래요~ 그알에서도 후속영상 계속해서 올려주시고 그알 관계자분들 너무나 수고가 많으시고 항상 감사합니다~,950
SUPER-ly1zl,중국같으면 바로 즉각 사형. 피같은 국민세금으로 왜 그 짐승을 괴물을 따뜻한 밥주고 하숙을 시킵니까? 즉각 사형해야 됩니다.,185
katelee956,탄원서 썼습니다. 10대 딸을 가진 엄마이자 한 여자로서 가해자가 피해자를 저토록 심하게 폭행하는 장면을 보는게 너무나 무섭고 다시는 저런 끔찍한 일이 일어나지 않도록 온 국민이 힘을 모으기를 바랍니다.,590
hyeon1218,반성하는 척 으로 감형된다는게 너무 화가나네요. 사람쉽게안변합니다. 부디 탈옥하시고 죄가 추가되어 그안에서 평생나오지마시길 간절히바랍니다. 피해자분 멋있게 싸워주고계셔서 더마음이아프네요.. 건강 잘회복되셨으면좋겠어요 힘내세요!!,99
Jk-gc4on,성폭행하려고 머리만 가격해서 의식 잃게 만든거 소름이네.. 진짜 인간이 아니라 짐승 그 자체다. 한두번 해본게 아닌것 같다 영구격리해야함,807
jkslover4589,"피해자분 터덜터덜 무방비상태로 걸어오는데, 어떻게 인간이 저렇게 잔인하게 공격할 수 있는지… 진짜 피해자분 살아계셔줘서 고마워요. 자책은 절대 하지마세요.",340
user-me9yt6tg1w,"여기서 피해자를 탓할 수 있는 부분이 도대체 어디있나요,, 그런 댓글은 부디 기억에 남기지 마시고 많은 사람들이 이 사건에 관심을 가지고 당신을 응원하면서 가해자의 영원한 사회적 격리를 바라고 있다는 것을 알아주셨으면 좋겠습니다",853
user-is5kt3mr2l,저도 묻지마폭행을 당했던 사람이고 범인도 잡지 못 하고 머리에 상처가 났어요 10년도 더 지난 일이지만 너무 생생하고 무섭습니다 피해자분 힘내시고 응원할게요 탄원서 적었습니다 눈물이 나네요 사는 동안 화이팅해요 우리 ~~좋은 결과 있길 기도합니다,123
yy9849,"피해자 탓을 하는 사람 심리는 뭔가요? 왜 상식적으로 인간 이하로 보이는 범죄자에게 공감하고 이입하죠? 본인이 인간 이하라서..? 피해자분이 생존하셔서, 회복중이셔서 정말 다행이고 감사합니다. 꿋꿋이 싸우시는 모습에 얼마나 많은 또다른 피해자들이 위로와 용기를 얻을까요. 2심에서 재판부가 반성 없는 범죄자를 더 단호하게 엄벌하기를 바랍니다. 저도 청원하고 주위에 공유하겠습니다.",376
kimyum4895,피해자분이 씩씩하게 문제를 직시하고 대처해나가고 있다는게 참 다행입니다. 범죄 사실에 대한 증거를 피해자가 확보하고 재판부로부터 검증받고 확인 받아야한다는 게 참 슬픈 일 입니다. 정말 고생 많이 하고 계시고 잘 이겨내셔서 앞으로는 늘 아름다운 날들만 보내시기를 바랍니다.,85
user-rj5jd7tl8l,전과 18범 사회와 영원히 격리가 답입니다 이번에 1심에서 12년형 받았는데 CCTV 사각지대에서 성범죄 추가로해서 형량을 30년이상 선고 받아야 됩니다..사회에 나오면 이번엔 무조건 살인 저지릅니다..판새님들 제발 판결 잘 해주시길 국민들이 바라고 있습니다,1.3천
teeththth2495,저도 피해자인데 직후에 저렇게 고군분투하다가 어느순간 ptsd가 와서 끝나니까 아예 놓아버리게 되더라고요ㅠㅠ 꼭 재판 좋은결과가 있고(이게 위로가 정말 많이됩니다) 또 심리치료도 꾸준히 받으셨으면 좋겠습니다. 탄원서 쓸수있다면 꼭 쓰겠습니다.,620
user-fj4sc8mf7b,뒤에서 ‘머리‘를 저렇게 공격하고 쓰러진 피해자한테도 기절할때까지 폭행을 했는데 만취 상태였다는게 말이야 방구야 무조건 고의지️,771
