작성자,내용,추천수
marin5558,"""왜 살아있냐~죽지 그랬어~"" 판사가 한짓이 이거랑 뭐가 다르노~~ 판사 니가 진정한 살인자지!!!!",26
user-cq3ow4hw3o,판사 딸이 당했어야,37
user-pq6ms3lo7r,진짜 욕도 안나온다 어이가 없어서…이게 나라냐,15
carrotcarrot819,우리나라 진짜로 법이 개판이구나 20년 ?? 욕밖에 안나오네 어떻게 제대로 일하는 판사가 없냐,6
user-ri9ub7wp8o,판사가 돌려차기범보다 더 악질 양심두 없는것들 저여자가 본인딸 이라두 이래판결하것냐,11
chong-hyunkim4825,후회하지 않는 가해자는 영원히 감옥으로....,5
tv-vu3dp,법이 개판 겨우20년 기가찬다,18
user-kq8mu8mi8o,우리나라 법 진짜 말이 안나온다.. 사람들이 계속 소리내서 법 문제있다고 외치는데 왜 바꿀 생각을 안할까?? 윗물이 썩어서 그런가 대국민 전부가 다 파헤쳐서 들고 일어나야 정신 차리려나 그냥 이민가는게 빠를수도 있겠네.. 법 안 바꾸려는 이유가 자기들 배 채우는거 뒷돈 이런거 들킬까봐 그런가…? 엉덩이가 무거우신데 가볍게 만들어야겠네.. 자기 자식이라고 생각하면 법이 이럴수가 없음,0
user-dw5sc3jm1b,이 사람은 나오지 말아야 한다고 생각합니다. 더 많은 사람이 피해될까 봐 걱정입니다. 나무 제도 없이 아무 이유도 없이. 방해야 되는 옆집 여자로서의. 정말 착잡합니다.,15
user-ck7ch3ik3g,못나오게 해야지~~ 벌써부터 범죄를 저지르려고 하는게 정상이야,14
Lat-cook,얌전히 10년정도 살면 모범수로 가석방도 된다는데 그걸 피해자는 언제 출소할지도 모르고 평생을 불안감에 떨며 살아가야 합니다 답답합니다 진짜..,4
user-ck6gi6vf9m,사법계가 이건 피해자를위해 법형량을 올리고 피해자의 심리치료가 더욱 국가적으로 움직이여야합니다.. 형량 최대 40년으로 하되 그후 피해자결정으로 형량을 결정해야된다고 생각합니다,6
user-tf9ww9pl5i,에고 불쌍해라 보호자가 필요해 보이네,8
user-dz2tj2gl5v,법조계도 엉망진창이네요 실망스럽고 같은여자로써 ㅈㄴ무섭습니다. 대한민국법에 또한번 실망스럽습니다. 대한민국여자들은 각자본인들이 조심하세요. ㅠㅠ,0
user-hg2sd7jm4f,정말 너무하네요 40 나와야 되는 거 아니가요~,1
user-be5ii1mu8b,ㅠㅠㅠㅠ에휴.,1
user-gc7qq1rw2v,저넘은 20년이지만 피해자는죽을때까지 히스테리로 살아야합니다!! 대체 도대체 누가 이런판결을 내리는건가요??,4
user-rt5kg3kq1u,판사는 가해자의 재범을 우려하지 못한 건가?,0
kkkkx4,그냥 피해자는 대한민국에서 살지 말라는 판결.... 망할 판결입니다,0
user-gg9tr9yd4p,판사눈엔 강제(?) 신상공개 된 가해자가 더 안쓰러웠던 듯...,1
jwlee2002,판사는 피의자를 위해 존재하는건가 이따위 판결을,1
user-yx4dm9yz3b,하이고 마 안타깝네 법이 참 ㅈ같구랴 그 와중에 엄태웅 ㅋㅋ 니가 왜 거기서 나와!,0
user-gc7qq1rw2v,제발좀 정의를 위해 판결해주세요!! 언제까지 개판쳐놓은 판례에 의지해서 로봇처럼 판결하실건가요?? 저넘이 징역20년이면50대인데 재범100%라 봅니다! 그때 책임 우째지실건데요?,3
user-gd1sm8df9u,사람죽이지않아서 20년이면 개많이 나온거예요,1
user-bq1tw8ge6x,감정적이면 안됩니다. 법은 냉정하고 공정해야합니다. 문제가 있다면 양형기준을 올리고 범죄자 출소후 사후관리에 보완을 해야합니다.,5
josejoe5405,부산고법 형사 2-1부 최환 부장판사 라는 군요,1
user-vg1lg9yq8r,판사가 살인자여,0
user-cv7ty4yr4k,화학적 거세 실시해라. 그리고 범죄자 인권만 운운하는 인권위원회는 이럴때 안나서고 뭐함?,2
user-di4qf6yj9p,그냥 뒤짚어엎어야한다 진짜이나라는 바뀌는게없냐,1
user-gc7qq1rw2v,국민들이여 !! 언제까지 대한민국에 나약한 판결을 이대로 두고 볼겁니까??,4
I-am-hungry,판사가 살인자,1
user-wu5er3fx8k,판사딸도 당해야 바뀔듯,0
user-bi3bs4pk9c,판사가 비정상이니까 그렇지,2
