작성자,내용,추천수
user-tj1xx2fd3j,열심히 몸아파가며 성실하게 살아온 우리 가족은 세금잘내고 법잘지키며 집도못사고 저렇게 못 먹는데...화가납니다,54
bbkbn3661,조만간 우리나라 길거리에 걸어다니는 사람중 선량한 시민보다 기본 전과1범 이상들이 더 많을겁니다. 당연히 사회는 개판이될거고 살아가기 힘들어져갈겁니다. 개떡같이 나라 망쳐먹는데 일조해주신 우리 판사님과 국개의원 ㅈ도 관심없는 대통령님께 감사의 말씀드리면서 음주운전 차량에 고이 떠나실수 있도록 빌어드리겠습니다. 그래야 뭐라도 바뀌지 않겠습니까,19
user-yc6er2ri4i,저런음식도 제대로 못먹는 서민들이 얼마나 많은데 미친거 아냐? 죄인들이 더 호사밥상이네? 어이없다.,46
user-rz1jz2nk5u,밖에서 생활하는거보다 구치소가 더 나을수도 있겠다 ㅋㅋㅋ 먹여주고 재워주고 일하면 돈도 주고 자격증도 딸수있고 좋다 좋앙~,27
user-iw4ev4jy3b,범죄자가 더 잘먹고사네 이해가 안된다 저 입으로 들어가는 밥이 아깝다 진짜,65
estheran1342,정유정이 감옥가서 괴로운게 아니라 더 행복해할 것 같다는 느낌이 드네~~ 지금 정유정의 삶의 만족도가 완전 높을듯 싶네~~~,20
Dio-vx9yi,라면만 먹어도 죄 안지고 자유로운 삶에 축복을..,1
yh6769,산채로 태워죽여도 모자랄판에 왜 먹여살리고있냐,35
user-zd2vh9uu2z,수감자들 스트레스 받지 않도록 교도관들도 매우 조심한다고들 하던데.,0
user-cm4rc1yf1h,먹여주고 재워주는거 아니지않냐? 강제 노동 시켜라.,36
justinfire6630,돌려차기남과 정유정을 옥타곤 안에 넣고 둘이 누가 이기는지 싸움 시켜보면 재밌을 듯,5
user-gg1gh6nc8m,와..나보다 잘먹고사네..,1
eddy_cat,범죄자들이 원하는세상을 만들지말아주세요ㅡㅡ,7
user-wu9zo4cl3d,의외로 짬밥이랑 구성이 비슷하군요 역시 군대는 감옥이었어,0
miahgo6606,힘들게 벌어서 내가 낸 세금이 아깝다..화가 치밀린다..우리부모님도 이렇게는 잘 못 해드신다..진짜 우리나라에 화가난다.,3
