작성자,내용,추천수
ygk6307,저런 짐승은 더이상 사회로 나오지 못하게 격리시켜야 합니다,1만
subinlee621,"맙소사!! 피해자 뿐 아니라 전 여자친구, 진술해주신 분들께 모두 보복하겠단 건데.. 무기징역이 안된게 한탄스럽습니다. 이제 정말 외국처럼 피해자분이 가해자가 어디있는지 확인할 수 있는 제도도 필요할 것 같네요",1.2천
alexj55,범죄자를 풀어줬을 때 재범을 저지르는 경우 해당 판사에게는 무거운 패널티를 줘야 한다. 저런 악마같은 범죄자는 다시는 사회에 나오지 못하도록 제대로 된 판결 바랍니다.,2.9천
user-bl2ev8ck9j,잘못을 뇌우칠줄모르고 오히려 복수라니 여자가 무슨 잘못을 했다고 복수한단 말이고 저런 놈은 사형이 답이다 본인 스스로가 이미 사회에서 해볼것 다해봐서 미련없다는데 굳이 사회로 복귀 시키지 말고 감방에서 평생 돌려차기하면서 살수있게 판사님 도와주세요~~~~~~~,405
user-ir9nf4yu2g,제발 피해자를 보호해 줍시다,969
fivehigh2017,썩은 나라가 제대로 처벌도 사형도 안시키니 국민들이 나서서 찾고 공개하는구나 저런 인간들이 다시는 안나오려면 본보기를 제대로 보여줘야된다,169
user-nq9fe2fz4c,나이 서른에 전과18범이라는게 이미 정상이 아닌데 사회에 내보내지 마세요 그것도 다 특수절도 특수강도 특수폭행 인데,2.6천
user-pe1so6td6k,범죄자 인권 지켜주는 사람들 때문에 평범한 사람들이 인권이 없어지는 어이없는 상황이라니...인권위나 어이없는 형량을 내리는 판사들 그리고 그 법을 바꾸지 않는 국회의원들이 진정한 범인이다,4.4천
user-gd5ji8nc2t,법이 개정되어야 합니다 범죄자 옹호하는 인권은 범죄만 부축기는 행위며 사법부는 제발 악독범죄자는 무기징역 처벌해야합니다,1.1천
user-xj4rw7ro8m,국가가 할일을 개인이 했다 칭찬해줘라 제발 가해자가 아닌 피해자를 보호해라,40
user-oc6uo4nh4h,피해자보호합시다,1.2천
yongsangu,카라큘라가 처벌되지않고 범죄자가 더 철저히 격리되도록 법이 바뀌어야한다.,26
rl1218,죄를 반성하기는 커녕 보복과 협박성 메시지를 올리다니..저런 인간은 35년이 아닌 무기징역형을 선고해 평생 감방에서 살게 해야 한다.,4.2천
SIWION_WINTER,"법은 억울한 사람이 없도록 용의자한테만 관대하게 적용이 되어야지, 범죄자한테 관대하게 적용되면 안됩니다. 어느 사건이든",2.1천
user-pk8qc6ws6b,나라가 국민을 못 지켜주니 국민이 국민을 지켜주는거지 모든걸 각오하고 신상공개 해주신 유튜버님의 용기에 박수를 보냅니다 나라가 못해주는걸 해주셔서 감사합니다,894
Live-7090,저런녀석은 평생 감옥에서 보내야 한다고 생각함. 혹 감옥에서35년형을 받게 된다면 35년 동안 자신보다 강한 상대들에게 주기적으로 묻지마 돌려차기를 당해도 시원찮을 넘이라 여겨짐.꼭 그리 당하며 살기를 바란다.천하의 나쁜 자식아.ㅠㅜ,51
Lovely-Shark,처벌을 받겠지만 공개한것에 감사 드립니다. 죄를 늬우치지 않는 작자는 평생 고통속에 살아야 한다,842
user-uy2tx8ye1f,"피해자가 내여동생, 누나, 엄마라고 생각하면 피가거꾸로 솟는다. 제발 죽을때까지 깜빵에서 못나오게 해라!",4
HMB324G-wc8po,범죄자에게 인권이 어딨냐? 왜 법은 범죄자에게 관대한가?,3.9천
user-ez4ph1su4e,"유투버 카라큘라 너무 감사합니다. 비겁한 정치인, 법조인, 경찰 검찰이 미루던 일을 국민 권익과 안전을 위해서 직접 나서서 해주시고 감사합니다.",475
user-zx4wx5ct2s,"판사님, 일 잘 하세요. 욕먹을 일 하지마세요.",955
dmdm5923,저런인간이 다시 사회로 나오면 피해자가 더늘어나는건 뻔한일이고 사회에 혼란만 가중시킬뿐이다.... 이걸 알면서도 판사아저씨들은 사회로 내보낼것인데...참 걱정이다 만약 피해자가 판사 딸이라면? 어떻게 했을까 기대된다...,4
msjoannkim,"이렇게라도 공개되어 다행입니다. 선량하고 믿음이가는 얼굴로 돌아다니며 온갖 악행을 저질렀으니 저희도 좀 피해갈 수 있는 기회가 마련되었네요. 감사, 또 감사합니다!",534
khjfuidhhy1700,제발 피해자 분들은 안힘드셨으면 좋겠다,16
user-ey2sk9dx8i,전과 기록만 봐도 거의 갱생이 불가능인데? 판사는 그걸보고도 깊이 반성하고 뉘우치는걸로 보였다니 미쳤다 미쳤어,363
jhonlee75,"국민 다수가 악법이라 생각하는 악법도 법이라 지켜야 하겠지만, 처벌을 각오하고 악법에 저항하며 피해자와 선량한 국민을 지키려는 용감한 시민들이 많아지다 보면 언젠가는 법이 고쳐 지고 이법을 만든 국회의원들 비판을 받게 되겠지요.",862
suni8606,제발 피해자분이 불안에 떨며 사는 세상이 아닌 가해자가 불안에 떨며 사는 세상이 되게 법이 좀 제대로 작동했으면 합니다.,212
user-ys8co2fh2c,사실적시명예훼손은 반드시 폐지되어야할 악법이다..,28
goldfish00lim28,아버지 저런 아들 낳아주셔서 자랑스럽겠습니다.,281
kjhkang907,저런 넘들은 인성이 악하고 악랄하기 때문에 일반적인 방법으로는 막기가 어렵다. 영원한 사회 격리만이 답이다.,6
user-nc2qj5tv6k,어떻게 범죄자따위가 더 큰 소리치며 협박질을 하는건지.. 법이 얼마나 물러터지고 우스우면 이런 적반하장이 너무나 당연시되는지 기가 막히네요.. 사람을 뒤에서 가격해서 성범죄까지 저질렀는데 저런 악마같은 가해자 인권따위가 중요한가요? 딸 키우는 엄마 입장에선 정말 화가 납니다..,706
ygehjjitww,의로운 사람들을 보호하는 사회가 되길 바랍니다,130
sunnymeuret7475,한국인들이 너무 착하다. 외국의 경우 저런놈은 감방에서 출소하는 날 경찰에 보호해 달라고 요청한다. 피해자 가족이 기다리고 있기 때문이다. 그러나 피해자 가족들이 너무 착하고 그런 사람만 골라서 범행을 했는지 어이없게 당당하다.,102
mium929,"국민의 알 권리를 당연히 알아야 되는것이다. 보복은 무슨 얼어죽을. 너는 피해자를 감시하고 있지만, 국민들은 가해자를 감시한다는것을 기억해라!!! 알겠냐?",12
skyloverv,18범 범죄자에게 관대한 법사님 들 대단하십니다.,720
user-kh6yb5ll4t,전과기록만 봐도 갱생의 여지가 없는 동물이라는걸 알겠는데 이정도면 사형시켜서 사회에서 삭제시키자. 그리고 저따구러 교육한 부모도 같이 처벌하자. 사람을 키워야지 분리수거도 안될 놈처럼 키우면 어떡하자는거야,11
barbariwan,저런 놈을 굳이 교화시키겠다고 세금 들여서 밥 먹일 필요가 있을까?,2.1천
user-mf5eo3dq1i,법이 응당 지켜줘야 하는데 개인 유튜버가 피해자의 어려움을 알고 자신이 피해를 입더라도 돕고싶다며 나섰네. 밥버러지 같은 판사들보다 1000배는 이롭고 정의롭다,448
blueguerrilla1027,감형때린 판사님 얼굴도 좀 공개합시다.,287
riannaa6366,안되겠네 꼭 가해자넘 신상 집주소 성장과정 학교생활 뭐 다 공개해서 전 국민이 얼굴이며 다 알게해주셔야 이런 천벌 받을 놈이 줄어들듯,8
palmcoco7426,출소할때 쯤 다시 신상이 퍼져야 안잊을텐데....10년 이상이면 당연히 잊혀질테니까요ㅠ,239
