작성자,내용,추천수
Teemo-_-,전과 정도로 봐서는 영구한 사회의 격리가 필요하다고 본다. 사회에 동화되서 함깨 살아갈 생각이 단 1%라도 있었다면 전과를 10여번 저지르진 못했을거다. 판사들 국영수로 문제 많이 맞춰서 법대가고 법대가서 밥만먹고 법조문만 읽고 판례만 주구장창 보면서 살아온 인생들이라 법전 페이지는 술술 넘기겠지만 세상볼정 모르는 샠키들 이라고 생각한다. Ai가 답이다.,72
user-we3wn6uk5b,너무 가슴이 아프다 정말.,3
BetaineHcl,"근데 우리나라는 반성문을 왜 판사한테 쓰나요? 폭력은 약자에게, 반성은 판사에게?",72
darkdeadwalker7857,"요즘 인간들 수명이 점점 늘어나서 늙어가는 속도도 느려져서 20년후의 50살이면 졸라 건강한 상태! 50대가 40대 같은걸~ 그리고 저놈도 어차피 깜방에서 20년 동안 살아서 인생에 더이상 뭘 할게 없으니~ 출소하고 100% 피해자 찾아가 보복한다~ 그러고 또 깜방 들어가겠지~ 깜방 다시 들어갈테니~ 피해자 죽이고 갈게~ 이럴걸! 내가 일하는곳에 하루 10시간 운전 배송 하는데도 최고참 나이가 67세~ 나 위로는 52세~ 평균이 60세~ 내가 봤을때는 국회의원이나 법조인들, 윗대가리들, 재벌들이 인생 살면서 나쁜짓 많히 하는데 몇번은 걸려서 뉴스에 나오것지~ 그래서 자기가 나쁜짓 하다 걸려 뉴스에 나오면 뭔가 덮어줄 다른 뉴스거리가 있어야~ 묻혀 가는건데, 그래서 흉악범들을 계속 형량 적게 해주고 출소하고 또 나쁜짓 하라고 하는거 같음! 그래야 매일 매일 흉악범들 뉴스가 나오지~",5
user-kz2vr7rr4m,가해자가 아니라 판사들 신상 먼저 공개해야 한다.,56
ptsqoedfrddwq6420,키야 우리 판사님들 대단하십니다,0
catcher_shortist,천하의 겁쟁이 앞에서는 공격하기 무서웠나보다 ㅎㅎ,0
user-ti9fn4zs6b,쓰레기는 태워야 한다. 주위 사람들에게 평생 폐악만 끼치는 쓰레기는 없애야 한다.,40
Psalm.85,He should be a lab rat for 20 years under Merck and Roche. C'mon Vipers do it.,2
user-ou2dl2tk5r,전과도 있는놈인데 출소하면 보복한다고 말이되냐고 이런인간은 평생죽을때까지 깜빵에서 살아야지@@@,25
