작성자,내용,추천수
moonmoonblueblue1493,판사의 권리를 제한해야 합니다.. 판사는 판결만 하고 형량은 별도로 결정해야 합니다. 판사가 형량을 고민하는 순간부터 형량이 줄어듭니다.,140
NyarukoLove,형량 결정은 배심원 제도가 필요해보이긴한다,34
kangwoolee8370,가중처벌해야한다,62
hcd8100,"롬3:23 이는 모든 사람이 죄를 지었으므로 하나님의 영광에 이르지 못하다가. 롬6:23 죄의 삯은 사망이요. 죄사함을 받지 못하면 불타는 지옥으로 떨어집니다. 주 예수 그리스도가 십자가에서 죽고 3일후에 부활하신 하나님 인것을 마음을 다해서 믿으실때 모든 죄가 사라집니다. 딤전3:16 경건의 신비는 논쟁의 여지없이 위대하도다. 하나님께서는 육신으로 나타나셨고 롬10:9-10 네가 네 입으로 주 예수를 시인하고 또 하나님께서 그를 죽은 자들로부터 살리신 것을 네 마음에 믿으면 구원을 받으리라. 이는 사람이 마음으로 믿어 의에 이르고 입으로 고백하여 구원에 이르기 때문이라 엡2:8-9 너희가 믿음으로 말미암아 은혜로 구원을 받았으니 이것은 너희에게서 난 것이 아니요, 하나님의 선물이라. 행위에서 난 것이 아니니 아무도 자랑하지 못하게 하려 하심이라.",0
user-iy1kn5kw3u,대놓고 보복한다는 놈을 살려둬야할 이유가 있나? 인간이라면 애시당초 중범죄를 저지를 생각조차 하지 않을텐데 왜 저런 버러지같은 놈을 살려두는걸까?,59
jonahhex1526,반성이 없네 형량 더 늘어나야합니다,74
jameslee8790,피해자한테 불리하고 범죄자한테 편리한 우리나라 사법제도..,45
user-zu6xx3jz1r,판결은 판사가하되.. 국민 참여 재판으로 전환하라,80
DJ-KOREA,제발 대법원 판결로 무기 또는 사형 받기를 간절히 기원합니다. 아멘.,54
ymbooby,법원은 분리수거 재재로 하자~~ 감방에서 오래살다 보니별의별 법들에대해 잘 아나보네 상고도 할줄알고~~더강하게 더 적용해서 20년 형량 보다 더한 법률 적용이 되었으면 한다~~!!!,15
daeho112,이런 비인간적인 사건은 국민재판으로 하자고 ㅡㅡ,29
user-ue3co7zo1s,국민투표로 재판무효시키고 다시 국민참여재판하는걸로요 예외적인 법도있어야한다고봄 그래야 재발방지가된다고봄,71
eldorado8942,무기징역 으로 생을마감시켜라,12
user-md6vg9ff8x,너무 잔인한 범죄야. 최소 50년부터 선고해야..,24
user-zu6xx3jz1r,돌려차기한놈은 성폭행 상해죄 적용중 7년이상 징역인데.. 20년받았으니 열받겠지만.. 보복살해 예고는 누가봐도 인정될수 없고 반성의 기미가 없다. 이에 재판부는 이례적으로 무기징역에 처하라..,16
hoeum3722,뻔뻔하다 ㅡㅡ 받아줘라 그리고 무기줘라,14
ryankim7532,국민투표가자,39
user-lx4dn5im8i,20년? 200년은 해야지 한국의 판새는 왜 가해자를 항상 배려 해주는거지?,10
cholubin,40년으로 늘려라!!!,46
user-up3lz4bs3e,징역30년 가자!!!!,17
user-xd9qk9ix9i,판사 가 잘못했어요 20년은 넘 심한듯 5년으로 줄이고 일주일에 밥 한숟가락 물 한수가락씩 제공하세요 출소 1년전 부터 20 일에 밥 한숟가락 물 한숟가락 세금 아끼세요,18
pro-usanti-china4217,대법원 파기 환송 후 고등법원에서 다시 심리해서 무기징역으로 다시 판결 받아야 한다. 저런 악마들에게 인권?이란 자체가 필요한지 의문스럽다.~,0
user-uj8ck2xf3r,웃기네 상고해도 피해자가 해야지 가해자가 20년이면 감사하다고 절해야할판아냐 대법원가서 형량제대로나와라,13
user-gh6sh2sp6y,뭐가 문제일까..? 판사아들이 전과가 있었을까..? 저정도면 살인미수가 아니라 살인죄를 먹이고 무기징역해야 맞는건데,2
milk-mr5wc,지옥감빵 있으면 좋겠다 맨날 두들겨 패는곳,13
user-gf4ie2gx3j,물리적 거세도 필요해요..,4
