작성자,내용,추천수
wonsukyoo4064,"출소 후 보복 운운 했다던데... 20년으로 될까요? 검찰에서 35년 구형 했다던데, 피고 나이 30세인점 고려하면 20년 지나도 기껏 50인데 판사님이 너무 관대 하신듯 영원히 사회와 격리하는것이 피해자와 다른 국민들의 안전에 기여 하는 길 같은데요",1.8천
moonj285,20년후 50살 되어 나와서 지나가는 여성의 인생을 또 아작 낼거다... 분명...100프로... 그때 그 피해여성이 20년 판결 내린 판사의 가족 이길 바래요...,707
begentle4411,"판사님들 딸, 손녀도 저런 놈 만나서 끔직한 꼴 당하기를 기원 하겠습니다. 부디 20년 뒤에 피눈물 흘리며 통곡 하시길.",242
user-he9pe2qf6d,와 35년도 솔직히 부족하다 생각했는데 20년??? 보복 하겠다고도 가해자 입에서 나왔는데 피해자 보다 가해자 인권을 우선시 하는 판사님 그저 대단하십니다,107
lazysunday1020,각 사건마다 판사 이름도 정확하게 뉴스에서 공개하였으면 합니다,91
nnooonn,20년뒤 출소해서 판사한테도 꼭 보복하길,162
user-fj9bq7sv8e,장난하나 진짜.... 판사님 미쳤어요?? 이런식이면 판사도 공범이다. 35년도 적다고 생각했는데 20년??ㅋㅋ 보복운운하고 반성도 안하는 샊를 20년.... 전과 18범을!!!!! 피해자도 피해자지만 국민의 안전과 일상을 위해 격리시켜줘야죠. 그럴거면 판사님이 그냥 데리고 사세요.,545
comforter1857,최환 부장판사님 ....... 공부만 하셔서 사회적으로 결여 및 결핍이 상당해 보이시는데.... 같은 부류에 있는 결핍된 무리들하고 어울리다보니 절대로 다른생각을 못하시는거 같네요....,587
user-hs4dp9yu3b,우리나라 판사님들은 늘 겸손하십니다 언젠간 판사들도 저런 쓰레기처럼 하고 싶을 때가 있다고 겸손떨다보니 형량을 조금 때리네요,479
user-bj4pt8pt3s,판사들은 대체 머리속에 뭐가 들어 있나. 해부해 보고 싶다. 답답하네.,27
leejeonghoon2031,판사님 자녀분들도 꼭 돌려차기 당하길 바랍미다,53
user-fz1qw7qn9n,아이고 20년밖에 안되는 이유가 뭡니까? 왜 우리나라는 피해자를 보호하지않습니까? 가해자는 나가면 보복하겠다 찾아가겠다 라고 하며 저러고있는데 그런데도 구형 35년이 아닌 20년이라니 말도 안되는겁니다 가해자가 교도소에서 치매라도 걸려서 기억을 잃었으면 좋겠네요,60
user-gt2jc8ct1g,"전과18범에 3달만에 재범인데, 겨우 20년이라... 제발 국회의원들이랑 판사 딸한테도 같은일 일어나길 간절히 바란다.",485
k1m_y296,꼭 범죄자 형량 낮게 주는 판사님들 가족분들이 당해보고 후회하시길 바랍니다~,29
user-ek4se3bw5y,언젠가 판사님들 손자 손녀들도 같은 짓을 당한다면 가벼운 처벌만 내리시길 빕니다,19
user-JongHyeok,30년 세월중에 사회 나와서 한 일이라고는 범죄밖에 없는 인간인데. 잘못을 뉘우치기는 커녕 복수를 계속 예고하는데도 20년만 살고 나오라고 하는지 참 황당한 판결이 아닐수가 없습니다.,13
user-ts6dk1tm6b,우리나라 판사.검사들 사회생활.국민들의 정서 교육 등을 받고 임용 되길 바랍니다. 사회와 국민들의 정서를 안 반영하고 이런 판결 내린것은 아니라고 봅니다.,123
