작성자,내용,추천수
HansolCho-ul2xl,사적 복수라 치부하기엔 피해자 개인의 피해가 크고 이런 구제불구 견자놈을 18범이 될때까지 방치한 사법시스템의 책임이 너무 큽니다.,1.6천
user-oz5vj5qe3b,법에 대한 신뢰가 이만큼 무너졌다는걸 보여주는듯,336
gotothego,전과18범... 평균적으로 다른나라였으면 30대초반에 18범까지 못갔을겁니다. 법이 제대로 정의롭게 집행되었다면요. 그랬었다면 돌려차기 피해도 없었겠지요. 사법부가 형량을 낮게 판결낼까봐 국민들이 걱정한다는게 진짜 ㅈㄴ 황당한일입니다.,1.2천
baken823,이게 나쁘다고 보는 사람들은 판검사 뿐일 듯. 법을 통해서만 처벌이 가능해야 자기네들이 법을 마음대로 해석해서 적용하는 권력을 가질테니까. 이들의 문제는 공권력을 정치와 돈을 위해 이용하는 것이 문제.,516
k.s.83,"""명예""훼손?? 훼손될 명예가 어디있다고.. 전과18범이 저렇게 우리 주변에 아무렇지도 않게 다니고 있었다는게 더 놀랍다",311
ArtFeel.,"법이 정의 구현을 못하니까 , 유튜버든 누구든 신상공개를 한다. 신상공개를 하면 본 사건이 잊혀진다고 해도 함부로 돌아다니지 못하게 되고, 함부로 범죄를 저지르기 힘들다. 법이 정의 구현을 했다면 전과 18범이, 전과 4십 몇 범이 뉴스에 나올 일이 없다. 법은 미래의 범죄를 막지 못 했지만, 신상공개는 미래의 범죄를 막는다.(법보다 상대적으로)",492
que1555,"과거 국가의 위법한 공권력을 견제하던 법원리에만 구속되어, 지나치게 범죄자 인권을 보장하는 것을 지양해야 합니다. 우리의 법치주의와 불법적 공권력에 대한 견제 정도는 50~80년대와는 차원이 다릅니다. 이제는 범죄에 상응하는 ‘응보사상’도 충분히 강조하여, 사회를 지키는 것에 방점을 두어야 합니다.",631
marrins2,사법권력이 얼마나 무능하고 비효율적으로 일 했으면 시민사회가 나서서 행동했을까ㅉ,530
imperialclown4960,사회 정의 구현인가 사적 복수일까가 쟁점이 아니라 이런 사태가 생길때까지 국가가 제대로된 기능을 하지 못한게 가장 문제라고 봅니다. 피해자들의 목소리와 인권은 무시하면서 가해자들의 인권만 끊임없이 지켜야한다고 울부짖는 그 연유는 무엇인지?,176
leesk540,"우리나라 인권쟁이들에게 진심 증오심을 느낍니다. 보호해야할 피해자가 아닌, 가해자의 신상 보호를 위해 최선을 다하는 위선적인 놈들임.",365
user-lr3bq7mw9l,법은 설명하지 않아도 이해되는 상식을 기초로 해야한다.,274
user-ze7oe5pj7v,이 정도면 사회안전을 위해 법이 알아서 공개했어야지~!! 피해자분 진짜 힘내시고~ㅜㅜ 유투버분 사회의 두려움을 제거려는 용기에 감사합니다~!,66
caisielk276,30대에 전과18범이면 인간이라고 보기에 문제 있다고 판단되지 않나? 가해자 돌아다닐때마다 또다른 피해자가 나올게 뻔한데 법은 왜 풀어줘서 무고한 시민을 또 피해자로 만드는건지... 반성이고 뭐고 아무것도 갱생이 안되는 쓰레기인데 답답하다...;,238
user-fq9dt2lb3e,피해자는 보복 두려움에 도망다녀야 하고 가해자는 개인정보 보호로 신상공개는 안되고가해자 신상공개 될 수 있도록 법이 바뀌기를 바랍니다,68
user-wj9ql6kc6p,사회정의구현이 아닌 당연한 겁니다...,209
user-ob8nm7nd3m,"사적 복수라면 이런 사적 복수가 필요한 때가 된 것이다. 법도, 경찰도, 검찰도, 판사도 믿을 수 없게 만든 병든 국가에서 개인들이 할 수 있는 소극적 저항일 뿐.",39
user-ip2co9nl6k,18범 전과자가 사회에 있는 자체가 얼마나 판사들이 무능력 하고 필요 없는 인간들 인지 너무 와닿습니다,9
user-kj5yt8dv7g,나라가 뭔가 이상하게 가고 있다... 잘생각해봐 오죽했으면 국민 개인이 직접 공개하냐고; 심지어 국민들이 그걸 공감해줌,126
user-tw5xl5yj9o,법이 바르다면 왜 이런게 필요 했을까요? 법은 정으롭지 못하다는 확신이 있기에 이자의 신상 공개에 열광하는 겁니다.,44
user-tv4xf2zy8o,법이 무능하니 우리가 나서는거지,273
user-ms6kf6sq6r,"근데 분명한것은 사적으로 저렇게 하면, 정보가 부정확할 수 있는 위험도 분명히 있습니다. 그렇다면, 정보를 공유하지 말자가 아니라, 공식적으로 정확한 신상정보를 사법기관에서 제공하는게 맞다는 생각이 크게 듭니다.",57
sanghoon0818,세상에 사실을 말하는게 명예회손이 된다는게 말이되는건가? 대단한 대한민국....,23
ki5203,빵에서 복수하려고 피해자 신상 외우고 있다는 놈을 감형을 해주는 판사!! 전과 18범이 돌아다니는 대한민국!!,97
monkeybass6739,무자비로 막 공개하는건 문제가 되겠지만 확실한 증거도 나온 상태에 정확하게 이 사람이 범죄자다라는게 나온 상황에서 신상공개를 안한다는건 이상하지 않을까요? 죄인 보호조취? 그거 하다가 또 다른 피해자가 나오면 그 땐 어떻게 할건지 필요할 때는 공개하는게 맞다고 봅니다,21
CHSONIA,신상 털려야죠. 나쁜짓이야 와 ..자꾸 볼때마다 분노가 올라가는거 같네. 법은 국민을 지켜야 법입니다. 법이 범죄를 지킨다면 법이 아니입니다. 제발..제발......국민을 지켜!!,41
user-fl3to4qo9f,아가시 건강해서 정말 다행입니다 병원에 있는모습보고 울엇어요,42
june2nd215,"아직 판단이 제대로 안 된 사람한텐 시민의 정의구현은 아주 부정적인 요소로 작용할 수 있어 국가에선 막아야 함. 무질서와 매몰된 정서상 사람을 사회적으로 죽일 수도 있기 때문. 하지만 이와 같은 너무나도 확실한 건에 대해서(특히 전과) 나라가 하지 못하는(범죄자의 익명성 보장 등 개뻘짓)부분을 시민이 해주는 것은, 나라에게 변화를 요구할 수 있는 수단이고 그렇기에 나름의 정의구현이라 할 수 있다고 봄",9
istj7544,아니 진짜 어이가 없어서 화가 나네 저 범행 수단이 잔인한게 아니면 도대체 뭐가 잔인한거냐 진짜 법은 왜저렇고 판단은 또 왜 그런식으로 하는지 진짜 하..,17
ziziziczic,법적으로 이런 범죄자들이 사회적으로 분리 되지 않으니 시민들이 알아서 피하려고 신상공개한게 아닌가 합니다. 신상공개로 다음 피해가 더 발생되지 않길 바랍니다.,4
user-mx7cz4ii1i,범죄자가 인권이 어딨냐 당연히 신상공개 해야지 ㅡㅡ 뺑소니 음주운전 살인자 그냥 싹 다 공개해,34
user-vm9kg4jg7f,"대한민국사법부가 못하는일을 정의로운 유투버 카라튤라팀에서 하네여 . 얼마나 답답하고 피해자의 마음을 아셨길래 ,, 감사하고 응원합니다.",1
