작성자,내용,추천수
cindykim1458,"너무 감사합니다. 저런 극악무도한 인간에게 위험에 노출이 되는 위험을 무릎쓴 카라큘라,피해자 분께 감사의 인사, 깊고 깊은 위로의 인사를 전합니다",925
YH-on3kn,"사고를 당하신 여성분, 그리고 유튜버님과 관계자분들 큰 용기를 내어주셔서 감사합니다. 나라가 해야 될 일을 대신 해주셨네요. 너무나 감사합니다. 카라큘라님께 별 일 없으시길 바라며, 그리고 사고를 당하신 피해자 분께서 남은 치료 잘 받으시고 끔찍한 일을 금방 잊기를 간절히 바랍니다.",1.7천
user-qf8ot9jw3l,이렇게 용기있는 사람들의 노력이 모여 당연한 것이 진짜 당연해지는 사회가 빨리 왔으면 좋겠습니다,2.6천
capacsis,감사합니다.,7
user-og1bt5fw4x,피해자분과 같은 방향을 보고 있습니다. 연대하고 있는 사람이 많다는 것 잊지 말아주세요. 큰 행동해주셔서 감사합니다.,1.3천
user-qj7yj6lk9i,어려운 일인데 나서주셔서 국민의 한사람으로써 감사드립니다,3.8만
user-cd5gd6to1q,정말 용기있는 여성분...힘내시고 빨리 건강회복하시길 진심으로 기원합니다. 카라큘라님이많은 도움 주시길 부탁드립니다.,1천
user-pv9it9ku2d,피해자분과 선량한 국민들의 안전을 위해 가해자 신상공개 해주셔서 감사합니다!,951
clakim6032,같은 여성으로써 너무나 마음이 아픕니다. 부디 피해자 여성분께 작게나마 위로가 되길 바래봅니다.,915
ddjdukss,후원은 정말 오랫만에 하는군요.,5
ECGeducatorRN,"이 사건 나왔을때부터 누군가가 이렇게 해 줬으면 좋겠다라고 생각했었는데... 이렇게 신상이 공개가 되어도 눈하나 깜짝 안할만큼 범죄이력이 차고 넘치는 사람이었네요. 대한민국은 가해자의 인권을 지나치게 보호하는거 같습니다. 왜 피해자가 숨고 도망다녀야 하는지 안타까워요. 혹시라도.....'내가 잘못해서 이런 일이 벌어졌다'고....... 생각하고 계실지 모를 피해자분께, 님의 잘못이 아닙니다. 힘내시기 바래요.",307
godofsculpure,딸 가진 아빠로서 엄청난 분노를 느끼며 카라큘라 님의 말씀에 100% 동의하며 용기를 내주신것에 깊은 감사를 드립니다. 제발 대법가서 사형 구형받기를 진심으로 바랍니다.,784
