작성자,내용,추천수
user-ji1es7kt5y,이렇게 훌륭한 피해자가 있을까? 이렇게 뻔뻔한 가해자는 수없이 봤지만 이렇게 용기있고 결단있는 피해자는 오랫만에 보는 것 같습니다. 끝까지 싸워 이기시기 바랍니다. 세상은 당신 편입니다.,34
lilacisbeautiful,반성문을 보면 끝까지 유치하고 뻔뻔하기 짝이 없읍니다. 선량한 시민들의 울분이 하늘까지 닿을것 같습니다.,62
user-us1tr3rn2s,저딴놈을 풀어주는 판사도 가해자와 공범입니다.,106
yjk7595,불우한 가정이라고 형이 감형이 되는게 도대체 이해가 않됩니다! 모든 범죄가 불우하면 늘 형이 줄겟네여???~,68
grigryu2v,이 정도면 판사가 공범이네. 저게 반성문여?,80
user-rr2bz7gd6x,"이래서 AI 판사가 필요한거야~ 삐익~폭행 10년! 살인미수 20년! 성폭행 20년, 반성기미 없음 10년! 보복하겠다고 광고함 10년! 피해자 정신적 고통 10년! 피해자 가족 고통 10년! 국민들 열받게 한 점 10년! 도합 100년을 선고한다! AI라서 항소 필요없음!",92
kks6368,빠른 법계정이 필요하다 정치계에 계신분들 여야불문하고 화합하셔서 일좀합시다,44
serre5965,판사들 아들딸 초범이고 반성중인 살인범한테 꼭 살해당하길 바라요,55
Le-qx7kt,ㅋㅋㅋㅋㅋ현우야 널 보면 진짜 피임의 중요성이 절실하다...애효 피해자분 힘내셔요ㅠㅠ..그리고 판결내린 판사가족들 이현우한테 돌려차기쳐맞고 애널따먹히세요^^,13
user-jr5rm7rm9o,판사들도 불우한 범죄자한테 당해봐야 정신차릴려나?,85
hhlee3490,"범죄자는 그 부모도 처벌해야 한다. 하지만 국가는 국민이라는 이름의 가축을 불리는 일에 골몰하기 때문에 저런 희생자를 가뿐히 감수하며, 오늘도 자격 미달 부모들이 범죄자를 싸지르도록 부추긴다. 그러므로 무분별하게 출산을 장려하는 국가와 그런 국가를 지지하는 국민 모두 실시간으로 발생하는 묻지마 범죄에 대한 간접 책임이 있다.",7
saeon_farm,이걸 보고 새로운 옆차기 유단자들 나오겠네요... 세상에 저사람보다 더 힘들게 모든일 이겨내고 살아가는 사람들도 많은데 전과 18범은 아니다! 진짜.. 20년뒤에 저 여성분이 걱정되네요!,1
