작성자,내용,추천수
Hodge-Kim,이제 우리 나라 판사님들도 어느정도 책임 지는 법안이 있었으면 좋겠음,2.2천
user-gn5fw2us9b,이건 지금의 피해자 한분만의 일이아니고 우리중 누군가도 똑 같이 또 당할수 있는 심각한 일입니다 사회에 영원히 나오지 않길 원합니다. 국민들이 평온하게 살수있게 즉시 사형하면 더 좋을텐데...!!,891
user-di2gr8dk8n,범죄인들이 살기 좋은 나라 만들어준 사법부 눈물나게 감사합니다~,1.1천
user-dg9jh3pz7s,아니 어떻게 여성 집에 몰래 비밀번호 들어간게 벌금 100만원 밖에 안되냐 너무 황당하고 어이가 없네 진짜 우리나라 현실이다 진짜......ㅡㅡ,271
user-ld8xh6kg6k,"범죄 경력 1번이나 경력 18번이나 차등없이 공평하게 감형해주시는 훌륭하신 우리 판사님들~ 저런건 단순 범법행위가 아니라 그냥 즐기는 수준인데 범죄 경력 3번, 5번, 10번 이상 등 횟수에따라 특별 관리할 수 있도록 합시다~",774
k1491,어떻게 피해자 주소를 가해자가 알수있는 구조일까? 기가막힌다 ..,157
user-vw4ni6lk8j,피해자가 도망다니며 살아야하는 국가 이게 말이 됩니까?,901
alexj55,"이 사건만큼은 온 국민이 끝까지 지켜봐야 한다고 생각해요. 판사들, 제대로 된 판결 바랍니다.",375
gobi943,가해자들이 마음놓고 범죄를 저지를수 있게 도와주는 국회의원들과 법조인들 너무 감사드립니다~ 노고에 박수 쳐드립니다~ 아주 눈물나게 감사하네요,421
shin9841,저 범죄자는 둘째치고 뻔히 피해자 바지가 벗겨져있는걸 봤던 경찰들이 성폭행으로 사건을 안올린게 더 어이없음. 사건이 이슈화되니 그 경찰들 입다물고 있다가 그제서야 나불거림.... 진짜 역겹기 짝이없는게 그 부산 경찰들임. 똑똑한 담당검사가 다시 조사하라고 했길망정이지 검사까지 똑같은 수준이었으면 성폭행 밝혀지지도 못했음,183
user-lo7gg7ub3f,저놈의 범행은 진짜 용서하면 안된다ᆢ거기다 태권도를 더럽힌 죄도 포함해서 다시는 돌려차기를 못하게끔 양쪽다리의 발목 무릎의 아킬레스건을 영구적으로 끊어놓고 다시는 발차기 못하게 해야함ᆢ거기다 법무부에서 이놈이 다시는 세상밖으로 나오지 못하게 형을 많이 살아야함ᆢ피해자분들이 얼마나 두렵고 무섭겠냐고ᆢ보는내내 피해자분의 용기에 박수를 보내며 위로를 드립니다ᆢ반드시 힘내세요,383
jhjung5030,전과 10범 이상인 사람들은 갱생이 안된다.. 초범이 아닌데도 범법행위를 했을 때 솜방망이 판결을 낸 판사들도 책임을 지는 법안이 필요하다..,65
user-xt4md5bk4n,판사가 직접 돌려차기 맞아봐라.. 그러고도 저런 형벌을 선고할수있는지..,668
user-ey2sk9dx8i,사회에서 완전히 격리시켜주세요! 전과 18범이면 판사들도 문제가 있는데 언제까지 피해자들이 고통 받아야합니까?,283
user-ix1fl1jg1q,"법이 만든 악마 우리나라는 대체 왜 가해자에 편을 들어주면서 반성하고 있다, 심신미약이다 하면 무조건 가해자편을 들어주는 데 판사님들이 만든 악마입니다 사형집행을 반대하는 사람이였지만 이런 범죄가 계속 발생한다면 차라리 사형을 집행하는 게 좋겠네요 저런 쓰레기들에게 국민에 세금으로 교도소에서 사는 거 자체가 무슨 의미가 있겠나?? 그리고 제발 신상공개 좀 해라 저런 강력범죄자에 분리수거 자체가 안돼는 쓰레기 ㅅㄲ가 왜 신상공개가 안돼냐?? 판사들 일 제대로 못 할 꺼면 국민에 세금으로 월급 받지 말고 사직서 내고 변호사도 하지마라 아에 법조계를 떠나라",311
user-up6gb2fd7l,정말 딸을 가진 모든 부모라면 심장이 부들부들 떨리겠다,40
user-rh2ce1bz9u,전과 18범이 떳떳하게 길거리에서 피해자를 모색할 수 있는 나라. 협박을 지속적으로 하는데도 판사가 8년 감형을 해주는 나라. 이게 바로 대한민국,179
user-uh4de3no2e,판사들은 이런 뉴스를 보며 자신이 내린 판결에 대한 최소한의 양심의 가책을 느끼길 바랍니다.,19
uus5526,이런걸 반성했다고 말한 판사는 뭐하는 사람이냐 정말,130
h-sjang6559,나가면 또 범죄를 저지를줄 뻔히 알면서도 내보내는건 법이 너무 물러서 그런걸까요? 살아있는 흉기를 밖으로 내보내는건 평화롭게 살아가는 선한 사람들을 아무 이유없이 고문하는 행위 입니다.,272
jasonkim9175,죄의식이 없다 = 인간성을 상실했다 = 인간이 아니다. 피해자는 피해 받을 이유가 전혀 없었다 = 모든 피해의 귀책사유는 가해자에게 존재한다. 이 두 가지 논점만 보더라도 중형이 불가피하다고 생각합니다. 사법부의 현명한 판단 기대합니다.,130
user-tq8ux7kb6b,왜 이렇게 끔찍한 범죄자들한테 약하게 구형을 때리는지 도저히 이해를 못하겠네..어후..이게 나라냐..,13
