작성자,내용,추천수
user-xm8mw3rh7u,"메뉴 단순화 시켜주세요. 요즘 고물가에 땀흘리면서 열심히 일하시는 분들도 제대로 된 한 끼 식사 하기도 힘든데... 큰 범죄 저지르고 들어간 사람들은 꼭 변경해 주세요. 멀건 된장국에 김치, 장아찌, 밥으로도 충분히 그들에겐 차고 넘칩니다.",81
user-bx5lo5ox4f,간헐적단식 이란것도 몸에 이롭다던데 굶기는것도 나쁘지 않다,44
user-gi1nx5it1q,범죄자들한테 밥값 받아라 세상에 공짜로 먹고자는게 어딨냐,87
user-zd7dm8mo5y,왠만한 학식보다도 잘나오네ㅋㅋㅋㅋㅋㅋㅋ잘먹고 잘자고 푹쉬다 나오면되네 캬,48
user-cx2jk8rv1i,범죄자들에게 간식은 뭐냐.. 미친거 아냐?,63
user-de1hk2bs2j,뭔데 나보다 잘먹어,70
user-iu6ex2fl1e,믜쳐... 돈 주고 사먹는 대학원 학식보다 더 잘나오네..ㅠㅠ,28
hong247,교도소안에 공장이라도 만들어서 군수물품이라도 만들어 제품만들게 해서 밥을 줘야지. 노역도 없이 식단을 저렇게 쓰냐?,74
SolidifyIMAartist,와.. 난 학생인데 돈 없어서 하루중 일부는 라면 먹고 다님. 물론 물류 조금씩 다니면서 돈 벌긴 하는데 자기계발에 써야되서 ㅠㅠ 건포도 샐러드는 진짜..,12
tommyjanak7330,정말 화가난다... 이게 우리의 세금이 사용되는 것인가??????? 대체 이게 뭐야! 부산시장도 공식사죄하고 고치고 전국 구치소 현황을 다 봐야 한다,30
user-uu3if4vy5x,나는 라면 한봉 먹는것도 힘든데... 괴리감 쯘다,13
TV-mg7bu,우와 내보다 잘먹네 뼈빠지게일해도 저렇게 먹기힘든 세상인디,7
user-si7ij4mh9e,우리 세금이 이렇게 범죄자들에게 맛있는 식단을 위해 사용되어지고 있었구나.,42
user-vh5oh8ne5c,어떻게 학교 급식보다 더잘나오냐 혼자 사는 나는 맨날 반찬 두개랑 먹는다,3
user-ro3cy9mx1h,저런것들한데 저렇게 좋은걸 먹이다니 참나 세금이 아깝다,25
user-li6jr5mp3t,80년대나 지금이나 좋네 88년에 살아봐서,1
user-tb4gf5em2n,교도소 좋네요 나도 가야지,3
user-jf1gg9of3l,내 세금이 저기에 저렇게 쓰이는구나 미쳐 버린다. 차라리 피해자를 돌봐주는 곳에 내세금이 더 많은 예산이 편성되어야 됩니다.,20
user-mz2cs8fk4s,밥 디게 잘나오네요 저는 라면먹고사는데,1
lojkos8252,정부야 군대 밥보다 교도소 죄수 밥이 더 잘 나오는 이유가 뭐냐,47
