작성자,내용,추천수
user-bz7sz4tf3l,죄의식도 없고 보복한다는 사람을 감형해서 보복이 일어나면 재판부는 책임을 강력하게 물어야한다,12
user-dl7rf6fg7z,감형되면 판사 진짜 얼굴 공개하고 전국민한테 쌍욕먹을 각오해라,13
user-mu4we6zb4o,저런 범죄는 반성이 필요하지 않다,6
user-zl3fn2oj7c,사형제도 부활해야 합니다. 인권은 피해자는 업고 가해자만 인권운운,2
user-op9fz9ze8t,전과 18범인걸 잊지 말아라 판사야,4
fornewsacc4942,판사딸이 한번 당해야 정신차린다,6
user-mj2of9hv3e,반성문 안에 판사한테 주는 봉투가 들어잇나 왜이렇게 쉽게 봐주는겨,6
user-rt5kg3kq1u,저런 범죄는 반성이 소용없다,0
shlee3163,판결문은 솔직하게 기재하자. 기존 판례보다 처벌수위가 높기 때문이다 라고 기재했음 논란없었을 듯. 예전세대는 보복땜에 고소 잘 안했기 때문. 그리고 반성문 감형이 아닌 변호인 잘 선임해야 감형이라고 변호인 선임하려고 알아볼때마다 들었는데 반성문이 어쩌다 감형의 아이콘이 되고 작성을 해야만 하는 걸로 변했나 모르겠음.,0
user-xv5ro5oj6d,무기징역 도 모자랄 판에 이거 감형 되면 판사 미친거지,2
user-og7pw9tx1p,사람인생 망쳐놓고 반성문이런것을 왜 제출하지 이해가 안되네 이런극악무도한 놈들은 그런거 받지마라니까 답답한 탁상판새들,0
user-fs4fo6dp4b,지켜보고 있다. 법정최고형량 기대중.,2
user-wl7gv1jc7e,반성문 같은거 받아주지마세요.,1
user-zz8ff2jo5t,전과 18범의 반성문. 왜 저런놈들을 활보하게 합니까?,1
user-kx5wn9vx7n,무기징역해라.,0
youngaelee6257,저 비디오만 보년 열받네요 아 !~,0
user-fz9cj5ch2g,반성문을 평생을 쓴다고 한들 피해자 용서를 바라지않는다는 의사를 저렇게 명확하게 보여주고 있는데 판사가 감형을 해준다면 월권남용이라고 봄 절대 피해자가 생명의 위협을 느낀다며 강력헌 처벌을 원한다면 그에 맞는 형량을 내려주는게 판사의 역할이라고 본다 가해자의 교화? 아무이유없이 연고도 없는 사람 길가다가 죽이려고 했는데...교화의 기회? 그 기회 피해자의 살권리에 부여해주기를,0
user-gn6ut9ts8e,집행유예,0
