작성자,내용,추천수
user-uq8fs9yt6b,얼마나 법이 우스웠으면 CCTV가 있는데도 불구하고 저딴짓을..엄벌해주세요. 사회에 다시 나올 수 없어야 합니다. 반성없이 거짓말만 늘어놓는게 정말 토나오네요.,1.5만
user-kx2xf4sb6s,"대체 왜 전과 18범이 사회에 돌아다니는거야. 대한민국의 법은 진짜, 피해자 편이 아닌 것 같아요. 피해자 분이 걱정입니다. 방송에 응해주신 것도 정말 대단한 용기가 필요한건데, 앞으로 꼭 걱정없이 행복했으면 좋겠습니다.",1.3만
heeseul,너무 충격적이고.. 실제 cctv영상을 보고 경악을 금치 못했습니다 진짜 난데없이 갑자기 저런 일을 겪으신건데 얼마나 충격적이고 고통스러우셨을까요.. 어떻게 처음보는 사람한테 저정도로까지 무자비하게 폭행할수 있는건지 전과18범인데도 저렇게 자유롭게 돌아다닐수 있는 대한민국이 정말 혐오스럽네요,2.7천
user-uj4ei4lo2f,와 뉴스로 들은것 보다 훨씬 더 심각하구나. 오른쪽 다리가 마비될정도의 피해라니.. 국민의 이름으로 판사님에게 요구합니다. 이 범죄자를 평생 사회와 격리시켜주시기 바랍니다,1.5천
joonto,판사님이 18번이나 대한민국 법을 교묘하게 피하는 방법을 친절하게 가르쳐 주었군요. 죄를 낮추는 방법을 학습한 범죄 그 학습을 친절하게 전과18범에게 알려주신 판사님들 정말 최고이신것 같아요. 이상하게 범죄자를 감싸고 억울한 사람들은 망치로 졸라게 까는 대한민국,3.2천
nnee2308,어휴 ㅠㅠ 너무 끔찍합니다 피해자분 꼭 회복하실거에요 이렇게 나와서 인터뷰 해주시고 밝혀주신거 굉장히 용기있고 감사합니다. 당신을 위해 기도할게요,213
user-iv6ee8dx9e,피해자분 잘못하나 없습니다 전국민이 응원합니다 힘내세요,1.4만
user-tn1tx5xd1e,"피해자분 살아나주셔서 정말 감사합니다. 저도 탄원서 제출했고, 가해자가 더중한 처벌을 받길 진심으로 바라고 응원하겠습니다",3.1천
user-do8ui1fl9b,처음에 폭행당하는 장면에선 두눈을 의심했어요... 어떻게 무방비 상태인 한 여성을 의도적으로 이렇게 무참히 짓밟을 수가....이 진실을 알리려고 홀로 싸우고 있는 피해자분 보며 맘이 너무 슬픕니다. 그래도 포기하지 마세요. 저도 이 사건을 잊지않고 지켜보겠습니다.,1.8천
hee_yada,사람이 바지지퍼가 풀린채로 맞아서 쓰러져있는데 성폭행 의심을 안하고 속옷감정을 저따구로하냐….답답하다,161
ss-vf3mo,진짜 피가 솓는다 사회와 법이 제발 지켜주고 강력하게 처벌 해주길 바랍니다.,1.2천
user-dn3if6zi7k,92년생 부산 이현우 동명이인도 있으니 조심하시길 추천해서 위로 올려주세요,2.5천
jokerkim3306,31세 전과 18범이 저런 끔찍한 일을 상습적으로 버릴수 있도록 방취한 국가의 책임이 매우 높다는 생각이 듭니다.,1만
hello._.483,"판사님.. 18번이나 기회를 줬으면 이제 그만 포기하고 사회에서 격리시켜주세요. +대댓글 다시는 분들 지역, 성별 비하 발언 하지 말아주세요. 그리고 정치 이야기도요. 그저 어디나 범죄를 저지르는 인간들이 우리의 안전을 위협하니까 제대로 처벌받길 바라는 마음에서 단 댓글입니다. 우리 모두 안전한 세상에서 살고 싶은거 잖아요? 전 그저 죄를 지은 사람이 그에 합당한 벌을 받아서 저와 제가 사랑하는 사람들이 살아갈 세상이 안전해지기를 바랄뿐입니다.",6.2천
Mincoope,12년 때린 판사 가족에게 꼭 복수하길 바랍니다.,1.7천
ruru6469,폭행장면 보니 욕나오네... 소각되어 마땅한 저런 놈이 같은 인간이고 같은 지구에서 함께 살아가고 있는 현실이 너무 안타깝다...법원에서 무기징역 선고해주면 좋을텐데... 너무나도 큰 고통을 받으셨을 피해자분 부디 남은 삶 속에 평온과 행복만 가득하시길 바라겠습니다!!,119
Jennifer-zi6ze,정말 분노가 치밀어 오르네요...이런 세상에 어떻게 살라는 겁니까. 판사는 제정신이랍니까!!!,1천
user-dz2tj2gl5v,사람들을 바보로 보는건가? 동영상이 그대로 말해주는데 저걸 보고도 성폭행이 아나라고 말하는 이인간은 진짜 장난하는지 사형시켜야 합니다. 저정도면 또다시 감방에서 나오면 또범죄를 저지를겁니다. 피해자분 힘내시길 바랍니다. 끔찍한 일을겪고 얼마나 충격받았을까? 법은 피해자를 지켜줘야 합니다. ㅠㅠ,360
MiracleGerrard,"정말 성피해받으신거 입증못하는 것도 열받지만 머리를 저렇게 가격한건 진짜 살인미수죠 제발 엄중한 처벌이 내려지길, 꼭 피해자분 회복하시고 이겨내시길 바라겠습니다 ㅠㅠ",5.5천
user-vj9lm2kc7g,피해자는 용서안하는데 대체 판사님들은 무슨기준으로 용서하시는건지 궁금합니다..과연 판사님들 자녀분들이 저랬어도 그랬을까 싶네요,999
iamryu2298,"이 사건은 살인 미수에 성범죄까지 적용해서 재조사가 필요하며, 더군다나 피해자 분에게 복수까지 하겠다고 하니 영원히 나오지 못하게 강력한 처벌이 필요합니다. 피해자분께서는 힘드시겠지만 몸 건강히 회복하시길 기원합니다.",774
enc2302,사형시켜라. 답이 없다.,424
crazycatRYU,피해자분이 걸을 수 있게되어 너무나 다행입니다. 제발 범죄자가 본인인 한 짓에 대한 처벌이 제대로 이뤄지길 바랍니다.,767
jazz.master,성폭행하려고 때리고 기절시킨거지 뭘 너무 뻔한거 아닙니까? 성폭행할거 아니면 가만 있는 여자를 왜 때려서 기절시켜요? 불쌍한 피해자분 이제 주민번호 공개되서 이사가도 찾아낼텐데 어떻게 살아갑니까? 사회에 영영 못나오게 해야됩니다.,173
hongjalove,요근래에 제일역겨운 사건입니다 꼭 더큰 처벌과 신상공개 부탁드리겠습니다 용서할수없네요,2천
