작성자,내용,추천수
user-cd3hq7up2m,뻔뻔스럽게 성범죄는 아니다. 여자친구있어 말이 안된다라고 씨부릴때 입을 뒤통수까지 찢어버리고 싶다..이번 판사가 얼마나 국민의 공분를 살지 말지 지켜볼것이다..,4.3천
mingikim8718,백번 양보해서 성범죄가 아니라 한들 범죄행위 자체가 너무 악질이고 그 이후에도 반성하긴커녕 나가서 보복할 생각을 하고 있는 사람에게 더이상 어떠한 선처가 더 필요한걸까? 부디 판사분들이 현명한 처벌 내려주시길 간절히 기원합니다,1.4천
pppppnmnn,"피해자 청바진 사진이 피로 물들은게 정말 끔찍한 일이 벌어졌다는걸 보여주네요..이런 범죄자는 무기징역으로 절대 밖에 못나오게 해주세요..우리가 운이 좋아서 피해자가 아닌거지, 언제 어디서라도 우리도 피해자가 될 수 있고 피해자 가족이 될 수도 있습니다...",1.2천
postpone777,징역 30년 -40년은 살아야지.. 저런 연쇄 살인마 같은 인간이 사회에 돌아다닌다는 것만으로도 끔찍하다.,92
volcanosg4562,우리나라 법이 문제냐? 판사들이 문제냐? 정말 다른 나라들 범죄에 강력하게 대응하고 엄하게 처벌하는거 보면 너무 부럽다,3.4천
TedMeta,우리나라 판사들이 자꾸 가해자 위주의 판결을 내고 있어서 큰일입니다. 자기몸은 자기가 지키던가 사람써서 개인적 복수를 하라는건지 법은 우리를 지켜주지도 처벌해주지도 않습니다. 판사들을 싹다 없애야 합니다. 돌려차기 남자보다 저 판결을 내린 판사가 더 잔인하고 위험한 사람입니다.,1.7천
user-gj3qy7rc4r,"국민의 울분을 사게 만드는 판결들이 잇따르고 있어 우리의 안전이 심히 우려스러운 현실입니다 재판과정, 그리고 재판부의 판결 끝까지 지켜보겠습니다",2.9천
Eli-ql2nl,진짜 검사나 판사나 일생에서 단 한번도 피해자 입장이었던 적이 없어서 그런가 피해자만 너무 불쌍해서 눈 뜨고 못봐줄거 같아요ㅜㅜ 제발 개법 좀 어떻게 해주세요,24
michellepark7616,이미 돌려차기를 한것 부터가 강한 처벌을 받고 사회에서 격리시켜아 하는데 이제야 AI 인공지능 판사가 절실히 필요함을 느낍니다.,419
user-bh8kk9kb1v,제발 제대로 판결이 나와서 피해자가 억울 하지 않게 벌 받았으면 합니다.,3
user-mq7wf3hf7r,어떻게 판결나는지 지켜보겠습니다. 또 다른 피해자가 나오지 못하도록 영원히 사회와 격리되어야 합니다.,473
lhh88710,피해자는 심각하게 다쳐 있는데 1심에서 형량이 그것밖에 안되다니 통탄합니다. 법이 누굴 위한건지!,379
fancy7679,제발 부탁드립니다..... 누가 이나라에서 자식을 낳고 딸아이를 낳겠습니까 올곧은 마음으로 선서한 그 정심으로 바로 판단해주십쇼 판사님 부탁드립니다,168
mistyarea4512,판사들이 문제입니다. 진짜 인공지능 판사로 대체가 절실합니다,848
user-yd2bq4ch6l,더이상 기다릴수 없을정도로 사법부의 법 체계는 형편없는 곳으로 치닫고 있다. 더 엄격하고 신속한 판결이 절실하다.,371
user-wr3lz1cr1m,범죄자는 강력하게 처벌해야합니다. 강력하게요 강력!! 저건 폭행이든 성폭행이든 절대 실수일수 없고 법을 만만하게 보고 고의성을 가지고 저지를 일입니다. 형을 받고 형을 살고 사회에 복귀해서 함께 살아갈 수 없는 사람이에요... 제발 사형이든 무기징역든 강력하게 처벌해주세여!!,1
sujeungyun2320,피해자가 운 좋게 살았다고 형량 깎아주는 건 대체.,158
TARANTULA-Pet,인권위랑 판사들 진짜 자신 가족이 당해야 변할것인가?? 화가나네요,0
user-rg9yh5gv6i,판사님 전국민이 보고있습니다.만일 성범죄가 없다고 하드라도 최고 형을주셨으면 합니다.사람에게는 반성할기회를 주고 용서를 해야 하지만 저런 동물만도 못한 쓰래기에게는 용서대신 벌을 주시길 바랍니다 자식둔 부모로써 한마디 적어 봤습니다,4
user-kw7kh8zy4n,어떤 판결 나오는지 꼭 지켜보겠습니다. 가해자 신상공개와 함께 사회영구격리 등의 조치도 있길 바래봅니다,1
user-ir9yt9sw6e,당시에 옷이랑 다 증거로 채택해서 DNA검사를 했었어야는데 어떻게 그렇게 제일 중요한걸 빼먹을수있지? 담당수사관들 진짜 이상하다...,146
user-rc8zf1pb8c,재판 할 필요가 없다. 이런자는 인간계에서 영원히 재거시켜야한다. 존경하는 판사님 범죄자를 조호하기 위한 판결하지 마시기 바랍니다 .,72
user-bn4qq8zx8y,자신의 죄를 뉘우치기 보다는 기피하려 하니 부디 무기징역을 선고해주십시오.,0
user-ct7dc5hm7l,감옥에서 영원히 못나오게 해야함.피해자를 위한 판결이 내려지길 바랍니다.,0
hunlee8921,반성문 공장 돌아가는 소리 들린다 판사님이 이제 피해자 대신 용서하기 위해 반성문 몇장인지 아랫것들에게 물어보시리라,260
user-sk3or4tx1m,12년이 아니라 무기징역으로 살았음 좋겠네요...교도소 나오면 피해자한테 가서 폭행을 하겠다고 했으니 아무리 여친이 있다 한들 뭐 어쩌겠습니까? 제발 무기징역으로 벌을 달게 받았으면 좋겠어요,111
user-vw3nd9mb7v,고의범죄는 형량을 높여야 한다. 이게 뭐냐,16
user-fq3yo2ft6l,"경찰이 성범죄 증거를 찾지 못한게 아니라, 성범죄 증거를 찾을 생각이 없었던 것이다. 경찰은 성범죄에 대해 문제의식이 없는 자들이 많은 집단들이고, 본인들도 성범죄를 행하는 자들이라서, 저 부분을 목격자가 진술 했음에도 무시하고 넘긴것이다. 그런데, 판사들도 성범죄에 대해서 무지하게 관대한 인간들이라, 성범죄가 있었다면, 엄청나게 형을 적게 줄 것이다. 여태껏 그랬던 것처럼...",17
user-sm4jw3tc1u,바로 사형 시켜라...감옥에 가둬 놓고 먹이고 재워줄 이유가 없다 ...저런 것들은 징역 살고 나와도 또 저런 범죄를 저지른다~,216
user-kh2eh4ie9n,다시는 사회로 부터 나올 수 없게 엄벌을 내려주십시오 재판장님.,572
user-fb8rx3uj7z,판사님......성범죄까지 갈 것 없이 사회와 격리시켜야 할 인종이잖아요....,313
user-sk9rp7ic1d,판사 빼고 일반 시민 배심원으로 판결 내리게 하자...,18
MC.AngUng,판결하는 판사가 개판사가 아니길 간절히 기도합니다,198
jinny1001,엄벌에 처해주세요 판사님 제발요,0
user-yy9rr6bf6w,계속 풀어주고 계속 피해자가 나온다면 판사도 공범으로 봐야지,27
flowerthymocy4036,이걸풀어준 판사는 사법권남용죄 처벌해야합니다,1
user-xm3wi7su6l,판사가 임의로 감형해서 범죄자가 재범 저지를경우 판사도 같이 책임지는 제도를 만들어야함!!! 그래야 진짜 개선의여지가 있는사람만 감형하지 재범 징역1개월당 = 판사가 1억 배상 이런식으로,9
user-mk9dg4qr9d,판사님 제발 흉악범은 악질로 최고형을 때려주세요.,29
user-mo7qi6uj1u,이런 짐승보다 못한 녀석은 무기징역이 마땅하다.,1
user-bw6zx3lo4n,무기징역 부탁합니다 판새님 피해자는 장애인 됩습니다 뭐가 정의인지 부디 보여주시길..,428
user-pby0106,이제부터 낮은형량을 판결해서 사회에 일찍나와 동일 유사범죄 시 해당 판결 내린 판사들도 법적 심판을 받도록 해야한다. 판새들 때문에 계속 선량한 시민들만 피해를 입는다. 법을 바꾸라.,2
kissong2950,"항소심 재판부는 관습과 판례에 얽매인 형식적인 선고가 아닌 피의자의 정확한 범죄사실과 국민정서에 일치하는 정확한 판결을 내리는 판사님이 되시길,,,,,,",12
user-ko8kr8id9d,저게 12년형이라고? 판사 검사 딸내미들이 당해도 같을까? 한국 사법부 및 헌법은 쓰레기?!,2
ji6200,판사님 제발 법을 믿을 수 있게 해주세요 좀,1
user-nm6ed8sk5g,무기징역!!!!!!!!!! 저런것들은 사회에 나오면 안된다!,0
user-bg7hq9hg3l,성범죄가 아니더라도 저 정도의 심한가해를 했는데 12년??? 제발 제대로된 판결을 내려라,43
jinhwanjung9089,"만약 재판부가 저 공소장을 거부하면, 저치들은 진짜 판사라는 것들 전부 다 성범죄자라고 봐야 할 것이다",10
alcohol_columnist,무기징역도 아깝다 그냥 사회에서 영원히 분리하자 보내줘 원래 가야할 곳으로,0
TV-of7dv,피해자는 인생 망쳤는데 저인간은 겨우 12년?? 나오면 또 뭔짓을 하고 살지 뻔한데!! 우리나라는 형량이 너무약하다 진짜!!!!! 피해자나 가족들 너무너무 억울해서 어찌사나..,40
tv-ig3vu,우리나라 법이 너무 약해... 교도소도 복지가 너무 좋아. 100명중에 몇명이나 반성하고 깨우치고 나와서 새삶을살까 그냥 형량채울때까지 피해자 고통만큼 패고 노역시키면 안되냐 저런 사람같지도않은걸,0
DannyJKJ,"만약 제가 판사였다면 이런 중범죄자들은 무조건 이유불문 무기징역을 판결하고 싶습니다. 사람이 편하고 행복하게 살아야 하는것이 국민 모두의 바램이거늘, 왜 이런 범죄자들은 기껏 몇년 깜빵생활하다 나와서 또 범죄를 저지르는건지?? 이럴꺼면 그냥 무기징역 판결하여, 사회에서 평생 격리시켜야 하는것이 옳은줄로 압니다.",0
user-vh4jn2vm2e,성범죄를 떠나 이런 놈은 사형이나 무기징역아니냐 판사는 무슨생각으로 판결하나 답답하다,0
luv2297,뚫린 입이라고 말은 잘한다.. 그냥 사형을 시켜 주세요.. 피해자는 지금 평생을 고통속에 살아가야 합니다.. 판사님.. 님의 가족이 당한 일이라면.. 이라고 생각해 주세요..,0
user-li6es5mw8n,반성문썼다고 5년감형해준거 어이없던데 꼭 성범죄도 추가되서 늙어죽을때까지 감옥에있으면 좋겠네요!,1
void_act,대한민국 검사님들화이팅 일부검사들가지고 특정 정치세력이 검찰악마화하고있지만 대부분의 검사님들이 이런 나쁜인간들 법의심판을 제대로 받을수있게 노력하는 검사님들이라는걸 정상적인국민들은 알고있습니다,1
user-np6gd2op2j,이번 판결한 판사님이 재대로 일하는것이다 다른 판사들도 재대로 일했으면 좋겠다,0
bennyaang,범죄자에게 가벼운 판결을 내려 재범률을 계속 높이는 이유가 뭘까요? 사실상 다른사람 괴롭히고 폭행하라고 내보내는 꼴인데 판사들은 책임감 안 느끼나요? 판사들 형량과 재범률 분석하고 공시해서 재범률이 높은 범죄자를 계속 사회로 돌려보내는 판사들은 경각심를 가질 수 있도록 해야합니다...,3
ssy3931,판사도 곧 AI로 대체 시켜야한다.,34
ffghhhgtfvnkjg,판사가 만든 악마!!! 법이 문제가 아니라 판사가 약하게 처벌함!! 전과 18범 참~ 저런 사람흉내내는 벌레 알고지내면 인생 골로감!!,1
user-ec9ub4uj7i,여자를 뒤에서 비겁하게 돌려차기로 기절시키는 행위는 칼만 안들었지 사람생명에 해를 끼치는 중대한사건으로 엄벌에 처해야합니다. CCTV에 다 찍혀았는데 왜 여자를 끌고가서 너가 범죄 저질러놓고 인간의 털을 쓰고 저런놈은 무기징역레 처해 경각심을 일으켜야 합니다.,26
user-bp7se7kh5m,진심 정당방위에 그토록 파르르하는 법체계의 저의가 궁금함. 이 정도로 정당방위를 인정하지 않는 이유가 무엇일가? 다른 나라에도 이런 예가 있을까? 법 원문부터 해석하여 판결하는 일체 프로세스가 석연치 않다.,2
geumdongkwag9982,"판사분들께 간청합니다.. 피해자분을 조금이라도 위로한다면, 이사회정의가 조금이라도 살아 있음을 보여주세요.. 피의자 사형또는 무기지역.. 아니 짐승보다 못한 이놈 사지를 찢는 거열이란 형벌로 정의심판 간곡히 부탁드립니다..",1
shedberry_ToyStore,전과 18범이면 사회에서 영원히 격리시키라고!!!!!!!! 왜 자꾸 세상 밖으로 보내서 범죄를 저지르게 하는 건데... 이러니까 판사도 공범이라는 말도 생겼지.......,0
user-wy1fc4ws7j,전과34범도 돌아다니는 대한민국 판사들 대단하다,1
user-fe8vk1md3w,무기징역형이라는 처벌만이 남았네 무기징역형자ㆍ모든성범죄자는 가석방ㆍ사면 폐지하라!!!!!!!!!!,1
user-kv9il2hm7r,급물살을 타면 뭘하나 판사가 감형해줄텐데 범죄자의 인권은 중요한 대한민국이니 참..,0
user-ck6du2yh6t,12년뒤에 또 한사람 인생 조지라는 판사님의 헤아림… 가해자를 위한 대한민국!!,0
vertigo4441,이놈은 전과기록도 화려한데 계속 풀어준 판사가 레전드,1
sehonsong,성범죄를 배제할수 있는 판단이 어디서 나올수 있는지 참으로 궁금하다 어떤 검사인지 궁금하다,0
skyiv8850,판사님들 폼 미쳤다! 반드시 한국을 미친 나라로 만드세요.,0
user-rh5nk1qp2j,인간말종이다. 피해자는 왜 법에서마저 피해를봐야하는지 제대로 판결해라~,0
llSUBWAYll,위대함 판사님의 선택~ ㅋㅋㅋ뻔할뻔 ㅋㅋ,20
happ1859,국민의 관심이 쏠려있어야 형량이 정상적으로 내려짐,0
arniekimstudio,판사에게 기대할게 못됩니다. 어딘가에 한국판 덱스터가 존재하길 간절히 바랍니다.,0
user-ez8ly9ci6t,성범죄가 아니더라도 저정도 폭행을 했다면 사람이 죽을수도 있는데 당연히 무기징역 아닐까요? 대한민국법은 절대 상식적이질 않네요....,24
user-xd8sw9lm5h,판사님 옆집에 평생 살게 할 거 아니면 무기좀 때려주세요,0
user-kd3vh9jj7z,AI가 가장 필요한 직업 : 판사,10
esther_seo,사형제도 집행할 수 없다면 형량 200년 300년씩이라도 때려요! 인간 같지 않은 것에 왜 인권이 필요한건가요.,0
user-no4jo1hz6s,판사 : 심신미약 가해자가 반성 하고 있어 징역 10년을 선고한다,0
user-jt1ug6mh1e,저런 흉악범은 강력히 처벌해라. 절때 감형은 없어야 한다. 피해자를 정상적인 생활 못 하게 만들어 놓고는 저런 놈은 영원히 감옥에 있어야 한다.,39
