작성자,내용,추천수
user-sd1oz7qi3v,판사들도 국민들에게 평가받아야 한다. 못믿을 사람들이 너무 많다.,3천
user-ti5ux9rk5z,정말 맘이 넘 아프다 판새는 이런피해자를 보고 어떻게 저런말도안되는 판결을 내린걸까 35년도 짧은데 겨우20년 아 진짜분통터진다,80
kbs-iw6wd,전과 18범에 얼마나 더 기회를주는지 판사는 진짜 무슨생각인지 답답하다,348
user-ss4he7qf4j,최환 부장판사 판결 잘~~~~~보았습니다 반드시 당신도 그판결로 피해자를 더 고통받게한 죄값을 받을겁니다,1.5천
kyo3696,적반하장...누가누구한테 보복을하겠다는건지.. 이중고통을감수해야하는 피해자가 너무불쌍합니다. 전과18범이 20년뒤엔 또 세상에나와 몇명을 더희생시킬지 걱정입니다. 사형이나 감형없는 무기징역이 정답이라생각합니다. 판검사님들 자기가족이라생각하고 판결내려주세요...!!!,31
tstskim,최환 부장판사님 판결 잘~~~~~보았습니다 댁에는 꼭 평화가 가득하셔야 할텐데 아무쪼록 평화롭지 않길 기도하겠습니다,1.3천
user-wc4vx9nq5m,판사들 얼굴 공개 정말 필요할듯해요. 미국 판사들 같으면 상상도 못하고 이해도 못하는 판결일겁니다.,852
user-qg2mb6kh7t,매년마다 판사 평가제를 도입해야 합니다. 국민을 대신해 법을 집행하는 집행관 입니다. 집행관역시 국민의 심판위에 서야 합니다.,655
user-wg7wv9tc7m,정말 화가나는 판결입니다 30세에 전과 19범입니다 저런놈을 보호해주는 재판부들 진짜 대단하네요 사형이 정답인데 말이죠,326
shiro_Baek,담당 판사님 자제분도 똑같은 일 일어나면 똑같이 판결해주세요. 꼭. 언젠가 일어나기를 믿습니다.,193
judy_color,미친거아니에요? 피해자분 진짜 너무너무 불쌍해요 가해자랑 아무런 관계도 없고 잘못도 없는데 진짜 말그대로 잘못걸려서 인생이 저렇게 무너졌는데 어떻게 저런 판결을 내릴 수가 있어요? 대놓고 보복하겠다는데 그런 사람을 20년뒤에 풀어놓는다고요? 50살된 그사람이 다음엔 누구 인생을 망칠 줄 알고요? 나라와 법이 이런데 누가 마음 놓고 살까요. 무조건 국민이 계속해서 관심갖고 신상공개하고 피해자분 지켜드려야 합니다. 다음 피해자가 내가 될 수도 있는거잖아요.. 정말 대한민국 무서워서 어떻게 살아요..,8
gemmalee2229,피해자 죽이러간다며 주소를 달달외운다면서.판사야 정신차려라 쫌,530
user-qu7yt5tp7d,제발 판사 가족에게 같은 일 생기기를 진심으로 기도합니다.,134
colim4392,"판결해주신 판사님 본인과 배우자 그리고 자녀들 똑같이 뒤에서 돌려차기 쳐 맞고 사각지대 끌려가 주시고 기절해서 행복한 꿈꾸세요 역시 범죄는 대한민국에서! 이러니 대한민국에서 나쁜짓 할만하지! --‐---------------------- 판사가 왜 욕을 먹는지, 왜 많은 사람들이 자기 일도 아닌데 이 판결에 대해서 불평, 불만을 갖는지 생각 좀 하고 댓글로 ㅈㄹ하세욤 아니면 너님들도 돌려차기 쳐 맞아보시던가 내가 쓴 글이 불편하면 내 댓글에 답변 달 시간에 그냥 본인 생각을 댓글로 적으면 되는거 아닌가 ㅋㅋㅋ",727
user-dg4sm5sv1x,판사들아 너네.가족과 너희들이 꼭 범죄자들의 타깃이 되어 너네가 여태까지 피해자들에게 무슨 짓을 했는지 꼭 깨닫게되길 바란다.,16
user-pp1wk9ft8y,국가에서 피해자 보호 해줘라 언제부터 대한민국에서 피해자가 숨어 살아야 되는 나라가 되었는가? 피해자가 무슨 잘못을 했는가? 잘못이라곤 대한민국에서 태어난 죄 뿐이 없다 어디 무서워서 길거리 나다닐수 있겠는가? 꼭 본보기로 무기징역 선고 하든 국가에서 피해자를 보호 해주든 해줘라 피해자의 절규가 화면 밖까지 전해진다,383
sgs3698,"판검사, 법조계, 인권운동단체 본인과 가족들이 꼭 이런 똑같은 일을 겪기를 바랍니다. 그때도 가해자 보호하셔야죠^^",122
michealshin8898,우리나라 법은 도무지 믿을수 없다. 판사들의 의도가 도대체 무엇인지 판사들의 판결을 다시 심판해야 할 판이다. 정말 너무하네!!!,15
user-po1zf9fe4y,"피의자가 저렇게 보복예고를 하는데도 법원은 저거를 듣고 그냥 나몰라라 하는 태도 진짜 열불난다.. 피의자가 직접 찾아와서 보복을 할 수 있는거고 피의자 지인이나 심부름 업체에 맡겨 보복 할 수 있고 방법은 무수히 많은데 진짜 피해자는 죽을 때까지 하루하루 사주경계하고 손,발 떨며 공포 속에 살아간다는 점이 제일 마음이 아프다.. 판사 자식들 앞에 불러놓고 똑같이 해주고 싶네 그럼 부들부들 거리고 똑같이 징역주면 얼마나 아등바등 할지",231
xeongmoment,"댓글에도 예비범죄자가 많네요. 20년이면 중형이다 배째라 할게 아니라 이 사건을 계기로 형량 체계가 바뀔 수 있도록 의견을 내고 전달하는것이 중요한거죠. 자꾸 감성적•감정적으로 사건을 대한다고 피해자를 2차가해 할 것이 아니라고요. 전과 18범이 거리를 활보하고 다녔던 것이 말이 안되고, 살인미수인데 20년? 그게 많은겁니까? 이 사건 외에도 음주운전 등등 모든 중범죄는 더 엄중하게 처벌받아야 합니다.",334
kimchuthanflower,판결한 판사님 딸래미나 손녀있으시면 반드시 똑같이 당하길 바랍니다. 도대체가 이게 옳은 판결입니까? 왜 피해자가 가해자처럼 도망 다녀야하나요?,331
kilian8566,판사 자녀에게 반드시 같은 일이 일어날겁니다,4
user-lh5hc8fk1j,재판부 판사들의 가정에도 같은 일이 있기를 기도합니다.,88
user-wf8qv9if6q,판사 딸도 꼭 똑같이 당해서 20년동안 괴로움속에 살다가 20년 뒤에는 보복받길 기원합니다,3
hantel1200,120년형을 때려야죠. 20년형이라는 어처구니 없는 판결을 내려다니.. 피해자의 인생이 어떻게 삽니까? 참 한심하게 짝이 없네요.,189
user-vr7qs1ve3k,"판사님들보면 정말 피해자, 가해자 구분 없이 공정하고 냉철하게 판결하시는 것 같습니다. 이제 AI가 판사님들보다 더 명확하고 냉철하게 판결을 내릴수있는 시대가 왔으니 모든 판사님들 퇴직하시기 바랍니다.",57
user-rt5kg3kq1u,판사님 가해자 말고 피해자를 보호해 주세요,50
user-qo4yx8cb1p,최환판사 당신 가족한테도 꼭 이런일이 생기길 바랍니다,26
user-uq8rt5gw8t,무섭습니다 제발 얼굴공개하고 무기징역 시키세요 판사들이 더나쁜놈들이네요,4
user-nh3cf8bo3c,살면서 이런일을 누구든 당할텐데 판사는 이번 피해자뿐만아니라 우리 모두에게 내린 판결이네요.,18
user-ji7gu9js9z,판사 국민 심판제를 도입해야합니다 멍청하거나 상식에 어긋나는 판결하는 판사들 강력 처벌해야합니다,1
user-xt5lp8ct6k,꼭 판사님 자재분도 똑같은 일 당해서 범죄자한테 보복당하시기를 바랄게요,17
user-mn4yz6pr1x,법이 최소한이라고 하더라도 피해자에게 협박을 했다고 들었는데 그것마저도 적용해서 형량을 줘야한다고생각되어집니다,122
user-ry9ku7qv3h,판사들 전부 정신들차려라.맨날책상앉아서 법전만 보니 상식을 밥말아먹었너 진짜 한심하다 한국 판사들 매번 속이 뒤집어지는판결을 햔다.진짜 왜그러냐,2
samasbal213,"만약! 판사딸이 이런경우를, 당했다면 어떤판결이나왔을까?판사님들,대단들하십니다.참!살기좋은 대한민국입니다. 판사님! 정말로존경합니다. 호로자석들~~~",101
riolay9891,앞으로 판사와 검사는 탐욕스럽고 돈에 눈이 먼 사회적지능과 공감능력 떨어지는 인간 대신 AI가 대체해야 합니다. 그래야지 전관예우가 아닌 전관범죄가 사라집니다.,92
user-us9te7wb5s,가해자 신상정보 공개도 중요하지만 판결하는 판사 신상정보 공개도 중요합니다 그지같이 판결하기때문에 판사를 신상공개해야지 올바르게 판결 할 듯해요,65
MrKcpark07,이런 대응은 아닌 것입니다. 정말 판사들은 무슨 경우인가요? 그런 인간을 어떻게 이렇게 놔둘수가 있나요.... 정말 무조건 바로 잡아야 합니다.,0
user-ez3ie6wj4g,저정도로 최악질이고 저넘이 뭐라고 한거까지 다까발려진 마당에 판사는 괘심하지도 않나? 법전을 다 뒤져서라도 할수있는 죄목은 다같다 붙혀야 되는거 아니예요? 저 저주받을 놈의 변호사가 엄청난 능력이 있는건가? 어떻게 저렇게 형량도 적고 보호도 잘해주지? 어이가없다!,433
user-fg8uq4je3v,저렇게 판결한 판사와 그 가족들 꼭 저 넘같은 악마에게 당해보시길 기도드립니다.그때도 그렇게 판결하세요.꼭.,14
user-yz9sz1zd7t,최환 부장판사님 꼭 가족들도 같은일 당해도 같은 이유로 양형 부탁 드립니다 가정에 꼭 아무일 없길 바랍니다^^,21
Uresora,"저런판결한 판사도 피해자와 국민들이 퍼벌할수있는 시스템이 필요합니다. 보복한다는걸 일면서도 저런 판결을, 아예 폭력과 살인을 부추기는 처벌입니다 이건 판사들 자리에서 끌어내려야합니다.",21
freeman7617,판사니덜 가족중에 반드시 저런 똑같은 사고가 나길 진심 바란다!!!,64
ranykim3245,이 정도 이슈화 됐으면 뭐라도 좀 바뀌는게 있어야 하지 않나... 피해자분 말 듣고 온 몸에 소름이 돋네... 여전히 핑계와 변명만 늘어놓고 있고 정말... 인권존중 해주는거 정말 좋은 취지고 나도 존중해요... 뒤에 괄호열고 한마디만 더 적자 응? (범죄자 제외)라고... 보복이든 뭐든 다시 재범죄 가능성이 조금이라도 보이면 형량 무~~~겁게 쳐주고 응?,2
user-kq6em6jc1m,제발 판사놈 다 돌려받길바랍니다,7
thc6896,판사도 좀 정신과 검진 좀 받아야돼 주기적으로 정상인지,2
TedMeta,이쯤되면 범죄자 신상공개가 아니라 재판한 판사를 신상공개해라... 그리고 전과자 10범 이상은 폐기해라 그냥 임상실험에 쓰던가,190
user-yr9zr5kf9h,판사님 꼭 주변에 같은 사건이 일어나길 빕니다^^,15
user-bf8iz7lo1v,검사 항소심에서 반드시 심판을 끌어내야한다,0
user-fl3rd1tc1i,나중에 출소해서 보복을 하거나 또 다른 피해자가 발생할 것은 불보듯 뻔한데 어떻게 이런 판결이... 이 자의 출소 후 범죄에 대해서는 이 판사님도 일말의 책임을 져야 할 듯...ㅜㅜ,7
user-vn9en1jh1y,진짜 이해안가네요 저런 쓰래기 같은놈 한테 20년 징역이아닌 사형이나 무기여야죠,1
user-mv4ib8yd1s,최환 부장판사님도 20년 뒤까지 목숨 꼭 부지하고 계십쇼. 피해자 살해 당하면 본인께서도 어떻게 되실지 아시죠?,34
user-ij9br7ql6f,판사들 가족들에게도 이런일이 생기길 기원합니다!!,0
tt743,판사는 자기자식아님 피해자가 죽어야 끝날일임,228
dog-bird,20년이나 징역 살았는데 나와서 뭘할까... 깨달음을 얻고 죄에 대한 참회 후 취업해서 성실하게 살아갈까요 당연히 20년 동안 썩게 만든 사람을 찾아 가겠죠,4
user-ou3bj4vp4c,20년후 과연 정부가 지켜줄까요? 이런 판결한 판사들이 자신들 판결에 책임지는 법도 필요해보이네요,7
nathankim8600,판사님의 판결을 존중하고 싶어도.. 이런 여론에서 정말 귀닫고 법만 가지고 판단한거라면.. 진짜 대한민국 쓰레기란 생각만 든다.. 격리해야 될 사람을 저리 놔준다는게 이상한데..ㅎㅎ,15
chriskim9544,판사와 국회의원이 전국민을 범죄자 집단으로 만드는군요. 저런 범죄자를 밥 잘멕이고 재워서 20년후에 분풀이하라고 보호해주고. 문통 5년간 만들어 놓은 법이 왜 그런건지 기억하고 법 만드는 사람을 바꿔야죠.,23
user-mr4co7fv7v,반성하지 않는 피의자를 법테두리내 최고형을 판결하지 않은 판사는 그형량을 대신 살아라...,22
yain1650,나참 어이가 없네 저런넘은 신상공개하고 평생 못나오게 무기때려버려야한다 판사가 참 ㅂㅅ같네 지 자식이 저런 꼴 당하고 저런 개념 없는 말 들어도 저래 판결할까?? 이번 사례로 저런 범죄 더 나올꺼 같다 에휴~,0
user-hx7lp4bx1l,최환부장판사군요~~~ 당신집에는 더더큰 일들이 생기길~기도합니다,8
user-gm1wi5kz8e,인위적으로 범행을 저지르고 반성의 기미도 없고 대놓고 위협에 갱생자체가 불가능한 사람인데 20년 주고 판결의 관대함이 피해자에게는 고스란히 더 고통을 받는 걸 떠나 불안을 평생 지고 사는데 애초에 저 피해자분은 자신이 잘못한것도 아닌 왠 떠x이한테 엮인 건대 왜 피해자만 고스란히 상처를 받아야하는지... 한마디로 대한민국 법 x같다.,2
spgj1552,참으로 극악하고 반성없는범죄자에게는 어떤 형벌이 필요한지 보여주는 일벌백계의 판결이 필요 합니다. 재판부는 법의 원칙에만 의존하지말고 억울한 사람이있다는것을 한번 생각하기바랍니다,2
user-ep6se8gl3r,"피해자분의 보호가 가장 우선순위로 보장되길 바랍니다. 우리 주변 가족, 친구, 남녀불문. 나 자신에게도 일어날 수 있는 일입니다.. 앞으로 피해자는 어떻게 일상생활을 할 수 있겠습니까? 국가가 형량에서도 피해자의 편에 서지 않는데, 피해자를 보호할 수 있는지 의문입니다. 물리적인 보호에도 불구하고, 앞으로 20년간 또 살아갈 수십년의 세월의 정신적 고통까지 국가가 책임져 보호할 수 있습니까? 가해자는 그동안 법이라는 이름으로 전과 18범이라는 이력을 가지고 있습니다. 누구를 위한 국가고, 누구를 보호하는 국가인지 잘 모르겠네요. 강력히 규탄합니다.",1
