작성자,내용,추천수
jinnycho96,저런식으로 변명한다는건 오히려 반성하지 않는다는 반증...더 엄중하게 처벌해야합니다...판사님 제발 정의가 살아있다는 걸 보여주세요!!!,473
sjy-pj04zt,아니 뒤로 떨어지는 가방 까지 챙기는 놈이 기억 안난다고? 저걸 믿는다면 판사 능력 없는거지. 무기징역 때려라.,434
alexj55,18범+ 되도록 솜방망이 처벌에 거리에 풀어 준 판사들. 1심에서 6년이나 감형해 준 판사. 어딜봐서 반성하고 있다고 생각했을까요? 이쯤 되면 판사들 지능도 의심스럽습니다. 이번 사건으로 좀 깨달은게 없으신가요? 이번엔 제대로 된 판결 내리길 바랍니다.,79
user-pt4tl2hb8j,판사님들 갱생 가능 어쩌고 하면서 판결 이후의 가해자의 삶을 걱정하던데 당신들이 걱정해주고 염두해야할건 사건이후 판결이후 피해자들의 삶입니다... 18범 당신들이 제대로된 판결을 해왔다면 저 18범속의 많은 피해자들은 안생겼을겁니다...,26
326Bit,사형을 선고 하지 않는 판사들은 본인들의 잘못된 판단으로 거리를 활보하는 범죄자들에게 살해 당하길 빌겠습니다.,257
user-rz5zk1kd1t,판사님이 꼭 똑같은일을 당하길 기원합니다 가만히 길을 걷다가 예기치 못하게 돌려차기를 당하시고 말로 담을수 없는 상처를 받으시길 바랍니다 꼭이요 매일 기도합니다,24
user-vr6qm8rk1p,이나라 법이 진정 가치있게 발휘되길 판사님 간곡히 부탁드립니다..,14
sosohazi,판사의 딸이 당하는 경우가 생겨야 바뀌려나 언제나 피의자 챙기는 솜방망이 판결이 전과 19범을 낳게한것이다. 이게 결국 판사들의 국민 정서와 다른 솜망망이 처벌로 괴물들을 키운것. 범죄자가 재범을 하면 이전 판결을 내린 판사에게도 패널티를 줘야한다,3
savvy1448,전과 18범이라지? 저런걸 사회에 또 내보내면 판사도 조져야한다. 범죄를 저질러도 별꺼 없다는걸 18범되는동안 충분히 학습했겠지 저ㅅㄲ 절대 내보내지마라,35
manchester865,피해자 말보다 가해자 듣고 감형 하는 대한민국 판사 사법부,2
user-pd2zg7by4n,정말 범죄자의 인격을 존중해야하나...? 이쯤되면 돌대가리도 알겠는데. 왜 사법부만 모르고 있는지 참 답답하다 10년이든 30년 이든 언젠가는 출소할것인대 출소하면 바르게 살겠나? 또다른 피해자가 나온다 돌판사들아! 무기징역이 답이고 신상공개해서 범죄를 막아야한다,23
abi3716,징역형 3번 이상이면 갑절로 양형하는 법안이 필요합니다 3번째부턴 일반인과 사고방식이 다른 위험한 존재들 입니다,29
yjyj541,어차피 징역 짧게 나올텐데 얼굴하고 신상까라. 빤뻔하고 오히려 피해자를 협박하는 저 인간같지도 않은 놈이 평생 얼굴들고는 못다니게끔.,70
user-ff3wq8wi8o,보복한다고 지입으로 지껄이는 놈이니까 피해자를 위해서라도 죽어서나 나오게 무기징역을 때려라 제발..,11
user-mk3fl9em5h,술에 취해 기억 안난다는 변명은 항상 거짓말이었는데 법이 개선이 안되네 그러니 개나소나 다 심신미약 행세하고 감형바라지 개나 소에 비유하는것 조차 아깝긴 하지만.. 진짜 문제다,9
do_obo_od,저런거한테 160장 판결문을 찾아준 변호사는 얼마나 현타왔을까...저런거 변호해주려고 그렇게 열심히 공부한건 아닐텐데 고작 그 수임료 몇 백 때문에..변호사도 참 불쌍한 직업임..,32
user-ww5ww5uh8o,기억 안나면 형량을 더 세게 해야 기억 안난단 말을 안하지,42
as-ns7ze,즉 정신 멀쩡한 상태에서 범행을 저질렀다는 겁니다 조사에서도 너무 떳떳보이네요 최소 무기징역이나 사형 아니면 저런놈이 사회에 있다고 생각하면 .....,18
azukiryo,니가 여성때리고 몹쓸짓 한거잖아. 남이 시킨것도 아니고 니가 결정한거니 그러니 범죄자 소리를 듣는 거고 그냥 편하게 형량 마치고 나와 세상이 어떻게 바껴있을지 모르니까 그때되면 니가 당했던거 그대로 니가 당할지. 암튼 안 까먹고 기다리고 있을께 얌전히 들어 갔다가 나와라,15
keonhokim3206,제발 사형좀 해라 저런 금수만도 못한게 20년 살다 나와서 일반인들 사이에서 섞여살다가 다시 저런 몹쓸짓을 저지르지 않을 가능성은 아주 낮다!! 판사들아 정신좀 차려라... 범죄자들 없어지면 너희들 밥줄 끊길까봐 그러냐?? 진짜 무능한 법관들!!!,1
user-qw9od8nq6y,살인미수는 최소 40년 피해자는 평생 대인기피증 자살충동에 고통받는다 판사딸이 저런짓을 당해도 12년 때릴것인가?,19
karmakim3342,저 쓰레기가 무기징역이 안나온다면 우리나라 사법부를 뜯어고치고 관련공무원들 싹다 책임을물어 강력처벌해야한다,2
user-yu4iu5ol8e,정말 이 사건은 전 국민이 최종 판결을 주목해 봐야 할 사건이라 생각합니다. 진정 이 나라가 법치주의 인지를..,5
