작성자,내용,추천수
user-ls7tf1zy4x,대법원의 현명한 판결로 앞으로 일어날지 모를 범죄에 대한 예방과 반성의 의지가 없고 보복가능성 있는 범죄자에게 경고의 메시지를 각인시켜줬으면 좋겠습니다,123
user-rt1xt6qm8u,대법원 판사야 부산 돌차범 징역 120년 때려라,202
user-lc8ez6cm2m,대법원 판사님들 정중히 부탁합니다. 이 물건은 반성이 전혀 안되어 있어요 보복 예고하고 자기는 죄질에비해 형량이 쎄다고 하고 정신과 로 전향할 가능성도 있어요 .이런놈 진짜 죽어도 못나오는 150년 구형해 주세요 본보기로 남도록 이런 인간 다시는 나오지 않도록 부탁 합니다,69
vv-cn2vh,친애하는 판사님께 부디 피해자가 용서를 못하는데 법이 무슨 자격으로 용서 해줍니까~?!! 그러니 무기징역을 선고 해주시길 바랍니다,7
kyongsookim9136,국민청원으로 어떻게든 형량 더 늘려줘야겠네~,25
user-vd3tb2ft1r,"(대법원에 가더라도 2심의 ""징역 20년""보다 올라가는 건 불가능하다는 게 법조계 설명입니다) ㅡ 갑자기 힘이 쭈~욱 빠지네. 2심 재판부의 잘못된 판단으로 어떤 결과를 초래할지..",3
moveon2,저 범죄자가 저지른 죄의 심각한 무게만큼 책임지지않았고 이제 전과19범이다. 너무 악랄하기에 무기징역하는것이 국민안전과 피해자보호를 위해 사법부가 할일이다.,9
user-cw8ru2jl7g,대법원 항고는 가해자의 이익을 위해서만 상고할 수가 있습니다. 피해자와 검찰은 형사소송법 제383조 대법원 판례로 양형부당 상고를 할 수가 없습니다. 피해자에게 100% 불리한 판결입니다.,4
user-li5jq8cx7g,사형이답인데 최소무기징역이라도해야지,39
YDSnim,누가 돌려차기하래 그짓 안했으면 징역 살일도 없잖아 자업자득이지,41
buja3935,살인이다 봐도 또 봐도 감형은 없을듯,4
SeeYoungKim,손해 볼께 없으니 본인 경험에 비추어 볼때 또 상고하는 기간이 다 형에서 빠지니 본보기좀 보여 줘라 상고해서 형량이 더 늘어 날수 있다는 본복 좀 제발 판사들아 ...,9
tgp2907,더 나오지는 않음...형량이 줄어들진 않을 까 걱장이네요..워낙에 이나라는 범죄자 한테 좋은 법이니..거기다가 범죄키우고 코속에 들어가는 공기 조차 아까운 판사와인권위원회들...,9
user-by8ie8gh4j,얼굴 까라 그리고 현명하게 판결내려라 국민들이 언제까지 너네 솜방망이 지켜만 보지 않는다,1
Batman-tl2pu,피해자는 더 억울해 한다 감형이 너무 작아서 ..더 쎈 벌을 받기를 원하는데 억울하다,29
user-jg9ue7ni1j,법에도 분명 예외사항은 존재해야된다. 피해자에 보복예고를 했고 죄질이 너무 불량한데 이참에 이례적인 대법원 판례 남겨서 저런놈들 무기징역으로 넘겨야 함. 평범하게 생긴년도 사람 죽여보고 싶어서 죽여봤다는데 이게 나라 꼴이 맞게 돌아가는게 맞음?,2
user-jl2wg6wc4x,판사가 형량을 더 올리지 않는다면 판사의 죄질이 나쁘다....!,2
user-js5cn6wr2n,판사들이 자선 사업가인 줄로 착각하는 아주 이상한 이 나라 사법부 개혁 대상입니다. 판사들에게서 양형권 박탈해야 합니다.,26
robot1204,대법원가서 괴씸죄가 더해져서 형량 더 때릴수있게 법이 바뀌어야 된다 ~~,2
