작성자,내용,추천수
user-bv7cp9tr6l,저런 마인드 가진사람이 또 누구한테 범죄 저지를줄 알고... 43세돼서 나오면 잃을것도 없는데 또 누구하나 사고당해야 정신차리지 이렇게 오해의 소지도 없는 명백한 강력 범죄는 무기징역이나 사형까지 가는게 맞지 짐승보다 못한데,3
user-zj7wv3jt4g,진짜...이러면 안되지만 판사들 가족들도 똑같은 일 당해봐야한다...그래야 교화같은 개소리를 집어치우지,2
user-un2tb6rn2z,영원히 사회와 격리 시켜라 !! 무기징역 !!!,4
user-xy2cg4ig9g,"피해자분은 항상 노심초사 하시겠다.. 해외 나가서 사는것도 괜찮을듯 하네요. 하.. 왜 피해자가 고통 받아야하나? 가해자는 그냥 무기징역 주고, 못나오게해라.",0
user-xy2cg4ig9g,"판사님 당신 딸이 똑같은일 당해도 그렇게 판결 하겠어요? 갱생될 여지가 있다고 보여지나요? 전과18범이 저런 사고를 쳤는데? 그냥 교화는 포기하고 사회에 내보내지를 마세요. 밥주면 운동해서 몸이나 만들던데, 밥도 그냥 3일에 한번씩만 주세요.",3
sevenman1044,증거가 다 있는데도 이렇게 시간이 오래 걸린 재판도 어이없고 형량도 어이가 없다… 경제도 개판인 개한민국이 법까지 나약하면 국민들은 걍 죽으라는거랑 똑같다…장담하지만 대한민국 10년 못버팀니다…,2
user-eh8si5dv6x,"나와서 연쇄 살인범되겠네 그 중 판사 마누라, 딸 꼭 포함 되길 빈다.",4
yunho123321,형량깍은 판사님아 검사가 구형한것 그대로 35년해야지 그걸 절반가량 깍아주냐? 전과 18범 이다 초범도 아니고,6
kyoulee224,정작 무기징역감에겐 관대하고 머 사실적시? 이따위거는 세게 때리고 개판이네,0
user-dq5od5be1n,그냥 평생 감형 없는 무기징역 시켜 그럼 알아서 자살하겟지,1
user-ld3mc4yk8u,판사 가족이 당해도 20년일까,3
SS-fs4nc,잔대가리 엄청 굴리네. 내가 판사라면 괘씸죄로 형 더 때릴텐데 고작 20년이라니,1
user-lb4ih6tn9q,탈옥 하다 실패 하면 신창원 처럼 징역 26년인데,0
