작성자,내용,추천수
user-jf2nt6yq7p,신상공개하니 계속 유투브에서 댓글 사라지네요 ㅠㅠ 가해자 부산 영도구 동삼동 주공아파트 1단지 살았고 상리초등학교 다녔는데 저도 어렸을 때 임마한테 많이 맞았고 초딩시절부터 진짜 악마로 유명했습니다. 지나가다 만나면 무조건 뒷짐 지라하고 명치 가격해서 쓰러지게 만들었고 제 친구 등 수도 없이 많이 때렸으며 악마 그자체 입니다. 댓글 상단고정좀요! 절대 감형하면 안됩니다!,65
user-ug4dn2fn5j,판사님들 자기가족이 이런일을 당했다고 생각하시고 두번다시 이땅에 발을 못디디게 해주십시오. 이 사회에 도움 안되는 인간들은 없어져야 합니다.,1.5천
user-xu3hm8yk8n,저런 동영상을 보고도 12년만 징역형 주신 재판관님 모든 범죄자들이 존경하는 분이시다.,2.2천
stevejung6455,후방에서 무방비 상태의 사람을 공격하는 심리 부터가 테러리스트와 다를게 없음.. 형량 더 올려주시길 당부 드립니다 대국민 분노를 보시고도.. 이번사건을 계기로 예외 강력처벌이 가능하다는 것도 관련 가해자들에게 상기 시켜주셔야 합니다,696
hyunyang4535,"이건 남자도 저리 맞으면 기절합니다. 이건 살인미수 입니다. 상대랑 싸운것도 아니고 그냥 무방비상태에서 저리 당한건데, 이건 죽이자고 작정하고 때린겁니다. 나라에 법이 정말 존재한다면 신상공개하고 무기징역이 맞습니다.",5
dddtr271,나중에라도 판사님 자녀분이 꼭 같은 사고 당해서 억울함을 한번 느껴봤으면 좋겠습니다,161
gemokr,이제부터 판사는 자기이름과 얼굴 걸고 재판 하도록 합시다. 뉴스기사에 언급되는 판사는 사진을 꼭 올리도록 해 주시구요. 재판실명제 합시다.,90
user-iw9cc6yg2n,재판장 가족이 똑 같이 당해시기를 두손모아 간절히 기도드립니다~아멘~~,269
LG-SIGNATURE,국민 판사제도를 도입해 판레기들이 자기들 맘대로 형량을 깍아주지 못하게 해야 한다.,79
swariyoon,저런 사람이 사회에 다시 나온다고 생각하면 대한민국 거리는 정말 끔찍한 거리가 될겁니다. 자기집 엘베 앞에서 저런일을 당할거라고 누가 생각합니까???? 피해자는 지금 정상적인 삶을 못사는걸로 아는데.... 재판부의 서민의 입장에서 납득할만한 판결이 나오길 진심으로 바래봅니다!!,18
