작성자,내용,추천수
user-nj5wz2bg9v,저런 반성문과 저런 판례들을 모아서 제출할 수 있도록만든 법체계와 판사들의 판결에 너무나도 큰 문제가 있다고 생각해요...제발 죄에 상응하는 죗값을 받을 수 있는 나라가 됬으면합니다,154
user-hk4bg8sk2k,"과거18범이 될 동안 반성한다며 판사들이 한결같이 형량을 1/3씩 줄여주었던 결과가 지금의 결과가 되었고 그동안 감형 내렸던 판사들중 단1명이라도 계속 감형내렸음에도 계속 반복되었다는것을 확인, 인지해서 감형을 내리지 않았던 분이 없었다는게 안타깝습니다. 이번에도 또 감형을 내린게 정말 화가납니다.",572
ranyk6850,제발 사형이 없으면 절대 감형이나 석방없는 종신형 선고 확실히 해줬으면...어찌 피해자가 겁에 질려야하고 범죄자가 저리 당당할 수 있는지.. 인권이 필요없는 인간도 존재한다.,17
erwinkim7125,반성문 제도 없애야합니다. 가해자가 피해자 아닌 판사한테 왜 용서를 구해요??? 저 반성문을 피해자에게 전달해주는것도 아니잖아요,439
user-dr2eq1yr8m,반성의 기미없이 자신의 억울함만 호소하는 뻔뻔하고 괘씸한 죄로 항소하거나 저런 불평할 때마다 형량을 10년씩 늘었으면 좋겠다!!,200
wonhyojeong832,ㅋㅋ 우리 판사님들 수준 알만하다. ㅋㅋ 저 반성문을 읽고 넘어갔구만 똑독한 판사님들 우리 국민들의 눈물은 안보이고 저 똑똑한 범죄자를 감형해 주신 판사님 정말 인간적으로 좃경합니다.,309
user-zs9of8ee1x,말도 안되는 판결을 내리는 판사도 감시하는 기관이 필요합니다......,106
user-superrrbaek,반성문이야 말로 국민적 공감대와 여론의 눈치를 보면서 판단해야하는 영역 아닙니까 판사님? 뭐 공정한 잣대를 중요시 한다면서 반성문까지 쳐 읽고 계십니까 그런게 어떻게 공정한거에요 반성문이야말로 이성이 아닌 감성의 영역이고 여론의 향방을 쫓아 판단해야 하는 부분인것을 공정함를 내세우시는 분들이 감성적 판단영역인 반성문을 검토하고 김형들을 쳐 하고 계시니 웃기는 일이 따로 없네요 참,263
user-gt7gd9jl8z,"이런 어처구니 없는 태도를 보고도 그런 솜방망이 처벌을 내려 준 최환 판사 이놈도 정말로 대단한 놈이다. 감형 사유도 이놈의 ""불우한 성장 환경""이라더구만. 조두순도 나이 많아서 수감생활 어렵다는 이유로 그런 어처구니 없는 형량 내렸었지. 정말 이 나라의 법은 누가 만들어 놓은 것인지 한심하다 못해 정말로 놀랍다, 놀라워.",101
anonleee,판사님이 어떤 실수를 한 건지 직접 보세요.. 법과 상식이 무너진 사회에 무슨 미래가 있겠어요,308
p01060,상고때 형량 올라갔으면 좋겠다,113
josejoe5405,판사가 죄를 감면해주는이유는 판사가 자비롭기 때문이 아니라 흉악한자를 무서워 하는 겁장이라서 그렇다,66
sikkim4017,판사님들이 검사가 구형(수정)한 형량 1/3 이상 팍팍 감형 해주는 감동적인 반성문들인데? 뻔뻔하다니요? 진실로 자기 죄를 인정하고 반성하면 뻔뻔하다며 판사님들이 괘심(수정)하다고 더 형량 높인다는 풍문이 있더만요~~~,237
iilililiii6098,반성문을 피해자가아닌 판사가 받는 유일무이란 역대급 나라 ㅋㅋ,27
user-rp1zp8je1d,이정도면 판사들 AI도입이 시급하다고 본다.,23
-sss102,저 모든 사건은 가해자가 만든 겁니다..왜 피해자가 감당을 해야하나요..ㅠㅠ가해자가 감당을 할수있게 처벌을 내려주세요!!판사님ㅠㅠ,2
user-eu3et9xz1i,그런데 더 웃긴것은 저따위로 작성한 반성문이 먹힌다는 사실~~^^ 판사님은 반성문를 아주 좋아해요,22
user-sd3uq4le5j,진짜 이 쯤 되니 판사라는 사람의 생각도 궁금하네..;;,3
user-yk5kh2yh5x,자기 잘못은 하나도 없고 지 형량만 많다구 ...어이없다 아직도 반성하고 미안한 맘 1도 없는 인간이네,232
inmo1026,재대로된 반성이 나올때까지 형량을 더 올렸으면 좋겠다,45
BERGGUTEN,"저런 쓰레기가 같은 국민이라고 말하는 순간, 판사는 동질감과 연민을 느끼며, 반성문에 눈물을 흘리고 감동 받으셔서, 감형을 밥 먹듯이 하면서, 오늘도 자기의 자리에서 피해자를 무시한 판결에 힘을 쏟는 하루를 보내고 있겠구만.....참..",4
user-us7ij8kn5e,"우리 ""최환 부장판새""는 피해자에겐 관심도 없고 그저 자신에게 빌빌거리며 반성문을 써내는 범죄자들에게 우월한 자존감을 느끼며 자뻑에 취해 그래 너 감형!! 키야 멋있습니다. 최환 부장판새가 범죄자 이현우에게 20년 뒤에 나와서 혹시라도 가석방 되면 더 일찍 나와서 피해자에거 보복 할 기회를 주셨습니다. 범죄자들의 신이십니다!!",23
user-pf5lm7uu9k,판사는 그놈의 반성문을 전과 18범에게 받아서 뭐할려고 받는거지? 초범도 아니고?,182
shk9732,저런 사람이 다시 사회에 나오면 똑같은 피해자가 나올거 같은데. 무기징역이든 정신병원이든 영구 사회와 분리되는게 맞다.,2
user-ej6zd1kp5f,19범인것도 신기하지만 19범을 용서해준 판사도 신기하고 ㅋㅋㅋ,8
bohyunkang8606,판사가족도 꼭 똑같은일 있기를^^,2
user-pt3lk5fk6o,아직도 법이 허술하고 약하다는 것이다. 형량을 더 쎄게 해야 한다.,2
lch6544,저걸보고 감형시키는 판사는 눈과귀가 있나싶다,76
ghswk,이번사건 판사가 CCTV영상을 한번이라도 봤을까 라는 생각이 들정도로 말도안되는 사건,4
moony8026,"인간 판사의 특징이 가해자의 감성에 움직이는 것에만 작용한다면, 우리 사회에는 AI 판사가 더 공정하다고 보여진다.",3
user-sy1wt7lk4k,울 판사님들은 감수성이 풍부해서 이런 글 읽으면 맘 약해져서 형을 줄여주네여 ㅠㅠ퓨ㅠㅜㅠㅠ,0
user-od7st9uj4e,객관적이고 냉철하게 판단하는 AI로만든 판사로 대체되기바람,2
user-su5rt2dk8p,오 판사님 이거 읽고 또 감동받을듯 ㅋㅋㅋㅋ,3
user-lb7yf6jy1c,군사정권 때 저런 상습범들을 위해 보호감호 제도가 있었습니다. 상습범들은 징역 n년 + 보호감호 n년 이런 식으로 판결해서 이중 처벌하는 제도였죠. 근데 이게 악법이라고 폐지가 됐어요. 과연 악법이었을까요?,1
ksg80181,반성문이 아니라 변명문인데? 제발 대한민국에 정의가 살아있다면 괘씸죄로 형량을 더 올려주십시오.,53
gomtang5154,반성문 쓰면 감형해주는게 진짜 레전드,2
tecprint3692,20년..? 역시 우리나라 판사 답다.. 자랑스러워.. 최고야.. (설마 이걸 칭찬으로 알아들은 건 아니겠지.. 이 미친 판사놈들아..),1
rance5832,피해자에게 사죄해야 하는데 판사에게 사죄하고 있음 (형량을 낮추기 위해) 싸패라던데 다시 사회에 풀어주면 어떤일이 일어날지 불보듯 뻔하다,2
