작성자,내용,추천수
josephsong6501,조금이라도 힘이 되고 싶었던 일인이라 탄원서 제출했었습니다. 무기징역 나왔으면 좋겠습니다. 건강하게 행복하게 지내시길 바랍니다.,60
yunkwangll,대한민국 판사는 관대하십니다.,8
user-ip4rs1br9k,저런건 인간도 아니다 무기징역 이상으로 처벌해야 합니다,38
user-ss4pl4xt8w,판사들의 피해자 인권을 어떻게 생각하는지 알아볼 기회 판사가 범죄자와 피해자 그중 누구의 인권을 중요하게 보는지 알아볼 기회,9
user-fr7cu2dp4d,35년이 뭐냐 무기징역 해야지,46
user-global33455,그냥 감형없는 무기징역 가야지...,15
user-yw6cu1mu5b,35년형이 뭐냐. 무기징역 때려야지. 피해자 나중에 보복 무서워서 어떻게 살아???????????????? 출소하면 65세 요즘시대에 젊은나이인데???? 중국 좀 닮자. 판사 및 재판부 관련 인간들아 니 딸이어도 35년형에 만족할거니???,7
user-hf7dz9sy8u,범죄자 무기징역으로 감옥에서 죽어야 한다. 판사가 또 감형하겠지. 피해자분 건강 회복하시고 힘내세요.,3
user-ru8vi7yx6t,판사 딸이 저런 상황을 겪었다면 35년같은 년수를 따지며 형량을 때릴수 있을까?,15
user-ef6nb8tl8v,흉악범들에게 날개를 달아주는 개판사 들 자기딸들이 반드시 이런일을 당하기를 ...,4
user-dp5tb8uk9p,왠일로 미국처럼 제대로된 판결을 하였군요 이런 선사례들이 많아져야 범죄가 줄어듭니다 음주운전시 평생 면허 발금못하게 해주세요 잠재적 살인자입니다,32
user-nc7jp4yn2,35년 너무 짧다 미국은 15살 남자애가 같은 또래 여자 친구을 114차례나 찔려서 죽게 했는데 판사는 바로 종신형을 내렸던일이 있습니다 대한민국도 사형제도가 없으면 년수가 아닌 종신형을 내려 주셨으면 하는 바 입니다,7
user-mh6lx4hj9s,신상공개하세요! 최소 무기징역,10
user-rd4qr8fk6u,35년이아니라 무기징역 때려야합니다한마디로말이죠 인간으로서인생포기한놈입니다,2
user-zn2zl9qr9e,판사는 또 어떤이유로. 감형해주는지 살펴보자,6
user-lj6jq7nb3h,검찰이 형량을 구형하면 판사는 말되 안되는 양형의 이유로 검찰 구형에 반도 안되는 형량을 선고하는 경우가 너무 많다. 검사가 구형한 형량대로 선고해라 좀...,1
user-nq5vk4gk7t,얼마나 놀랬을까 트라우마가 크겠어요 저런머슴아는 무기 징역을 살어야합니다 나오면 또 그러고다닐꺼 아니겠어요 세상조용히 사는 사람을 저런또라이땜에 없어도될 사건이 생긴다 우리나라는 처벌을 더강하게 처해야됩니다 저아가씨는 시집도 가야되는데 저렇게 몸과 마음에 상처가 커서 앞으로 살아나갈게 걱정되네요 힘내세요,0
wise_bok,20년미만시 판사도 신상공개 해라,2
user-gk7kx2qe7d,판사의 관대함은 하루이틀이 아니자나 시대가 변했으니 미국처럼 판결해야한다,1
user-ed8cf5sk4y,김명수가 깔아놓은 판사들이 문제다.,11
san3817,중한처벌이 35년? 살아서 기어나와 돌려차기 한번 더하라고 기회주는 형량이네. 역시 대한민국 대단쓰~~~,1
user-zx5pg4nz3o,감형없이 35년 쭉 살게 해줘라,0
user-rv3wt4ko9l,감형이 없고 60대에 나오면되겠구만,4
