작성자,내용,추천수
torontokitty2511,저도 방금 탄원서 제출했어요... 씩씩하려고 힘내려고 하는게 얼마나 죽을 힘을 다해 애쓰고 있는 것인지 알것 같아 마음이 아프네요. 이 사회에 정의가 살아있음을 판사님들 보여주십시요. 가해자에게 엄벌 내려주세요.,151
tfgf21,"판사님!!제발 당신의 자녀가 겪은 일이라 생각하고, 엄벌에 아주 무겁게 처벌해주세요.... 사회에 나오면 안됩니다.",480
jennyjunyable,탄원서 제출했습니다. 영상을 볼때마다 피해자분 고통이 체감되어 손이 부들부들 떨립니다. 제대로된 형량이 내려질 수 있도록 모두 힘을 모읍시다! 피해자분의 용기에 박수를 보냅니다,137
user-bo3dq6ly9v,용기내주셔서 감사합니다. 육체와 정신적 고통에 힘든나날을 보내실텐데 잘 이겨내리라 믿습니다. 그리고 가해자 이놈은 전과도 수두룩하고 살인미수까지 저질렀는데 겨우 12년이냐! 출소하면 겨우 40대다. 또 누군가 죽고 다쳐야 정신차릴래? 판사님들 제발 자기 자식들이 당했다고 생각해보세요. 정말 화나네요.,96
lala_9,"피해자분이 차분하게 말씀을 잘 해주셔서 오히려 제가 감동받고 갑니다. 결국 이런일은 특정한 사람들에게만 일어나는 것이 아니라 내 가족, 친구 주변 사람들한테도 일어날 수도 있다는 것.. 그러기에 지속적인 관심을 가져서 엄벌에 쳐해야 한다. 남한테 상해를 끼치고 항소하는 뻔뻔한 태도. 감형을 바라는 얕은 수법 절대 허용해서는 안된다.",27
bailey3569,사건 이후 얼마나 많이 두려우실지 감히 상상하기조차 어렵지만 그 와중에도 이렇게 현실을 정면으로 마주 할 용기릉 가진 피해자분이 같은 사람으로서 너무 멋지다고 생각되네요…! 고통받아야 하는 사람이 있다면 그건 피해자가 아니라 가해자가 되어야겠죠. 이 사건이 단 한명의 피해자 뿐 아니라 앞으로 일어날지 모르는 수많은 잠재적 피해자를 보호하기 위한 방향으로 형량이 선고되어야 한다고 생각해요…,23
user-ob5rb5gf3w,저는 남자지만 우리 가족 중에 저런 일이 생기면 진짜 화를 못 참을 것 같네요!! 끝까지 찾아가서 죽일 심정입니다 꼭 강력한 처벌 해주세요 사형이차도 못 시키면 무기징역이라고 제발,13
user-ed5ns5yt2p,12년 시한부 인생이라는 말이 너무 가슴 아프네요 가해자는 사회로 복귀해서는 안될 사람입니다. 어느 부분에서 반성을 하고 있다는 건지 우리나라 법은 왜 반성문 따위에 감형이 될 수 있는지 의아합니다... 엄중처벌해주세요,4
lor9210,평범하게산다는것이 가장어려운 더군다나 그런일을 당하니 더 그러시겠죠 우리나라법이 언제부터 인권법이었다고 피해자보호보다 가해자들에게 너무나도 관댄건지 이건 진짜 검사판사들이 문제에요.부디 회복되시길..,12
user-ny9wq9ty6y,대한민국 진짜 판사들 핵맞아 없어졌음좋겠다 저런인간이 무기징역이 아니야?,100
